Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,323.0,424.0,323.0,421.0,421.0,1422000
2019-01-07,414.0,435.0,390.0,396.0,396.0,1772700
2019-01-08,396.0,429.0,396.0,418.0,418.0,1063200
2019-01-09,415.0,422.0,401.0,403.0,403.0,702500
2019-01-10,406.0,472.0,402.0,444.0,444.0,2917000
2019-01-11,438.0,505.0,435.0,489.0,489.0,2903600
2019-01-15,492.0,496.0,466.0,478.0,478.0,1345500
2019-01-16,517.0,539.0,480.0,486.0,486.0,2280900
2019-01-17,486.0,496.0,458.0,494.0,494.0,1097500
2019-01-18,493.0,506.0,479.0,502.0,502.0,894400
2019-01-21,506.0,507.0,464.0,464.0,464.0,687100
2019-01-22,472.0,481.0,450.0,478.0,478.0,565300
2019-01-23,471.0,482.0,460.0,462.0,462.0,499800
2019-01-24,458.0,461.0,450.0,457.0,457.0,470500
2019-01-25,491.0,497.0,461.0,461.0,461.0,1460400
2019-01-28,469.0,483.0,458.0,459.0,459.0,842500
2019-01-29,452.0,457.0,429.0,451.0,451.0,864900
2019-01-30,427.0,428.0,395.0,398.0,398.0,1562000
2019-01-31,406.0,414.0,402.0,409.0,409.0,490200
2019-02-01,415.0,416.0,397.0,404.0,404.0,430900
2019-02-04,401.0,427.0,401.0,424.0,424.0,449900
2019-02-05,428.0,428.0,415.0,417.0,417.0,276800
2019-02-06,416.0,450.0,416.0,437.0,437.0,545800
2019-02-07,439.0,453.0,424.0,430.0,430.0,440100
2019-02-08,419.0,429.0,405.0,410.0,410.0,432000
2019-02-12,417.0,432.0,412.0,420.0,420.0,348300
2019-02-13,422.0,439.0,421.0,437.0,437.0,353600
2019-02-14,439.0,439.0,422.0,425.0,425.0,341800
2019-02-15,421.0,431.0,416.0,427.0,427.0,242300
2019-02-18,427.0,450.0,427.0,450.0,450.0,454400
2019-02-19,450.0,484.0,448.0,479.0,479.0,902000
2019-02-20,482.0,485.0,465.0,481.0,481.0,457700
2019-02-21,488.0,496.0,475.0,480.0,480.0,473300
2019-02-22,478.0,499.0,473.0,496.0,496.0,610700
2019-02-25,500.0,570.0,500.0,554.0,554.0,2496700
2019-02-26,558.0,582.0,525.0,568.0,568.0,2225700
2019-02-27,560.0,599.0,558.0,599.0,599.0,1361600
2019-02-28,590.0,607.0,549.0,563.0,563.0,1370400
2019-03-01,571.0,603.0,563.0,598.0,598.0,1097400
2019-03-04,607.0,648.0,605.0,636.0,636.0,1362700
2019-03-05,616.0,634.0,608.0,624.0,624.0,724600
2019-03-06,620.0,628.0,594.0,621.0,621.0,703700
2019-03-07,621.0,629.0,586.0,588.0,588.0,788600
2019-03-08,575.0,585.0,564.0,578.0,578.0,635900
2019-03-11,580.0,598.0,550.0,577.0,577.0,499200
2019-03-12,587.0,621.0,585.0,609.0,609.0,758200
2019-03-13,608.0,626.0,590.0,620.0,620.0,520400
2019-03-14,640.0,664.0,630.0,647.0,647.0,957500
2019-03-15,610.0,613.0,542.0,547.0,547.0,2058500
2019-03-18,545.0,579.0,543.0,567.0,567.0,526500
2019-03-19,566.0,571.0,542.0,567.0,567.0,404600
2019-03-20,566.0,588.0,556.0,581.0,581.0,325800
2019-03-22,574.0,588.0,565.0,583.0,583.0,317300
2019-03-25,554.0,557.0,537.0,552.0,552.0,369400
2019-03-26,560.0,572.0,556.0,564.0,564.0,335700
2019-03-27,567.0,617.0,567.0,600.0,600.0,889000
2019-03-28,593.0,605.0,578.0,582.0,582.0,411300
2019-03-29,580.0,602.0,576.0,592.0,592.0,387000
2019-04-01,560.0,597.0,549.0,552.0,552.0,966500
2019-04-02,565.0,565.0,505.0,509.0,509.0,865900
2019-04-03,516.0,534.0,506.0,525.0,525.0,473600
2019-04-04,530.0,553.0,526.0,550.0,550.0,341500
2019-04-05,548.0,629.0,539.0,628.0,628.0,1792600
2019-04-08,627.0,656.0,605.0,649.0,649.0,1090400
2019-04-09,670.0,744.0,670.0,744.0,744.0,2642700
2019-04-10,721.0,804.0,687.0,776.0,776.0,3529200
2019-04-11,768.0,795.0,750.0,768.0,768.0,1107400
2019-04-12,746.0,761.0,702.0,712.0,712.0,1027100
2019-04-15,709.0,808.0,708.0,782.0,782.0,1803100
2019-04-16,842.0,932.0,683.0,712.0,712.0,10764500
2019-04-17,722.0,743.0,662.0,676.0,676.0,3016700
2019-04-18,692.0,755.0,691.0,720.0,720.0,3621500
