Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1354.0,1419.0,1332.0,1414.0,1414.0,206400
2019-01-07,1474.0,1506.0,1446.0,1474.0,1474.0,146000
2019-01-08,1481.0,1519.0,1475.0,1494.0,1494.0,117200
2019-01-09,1487.0,1516.0,1425.0,1432.0,1432.0,198700
2019-01-10,1421.0,1478.0,1392.0,1413.0,1413.0,152500
2019-01-11,1409.0,1463.0,1409.0,1424.0,1424.0,132800
2019-01-15,1416.0,1500.0,1416.0,1490.0,1490.0,124300
2019-01-16,1501.0,1538.0,1488.0,1497.0,1497.0,152900
2019-01-17,1527.0,1569.0,1500.0,1526.0,1526.0,143800
2019-01-18,1540.0,1586.0,1524.0,1548.0,1548.0,178000
2019-01-21,1580.0,1601.0,1520.0,1521.0,1521.0,157600
2019-01-22,1525.0,1535.0,1486.0,1515.0,1515.0,100800
2019-01-23,1478.0,1560.0,1478.0,1531.0,1531.0,107300
2019-01-24,1555.0,1608.0,1535.0,1600.0,1600.0,118300
2019-01-25,1609.0,1678.0,1604.0,1670.0,1670.0,200300
2019-01-28,1703.0,1720.0,1676.0,1688.0,1688.0,147700
2019-01-29,1673.0,1678.0,1614.0,1663.0,1663.0,129800
2019-01-30,1642.0,1656.0,1595.0,1603.0,1603.0,110500
2019-01-31,1634.0,1705.0,1633.0,1701.0,1701.0,168700
2019-02-01,1720.0,1736.0,1677.0,1713.0,1713.0,161700
2019-02-04,1740.0,1767.0,1714.0,1762.0,1762.0,123400
2019-02-05,1771.0,1785.0,1746.0,1756.0,1756.0,128000
2019-02-06,1765.0,1777.0,1714.0,1728.0,1728.0,121900
2019-02-07,1720.0,1727.0,1631.0,1665.0,1665.0,191800
2019-02-08,1660.0,1711.0,1650.0,1669.0,1669.0,144300
2019-02-12,1720.0,1838.0,1716.0,1837.0,1837.0,505600
2019-02-13,1850.0,1872.0,1805.0,1815.0,1815.0,226300
2019-02-14,1827.0,1829.0,1766.0,1774.0,1774.0,145900
2019-02-15,1761.0,1772.0,1730.0,1746.0,1746.0,97600
2019-02-18,1765.0,1800.0,1752.0,1785.0,1785.0,152600
2019-02-19,1785.0,1805.0,1759.0,1766.0,1766.0,68700
2019-02-20,1766.0,1804.0,1763.0,1767.0,1767.0,79000
2019-02-21,1766.0,1778.0,1740.0,1746.0,1746.0,71500
2019-02-22,1706.0,1740.0,1705.0,1730.0,1730.0,86900
2019-02-25,1747.0,1750.0,1707.0,1719.0,1719.0,89100
2019-02-26,1728.0,1729.0,1665.0,1668.0,1668.0,119100
2019-02-27,1669.0,1720.0,1669.0,1719.0,1719.0,111200
2019-02-28,1718.0,1720.0,1673.0,1691.0,1691.0,103800
2019-03-01,1685.0,1713.0,1680.0,1680.0,1680.0,83400
2019-03-04,1701.0,1762.0,1693.0,1743.0,1743.0,159300
2019-03-05,1716.0,1780.0,1711.0,1732.0,1732.0,76500
2019-03-06,1736.0,1765.0,1716.0,1757.0,1757.0,85400
2019-03-07,1748.0,1750.0,1690.0,1708.0,1708.0,103200
2019-03-08,1698.0,1698.0,1596.0,1609.0,1609.0,217000
2019-03-11,1649.0,1649.0,1581.0,1615.0,1615.0,75900
2019-03-12,1647.0,1662.0,1619.0,1623.0,1623.0,81800
2019-03-13,1623.0,1645.0,1598.0,1613.0,1613.0,58600
2019-03-14,1621.0,1642.0,1544.0,1545.0,1545.0,189600
2019-03-15,1539.0,1559.0,1518.0,1525.0,1525.0,135500
2019-03-18,1550.0,1574.0,1530.0,1560.0,1560.0,63200
2019-03-19,1576.0,1611.0,1576.0,1603.0,1603.0,87500
2019-03-20,1591.0,1603.0,1578.0,1602.0,1602.0,64600
2019-03-22,1588.0,1615.0,1562.0,1564.0,1564.0,89100
2019-03-25,1511.0,1533.0,1493.0,1509.0,1509.0,103600
2019-03-26,1508.0,1544.0,1506.0,1530.0,1530.0,76200
2019-03-27,1528.0,1589.0,1528.0,1579.0,1579.0,75300
2019-03-28,1580.0,1587.0,1543.0,1547.0,1547.0,64000
2019-03-29,1556.0,1570.0,1516.0,1541.0,1541.0,80200
2019-04-01,1546.0,1551.0,1503.0,1523.0,1523.0,118400
2019-04-02,1529.0,1540.0,1427.0,1440.0,1440.0,226400
2019-04-03,1425.0,1452.0,1381.0,1449.0,1449.0,190900
2019-04-04,1438.0,1459.0,1424.0,1424.0,1424.0,59700
2019-04-05,1413.0,1441.0,1391.0,1429.0,1429.0,154300
2019-04-08,1429.0,1447.0,1407.0,1431.0,1431.0,86200
2019-04-09,1455.0,1467.0,1422.0,1442.0,1442.0,159900
2019-04-10,1424.0,1437.0,1395.0,1429.0,1429.0,126800
2019-04-11,1432.0,1485.0,1432.0,1440.0,1440.0,90800
2019-04-12,1424.0,1439.0,1408.0,1408.0,1408.0,77100
2019-04-15,1412.0,1453.0,1409.0,1430.0,1430.0,206100
