Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,610.0,610.0,584.0,608.0,567.4197998046875,139100
2019-01-07,625.0,646.0,624.0,630.0,587.9515380859375,76500
2019-01-08,634.0,637.0,625.0,629.0,587.0182495117188,53400
2019-01-09,631.0,632.0,621.0,631.0,588.8846435546875,60000
2019-01-10,630.0,631.0,619.0,627.0,585.1516723632812,45700
2019-01-11,623.0,628.0,617.0,627.0,585.1516723632812,120400
2019-01-15,619.0,642.0,619.0,642.0,599.1505126953125,119200
2019-01-16,639.0,647.0,632.0,635.0,592.6177368164062,76000
2019-01-17,645.0,653.0,641.0,646.0,602.883544921875,74500
2019-01-18,656.0,658.0,646.0,649.0,605.683349609375,55800
2019-01-21,656.0,665.0,656.0,657.0,613.1494140625,67000
2019-01-22,660.0,661.0,646.0,648.0,604.7501220703125,80500
2019-01-23,649.0,652.0,638.0,652.0,608.4830932617188,46000
2019-01-24,650.0,657.0,641.0,655.0,611.2828369140625,43300
2019-01-25,663.0,674.0,661.0,669.0,624.3484497070312,93700
2019-01-28,670.0,673.0,662.0,662.0,617.815673828125,39300
2019-01-29,659.0,659.0,647.0,655.0,611.2828369140625,67300
2019-01-30,654.0,656.0,644.0,644.0,601.0170288085938,83600
2019-01-31,650.0,654.0,644.0,650.0,606.6165161132812,65000
2019-02-01,650.0,650.0,639.0,640.0,597.2840576171875,48600
2019-02-04,649.0,662.0,642.0,662.0,617.815673828125,66300
2019-02-05,667.0,668.0,661.0,663.0,618.7489013671875,45100
2019-02-06,665.0,665.0,651.0,654.0,610.349609375,58400
2019-02-07,652.0,654.0,637.0,644.0,601.0170288085938,61200
2019-02-08,631.0,636.0,617.0,618.0,576.75244140625,86900
2019-02-12,621.0,641.0,620.0,638.0,595.41748046875,62500
2019-02-13,648.0,663.0,645.0,662.0,617.815673828125,123600
2019-02-14,652.0,655.0,634.0,641.0,598.21728515625,152400
2019-02-15,649.0,679.0,637.0,678.0,632.747802734375,253600
2019-02-18,686.0,716.0,683.0,715.0,667.2782592773438,201500
2019-02-19,707.0,714.0,701.0,709.0,661.6786499023438,91200
2019-02-20,705.0,710.0,697.0,701.0,654.212646484375,49700
2019-02-21,707.0,707.0,693.0,697.0,650.4796142578125,33100
2019-02-22,688.0,699.0,686.0,696.0,649.54638671875,46400
2019-02-25,700.0,705.0,690.0,696.0,649.54638671875,80700
2019-02-26,700.0,700.0,683.0,689.0,643.0135498046875,34800
2019-02-27,690.0,694.0,680.0,687.0,641.1470336914062,62500
2019-02-28,685.0,695.0,679.0,682.0,636.4807739257812,92600
2019-03-01,680.0,691.0,677.0,691.0,644.8800659179688,99800
2019-03-04,692.0,695.0,683.0,690.0,643.9468383789062,63100
2019-03-05,687.0,692.0,677.0,689.0,643.0135498046875,96900
2019-03-06,688.0,688.0,673.0,673.0,628.0814819335938,79900
2019-03-07,679.0,685.0,658.0,660.0,615.9491577148438,148800
2019-03-08,658.0,658.0,637.0,640.0,597.2840576171875,111100
2019-03-11,645.0,646.0,632.0,641.0,598.21728515625,94800
2019-03-12,656.0,656.0,642.0,649.0,605.683349609375,51500
2019-03-13,652.0,654.0,631.0,636.0,593.5509643554688,73600
2019-03-14,640.0,653.0,632.0,634.0,591.6845092773438,65500
2019-03-15,630.0,645.0,630.0,639.0,596.3507080078125,193900
2019-03-18,646.0,647.0,636.0,646.0,602.883544921875,89000
2019-03-19,644.0,644.0,631.0,635.0,592.6177368164062,122200
2019-03-20,633.0,649.0,633.0,646.0,602.883544921875,102000
2019-03-22,655.0,679.0,651.0,679.0,633.6810302734375,238100
2019-03-25,673.0,673.0,646.0,652.0,608.4830932617188,107500
2019-03-26,661.0,669.0,654.0,665.0,620.615478515625,82800
2019-03-27,650.0,658.0,647.0,656.0,623.4666748046875,79600
2019-03-28,650.0,651.0,634.0,643.0,611.1113891601562,92300
2019-03-29,644.0,644.0,628.0,633.0,601.6072998046875,96300
2019-04-01,643.0,660.0,641.0,656.0,623.4666748046875,88300
2019-04-02,672.0,672.0,664.0,671.0,637.7227172851562,84800
2019-04-03,666.0,676.0,663.0,673.0,639.6235961914062,94200
2019-04-04,676.0,689.0,675.0,685.0,651.0284423828125,64100
2019-04-05,689.0,696.0,685.0,695.0,660.5325317382812,78400
2019-04-08,699.0,699.0,684.0,687.0,652.9292602539062,62700
2019-04-09,686.0,687.0,674.0,676.0,642.4747924804688,31500
2019-04-10,669.0,670.0,661.0,666.0,632.9707641601562,44200
2019-04-11,661.0,668.0,658.0,660.0,627.268310546875,57400
2019-04-12,663.0,668.0,658.0,661.0,628.2186889648438,34700
2019-04-15,664.0,680.0,664.0,679.0,645.3259887695312,53900
2019-04-16,676.0,679.0,669.0,674.0,640.573974609375,76800
2019-04-17,680.0,688.0,677.0,685.0,651.0284423828125,55500
2019-04-18,687.0,692.0,675.0,677.0,643.4251708984375,66300
2019-04-19,685.0,693.0,683.0,693.0,658.6317138671875,62400
2019-04-22,677.0,686.0,675.0,677.0,643.4251708984375,47200
2019-04-23,677.0,682.0,672.0,682.0,648.17724609375,42000
2019-04-24,680.0,680.0,659.0,660.0,627.268310546875,91100
2019-04-25,660.0,660.0,644.0,648.0,615.8634643554688,127200
2019-04-26,643.0,643.0,630.0,636.0,604.45849609375,91400
2019-05-07,631.0,631.0,616.0,620.0,589.2520141601562,86200
2019-05-08,612.0,612.0,600.0,602.0,572.1447143554688,104800
2019-05-09,602.0,604.0,586.0,588.0,558.8390502929688,131300
2019-05-10,587.0,598.0,582.0,588.0,558.8390502929688,87000
2019-05-13,581.0,583.0,573.0,574.0,545.5333862304688,96500
2019-05-14,567.0,574.0,558.0,572.0,543.6325073242188,104000
2019-05-15,573.0,579.0,562.0,570.0,541.731689453125,87600
2019-05-16,556.0,560.0,520.0,525.0,498.9634094238281,418600
2019-05-17,535.0,549.0,531.0,536.0,509.41790771484375,273600
2019-05-20,537.0,540.0,520.0,525.0,498.9634094238281,218900
2019-05-21,519.0,521.0,506.0,512.0,486.6081237792969,260300
2019-05-22,516.0,536.0,508.0,534.0,507.51708984375,206400
2019-05-23,529.0,531.0,516.0,520.0,494.2113952636719,121700
2019-05-24,515.0,523.0,505.0,523.0,497.06256103515625,131800
2019-05-27,527.0,529.0,520.0,522.0,496.1121520996094,84300
2019-05-28,548.0,549.0,531.0,536.0,509.41790771484375,400900
2019-05-29,534.0,534.0,518.0,529.0,502.7650146484375,131200
2019-05-30,522.0,538.0,517.0,536.0,509.41790771484375,140800
2019-05-31,529.0,529.0,516.0,520.0,494.2113952636719,226500
2019-06-03,510.0,517.0,495.0,499.0,474.2528381347656,416800
2019-06-04,501.0,507.0,485.0,507.0,481.8561096191406,365800
2019-06-05,514.0,539.0,514.0,534.0,507.51708984375,321400
2019-06-06,531.0,535.0,522.0,522.0,496.1121520996094,117100
2019-06-07,522.0,530.0,516.0,528.0,501.81463623046875,151300
2019-06-10,538.0,543.0,531.0,534.0,507.51708984375,126800
2019-06-11,531.0,546.0,531.0,543.0,516.0706787109375,132600
2019-06-12,550.0,551.0,539.0,539.0,512.2691650390625,193900
2019-06-13,540.0,540.0,526.0,529.0,502.7650146484375,141700
2019-06-14,521.0,537.0,521.0,535.0,508.46746826171875,136400
2019-06-17,539.0,539.0,522.0,525.0,498.9634094238281,111900
2019-06-18,528.0,529.0,517.0,518.0,492.310546875,105500
2019-06-19,523.0,538.0,523.0,533.0,506.5666809082031,130700
2019-06-20,535.0,536.0,526.0,535.0,508.46746826171875,52000
2019-06-21,533.0,561.0,530.0,561.0,533.1780395507812,260900
2019-06-24,559.0,562.0,546.0,547.0,519.8723754882812,180800
2019-06-25,547.0,551.0,540.0,543.0,516.0706787109375,107300
2019-06-26,535.0,551.0,535.0,540.0,513.219482421875,49800
2019-06-27,545.0,558.0,545.0,555.0,527.4756469726562,66200
2019-06-28,552.0,557.0,547.0,557.0,529.3764038085938,71100
2019-07-01,560.0,579.0,560.0,577.0,548.384521484375,181200
2019-07-02,577.0,583.0,575.0,575.0,546.4837646484375,96100
2019-07-03,579.0,579.0,565.0,571.0,542.68212890625,80300
2019-07-04,572.0,580.0,572.0,577.0,548.384521484375,82100
2019-07-05,578.0,581.0,573.0,573.0,544.5829467773438,70800
2019-07-08,570.0,572.0,562.0,562.0,534.12841796875,92500
