Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,3545.0,3560.0,3425.0,3445.0,3198.177734375,199100
2019-01-07,3585.0,3655.0,3570.0,3630.0,3369.92333984375,186200
2019-01-08,3700.0,3705.0,3640.0,3670.0,3407.057373046875,156900
2019-01-09,3680.0,3705.0,3665.0,3685.0,3420.982421875,103800
2019-01-10,3610.0,3625.0,3565.0,3595.0,3337.4306640625,149900
2019-01-11,3640.0,3645.0,3570.0,3585.0,3328.14697265625,124700
2019-01-15,3515.0,3675.0,3510.0,3655.0,3393.1318359375,183900
2019-01-16,3585.0,3725.0,3555.0,3635.0,3374.56494140625,211700
2019-01-17,3685.0,3745.0,3650.0,3670.0,3407.057373046875,126100
2019-01-18,3685.0,3780.0,3685.0,3750.0,3481.325439453125,147800
2019-01-21,3815.0,3825.0,3760.0,3770.0,3499.892578125,100100
2019-01-22,3775.0,3785.0,3710.0,3735.0,3467.400146484375,121300
2019-01-23,3690.0,3700.0,3645.0,3665.0,3402.41552734375,159700
2019-01-24,3610.0,3670.0,3595.0,3650.0,3388.490234375,146800
2019-01-25,3595.0,3700.0,3595.0,3675.0,3411.69921875,168400
2019-01-28,3605.0,3670.0,3600.0,3615.0,3355.997802734375,152000
2019-01-29,3600.0,3680.0,3590.0,3665.0,3402.41552734375,108400
2019-01-30,3680.0,3725.0,3615.0,3655.0,3393.1318359375,232200
2019-01-31,3865.0,3920.0,3760.0,3815.0,3541.66845703125,340800
2019-02-01,3755.0,3840.0,3755.0,3830.0,3555.59375,169500
2019-02-04,3770.0,3905.0,3770.0,3895.0,3615.936767578125,131000
2019-02-05,3890.0,3910.0,3860.0,3870.0,3592.727783203125,101800
2019-02-06,3910.0,3915.0,3875.0,3885.0,3606.6533203125,92700
2019-02-07,3875.0,3885.0,3780.0,3795.0,3523.1015625,82400
2019-02-08,3725.0,3735.0,3610.0,3640.0,3379.20654296875,190200
2019-02-12,3675.0,3755.0,3655.0,3740.0,3472.0419921875,172300
2019-02-13,3810.0,3865.0,3760.0,3855.0,3578.802490234375,124200
2019-02-14,3860.0,3865.0,3640.0,3785.0,3513.817626953125,172000
2019-02-15,3715.0,3750.0,3690.0,3715.0,3448.83349609375,184100
2019-02-18,3830.0,3865.0,3785.0,3865.0,3588.0859375,187400
2019-02-19,3820.0,3855.0,3790.0,3840.0,3564.877197265625,182100
2019-02-20,3850.0,3890.0,3835.0,3860.0,3583.4443359375,91000
2019-02-21,3890.0,3915.0,3855.0,3890.0,3611.294921875,190900
2019-02-22,3850.0,3865.0,3820.0,3850.0,3574.1611328125,73800
2019-02-25,3860.0,3925.0,3860.0,3910.0,3629.862060546875,104300
2019-02-26,3900.0,3935.0,3865.0,3885.0,3606.6533203125,93400
2019-02-27,3885.0,3900.0,3840.0,3885.0,3606.6533203125,137500
2019-02-28,3885.0,3895.0,3830.0,3875.0,3597.36962890625,122200
2019-03-01,3855.0,3895.0,3850.0,3870.0,3592.727783203125,98000
2019-03-04,3935.0,3950.0,3860.0,3935.0,3653.07080078125,135400
2019-03-05,3920.0,3945.0,3880.0,3910.0,3629.862060546875,138500
2019-03-06,3865.0,3905.0,3845.0,3885.0,3606.6533203125,144900
2019-03-07,3840.0,3870.0,3815.0,3850.0,3574.1611328125,145300
2019-03-08,3750.0,3780.0,3695.0,3700.0,3434.907958984375,205900
2019-03-11,3735.0,3775.0,3700.0,3775.0,3504.5341796875,96000
2019-03-12,3810.0,3870.0,3790.0,3845.0,3569.519287109375,96000
2019-03-13,3815.0,3860.0,3760.0,3795.0,3523.1015625,91100
2019-03-14,3835.0,3835.0,3735.0,3760.0,3490.609130859375,45700
2019-03-15,3745.0,3835.0,3745.0,3800.0,3527.7431640625,172300
2019-03-18,3830.0,3850.0,3800.0,3815.0,3541.66845703125,51400
2019-03-19,3795.0,3800.0,3660.0,3680.0,3416.3408203125,184200
2019-03-20,3690.0,3695.0,3560.0,3610.0,3351.356201171875,317600
2019-03-22,3645.0,3655.0,3560.0,3655.0,3393.1318359375,252200
2019-03-25,3585.0,3590.0,3525.0,3565.0,3309.580078125,94300
2019-03-26,3610.0,3720.0,3595.0,3670.0,3407.057373046875,175200
2019-03-27,3690.0,3705.0,3670.0,3675.0,3464.564453125,74800
2019-03-28,3640.0,3650.0,3565.0,3585.0,3379.7177734375,66800
2019-03-29,3675.0,3705.0,3630.0,3690.0,3478.70556640625,166900
2019-04-01,3735.0,3815.0,3725.0,3795.0,3577.69287109375,141000
2019-04-02,3800.0,3805.0,3765.0,3785.0,3568.265625,119400
2019-04-03,3775.0,3845.0,3770.0,3845.0,3624.829833984375,92100
2019-04-04,3805.0,3850.0,3795.0,3830.0,3610.688720703125,81500
2019-04-05,3855.0,3880.0,3820.0,3865.0,3643.684326171875,127400
2019-04-08,3870.0,3910.0,3835.0,3840.0,3620.1162109375,66800
2019-04-09,3860.0,3860.0,3805.0,3835.0,3615.402587890625,59600
2019-04-10,3785.0,3825.0,3775.0,3825.0,3605.97509765625,47000
2019-04-11,3835.0,3845.0,3805.0,3840.0,3620.1162109375,83200
2019-04-12,3830.0,3830.0,3780.0,3800.0,3582.40673828125,103100
2019-04-15,3840.0,3885.0,3835.0,3865.0,3643.684326171875,176000
2019-04-16,3845.0,3870.0,3825.0,3840.0,3620.1162109375,102600
2019-04-17,3830.0,3845.0,3775.0,3835.0,3615.402587890625,163500
2019-04-18,3810.0,3815.0,3640.0,3660.0,3450.42333984375,187800
2019-04-19,3640.0,3665.0,3595.0,3630.0,3422.14111328125,180100
2019-04-22,3620.0,3640.0,3575.0,3615.0,3408.0,157100
2019-04-23,3620.0,3655.0,3585.0,3600.0,3393.859130859375,215000
2019-04-24,3605.0,3695.0,3595.0,3615.0,3408.0,239300
2019-04-25,3585.0,3650.0,3565.0,3640.0,3431.568359375,251800
2019-04-26,3975.0,3975.0,3785.0,3840.0,3620.1162109375,361600
2019-05-07,3765.0,3765.0,3665.0,3675.0,3464.564453125,262500
2019-05-08,3640.0,3665.0,3600.0,3635.0,3426.8544921875,252100
2019-05-09,3625.0,3635.0,3550.0,3555.0,3351.435546875,170900
2019-05-10,3550.0,3665.0,3550.0,3595.0,3389.144775390625,177900
2019-05-13,3595.0,3605.0,3535.0,3540.0,3337.29443359375,115600
2019-05-14,3400.0,3580.0,3395.0,3560.0,3356.149169921875,204100
2019-05-15,3620.0,3690.0,3620.0,3680.0,3469.27783203125,138000
2019-05-16,3705.0,3720.0,3650.0,3705.0,3492.846435546875,141900
2019-05-17,3735.0,3745.0,3700.0,3735.0,3521.128662109375,76800
