Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,507.0,516.0,498.0,516.0,482.0689697265625,46000
2019-01-07,530.0,543.0,528.0,535.0,499.8195495605469,49600
2019-01-08,539.0,539.0,529.0,532.0,497.0168151855469,34700
2019-01-09,532.0,533.0,522.0,524.0,489.5428771972656,38900
2019-01-10,522.0,524.0,516.0,521.0,486.7402038574219,37500
2019-01-11,525.0,528.0,523.0,527.0,492.34564208984375,33300
2019-01-15,521.0,529.0,520.0,529.0,494.2140808105469,54400
2019-01-16,525.0,529.0,520.0,520.0,485.805908203125,24300
2019-01-17,524.0,528.0,521.0,528.0,493.2798767089844,22700
2019-01-18,528.0,534.0,527.0,529.0,494.2140808105469,33600
2019-01-21,534.0,534.0,530.0,531.0,496.08258056640625,22300
2019-01-22,534.0,534.0,527.0,529.0,494.2140808105469,17000
2019-01-23,527.0,532.0,526.0,529.0,494.2140808105469,11900
2019-01-24,529.0,530.0,525.0,530.0,495.1483154296875,17100
2019-01-25,533.0,540.0,529.0,529.0,494.2140808105469,40900
2019-01-28,531.0,531.0,526.0,526.0,491.411376953125,28800
2019-01-29,527.0,533.0,526.0,532.0,497.0168151855469,45200
2019-01-30,536.0,539.0,532.0,536.0,500.7538146972656,57400
2019-01-31,537.0,540.0,533.0,535.0,499.8195495605469,38500
2019-02-01,532.0,533.0,522.0,530.0,495.1483154296875,38300
2019-02-04,535.0,543.0,533.0,543.0,507.2934875488281,53600
2019-02-05,547.0,551.0,543.0,551.0,514.7673950195312,27600
2019-02-06,550.0,552.0,541.0,541.0,505.425048828125,23200
2019-02-07,545.0,545.0,534.0,542.0,506.3592224121094,29000
2019-02-08,541.0,542.0,533.0,535.0,499.8195495605469,24500
2019-02-12,536.0,540.0,535.0,540.0,504.49078369140625,21200
2019-02-13,540.0,541.0,536.0,539.0,503.5565185546875,19500
2019-02-14,542.0,547.0,540.0,543.0,507.2934875488281,22100
2019-02-15,540.0,548.0,534.0,546.0,510.0962219238281,25100
2019-02-18,550.0,558.0,544.0,548.0,511.9647216796875,34400
2019-02-19,545.0,550.0,542.0,548.0,511.9647216796875,27900
2019-02-20,545.0,549.0,542.0,545.0,509.1620178222656,29800
2019-02-21,545.0,546.0,541.0,542.0,506.3592224121094,17400
2019-02-22,541.0,545.0,535.0,542.0,506.3592224121094,27200
2019-02-25,539.0,542.0,535.0,540.0,504.49078369140625,28800
2019-02-26,539.0,539.0,535.0,536.0,500.7538146972656,16200
2019-02-27,537.0,541.0,536.0,539.0,503.5565185546875,18900
2019-02-28,542.0,549.0,538.0,545.0,509.1620178222656,29200
2019-03-01,545.0,557.0,542.0,554.0,517.5701904296875,43300
2019-03-04,553.0,560.0,547.0,560.0,523.1756591796875,59300
2019-03-05,555.0,555.0,551.0,555.0,518.5043334960938,20400
2019-03-06,552.0,554.0,550.0,550.0,513.8331909179688,21600
2019-03-07,549.0,549.0,542.0,545.0,509.1620178222656,37700
