Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,3700.0,3775.0,3645.0,3770.0,3441.107177734375,863000
2019-01-07,3890.0,3960.0,3875.0,3915.0,3573.45751953125,596300
2019-01-08,3930.0,3955.0,3870.0,3925.0,3582.5849609375,704900
2019-01-09,3965.0,4050.0,3960.0,4010.0,3660.169677734375,939000
2019-01-10,3955.0,4050.0,3935.0,4005.0,3655.60595703125,939200
2019-01-11,4020.0,4060.0,3945.0,4050.0,3696.679931640625,868400
2019-01-15,4055.0,4125.0,4030.0,4110.0,3751.445556640625,822400
2019-01-16,4110.0,4205.0,4080.0,4165.0,3801.647705078125,1113400
2019-01-17,4160.0,4285.0,4125.0,4255.0,3883.7958984375,1317500
2019-01-18,4250.0,4270.0,4205.0,4220.0,3851.849365234375,933700
2019-01-21,4280.0,4355.0,4245.0,4345.0,3965.9443359375,643000
2019-01-22,4350.0,4395.0,4290.0,4315.0,3938.561767578125,638000
2019-01-23,4265.0,4300.0,4250.0,4285.0,3911.1787109375,468900
2019-01-24,4220.0,4275.0,4195.0,4275.0,3902.051025390625,543700
2019-01-25,4295.0,4380.0,4290.0,4365.0,3984.19970703125,541600
2019-01-28,4365.0,4390.0,4340.0,4370.0,3988.763671875,519900
2019-01-29,4235.0,4290.0,4220.0,4250.0,3879.232421875,1244000
2019-01-30,4280.0,4310.0,4215.0,4230.0,3860.9765625,747700
2019-01-31,4300.0,4325.0,4260.0,4290.0,3915.74267578125,683400
2019-02-01,4240.0,4285.0,4105.0,4230.0,3860.9765625,1354600
2019-02-04,4260.0,4390.0,4260.0,4350.0,3970.50830078125,1014800
2019-02-05,4375.0,4385.0,4290.0,4305.0,3929.43408203125,568000
2019-02-06,4335.0,4340.0,4260.0,4260.0,3888.359619140625,582400
2019-02-07,4245.0,4255.0,4170.0,4185.0,3819.90283203125,571100
2019-02-08,4125.0,4155.0,4060.0,4085.0,3728.626953125,541800
2019-02-12,4110.0,4275.0,4110.0,4250.0,3879.232421875,665400
2019-02-13,4305.0,4425.0,4290.0,4400.0,4016.14599609375,817200
2019-02-14,4460.0,4480.0,4385.0,4390.0,4007.0185546875,763900
2019-02-15,4320.0,4320.0,4220.0,4255.0,3883.7958984375,964400
2019-02-18,4350.0,4375.0,4320.0,4365.0,3984.19970703125,436600
2019-02-19,4320.0,4385.0,4315.0,4370.0,3988.763671875,421000
2019-02-20,4390.0,4425.0,4360.0,4370.0,3988.763671875,596100
2019-02-21,4325.0,4345.0,4250.0,4315.0,3938.561767578125,766000
2019-02-22,4330.0,4355.0,4305.0,4315.0,3938.561767578125,642400
2019-02-25,4385.0,4425.0,4365.0,4390.0,4007.0185546875,577500
2019-02-26,4430.0,4445.0,4395.0,4410.0,4025.2734375,344400
2019-02-27,4390.0,4410.0,4355.0,4370.0,3988.763671875,699300
2019-02-28,4380.0,4400.0,4345.0,4345.0,3965.9443359375,671100
2019-03-01,4335.0,4355.0,4290.0,4290.0,3915.74267578125,570600
2019-03-04,4340.0,4390.0,4320.0,4380.0,3997.89111328125,503100
