Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,710.0,732.0,706.0,726.0,683.611572265625,25400
2019-01-07,737.0,744.0,735.0,740.0,696.7942504882812,22600
2019-01-08,742.0,745.0,736.0,736.0,693.0277099609375,22100
2019-01-09,740.0,744.0,733.0,737.0,693.9693603515625,15600
2019-01-10,730.0,731.0,724.0,725.0,682.6699829101562,21800
2019-01-11,725.0,726.0,721.0,724.0,681.7283935546875,9900
2019-01-15,720.0,725.0,716.0,720.0,677.9619140625,22500
2019-01-16,720.0,724.0,707.0,710.0,668.5457153320312,20800
2019-01-17,716.0,719.0,709.0,716.0,674.1954345703125,15400
2019-01-18,718.0,723.0,713.0,715.0,673.2537841796875,19800
2019-01-21,724.0,724.0,716.0,719.0,677.020263671875,22300
2019-01-22,723.0,723.0,715.0,720.0,677.9619140625,14000
2019-01-23,719.0,721.0,716.0,717.0,675.1370849609375,16400
2019-01-24,715.0,720.0,713.0,718.0,676.0786743164062,15700
2019-01-25,716.0,724.0,715.0,715.0,673.2537841796875,20500
2019-01-28,719.0,719.0,710.0,710.0,668.5457153320312,22800
2019-01-29,708.0,713.0,706.0,711.0,669.4873657226562,19900
2019-01-30,715.0,715.0,708.0,708.0,666.6625366210938,21300
2019-01-31,710.0,713.0,704.0,704.0,662.8961181640625,27300
2019-02-01,703.0,707.0,703.0,705.0,663.837646484375,14700
2019-02-04,711.0,716.0,709.0,716.0,674.1954345703125,23500
2019-02-05,715.0,721.0,714.0,717.0,675.1370849609375,14700
2019-02-06,720.0,720.0,710.0,711.0,669.4873657226562,14900
2019-02-07,710.0,710.0,703.0,709.0,667.6041870117188,15900
2019-02-08,707.0,710.0,706.0,710.0,668.5457153320312,18800
2019-02-12,745.0,761.0,745.0,749.0,705.2686767578125,72200
2019-02-13,753.0,753.0,743.0,751.0,707.1519165039062,24500
2019-02-14,747.0,758.0,747.0,753.0,709.0350952148438,22900
2019-02-15,751.0,755.0,746.0,752.0,708.0935668945312,19000
2019-02-18,760.0,769.0,760.0,769.0,724.1010131835938,28000
2019-02-19,769.0,777.0,768.0,773.0,727.867431640625,27500
2019-02-20,773.0,778.0,771.0,773.0,727.867431640625,20000
2019-02-21,777.0,781.0,773.0,778.0,732.5755004882812,17600
2019-02-22,779.0,781.0,775.0,781.0,735.400390625,17100
2019-02-25,782.0,789.0,782.0,784.0,738.2251586914062,25200
2019-02-26,788.0,788.0,783.0,785.0,739.1668090820312,15200
2019-02-27,788.0,790.0,786.0,788.0,741.9915771484375,23500
2019-02-28,788.0,790.0,786.0,787.0,741.0499877929688,20700
2019-03-01,788.0,789.0,783.0,785.0,739.1668090820312,39100
2019-03-04,789.0,790.0,783.0,788.0,741.9915771484375,19500
2019-03-05,786.0,788.0,784.0,788.0,741.9915771484375,14000
2019-03-06,788.0,790.0,786.0,787.0,741.0499877929688,27200
2019-03-07,787.0,788.0,781.0,786.0,740.1084594726562,30000
2019-03-08,780.0,784.0,770.0,777.0,731.6339721679688,52700
2019-03-11,775.0,778.0,771.0,777.0,731.6339721679688,19600
2019-03-12,784.0,791.0,784.0,788.0,741.9915771484375,18200
2019-03-13,786.0,790.0,780.0,785.0,739.1668090820312,15800
2019-03-14,785.0,788.0,782.0,785.0,739.1668090820312,14400
2019-03-15,787.0,792.0,786.0,790.0,743.8748779296875,23700
2019-03-18,796.0,798.0,792.0,796.0,749.5245361328125,32000
2019-03-19,798.0,806.0,793.0,805.0,757.9990844726562,39400
2019-03-20,809.0,809.0,802.0,804.0,757.0574340820312,31400
2019-03-22,808.0,808.0,801.0,804.0,757.0574340820312,41600
2019-03-25,804.0,804.0,796.0,798.0,751.4077758789062,52200
2019-03-26,802.0,816.0,802.0,812.0,764.5903930664062,92100
2019-03-27,796.0,799.0,790.0,795.0,765.5532836914062,31000
2019-03-28,790.0,791.0,774.0,778.0,749.1829833984375,15300
2019-03-29,780.0,782.0,774.0,774.0,745.3311767578125,12400
2019-04-01,779.0,793.0,779.0,789.0,759.7755126953125,18100
2019-04-02,794.0,794.0,782.0,784.0,754.9607543945312,10600
2019-04-03,781.0,786.0,778.0,780.0,751.1089477539062,7700
2019-04-04,777.0,781.0,775.0,776.0,747.257080078125,12800
2019-04-05,778.0,783.0,776.0,783.0,753.9978637695312,11900
2019-04-08,781.0,782.0,778.0,779.0,750.14599609375,4800
2019-04-09,778.0,779.0,775.0,779.0,750.14599609375,6600
2019-04-10,775.0,776.0,772.0,775.0,746.2940673828125,4600
2019-04-11,780.0,780.0,773.0,780.0,751.1089477539062,12700
2019-04-12,783.0,784.0,779.0,784.0,754.9607543945312,7300
2019-04-15,788.0,795.0,788.0,794.0,764.5903930664062,18500
2019-04-16,793.0,793.0,787.0,788.0,758.8126220703125,5600
2019-04-17,790.0,791.0,786.0,787.0,757.849609375,10100
2019-04-18,787.0,787.0,775.0,775.0,746.2940673828125,12200
2019-04-19,778.0,778.0,765.0,767.0,738.5903930664062,13400
2019-04-22,769.0,770.0,762.0,770.0,741.4793090820312,9100
2019-04-23,772.0,776.0,770.0,773.0,744.3682250976562,13600
2019-04-24,777.0,777.0,770.0,771.0,742.4423217773438,10200
2019-04-25,775.0,776.0,768.0,775.0,746.2940673828125,12700
2019-04-26,768.0,774.0,767.0,769.0,740.516357421875,9700
2019-05-07,769.0,769.0,761.0,761.0,732.8126831054688,12100
2019-05-08,758.0,758.0,748.0,752.0,724.1460571289062,23000
2019-05-09,750.0,755.0,730.0,731.0,703.9238891601562,27700
2019-05-10,731.0,742.0,730.0,733.0,705.8497924804688,25000
2019-05-13,728.0,732.0,720.0,720.0,693.331298828125,40700
2019-05-14,710.0,727.0,709.0,727.0,700.072021484375,23900
2019-05-15,732.0,732.0,715.0,723.0,696.22021484375,15500
2019-05-16,725.0,738.0,721.0,738.0,710.6646118164062,24400
2019-05-17,740.0,764.0,740.0,761.0,732.8126831054688,18400
2019-05-20,764.0,768.0,757.0,761.0,732.8126831054688,12000
2019-05-21,758.0,758.0,753.0,755.0,727.0349731445312,12200
2019-05-22,757.0,757.0,744.0,746.0,718.3682250976562,9800
2019-05-23,741.0,742.0,737.0,739.0,711.6276245117188,15800
2019-05-24,737.0,745.0,732.0,736.0,708.7387084960938,15900
2019-05-27,735.0,742.0,732.0,742.0,714.5164794921875,9600
2019-05-28,743.0,744.0,733.0,733.0,705.8497924804688,7400
2019-05-29,731.0,735.0,729.0,731.0,703.9238891601562,12300
2019-05-30,730.0,731.0,724.0,725.0,698.1461791992188,8800
2019-05-31,722.0,727.0,721.0,721.0,694.2942504882812,9800
2019-06-03,711.0,719.0,705.0,705.0,678.886962890625,20200
2019-06-04,710.0,728.0,708.0,727.0,700.072021484375,13800
2019-06-05,735.0,740.0,731.0,735.0,707.7757568359375,14500
2019-06-06,738.0,740.0,732.0,732.0,704.8868408203125,6600
