Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2255.0,2272.5,2162.5,2175.0,2150.621337890625,1479600
2019-01-07,2250.0,2270.0,2192.5,2222.5,2197.589111328125,1447400
2019-01-08,2187.5,2260.0,2180.0,2202.5,2177.813232421875,1627200
2019-01-09,2257.5,2335.0,2252.5,2302.5,2276.6923828125,1776200
2019-01-10,2317.5,2365.0,2255.0,2255.0,2229.724853515625,1156000
2019-01-11,2300.0,2345.0,2257.5,2260.0,2234.668701171875,1695600
2019-01-15,2250.0,2322.5,2240.0,2320.0,2293.996337890625,1308200
2019-01-16,2337.5,2410.0,2337.5,2375.0,2348.3798828125,1896000
2019-01-17,2425.0,2457.5,2345.0,2357.5,2331.075927734375,1567400
2019-01-18,2357.5,2425.0,2355.0,2395.0,2368.15576171875,1162800
2019-01-21,2460.0,2465.0,2395.0,2402.5,2375.571533203125,1639600
2019-01-22,2420.0,2455.0,2365.0,2375.0,2348.3798828125,1346600
2019-01-23,2362.5,2430.0,2357.5,2407.5,2380.515380859375,1362800
2019-01-24,2412.5,2425.0,2382.5,2397.5,2370.627685546875,671400
2019-01-25,2372.5,2397.5,2342.5,2382.5,2355.795654296875,1343400
2019-01-28,2347.5,2347.5,2275.0,2292.5,2266.804443359375,1706800
2019-01-29,2362.5,2372.5,2292.5,2315.0,2289.05224609375,2358800
2019-01-30,2305.0,2365.0,2287.5,2342.5,2316.244140625,3107400
2019-01-31,2372.5,2377.5,2337.5,2360.0,2333.5478515625,1127000
2019-02-01,2365.0,2410.0,2360.0,2407.5,2380.515380859375,945400
2019-02-04,2435.0,2500.0,2427.5,2495.0,2467.03466796875,1097800
2019-02-05,2495.0,2497.5,2445.0,2467.5,2439.843017578125,987600
2019-02-06,2472.5,2492.5,2455.0,2460.0,2432.427001953125,700800
2019-02-07,2450.0,2467.5,2415.0,2445.0,2417.59521484375,835600
2019-02-08,2390.0,2460.0,2390.0,2435.0,2407.707275390625,817800
2019-02-12,2475.0,2515.0,2465.0,2497.5,2469.506591796875,1458000
2019-02-13,2535.0,2625.0,2520.0,2585.0,2556.02587890625,1607400
2019-02-14,2635.0,2685.0,2530.0,2660.0,2630.185546875,1800800
2019-02-15,2635.0,2695.0,2600.0,2690.0,2659.84912109375,1180600
2019-02-18,2730.0,2760.0,2685.0,2720.0,2689.512939453125,977600
2019-02-19,2710.0,2735.0,2685.0,2695.0,2664.793212890625,1236400
2019-02-20,2695.0,2750.0,2685.0,2745.0,2714.232666015625,883400
2019-02-21,2775.0,2790.0,2715.0,2785.0,2753.784423828125,1250800
2019-02-22,2795.0,2820.0,2755.0,2815.0,2783.447998046875,1257200
2019-02-25,2850.0,2875.0,2800.0,2810.0,2778.504150390625,949000
2019-02-26,2780.0,2805.0,2720.0,2745.0,2714.232666015625,1440600
2019-02-27,2710.0,2720.0,2665.0,2680.0,2649.961181640625,1287000
2019-02-28,2655.0,2710.0,2630.0,2675.0,2645.01708984375,1427400
2019-03-01,2665.0,2725.0,2645.0,2685.0,2654.9052734375,1376400
2019-03-04,2705.0,2730.0,2670.0,2680.0,2649.961181640625,917800
2019-03-05,2635.0,2650.0,2600.0,2625.0,2595.57763671875,1272200
2019-03-06,2645.0,2675.0,2635.0,2650.0,2620.29736328125,936600
2019-03-07,2610.0,2625.0,2585.0,2600.0,2570.85791015625,731600
2019-03-08,2575.0,2590.0,2560.0,2560.0,2531.30615234375,930600
2019-03-11,2550.0,2565.0,2515.0,2525.0,2496.698486328125,771800
2019-03-12,2560.0,2580.0,2535.0,2565.0,2536.25,810800
2019-03-13,2545.0,2555.0,2510.0,2550.0,2521.418212890625,753600
2019-03-14,2530.0,2545.0,2475.0,2505.0,2476.922607421875,773000
2019-03-15,2477.5,2540.0,2472.5,2530.0,2501.642333984375,1336400
2019-03-18,2530.0,2570.0,2510.0,2555.0,2526.3623046875,473400
2019-03-19,2585.0,2585.0,2510.0,2560.0,2531.30615234375,719400
2019-03-20,2560.0,2560.0,2520.0,2550.0,2521.418212890625,606800
2019-03-22,2600.0,2625.0,2580.0,2585.0,2556.02587890625,659600
2019-03-25,2535.0,2550.0,2492.5,2510.0,2481.86669921875,840800
2019-03-26,2545.0,2580.0,2525.0,2565.0,2536.25,656800
2019-03-27,2615.0,2650.0,2605.0,2625.0,2595.57763671875,819000
2019-03-28,2625.0,2625.0,2560.0,2600.0,2570.85791015625,731000
2019-03-29,2620.0,2645.0,2570.0,2600.0,2570.85791015625,1071000
2019-04-01,2645.0,2660.0,2590.0,2595.0,2565.913818359375,561200
2019-04-02,2605.0,2625.0,2550.0,2565.0,2536.25,534000
2019-04-03,2560.0,2620.0,2530.0,2610.0,2580.745849609375,469400
2019-04-04,2620.0,2620.0,2580.0,2610.0,2580.745849609375,469600
2019-04-05,2615.0,2645.0,2605.0,2620.0,2590.633544921875,669800
2019-04-08,2600.0,2600.0,2535.0,2580.0,2551.08203125,659600
2019-04-09,2570.0,2580.0,2550.0,2565.0,2536.25,432000
2019-04-10,2540.0,2585.0,2540.0,2555.0,2526.3623046875,403600
2019-04-11,2550.0,2595.0,2550.0,2575.0,2546.13818359375,398600
2019-04-12,2580.0,2580.0,2535.0,2570.0,2541.1943359375,650200
2019-04-15,2605.0,2635.0,2585.0,2620.0,2590.633544921875,662600
2019-04-16,2635.0,2670.0,2615.0,2655.0,2625.2412109375,668800
2019-04-17,2660.0,2660.0,2610.0,2640.0,2610.409423828125,1002200
2019-04-18,2605.0,2610.0,2520.0,2530.0,2501.642333984375,1439800
2019-04-19,2505.0,2550.0,2480.0,2540.0,2511.530517578125,1220200
2019-04-22,2555.0,2575.0,2540.0,2570.0,2541.1943359375,714200
2019-04-23,2570.0,2655.0,2565.0,2645.0,2615.353515625,970600
2019-04-24,2665.0,2745.0,2660.0,2735.0,2704.3447265625,1544200
2019-04-25,2725.0,2745.0,2715.0,2735.0,2704.3447265625,966800
2019-04-26,2735.0,2820.0,2720.0,2805.0,2773.560302734375,1391200
2019-05-07,2825.0,2850.0,2805.0,2850.0,2818.0556640625,1206800
2019-05-08,2830.0,2855.0,2780.0,2795.0,2763.672119140625,1175200
2019-05-09,2780.0,2795.0,2715.0,2745.0,2714.232666015625,1215000
2019-05-10,2720.0,2760.0,2680.0,2730.0,2699.400634765625,1164000
2019-05-13,2730.0,2745.0,2695.0,2705.0,2674.680908203125,599400
2019-05-14,2630.0,2695.0,2625.0,2690.0,2659.84912109375,775400
2019-05-15,2725.0,2750.0,2695.0,2725.0,2694.456787109375,887400
2019-05-16,2825.0,2835.0,2745.0,2820.0,2788.391845703125,1470400
2019-05-17,2850.0,2925.0,2840.0,2895.0,2862.551513671875,994400
2019-05-20,2925.0,2940.0,2875.0,2885.0,2852.663330078125,704000
2019-05-21,2900.0,2910.0,2845.0,2890.0,2857.607177734375,790200
2019-05-22,2945.0,2945.0,2895.0,2905.0,2872.439208984375,1021400
2019-05-23,2930.0,2950.0,2900.0,2925.0,2892.215087890625,1140000
2019-05-24,2920.0,2995.0,2915.0,2995.0,2961.430419921875,1238400
2019-05-27,3060.0,3090.0,3025.0,3045.0,3010.8701171875,1312600
2019-05-28,3055.0,3080.0,3040.0,3080.0,3045.477783203125,759200
2019-05-29,2930.0,2965.0,2865.0,2870.0,2837.83154296875,1763400
2019-05-30,2800.0,2800.0,2755.0,2765.0,2734.00830078125,1685400
2019-05-31,2780.0,2810.0,2730.0,2780.0,2748.84033203125,1089600
2019-06-03,2730.0,2780.0,2705.0,2760.0,2729.064453125,682200
2019-06-04,2785.0,2790.0,2710.0,2780.0,2748.84033203125,1082800
2019-06-05,2835.0,2845.0,2745.0,2780.0,2748.84033203125,1030400
2019-06-06,2770.0,2770.0,2720.0,2730.0,2699.400634765625,703200
2019-06-07,2735.0,2755.0,2725.0,2740.0,2709.28857421875,571000
2019-06-10,2775.0,2805.0,2750.0,2805.0,2773.560302734375,511600
2019-06-11,2800.0,2810.0,2745.0,2755.0,2724.12060546875,629400
2019-06-12,2760.0,2810.0,2755.0,2790.0,2758.728271484375,665400
2019-06-13,2750.0,2770.0,2725.0,2730.0,2699.400634765625,789600
2019-06-14,2735.0,2755.0,2705.0,2750.0,2719.1767578125,852000
2019-06-17,2725.0,2735.0,2640.0,2645.0,2615.353515625,918000
2019-06-18,2600.0,2630.0,2535.0,2545.0,2516.474365234375,1323600
2019-06-19,2570.0,2600.0,2545.0,2600.0,2570.85791015625,1075000
2019-06-20,2610.0,2610.0,2585.0,2590.0,2560.969970703125,747600
2019-06-21,2595.0,2595.0,2555.0,2570.0,2541.1943359375,1320000
2019-06-24,2595.0,2620.0,2585.0,2615.0,2585.689697265625,629000
2019-06-25,2595.0,2615.0,2550.0,2570.0,2541.1943359375,736200
2019-06-26,2537.0,2556.0,2484.0,2533.0,2525.84765625,1192200
2019-06-27,2523.0,2575.0,2501.0,2574.0,2566.731689453125,903100
2019-06-28,2624.0,2662.0,2594.0,2654.0,2646.505859375,1418000
2019-07-01,2720.0,2724.0,2671.0,2702.0,2694.370361328125,1090800
2019-07-02,2737.0,2758.0,2716.0,2758.0,2750.212158203125,981600
2019-07-03,2744.0,2744.0,2665.0,2691.0,2683.4013671875,922900
2019-07-04,2707.0,2720.0,2689.0,2705.0,2697.36181640625,378000
2019-07-05,2723.0,2775.0,2706.0,2774.0,2766.1669921875,727200
2019-07-08,2774.0,2781.0,2713.0,2727.0,2719.2998046875,565600
2019-07-09,2721.0,2764.0,2707.0,2740.0,2732.262939453125,527400
2019-07-10,2717.0,2770.0,2688.0,2764.0,2756.1953125,554600
2019-07-11,2763.0,2777.0,2743.0,2759.0,2751.20947265625,490600
2019-07-12,2776.0,2798.0,2754.0,2798.0,2790.099365234375,621200
2019-07-16,2777.0,2783.0,2730.0,2762.0,2754.200927734375,645800
2019-07-17,2753.0,2789.0,2723.0,2740.0,2732.262939453125,769500
2019-07-18,2720.0,2727.0,2700.0,2708.0,2700.353271484375,627100
2019-07-19,2722.0,2814.0,2722.0,2806.0,2798.07666015625,677100
2019-07-22,2769.0,2775.0,2727.0,2761.0,2753.203857421875,459800
2019-07-23,2755.0,2825.0,2753.0,2799.0,2791.096435546875,642300
2019-07-24,2815.0,2829.0,2781.0,2818.0,2810.042724609375,474300
2019-07-25,2840.0,2894.0,2835.0,2884.0,2875.8564453125,757500
2019-07-26,2865.0,2893.0,2824.0,2830.0,2822.0087890625,715400
2019-07-29,2831.0,2915.0,2824.0,2913.0,2904.7744140625,790800
2019-07-30,2900.0,2923.0,2866.0,2905.0,2896.797119140625,794400
2019-07-31,2879.0,2897.0,2846.0,2870.0,2861.89599609375,820400
2019-08-01,2842.0,2927.0,2820.0,2923.0,2914.746337890625,658700
2019-08-02,2907.0,2958.0,2884.0,2931.0,2922.7236328125,1142700
2019-08-05,2877.0,2907.0,2817.0,2887.0,2878.847900390625,699500
2019-08-06,2768.0,2811.0,2759.0,2795.0,2787.107666015625,1160500
2019-08-07,2800.0,2851.0,2755.0,2850.0,2841.952392578125,675400
2019-08-08,2874.0,2909.0,2832.0,2853.0,2844.94384765625,730400
2019-08-09,2903.0,2924.0,2858.0,2876.0,2867.87890625,838600
2019-08-13,2626.0,2695.0,2561.0,2618.0,2610.607421875,2510500
2019-08-14,2642.0,2680.0,2596.0,2629.0,2621.576416015625,1261100
2019-08-15,2555.0,2561.0,2514.0,2555.0,2547.785400390625,1041200
2019-08-16,2573.0,2673.0,2564.0,2670.0,2662.460693359375,1365200
2019-08-19,2698.0,2700.0,2586.0,2612.0,2604.62451171875,852700
2019-08-20,2630.0,2631.0,2581.0,2615.0,2607.615966796875,1069600
2019-08-21,2622.0,2708.0,2593.0,2688.0,2680.409912109375,1333900
