Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1200.0,1223.0,1179.0,1215.0,1098.476318359375,28600
2019-01-07,1236.0,1265.0,1209.0,1235.0,1116.558349609375,38900
2019-01-08,1235.0,1248.0,1235.0,1242.0,1122.886962890625,17400
2019-01-09,1250.0,1266.0,1236.0,1254.0,1133.7359619140625,15000
2019-01-10,1251.0,1265.0,1245.0,1258.0,1137.3524169921875,10800
2019-01-11,1254.0,1265.0,1254.0,1254.0,1133.7359619140625,9000
2019-01-15,1258.0,1279.0,1258.0,1265.0,1143.6810302734375,19100
2019-01-16,1275.0,1298.0,1266.0,1278.0,1155.434326171875,16800
2019-01-17,1283.0,1293.0,1266.0,1286.0,1162.6671142578125,17900
2019-01-18,1280.0,1306.0,1280.0,1295.0,1170.803955078125,14300
2019-01-21,1309.0,1322.0,1301.0,1315.0,1188.885986328125,20600
2019-01-22,1315.0,1315.0,1268.0,1275.0,1152.7220458984375,32200
2019-01-23,1270.0,1270.0,1253.0,1255.0,1134.64013671875,13700
2019-01-24,1255.0,1255.0,1242.0,1253.0,1132.8319091796875,20100
2019-01-25,1242.0,1260.0,1242.0,1243.0,1123.791015625,16300
2019-01-28,1244.0,1244.0,1222.0,1231.0,1112.94189453125,22800
2019-01-29,1223.0,1239.0,1213.0,1237.0,1118.3663330078125,15000
2019-01-30,1237.0,1242.0,1212.0,1212.0,1095.763916015625,23400
2019-01-31,1227.0,1244.0,1218.0,1240.0,1121.0787353515625,21500
2019-02-01,1236.0,1258.0,1234.0,1245.0,1125.59912109375,24500
2019-02-04,1304.0,1353.0,1289.0,1346.0,1216.912841796875,54800
2019-02-05,1327.0,1364.0,1326.0,1354.0,1224.1456298828125,27400
2019-02-06,1356.0,1372.0,1355.0,1370.0,1238.611083984375,13400
2019-02-07,1370.0,1370.0,1331.0,1341.0,1212.392333984375,12900
2019-02-08,1329.0,1329.0,1304.0,1314.0,1187.98193359375,21200
2019-02-12,1331.0,1349.0,1331.0,1347.0,1217.81689453125,15600
2019-02-13,1347.0,1369.0,1327.0,1336.0,1207.871826171875,18800
2019-02-14,1335.0,1349.0,1312.0,1318.0,1191.59814453125,13900
2019-02-15,1319.0,1346.0,1319.0,1340.0,1211.48828125,7400
2019-02-18,1366.0,1380.0,1362.0,1371.0,1239.5152587890625,21500
2019-02-19,1371.0,1381.0,1355.0,1375.0,1243.131591796875,11300
2019-02-20,1374.0,1388.0,1352.0,1363.0,1232.282470703125,19600
2019-02-21,1370.0,1376.0,1350.0,1350.0,1220.5291748046875,18100
2019-02-22,1356.0,1356.0,1339.0,1346.0,1216.912841796875,7500
2019-02-25,1360.0,1360.0,1344.0,1351.0,1221.433349609375,6600
2019-02-26,1351.0,1352.0,1332.0,1350.0,1220.5291748046875,13300
2019-02-27,1343.0,1361.0,1343.0,1347.0,1217.81689453125,17300
2019-02-28,1352.0,1356.0,1335.0,1335.0,1206.9676513671875,22700
2019-03-01,1339.0,1350.0,1339.0,1348.0,1218.7210693359375,11000
2019-03-04,1349.0,1374.0,1349.0,1371.0,1239.5152587890625,13800
2019-03-05,1370.0,1378.0,1360.0,1374.0,1242.2275390625,10000
2019-03-06,1374.0,1374.0,1345.0,1355.0,1225.0498046875,18500
2019-03-07,1354.0,1355.0,1336.0,1343.0,1214.200439453125,12900
2019-03-08,1335.0,1335.0,1309.0,1326.0,1198.8309326171875,21900
2019-03-11,1326.0,1341.0,1318.0,1340.0,1211.48828125,9900
2019-03-12,1366.0,1368.0,1349.0,1362.0,1231.3782958984375,7600
2019-03-13,1360.0,1404.0,1336.0,1357.0,1226.85791015625,25900
2019-03-14,1366.0,1390.0,1363.0,1380.0,1247.652099609375,10300
2019-03-15,1376.0,1384.0,1368.0,1378.0,1245.8438720703125,13900
2019-03-18,1387.0,1408.0,1382.0,1401.0,1266.63818359375,16700
2019-03-19,1410.0,1414.0,1399.0,1407.0,1272.0626220703125,13500
2019-03-20,1410.0,1424.0,1401.0,1404.0,1269.3504638671875,15100
2019-03-22,1404.0,1416.0,1401.0,1411.0,1275.6790771484375,9100
2019-03-25,1411.0,1411.0,1380.0,1385.0,1252.1724853515625,18000
2019-03-26,1383.0,1410.0,1383.0,1396.0,1262.11767578125,15300
2019-03-27,1409.0,1429.0,1408.0,1422.0,1285.6241455078125,14300
2019-03-28,1420.0,1420.0,1385.0,1387.0,1253.980712890625,12300
2019-03-29,1382.0,1396.0,1377.0,1382.0,1249.460205078125,19500
2019-04-01,1398.0,1417.0,1397.0,1403.0,1268.4462890625,12000
2019-04-02,1409.0,1422.0,1406.0,1417.0,1281.1036376953125,10700
2019-04-03,1414.0,1441.0,1410.0,1429.0,1291.95263671875,11000
2019-04-04,1427.0,1447.0,1425.0,1433.0,1295.569091796875,9300
2019-04-05,1433.0,1446.0,1426.0,1446.0,1307.3223876953125,11600
2019-04-08,1446.0,1446.0,1433.0,1433.0,1295.569091796875,9500
2019-04-09,1445.0,1455.0,1441.0,1441.0,1302.802001953125,9300
2019-04-10,1443.0,1445.0,1435.0,1435.0,1297.377197265625,9000
2019-04-11,1442.0,1442.0,1424.0,1432.0,1294.6650390625,5200
2019-04-12,1437.0,1437.0,1404.0,1409.0,1273.870849609375,14300
2019-04-15,1411.0,1449.0,1411.0,1447.0,1308.2265625,16400
2019-04-16,1446.0,1446.0,1426.0,1433.0,1295.569091796875,8500
2019-04-17,1436.0,1449.0,1435.0,1438.0,1300.0897216796875,7700
2019-04-18,1436.0,1441.0,1420.0,1423.0,1286.5283203125,11000
2019-04-19,1425.0,1441.0,1425.0,1437.0,1299.185546875,5100
2019-04-22,1436.0,1450.0,1436.0,1439.0,1300.993896484375,11100
2019-04-23,1451.0,1457.0,1438.0,1455.0,1315.4593505859375,14200
2019-04-24,1455.0,1460.0,1435.0,1448.0,1309.1307373046875,13700
2019-04-25,1448.0,1469.0,1441.0,1461.0,1320.8837890625,14400
2019-04-26,1458.0,1464.0,1448.0,1457.0,1317.2674560546875,13800
2019-05-07,1445.0,1476.0,1445.0,1468.0,1327.2125244140625,14900
2019-05-08,1468.0,1468.0,1442.0,1448.0,1309.1307373046875,20400
2019-05-09,1441.0,1444.0,1411.0,1422.0,1285.6241455078125,22700
2019-05-10,1437.0,1455.0,1420.0,1420.0,1283.81591796875,11200
2019-05-13,1441.0,1441.0,1416.0,1419.0,1282.9117431640625,12900
2019-05-14,1410.0,1437.0,1400.0,1437.0,1299.185546875,21600
2019-05-15,1447.0,1461.0,1422.0,1456.0,1316.3634033203125,15400
2019-05-16,1464.0,1468.0,1437.0,1456.0,1316.3634033203125,10100
2019-05-17,1466.0,1467.0,1447.0,1463.0,1322.6920166015625,12200
2019-05-20,1472.0,1472.0,1448.0,1464.0,1323.59619140625,9000
2019-05-21,1461.0,1463.0,1449.0,1461.0,1320.8837890625,8300
2019-05-22,1464.0,1470.0,1451.0,1453.0,1313.6510009765625,11900
