Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,573.0,577.0,564.0,569.0,518.3682250976562,48900
2019-01-07,587.0,594.0,584.0,586.0,533.8555297851562,28200
2019-01-08,588.0,589.0,580.0,583.0,531.1223754882812,42700
2019-01-09,586.0,587.0,574.0,574.0,522.9232788085938,58800
2019-01-10,571.0,577.0,564.0,575.0,523.8343505859375,33500
2019-01-11,578.0,581.0,571.0,576.0,524.7453002929688,24800
2019-01-15,567.0,576.0,565.0,574.0,522.9232788085938,38900
2019-01-16,572.0,573.0,565.0,568.0,517.4571533203125,20900
2019-01-17,571.0,575.0,563.0,574.0,522.9232788085938,43800
2019-01-18,574.0,581.0,570.0,570.0,519.2792358398438,35000
2019-01-21,574.0,586.0,572.0,585.0,532.9445190429688,35600
2019-01-22,585.0,589.0,575.0,583.0,531.1223754882812,57000
2019-01-23,574.0,579.0,567.0,577.0,525.65625,53000
2019-01-24,574.0,581.0,570.0,578.0,526.5672607421875,38600
2019-01-25,583.0,586.0,572.0,573.0,522.0122680664062,39300
2019-01-28,572.0,579.0,570.0,573.0,522.0122680664062,29200
2019-01-29,573.0,585.0,570.0,580.0,528.389404296875,57300
2019-01-30,584.0,592.0,576.0,578.0,526.5672607421875,101400
2019-01-31,581.0,591.0,578.0,584.0,532.0335083007812,37600
2019-02-01,580.0,595.0,578.0,590.0,537.4996337890625,55700
2019-02-04,590.0,615.0,590.0,615.0,560.2750244140625,69100
2019-02-05,614.0,652.0,614.0,652.0,593.9825439453125,204000
2019-02-06,622.0,642.0,613.0,615.0,560.2750244140625,115000
2019-02-07,615.0,623.0,611.0,613.0,558.4529418945312,75400
2019-02-08,608.0,608.0,591.0,595.0,542.0546264648438,68800
2019-02-12,600.0,612.0,600.0,600.0,546.6097412109375,64000
2019-02-13,605.0,613.0,602.0,607.0,552.9867553710938,58900
2019-02-14,610.0,617.0,609.0,610.0,555.7199096679688,39600
2019-02-15,607.0,611.0,601.0,607.0,552.9867553710938,28200
2019-02-18,622.0,622.0,611.0,616.0,561.1859741210938,55800
2019-02-19,617.0,617.0,609.0,613.0,558.4529418945312,39000
2019-02-20,611.0,616.0,606.0,606.0,552.0758056640625,45600
2019-02-21,607.0,617.0,607.0,616.0,561.1859741210938,35900
2019-02-22,612.0,614.0,604.0,612.0,557.5418701171875,50600
2019-02-25,614.0,618.0,612.0,618.0,563.0079345703125,36900
2019-02-26,617.0,619.0,612.0,617.0,562.0969848632812,28800
2019-02-27,617.0,627.0,615.0,624.0,568.4739990234375,71000
2019-02-28,626.0,633.0,621.0,630.0,573.940185546875,72800
2019-03-01,629.0,629.0,622.0,626.0,570.296142578125,45500
2019-03-04,627.0,628.0,612.0,616.0,561.1859741210938,66900
2019-03-05,615.0,620.0,612.0,619.0,563.9190063476562,39000
2019-03-06,618.0,619.0,613.0,616.0,561.1859741210938,35500
2019-03-07,614.0,614.0,604.0,612.0,557.5418701171875,57000
2019-03-08,600.0,601.0,590.0,590.0,537.4996337890625,102600
2019-03-11,595.0,595.0,588.0,594.0,541.1435546875,26100
2019-03-12,603.0,619.0,603.0,618.0,563.0079345703125,32100
2019-03-13,617.0,619.0,604.0,609.0,554.808837890625,24300
2019-03-14,613.0,613.0,605.0,606.0,552.0758056640625,11200
2019-03-15,611.0,625.0,610.0,619.0,563.9190063476562,66300
2019-03-18,622.0,628.0,615.0,627.0,571.2071533203125,27100
2019-03-19,625.0,625.0,616.0,621.0,565.7410888671875,22200
2019-03-20,624.0,625.0,616.0,625.0,569.3851318359375,64700
2019-03-22,620.0,634.0,619.0,634.0,577.584228515625,91500
2019-03-25,632.0,632.0,602.0,607.0,552.9867553710938,86700
2019-03-26,651.0,653.0,633.0,645.0,587.6054077148438,119000
2019-03-27,628.0,628.0,619.0,628.0,587.6054077148438,42500
2019-03-28,621.0,622.0,613.0,614.0,574.5059204101562,35100
2019-03-29,611.0,615.0,600.0,600.0,561.4064331054688,54800
2019-04-01,612.0,624.0,610.0,621.0,581.0556640625,42900
2019-04-02,629.0,629.0,620.0,623.0,582.927001953125,15700
2019-04-03,623.0,628.0,619.0,627.0,586.6697387695312,19300
2019-04-04,626.0,639.0,625.0,631.0,590.4124755859375,47200
2019-04-05,634.0,636.0,626.0,632.0,591.3480834960938,31700
2019-04-08,635.0,635.0,622.0,625.0,584.79833984375,9900
2019-04-09,626.0,626.0,617.0,619.0,579.184326171875,20700
2019-04-10,619.0,630.0,618.0,629.0,588.5410766601562,20800
2019-04-11,630.0,632.0,628.0,629.0,588.5410766601562,22700
2019-04-12,632.0,633.0,628.0,632.0,591.3480834960938,40700
2019-04-15,639.0,648.0,638.0,642.0,600.7048950195312,66900
2019-04-16,643.0,643.0,628.0,631.0,590.4124755859375,21000
2019-04-17,639.0,654.0,637.0,652.0,610.0616455078125,143200
2019-04-18,655.0,657.0,647.0,651.0,609.1259765625,72200
2019-04-19,660.0,668.0,660.0,665.0,622.2254638671875,104300
2019-04-22,671.0,673.0,665.0,666.0,623.1611938476562,102700
2019-04-23,669.0,674.0,664.0,672.0,628.7752075195312,51900
2019-04-24,675.0,679.0,672.0,674.0,630.6466064453125,80600
2019-04-25,675.0,679.0,671.0,675.0,631.582275390625,95600
2019-04-26,669.0,677.0,657.0,671.0,627.8395385742188,95800
2019-05-07,674.0,679.0,667.0,667.0,624.0968017578125,74100
2019-05-08,653.0,655.0,640.0,648.0,606.3189697265625,115100
2019-05-09,642.0,674.0,642.0,649.0,607.2546997070312,137200
2019-05-10,649.0,654.0,638.0,638.0,596.9622192382812,90800
2019-05-13,631.0,637.0,617.0,617.0,577.3129272460938,83500
2019-05-14,598.0,614.0,586.0,614.0,574.5059204101562,104500
2019-05-15,618.0,618.0,597.0,600.0,561.4064331054688,98400
2019-05-16,597.0,597.0,572.0,589.0,551.1139526367188,172800
2019-05-17,594.0,604.0,591.0,599.0,560.4707641601562,89500
2019-05-20,600.0,607.0,597.0,601.0,562.3421020507812,92500
2019-05-21,606.0,615.0,606.0,612.0,572.6345825195312,52500
2019-05-22,616.0,626.0,615.0,619.0,579.184326171875,76800
2019-05-23,619.0,620.0,615.0,618.0,578.2487182617188,58600
2019-05-24,618.0,620.0,613.0,619.0,579.184326171875,96200
2019-05-27,619.0,622.0,616.0,619.0,579.184326171875,61200
2019-05-28,621.0,629.0,619.0,626.0,585.7340698242188,187600
2019-05-29,624.0,637.0,622.0,634.0,593.219482421875,122100
2019-05-30,630.0,638.0,630.0,637.0,596.0265502929688,37100
2019-05-31,634.0,644.0,631.0,633.0,592.2837524414062,114500
2019-06-03,627.0,630.0,625.0,627.0,586.6697387695312,49800
2019-06-04,627.0,634.0,626.0,634.0,593.219482421875,62000
2019-06-05,644.0,652.0,643.0,652.0,610.0616455078125,93300
2019-06-06,653.0,659.0,650.0,652.0,610.0616455078125,44800
2019-06-07,658.0,658.0,646.0,658.0,615.67578125,82600
2019-06-10,655.0,661.0,654.0,656.0,613.8043823242188,69800
2019-06-11,651.0,660.0,649.0,658.0,615.67578125,93100
2019-06-12,653.0,658.0,652.0,652.0,610.0616455078125,37900
2019-06-13,652.0,660.0,651.0,656.0,613.8043823242188,87700
2019-06-14,660.0,669.0,656.0,664.0,621.289794921875,154300
2019-06-17,666.0,670.0,663.0,664.0,621.289794921875,60700
2019-06-18,666.0,670.0,650.0,651.0,609.1259765625,63800
2019-06-19,660.0,665.0,654.0,665.0,622.2254638671875,55900
2019-06-20,670.0,670.0,662.0,663.0,620.3541259765625,68000
2019-06-21,667.0,667.0,633.0,636.0,595.0908203125,214400
2019-06-24,645.0,657.0,637.0,657.0,614.7401123046875,87600
2019-06-25,670.0,670.0,661.0,664.0,621.289794921875,68800
2019-06-26,658.0,663.0,652.0,652.0,610.0616455078125,52300
2019-06-27,656.0,665.0,655.0,665.0,622.2254638671875,47300
2019-06-28,665.0,678.0,665.0,673.0,629.7108764648438,100800
2019-07-01,682.0,691.0,682.0,689.0,644.6817626953125,109700
2019-07-02,693.0,714.0,693.0,708.0,662.4595947265625,119400
2019-07-03,708.0,724.0,706.0,709.0,663.3953247070312,93600
2019-07-04,711.0,718.0,698.0,709.0,663.3953247070312,54400
2019-07-05,705.0,708.0,686.0,691.0,646.5530395507812,89100
2019-07-08,685.0,688.0,676.0,676.0,632.5179443359375,78600
2019-07-09,678.0,683.0,659.0,662.0,619.41845703125,84200
2019-07-10,655.0,661.0,649.0,656.0,613.8043823242188,88600
2019-07-11,662.0,670.0,656.0,664.0,621.289794921875,110300
2019-07-12,665.0,677.0,661.0,668.0,625.0325317382812,92900
2019-07-16,673.0,679.0,665.0,678.0,634.3892822265625,55900
2019-07-17,688.0,706.0,687.0,698.0,653.1029052734375,168200
2019-07-18,697.0,699.0,674.0,677.0,633.4536743164062,187300
2019-07-19,684.0,709.0,677.0,708.0,662.4595947265625,183500
2019-07-22,712.0,714.0,684.0,687.0,642.8104248046875,225000
2019-07-23,692.0,700.0,683.0,688.0,643.7460327148438,114400
2019-07-24,691.0,691.0,678.0,683.0,639.0676879882812,88600
2019-07-25,703.0,703.0,692.0,699.0,654.0385131835938,113000
