Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2265.0,2265.0,2202.0,2230.0,2230.0,48700
2019-01-07,2252.0,2303.0,2213.0,2230.0,2230.0,55600
2019-01-08,2233.0,2287.0,2233.0,2270.0,2270.0,24800
2019-01-09,2298.0,2299.0,2248.0,2254.0,2254.0,19700
2019-01-10,2238.0,2261.0,2236.0,2237.0,2237.0,28600
2019-01-11,2238.0,2238.0,2186.0,2196.0,2196.0,21500
2019-01-15,2166.0,2198.0,2143.0,2165.0,2165.0,39100
2019-01-16,2171.0,2174.0,2139.0,2156.0,2156.0,19000
2019-01-17,2147.0,2197.0,2145.0,2197.0,2197.0,8800
2019-01-18,2200.0,2227.0,2190.0,2205.0,2205.0,13300
2019-01-21,2195.0,2195.0,2130.0,2143.0,2143.0,15600
2019-01-22,2163.0,2163.0,2115.0,2139.0,2139.0,15300
2019-01-23,2117.0,2138.0,2117.0,2123.0,2123.0,7000
2019-01-24,2123.0,2134.0,2107.0,2119.0,2119.0,6000
2019-01-25,2149.0,2150.0,2130.0,2150.0,2150.0,6800
2019-01-28,2140.0,2159.0,2115.0,2144.0,2144.0,18000
2019-01-29,2140.0,2168.0,2118.0,2166.0,2166.0,13100
2019-01-30,2145.0,2164.0,2135.0,2144.0,2144.0,10700
2019-01-31,2169.0,2169.0,2118.0,2129.0,2129.0,18200
2019-02-01,2160.0,2160.0,2110.0,2121.0,2121.0,9100
2019-02-04,2110.0,2120.0,2066.0,2096.0,2096.0,24300
2019-02-05,2085.0,2091.0,2063.0,2072.0,2072.0,9600
2019-02-06,2061.0,2090.0,2061.0,2070.0,2070.0,11400
2019-02-07,2090.0,2100.0,2003.0,2029.0,2029.0,38500
2019-02-08,2006.0,2035.0,2006.0,2031.0,2031.0,13300
2019-02-12,2030.0,2099.0,2029.0,2055.0,2055.0,9700
2019-02-13,2058.0,2114.0,2040.0,2077.0,2077.0,21700
2019-02-14,1980.0,2037.0,1951.0,2002.0,2002.0,103300
2019-02-15,2002.0,2039.0,1990.0,2015.0,2015.0,25200
2019-02-18,2003.0,2013.0,1971.0,1992.0,1992.0,21500
2019-02-19,1990.0,2038.0,1988.0,1992.0,1992.0,21300
2019-02-20,1998.0,2020.0,1994.0,2020.0,2020.0,11000
2019-02-21,2023.0,2140.0,2023.0,2138.0,2138.0,34000
2019-02-22,2163.0,2298.0,2141.0,2154.0,2154.0,64500
2019-02-25,2149.0,2149.0,2054.0,2061.0,2061.0,39100
2019-02-26,2059.0,2101.0,2031.0,2033.0,2033.0,18900
2019-02-27,2040.0,2050.0,2022.0,2036.0,2036.0,8900
2019-02-28,2049.0,2049.0,2012.0,2014.0,2014.0,7900
2019-03-01,2015.0,2030.0,1998.0,1998.0,1998.0,10300
2019-03-04,2004.0,2008.0,1991.0,2000.0,2000.0,16500
2019-03-05,2001.0,2028.0,1997.0,2009.0,2009.0,13100
2019-03-06,2010.0,2026.0,2000.0,2026.0,2026.0,4700
2019-03-07,2030.0,2030.0,2003.0,2012.0,2012.0,7200
2019-03-08,2002.0,2016.0,1974.0,1976.0,1976.0,18800
2019-03-11,1972.0,1973.0,1915.0,1955.0,1955.0,25500
2019-03-12,1943.0,1955.0,1930.0,1943.0,1943.0,8600
2019-03-13,1930.0,1973.0,1930.0,1953.0,1953.0,12500
2019-03-14,1970.0,1970.0,1955.0,1965.0,1965.0,2800
2019-03-15,1975.0,2039.0,1970.0,1970.0,1970.0,15500
2019-03-18,1970.0,2000.0,1970.0,1992.0,1992.0,4400
2019-03-19,2001.0,2003.0,1984.0,2003.0,2003.0,6800
2019-03-20,1990.0,2010.0,1986.0,1988.0,1988.0,7500
2019-03-22,2000.0,2008.0,1988.0,1988.0,1988.0,5100
2019-03-25,1959.0,1994.0,1886.0,1908.0,1908.0,46100
2019-03-26,1896.0,1935.0,1868.0,1894.0,1894.0,28600
2019-03-27,1890.0,1892.0,1870.0,1870.0,1870.0,15900
2019-03-28,1875.0,1881.0,1853.0,1860.0,1860.0,13200
2019-03-29,1860.0,1881.0,1819.0,1819.0,1819.0,22800
2019-04-01,1801.0,1831.0,1792.0,1810.0,1810.0,10200
2019-04-02,1810.0,1824.0,1799.0,1800.0,1800.0,7500
2019-04-03,1795.0,1795.0,1765.0,1770.0,1770.0,26600
2019-04-04,1755.0,1767.0,1746.0,1761.0,1761.0,8100
2019-04-05,1744.0,1794.0,1735.0,1775.0,1775.0,13100
2019-04-08,1800.0,1803.0,1777.0,1777.0,1777.0,4400
2019-04-09,1798.0,1798.0,1759.0,1760.0,1760.0,3500
2019-04-10,1746.0,1763.0,1746.0,1760.0,1760.0,8100
2019-04-11,1748.0,1748.0,1737.0,1740.0,1740.0,5700
2019-04-12,1733.0,1735.0,1716.0,1716.0,1716.0,10300
2019-04-15,1710.0,1725.0,1702.0,1716.0,1716.0,6800
2019-04-16,1716.0,1718.0,1705.0,1707.0,1707.0,9300
2019-04-17,1705.0,1709.0,1684.0,1687.0,1687.0,14400
2019-04-18,1683.0,1684.0,1631.0,1631.0,1631.0,20700
2019-04-19,1601.0,1609.0,1561.0,1567.0,1567.0,43600
2019-04-22,1575.0,1651.0,1570.0,1619.0,1619.0,40500
2019-04-23,1603.0,1647.0,1577.0,1580.0,1580.0,24900
2019-04-24,1567.0,1574.0,1539.0,1547.0,1547.0,20300
2019-04-25,1533.0,1540.0,1508.0,1536.0,1536.0,27100
2019-04-26,1536.0,1550.0,1534.0,1539.0,1539.0,12500
2019-05-07,1513.0,1573.0,1512.0,1536.0,1536.0,25700
2019-05-08,1537.0,1557.0,1533.0,1540.0,1540.0,8600
2019-05-09,1511.0,1523.0,1478.0,1498.0,1498.0,28000
2019-05-10,1480.0,1540.0,1470.0,1530.0,1530.0,24000
2019-05-13,1530.0,1539.0,1507.0,1520.0,1520.0,18700
2019-05-14,1391.0,1410.0,1341.0,1350.0,1350.0,61000
2019-05-15,1368.0,1415.0,1349.0,1400.0,1400.0,23100
2019-05-16,1390.0,1415.0,1351.0,1363.0,1363.0,18800
2019-05-17,1363.0,1406.0,1363.0,1375.0,1375.0,17700
2019-05-20,1380.0,1380.0,1323.0,1326.0,1326.0,15700
2019-05-21,1300.0,1315.0,1249.0,1249.0,1249.0,40500
2019-05-22,1205.0,1262.0,1198.0,1200.0,1200.0,63900
2019-05-23,1198.0,1208.0,1160.0,1168.0,1168.0,46400
2019-05-24,1132.0,1172.0,1130.0,1152.0,1152.0,39400
2019-05-27,1155.0,1160.0,1118.0,1122.0,1122.0,39800
2019-05-28,1119.0,1232.0,1116.0,1196.0,1196.0,82800
2019-05-29,1166.0,1180.0,1152.0,1155.0,1155.0,33700
2019-05-30,1156.0,1249.0,1136.0,1198.0,1198.0,30900
2019-05-31,1181.0,1195.0,1166.0,1167.0,1167.0,30400
2019-06-03,1137.0,1148.0,1110.0,1138.0,1138.0,32300
2019-06-04,1138.0,1139.0,1081.0,1105.0,1105.0,54000
2019-06-05,1135.0,1178.0,1115.0,1150.0,1150.0,51400
2019-06-06,1120.0,1214.0,1107.0,1183.0,1183.0,64700
2019-06-07,1174.0,1271.0,1174.0,1239.0,1239.0,43500
2019-06-10,1250.0,1278.0,1219.0,1230.0,1230.0,34700
2019-06-11,1221.0,1221.0,1204.0,1214.0,1214.0,11600
2019-06-12,1203.0,1215.0,1200.0,1207.0,1207.0,8400
2019-06-13,1207.0,1207.0,1173.0,1186.0,1186.0,15800
2019-06-14,1182.0,1183.0,1169.0,1179.0,1179.0,8000
2019-06-17,1179.0,1179.0,1154.0,1175.0,1175.0,7400
2019-06-18,1161.0,1161.0,1107.0,1111.0,1111.0,65300
2019-06-19,1111.0,1139.0,1111.0,1137.0,1137.0,15200
2019-06-20,1148.0,1175.0,1145.0,1156.0,1156.0,14200
2019-06-21,1156.0,1175.0,1156.0,1163.0,1163.0,6300
2019-06-24,1149.0,1153.0,1126.0,1132.0,1132.0,8800
2019-06-25,1133.0,1146.0,1111.0,1120.0,1120.0,9900
2019-06-26,1101.0,1114.0,1095.0,1101.0,1101.0,11200
2019-06-27,1103.0,1143.0,1103.0,1138.0,1138.0,10000
2019-06-28,1140.0,1148.0,1125.0,1136.0,1136.0,9500
2019-07-01,1145.0,1160.0,1144.0,1151.0,1151.0,7200
2019-07-02,1151.0,1197.0,1140.0,1195.0,1195.0,20200
2019-07-03,1195.0,1207.0,1172.0,1205.0,1205.0,13200
2019-07-04,1205.0,1243.0,1205.0,1235.0,1235.0,19300
2019-07-05,1237.0,1294.0,1236.0,1294.0,1294.0,32800
2019-07-08,1318.0,1338.0,1286.0,1312.0,1312.0,42200
2019-07-09,1299.0,1299.0,1265.0,1284.0,1284.0,27400
2019-07-10,1272.0,1272.0,1245.0,1268.0,1268.0,14400
2019-07-11,1290.0,1290.0,1252.0,1261.0,1261.0,4900
2019-07-12,1249.0,1258.0,1232.0,1251.0,1251.0,24700
2019-07-16,1238.0,1247.0,1217.0,1236.0,1236.0,11000
2019-07-17,1244.0,1312.0,1244.0,1312.0,1312.0,29000
2019-07-18,1328.0,1334.0,1286.0,1333.0,1333.0,45200
2019-07-19,1333.0,1333.0,1272.0,1282.0,1282.0,20800
2019-07-22,1268.0,1271.0,1226.0,1232.0,1232.0,19000
2019-07-23,1233.0,1269.0,1233.0,1266.0,1266.0,8700
2019-07-24,1269.0,1274.0,1234.0,1234.0,1234.0,8500
2019-07-25,1227.0,1247.0,1222.0,1224.0,1224.0,9100
2019-07-26,1220.0,1224.0,1200.0,1224.0,1224.0,21900
2019-07-29,1224.0,1257.0,1222.0,1257.0,1257.0,10500
2019-07-30,1239.0,1252.0,1235.0,1252.0,1252.0,9400
2019-07-31,1241.0,1270.0,1240.0,1270.0,1270.0,7700
2019-08-01,1213.0,1257.0,1211.0,1229.0,1229.0,11100
2019-08-02,1202.0,1228.0,1202.0,1216.0,1216.0,12500
2019-08-05,1203.0,1213.0,1160.0,1200.0,1200.0,20700
2019-08-06,1188.0,1204.0,1133.0,1197.0,1197.0,12900
2019-08-07,1137.0,1186.0,1134.0,1171.0,1171.0,26100
2019-08-08,1152.0,1197.0,1152.0,1197.0,1197.0,10900
2019-08-09,1149.0,1149.0,1065.0,1070.0,1070.0,84100
2019-08-13,1016.0,1034.0,971.0,976.0,976.0,133800
2019-08-14,968.0,985.0,965.0,970.0,970.0,38700
2019-08-15,960.0,985.0,959.0,985.0,985.0,14800
2019-08-16,980.0,980.0,967.0,970.0,970.0,18600
2019-08-19,967.0,992.0,966.0,979.0,979.0,18500
2019-08-20,984.0,986.0,972.0,977.0,977.0,12800
2019-08-21,978.0,984.0,976.0,984.0,984.0,5300
2019-08-22,979.0,992.0,979.0,991.0,991.0,15800
2019-08-23,977.0,978.0,932.0,934.0,934.0,81200
2019-08-26,900.0,925.0,891.0,923.0,923.0,36600
2019-08-27,931.0,962.0,920.0,962.0,962.0,21900
2019-08-28,965.0,972.0,945.0,955.0,955.0,22000
2019-08-29,957.0,963.0,935.0,945.0,945.0,27700
2019-08-30,945.0,964.0,939.0,945.0,945.0,19300
2019-09-02,941.0,946.0,937.0,939.0,939.0,7300
2019-09-03,944.0,944.0,922.0,927.0,927.0,11800
2019-09-04,927.0,945.0,909.0,941.0,941.0,20600
2019-09-05,942.0,991.0,942.0,977.0,977.0,44500
2019-09-06,985.0,985.0,965.0,978.0,978.0,13800
2019-09-09,974.0,995.0,942.0,994.0,994.0,14600
2019-09-10,994.0,1035.0,967.0,967.0,967.0,50600
2019-09-11,961.0,1014.0,960.0,1002.0,1002.0,22800
2019-09-12,1000.0,1022.0,993.0,1022.0,1022.0,16100
2019-09-13,1011.0,1018.0,1006.0,1007.0,1007.0,6700
2019-09-17,993.0,995.0,969.0,986.0,986.0,18500
2019-09-18,999.0,999.0,986.0,999.0,999.0,7700
2019-09-19,997.0,1005.0,995.0,997.0,997.0,6900
2019-09-20,1008.0,1038.0,1007.0,1038.0,1038.0,20900
2019-09-24,1020.0,1039.0,1015.0,1015.0,1015.0,21900
2019-09-25,1000.0,1012.0,981.0,996.0,996.0,20500
2019-09-26,993.0,1020.0,991.0,995.0,995.0,15400
2019-09-27,988.0,999.0,983.0,988.0,988.0,9600
2019-09-30,988.0,1006.0,985.0,988.0,988.0,15500
2019-10-01,990.0,1019.0,984.0,991.0,991.0,18200
2019-10-02,991.0,1000.0,983.0,983.0,983.0,14600
2019-10-03,968.0,1005.0,962.0,982.0,982.0,20600
2019-10-04,979.0,990.0,968.0,989.0,989.0,11600
2019-10-07,992.0,998.0,981.0,992.0,992.0,10700
2019-10-08,990.0,1015.0,989.0,1013.0,1013.0,18100
2019-10-09,1000.0,1011.0,993.0,998.0,998.0,8200
2019-10-10,999.0,1010.0,972.0,972.0,972.0,27500
2019-10-11,977.0,980.0,975.0,977.0,977.0,13200
2019-10-15,970.0,982.0,970.0,973.0,973.0,13400
2019-10-16,982.0,996.0,977.0,989.0,989.0,25000
2019-10-17,989.0,990.0,971.0,971.0,971.0,11100
2019-10-18,970.0,988.0,970.0,981.0,981.0,11300
2019-10-21,975.0,989.0,972.0,977.0,977.0,13100
