Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,462.0,469.0,452.0,465.0,465.0,1947200
2019-01-07,481.0,508.0,480.0,500.0,500.0,1432400
2019-01-08,501.0,526.0,500.0,509.0,509.0,1276300
2019-01-09,505.0,517.0,503.0,509.0,509.0,989500
2019-01-10,509.0,544.0,508.0,539.0,539.0,1655500
2019-01-11,538.0,540.0,510.0,520.0,520.0,1279100
2019-01-15,518.0,541.0,512.0,532.0,532.0,802700
2019-01-16,550.0,557.0,539.0,542.0,542.0,956000
2019-01-17,547.0,550.0,529.0,538.0,538.0,661900
2019-01-18,542.0,613.0,537.0,591.0,591.0,2776400
2019-01-21,625.0,625.0,554.0,560.0,560.0,3152700
2019-01-22,573.0,581.0,558.0,569.0,569.0,984600
2019-01-23,574.0,657.0,572.0,611.0,611.0,6116000
2019-01-24,640.0,702.0,623.0,674.0,674.0,6720100
2019-01-25,711.0,774.0,708.0,774.0,774.0,10180200
2019-01-28,804.0,838.0,672.0,674.0,674.0,13395000
2019-01-29,684.0,719.0,631.0,638.0,638.0,8198000
2019-01-30,629.0,657.0,604.0,627.0,627.0,4832500
2019-01-31,646.0,699.0,635.0,693.0,693.0,5061900
2019-02-01,713.0,724.0,678.0,695.0,695.0,4036700
2019-02-04,701.0,718.0,681.0,707.0,707.0,2320100
2019-02-05,713.0,768.0,711.0,731.0,731.0,5040200
2019-02-06,754.0,763.0,745.0,756.0,756.0,2230800
2019-02-07,752.0,755.0,696.0,721.0,721.0,2754000
2019-02-08,697.0,712.0,688.0,695.0,695.0,1857100
2019-02-12,694.0,713.0,673.0,701.0,701.0,1976600
2019-02-13,744.0,744.0,713.0,714.0,714.0,2246500
2019-02-14,714.0,724.0,688.0,699.0,699.0,1556600
2019-02-15,709.0,725.0,695.0,704.0,704.0,1702700
2019-02-18,718.0,729.0,702.0,705.0,705.0,2058200
2019-02-19,710.0,738.0,705.0,725.0,725.0,2026500
2019-02-20,734.0,764.0,731.0,755.0,755.0,2364600
2019-02-21,753.0,753.0,735.0,749.0,749.0,1258700
2019-02-22,744.0,747.0,734.0,737.0,737.0,898100
2019-02-25,734.0,740.0,715.0,715.0,715.0,1325300
2019-02-26,715.0,715.0,683.0,692.0,692.0,1788400
2019-02-27,692.0,702.0,684.0,686.0,686.0,1233800
2019-02-28,683.0,683.0,655.0,656.0,656.0,1702600
2019-03-01,656.0,671.0,640.0,644.0,644.0,1417500
2019-03-04,649.0,653.0,640.0,643.0,643.0,1209600
2019-03-05,641.0,673.0,640.0,670.0,670.0,1226400
2019-03-06,665.0,681.0,660.0,671.0,671.0,988500
2019-03-07,667.0,674.0,644.0,658.0,658.0,1010100
2019-03-08,658.0,673.0,652.0,659.0,659.0,1183100
2019-03-11,663.0,673.0,650.0,668.0,668.0,518600
2019-03-12,673.0,712.0,673.0,704.0,704.0,1746500
2019-03-13,707.0,726.0,691.0,716.0,716.0,1457300
2019-03-14,730.0,736.0,700.0,704.0,704.0,965400
2019-03-15,708.0,725.0,698.0,704.0,704.0,1105600
2019-03-18,713.0,731.0,704.0,710.0,710.0,703000
2019-03-19,720.0,721.0,700.0,711.0,711.0,844100
2019-03-20,713.0,728.0,712.0,724.0,724.0,1066000
2019-03-22,721.0,730.0,717.0,725.0,725.0,971600
2019-03-25,706.0,722.0,702.0,714.0,714.0,980400
2019-03-26,730.0,730.0,709.0,717.0,717.0,721700
2019-03-27,714.0,724.0,712.0,716.0,716.0,543300
2019-03-28,709.0,709.0,681.0,698.0,698.0,855400
2019-03-29,696.0,699.0,683.0,684.0,684.0,656800
2019-04-01,690.0,695.0,673.0,676.0,676.0,898500
2019-04-02,669.0,672.0,656.0,665.0,665.0,680400
2019-04-03,662.0,690.0,662.0,674.0,674.0,663700
2019-04-04,670.0,679.0,670.0,671.0,671.0,359800
2019-04-05,671.0,688.0,671.0,680.0,680.0,780200
2019-04-08,678.0,688.0,677.0,683.0,683.0,489400
2019-04-09,684.0,687.0,670.0,682.0,682.0,536600
2019-04-10,675.0,686.0,674.0,679.0,679.0,320100
2019-04-11,681.0,683.0,676.0,678.0,678.0,471800
2019-04-12,676.0,688.0,660.0,684.0,684.0,1381600
2019-04-15,694.0,718.0,685.0,689.0,689.0,1786400
2019-04-16,695.0,736.0,690.0,716.0,716.0,1909900
2019-04-17,731.0,745.0,723.0,726.0,726.0,1465300
2019-04-18,741.0,741.0,701.0,707.0,707.0,1117000
2019-04-19,710.0,719.0,697.0,708.0,708.0,657000
2019-04-22,714.0,727.0,705.0,709.0,709.0,572300
2019-04-23,710.0,711.0,697.0,703.0,703.0,494900
2019-04-24,708.0,711.0,698.0,699.0,699.0,458300
2019-04-25,701.0,707.0,688.0,700.0,700.0,687000
2019-04-26,694.0,708.0,683.0,698.0,698.0,772200
2019-05-07,692.0,693.0,677.0,682.0,682.0,1310600
2019-05-08,670.0,683.0,662.0,675.0,675.0,836700
2019-05-09,677.0,678.0,653.0,653.0,653.0,853800
2019-05-10,650.0,654.0,640.0,647.0,647.0,1227300
2019-05-13,642.0,643.0,618.0,619.0,619.0,1086600
2019-05-14,591.0,620.0,587.0,613.0,613.0,1151000
2019-05-15,620.0,647.0,611.0,647.0,647.0,818400
2019-05-16,590.0,635.0,587.0,633.0,633.0,1115800
2019-05-17,632.0,653.0,626.0,650.0,650.0,654100
2019-05-20,650.0,662.0,640.0,650.0,650.0,532200
2019-05-21,642.0,649.0,629.0,631.0,631.0,827400
2019-05-22,637.0,646.0,626.0,637.0,637.0,480900
2019-05-23,631.0,643.0,623.0,624.0,624.0,432800
2019-05-24,616.0,625.0,607.0,619.0,619.0,483100
2019-05-27,620.0,635.0,620.0,625.0,625.0,318700
2019-05-28,626.0,637.0,625.0,629.0,629.0,521300
2019-05-29,631.0,635.0,617.0,621.0,621.0,435900
2019-05-30,605.0,613.0,588.0,590.0,590.0,1348100
2019-05-31,590.0,593.0,575.0,578.0,578.0,902200
2019-06-03,575.0,575.0,541.0,545.0,545.0,1153600
2019-06-04,548.0,554.0,531.0,542.0,542.0,1077400
2019-06-05,560.0,563.0,549.0,560.0,560.0,637600
2019-06-06,552.0,559.0,541.0,541.0,541.0,652200
2019-06-07,545.0,550.0,542.0,542.0,542.0,339800
2019-06-10,552.0,556.0,548.0,553.0,553.0,503400
2019-06-11,551.0,563.0,547.0,558.0,558.0,516100
2019-06-12,564.0,578.0,558.0,577.0,577.0,441600
2019-06-13,579.0,580.0,568.0,569.0,569.0,429000
2019-06-14,589.0,589.0,573.0,578.0,578.0,350100
2019-06-17,580.0,583.0,567.0,580.0,580.0,389200
2019-06-18,582.0,605.0,581.0,582.0,582.0,653600
2019-06-19,590.0,593.0,581.0,587.0,587.0,421300
2019-06-20,591.0,595.0,584.0,592.0,592.0,373500
