Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2160.0,2184.0,2121.0,2136.0,1955.8681640625,131800
2019-01-07,2275.0,2288.0,2175.0,2176.0,1992.4949951171875,139700
2019-01-08,2226.0,2243.0,2213.0,2232.0,2043.7720947265625,138400
2019-01-09,2235.0,2236.0,2206.0,2233.0,2044.6883544921875,109900
2019-01-10,2206.0,2218.0,2170.0,2210.0,2023.6275634765625,117000
2019-01-11,2233.0,2236.0,2175.0,2184.0,1999.820068359375,124000
2019-01-15,2137.0,2228.0,2128.0,2219.0,2031.86865234375,227100
2019-01-16,2220.0,2255.0,2201.0,2203.0,2017.2181396484375,83200
2019-01-17,2214.0,2227.0,2194.0,2199.0,2013.55517578125,94200
2019-01-18,2193.0,2242.0,2191.0,2221.0,2033.699951171875,75800
2019-01-21,2242.0,2252.0,2226.0,2248.0,2058.423095703125,108200
2019-01-22,2348.0,2386.0,2267.0,2273.0,2081.314697265625,183300
2019-01-23,2238.0,2329.0,2227.0,2307.0,2112.447509765625,230200
2019-01-24,2284.0,2379.0,2278.0,2357.0,2158.23095703125,252600
2019-01-25,2354.0,2420.0,2354.0,2398.0,2195.7734375,148800
2019-01-28,2413.0,2468.0,2401.0,2401.0,2198.520263671875,172900
2019-01-29,2407.0,2429.0,2379.0,2421.0,2216.833740234375,108400
2019-01-30,2407.0,2414.0,2374.0,2390.0,2188.447998046875,126200
2019-01-31,2434.0,2450.0,2400.0,2400.0,2197.604736328125,87800
2019-02-01,2403.0,2407.0,2372.0,2390.0,2188.447998046875,175200
2019-02-04,2540.0,2592.0,2502.0,2523.0,2310.23193359375,298500
2019-02-05,2564.0,2610.0,2557.0,2594.0,2375.244384765625,210000
2019-02-06,2571.0,2593.0,2522.0,2531.0,2317.557373046875,242800
2019-02-07,2539.0,2549.0,2502.0,2511.0,2299.244140625,128600
2019-02-08,2470.0,2496.0,2455.0,2485.0,2275.436279296875,100900
2019-02-12,2492.0,2517.0,2465.0,2510.0,2298.328369140625,102900
2019-02-13,2550.0,2550.0,2502.0,2514.0,2301.990478515625,82300
