Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,302.0,306.0,288.0,303.0,295.05419921875,3108100
2019-01-07,313.0,320.0,305.0,305.0,297.0017395019531,3152800
2019-01-08,313.0,324.0,312.0,318.0,309.66082763671875,4561900
2019-01-09,317.0,317.0,306.0,308.0,299.9230651855469,2780000
2019-01-10,312.0,323.0,312.0,315.0,306.739501953125,3226500
2019-01-11,315.0,321.0,310.0,317.0,308.68707275390625,2593100
2019-01-15,315.0,321.0,314.0,319.0,310.6346130371094,1719300
2019-01-16,322.0,325.0,311.0,313.0,304.7919616699219,2867400
2019-01-17,319.0,320.0,286.0,293.0,285.3164367675781,10879900
2019-01-18,295.0,358.0,295.0,344.0,334.9790344238281,27309400
2019-01-21,349.0,363.0,331.0,359.0,349.5856628417969,17261800
2019-01-22,357.0,362.0,332.0,338.0,329.1363525390625,9672600
2019-01-23,338.0,338.0,327.0,336.0,327.1888122558594,4456200
2019-01-24,334.0,338.0,331.0,337.0,328.16259765625,2058200
2019-01-25,331.0,334.0,329.0,332.0,323.293701171875,2662600
2019-01-28,333.0,337.0,327.0,331.0,322.3199157714844,2339000
2019-01-29,332.0,336.0,324.0,334.0,325.24127197265625,2559900
2019-01-30,335.0,335.0,327.0,327.0,318.4248352050781,2195100
2019-01-31,332.0,343.0,327.0,330.0,321.3461608886719,2692900
2019-02-01,328.0,335.0,322.0,324.0,315.5035095214844,2173100
2019-02-04,330.0,345.0,329.0,345.0,335.9527893066406,4722600
2019-02-05,346.0,360.0,341.0,359.0,349.5856628417969,4794100
2019-02-06,380.0,393.0,341.0,342.0,333.0314636230469,10146300
2019-02-07,343.0,344.0,330.0,336.0,327.1888122558594,3207100
2019-02-08,330.0,333.0,323.0,325.0,316.4772644042969,3392000
2019-02-12,325.0,330.0,316.0,328.0,319.3985900878906,2333500
2019-02-13,326.0,343.0,314.0,323.0,314.52972412109375,6867600
2019-02-14,311.0,312.0,292.0,297.0,289.2115478515625,7642300
2019-02-15,297.0,298.0,290.0,298.0,290.185302734375,3051800
2019-02-18,301.0,302.0,294.0,301.0,293.10662841796875,3223900
2019-02-19,299.0,300.0,294.0,298.0,290.185302734375,2520700
2019-02-20,300.0,315.0,298.0,309.0,300.8968505859375,3736400
2019-02-21,308.0,309.0,300.0,308.0,299.9230651855469,2606700
2019-02-22,302.0,306.0,302.0,304.0,296.0279846191406,2138300
2019-02-25,304.0,310.0,302.0,310.0,301.8706359863281,1654600
2019-02-26,312.0,313.0,305.0,307.0,298.9493103027344,1435500
2019-02-27,314.0,331.0,313.0,321.0,312.5821533203125,6167000
2019-02-28,323.0,325.0,308.0,309.0,300.8968505859375,3346100
2019-03-01,315.0,323.0,309.0,312.0,303.81817626953125,2344600
2019-03-04,315.0,317.0,310.0,315.0,306.739501953125,1765200
2019-03-05,316.0,317.0,311.0,315.0,306.739501953125,1248300
2019-03-06,312.0,313.0,308.0,308.0,299.9230651855469,2121800
2019-03-07,305.0,306.0,297.0,301.0,293.10662841796875,2778800
2019-03-08,296.0,297.0,289.0,290.0,282.3951110839844,3639700
2019-03-11,286.0,287.0,267.0,278.0,270.70977783203125,5926500
2019-03-12,289.0,291.0,279.0,283.0,275.57867431640625,2202000
2019-03-13,282.0,290.0,274.0,276.0,268.7622375488281,2903900
2019-03-14,278.0,283.0,276.0,281.0,273.631103515625,1398100
2019-03-15,280.0,290.0,280.0,290.0,282.3951110839844,4332500
2019-03-18,291.0,298.0,289.0,296.0,288.2377624511719,1484300
2019-03-19,294.0,299.0,291.0,297.0,289.2115478515625,1759400
2019-03-20,295.0,297.0,284.0,286.0,278.5,3451400
2019-03-22,294.0,297.0,285.0,289.0,281.42132568359375,2783800
2019-03-25,282.0,285.0,276.0,281.0,273.631103515625,1507300
2019-03-26,285.0,289.0,279.0,286.0,278.5,1103500
2019-03-27,285.0,292.0,284.0,285.0,285.0,1264700
2019-03-28,282.0,283.0,272.0,275.0,275.0,2383300
2019-03-29,277.0,277.0,263.0,264.0,264.0,3663600
2019-04-01,271.0,279.0,270.0,278.0,278.0,2800700
2019-04-02,277.0,283.0,275.0,280.0,280.0,1538500
2019-04-03,279.0,302.0,277.0,294.0,294.0,5959700
2019-04-04,291.0,294.0,281.0,283.0,283.0,2943000
2019-04-05,282.0,288.0,277.0,286.0,286.0,2481600
2019-04-08,287.0,293.0,285.0,288.0,288.0,1453500
2019-04-09,290.0,296.0,289.0,293.0,293.0,1450800
2019-04-10,290.0,295.0,286.0,293.0,293.0,1371800
2019-04-11,293.0,296.0,291.0,295.0,295.0,1217900
2019-04-12,300.0,321.0,298.0,317.0,317.0,8642400
2019-04-15,320.0,337.0,320.0,329.0,329.0,6323100
2019-04-16,329.0,388.0,326.0,380.0,380.0,25684400
2019-04-17,377.0,379.0,352.0,366.0,366.0,13844300
2019-04-18,360.0,360.0,340.0,341.0,341.0,7302200
2019-04-19,356.0,368.0,347.0,360.0,360.0,6956600
2019-04-22,367.0,370.0,347.0,350.0,350.0,3059800
2019-04-23,355.0,355.0,350.0,352.0,352.0,2004100
2019-04-24,352.0,355.0,347.0,349.0,349.0,1711800
2019-04-25,352.0,359.0,351.0,351.0,351.0,2373000
2019-04-26,349.0,353.0,333.0,352.0,352.0,3601900
2019-05-07,364.0,366.0,313.0,316.0,316.0,19175300
2019-05-08,305.0,306.0,292.0,299.0,299.0,9785400
2019-05-09,295.0,308.0,276.0,276.0,276.0,18969800
2019-05-10,271.0,278.0,253.0,270.0,270.0,12857700
2019-05-13,264.0,291.0,264.0,275.0,275.0,7526700
2019-05-14,267.0,281.0,266.0,276.0,276.0,6246500
2019-05-15,285.0,308.0,284.0,292.0,292.0,6960500
2019-05-16,291.0,298.0,286.0,294.0,294.0,3505000
2019-05-17,298.0,301.0,282.0,286.0,286.0,3235500
2019-05-20,288.0,289.0,281.0,286.0,286.0,1964200
2019-05-21,288.0,290.0,284.0,287.0,287.0,1676300
2019-05-22,291.0,295.0,287.0,289.0,289.0,2092700
2019-05-23,286.0,289.0,276.0,276.0,276.0,2827400
2019-05-24,271.0,272.0,265.0,269.0,269.0,3145000
2019-05-27,274.0,291.0,271.0,284.0,284.0,3548500
2019-05-28,292.0,302.0,290.0,295.0,295.0,4981000
2019-05-29,291.0,310.0,291.0,309.0,309.0,6405000
2019-05-30,306.0,318.0,305.0,315.0,315.0,6894600
2019-05-31,311.0,311.0,290.0,290.0,290.0,6205200
2019-06-03,285.0,288.0,279.0,280.0,280.0,2732200
2019-06-04,287.0,299.0,286.0,298.0,298.0,3770900
2019-06-05,307.0,315.0,305.0,311.0,311.0,4155700
2019-06-06,311.0,317.0,295.0,296.0,296.0,3591900
2019-06-07,305.0,330.0,305.0,321.0,321.0,9074600
2019-06-10,330.0,333.0,316.0,324.0,324.0,4304800
2019-06-11,329.0,353.0,325.0,338.0,338.0,9086400
2019-06-12,336.0,338.0,325.0,333.0,333.0,3465800
2019-06-13,328.0,329.0,318.0,319.0,319.0,3126500
2019-06-14,330.0,341.0,327.0,329.0,329.0,4764100
2019-06-17,328.0,337.0,321.0,322.0,322.0,2471600
2019-06-18,325.0,326.0,310.0,316.0,316.0,2380800
2019-06-19,326.0,331.0,317.0,318.0,318.0,3094400
2019-06-20,321.0,321.0,307.0,312.0,312.0,2978800
2019-06-21,320.0,321.0,309.0,311.0,311.0,3031200
2019-06-24,310.0,312.0,305.0,308.0,308.0,1643200
2019-06-25,305.0,310.0,301.0,302.0,302.0,2491300
2019-06-26,303.0,319.0,303.0,319.0,319.0,2473400
2019-06-27,319.0,320.0,296.0,302.0,302.0,6649700
