Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1725.0,1758.0,1705.0,1738.0,1632.1109619140625,456300
2019-01-07,1818.0,1865.0,1794.0,1848.0,1735.4091796875,542500
2019-01-08,1860.0,1877.0,1826.0,1846.0,1733.5308837890625,390300
2019-01-09,1885.0,1938.0,1884.0,1890.0,1774.85009765625,491200
2019-01-10,1930.0,1938.0,1854.0,1897.0,1781.423828125,898500
2019-01-11,1958.0,1980.0,1905.0,1943.0,1824.6212158203125,1383500
2019-01-15,1882.0,1919.0,1858.0,1895.0,1779.5455322265625,1440400
2019-01-16,1875.0,1879.0,1796.0,1807.0,1696.906982421875,1241600
2019-01-17,1837.0,1885.0,1827.0,1851.0,1738.226318359375,1292100
2019-01-18,1844.0,1881.0,1827.0,1840.0,1727.8963623046875,520900
2019-01-21,1857.0,1875.0,1810.0,1816.0,1705.3587646484375,664700
2019-01-22,1875.0,1970.0,1839.0,1902.0,1786.1192626953125,1137800
2019-01-23,1902.0,1949.0,1872.0,1915.0,1798.3271484375,795900
2019-01-24,1925.0,1955.0,1896.0,1949.0,1830.2554931640625,507200
2019-01-25,1950.0,2008.0,1942.0,1994.0,1872.513916015625,619800
2019-01-28,2017.0,2023.0,1939.0,1952.0,1833.0728759765625,707500
2019-01-29,1930.0,1951.0,1914.0,1949.0,1830.2554931640625,580600
2019-01-30,1932.0,1956.0,1870.0,1888.0,1772.9720458984375,581100
2019-01-31,1938.0,1982.0,1937.0,1979.0,1858.427978515625,568600
2019-02-01,1977.0,2014.0,1961.0,2013.0,1890.3563232421875,363000
2019-02-04,2028.0,2059.0,2023.0,2034.0,1910.076904296875,269600
2019-02-05,2036.0,2044.0,2004.0,2010.0,1887.5390625,263600
2019-02-06,2035.0,2076.0,2020.0,2061.0,1935.431884765625,516300
2019-02-07,2051.0,2051.0,1966.0,1974.0,1853.732421875,449700
2019-02-08,1922.0,1933.0,1880.0,1907.0,1790.814453125,722400
2019-02-12,1934.0,1995.0,1918.0,1995.0,1873.4530029296875,433500
2019-02-13,2007.0,2055.0,2002.0,2025.0,1901.625244140625,399800
2019-02-14,2025.0,2049.0,2002.0,2012.0,1889.4173583984375,318300
2019-02-15,1990.0,2004.0,1943.0,1947.0,1828.37744140625,315400
2019-02-18,2009.0,2016.0,1974.0,1980.0,1859.3668212890625,372900
2019-02-19,1980.0,2034.0,1980.0,2019.0,1895.9906005859375,392100
2019-02-20,2028.0,2028.0,1986.0,2006.0,1883.78271484375,317200
2019-02-21,2007.0,2059.0,1995.0,2038.0,1913.833251953125,377000
2019-02-22,2027.0,2053.0,2020.0,2047.0,1922.2847900390625,340900
2019-02-25,2067.0,2086.0,2059.0,2085.0,1957.9696044921875,483400
2019-02-26,2058.0,2068.0,2007.0,2020.0,1920.88330078125,461500
2019-02-27,2020.0,2036.0,1986.0,2000.0,1901.8643798828125,470300
2019-02-28,2010.0,2025.0,1946.0,1963.0,1866.6800537109375,799200
2019-03-01,1974.0,2014.0,1970.0,1996.0,1898.0609130859375,326200
2019-03-04,2004.0,2031.0,1986.0,2029.0,1929.441650390625,264500
2019-03-05,1998.0,1998.0,1939.0,1967.0,1870.4837646484375,439400
2019-03-06,1979.0,2009.0,1966.0,2008.0,1909.4720458984375,286800
2019-03-07,1994.0,1999.0,1937.0,1963.0,1866.6800537109375,358700
2019-03-08,1908.0,1908.0,1821.0,1850.0,1759.2247314453125,725300
2019-03-11,1850.0,1850.0,1777.0,1799.0,1710.727294921875,444300
2019-03-12,1835.0,1854.0,1821.0,1827.0,1737.3533935546875,406200
2019-03-13,1803.0,1825.0,1782.0,1794.0,1705.9725341796875,334300
2019-03-14,1809.0,1817.0,1780.0,1795.0,1706.923583984375,294100
2019-03-15,1822.0,1855.0,1819.0,1825.0,1735.4515380859375,388400
2019-03-18,1845.0,1877.0,1839.0,1851.0,1760.175537109375,273700
2019-03-19,1853.0,1860.0,1827.0,1845.0,1754.4700927734375,142500
2019-03-20,1847.0,1873.0,1836.0,1866.0,1774.439697265625,278900
2019-03-22,1879.0,1896.0,1851.0,1860.0,1768.734130859375,223100
2019-03-25,1824.0,1830.0,1807.0,1822.0,1732.5986328125,187800
2019-03-26,1843.0,1886.0,1839.0,1856.0,1764.930419921875,192700
2019-03-27,1892.0,1908.0,1880.0,1886.0,1793.4586181640625,202100
2019-03-28,1900.0,1902.0,1840.0,1863.0,1771.5867919921875,236500
2019-03-29,1893.0,1927.0,1852.0,1912.0,1818.1826171875,709900
2019-04-01,1930.0,1951.0,1910.0,1918.0,1823.8880615234375,422300
2019-04-02,1930.0,1932.0,1886.0,1923.0,1828.6429443359375,450700
2019-04-03,1897.0,1948.0,1870.0,1946.0,1850.5142822265625,382900
2019-04-04,1936.0,1952.0,1910.0,1923.0,1828.6429443359375,252100
2019-04-05,1938.0,1987.0,1931.0,1970.0,1873.3367919921875,633800
2019-04-08,1980.0,1985.0,1940.0,1950.0,1854.3179931640625,311700
2019-04-09,1929.0,1973.0,1918.0,1969.0,1872.3857421875,296500
2019-04-10,1943.0,1980.0,1938.0,1962.0,1865.7291259765625,203400
2019-04-11,1935.0,1937.0,1898.0,1918.0,1823.8880615234375,488800
2019-04-12,1931.0,2006.0,1914.0,1972.0,1875.238525390625,822600
2019-04-15,1612.0,1686.0,1594.0,1621.0,1541.4613037109375,4610800
2019-04-16,1603.0,1622.0,1583.0,1595.0,1516.7371826171875,2131600
2019-04-17,1580.0,1587.0,1524.0,1558.0,1481.552490234375,2200700
2019-04-18,1565.0,1593.0,1541.0,1568.0,1491.0618896484375,1123200
2019-04-19,1591.0,1625.0,1587.0,1590.0,1511.9822998046875,1070300
2019-04-22,1670.0,1740.0,1664.0,1670.0,1588.0570068359375,2172300
2019-04-23,1670.0,1736.0,1668.0,1676.0,1593.7626953125,1748600
2019-04-24,1710.0,1750.0,1697.0,1716.0,1631.7998046875,1267100
2019-04-25,1740.0,1743.0,1700.0,1705.0,1621.339599609375,821700
2019-04-26,1703.0,1708.0,1678.0,1690.0,1607.07568359375,719200
2019-05-07,1669.0,1681.0,1644.0,1672.0,1589.9588623046875,645800
2019-05-08,1632.0,1651.0,1621.0,1631.0,1550.970703125,717900
2019-05-09,1620.0,1640.0,1604.0,1617.0,1537.6575927734375,632500
2019-05-10,1605.0,1664.0,1600.0,1631.0,1550.970703125,1009000
2019-05-13,1623.0,1632.0,1577.0,1588.0,1510.0804443359375,681900
2019-05-14,1515.0,1573.0,1502.0,1569.0,1492.0126953125,778500
2019-05-15,1548.0,1584.0,1544.0,1570.0,1492.9637451171875,915000
2019-05-16,1588.0,1598.0,1570.0,1591.0,1512.9332275390625,461300
2019-05-17,1610.0,1688.0,1607.0,1673.0,1590.90966796875,1012300
2019-05-20,1666.0,1691.0,1623.0,1629.0,1549.06884765625,469300
2019-05-21,1628.0,1649.0,1603.0,1629.0,1549.06884765625,577800
2019-05-22,1638.0,1672.0,1621.0,1627.0,1547.1669921875,445500
2019-05-23,1622.0,1641.0,1615.0,1621.0,1541.4613037109375,375500
2019-05-24,1602.0,1629.0,1587.0,1613.0,1533.853759765625,388100
2019-05-27,1615.0,1628.0,1591.0,1602.0,1523.3934326171875,349400
2019-05-28,1618.0,1656.0,1615.0,1646.0,1565.2347412109375,603600
2019-05-29,1606.0,1652.0,1606.0,1629.0,1549.06884765625,400300
2019-05-30,1632.0,1668.0,1628.0,1662.0,1580.4495849609375,408500
2019-05-31,1645.0,1661.0,1625.0,1638.0,1557.6270751953125,342300
2019-06-03,1620.0,1633.0,1607.0,1618.0,1538.6083984375,281900
2019-06-04,1608.0,1615.0,1569.0,1589.0,1511.0313720703125,432400
2019-06-05,1622.0,1654.0,1620.0,1645.0,1564.28369140625,429200
