Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1794.0,1813.0,1777.0,1812.0,1734.4207763671875,1109100
2019-01-07,1848.0,1865.0,1825.0,1858.0,1778.4512939453125,1165400
2019-01-08,1883.0,1892.0,1860.0,1867.0,1787.06591796875,1425300
2019-01-09,1900.0,1908.0,1881.0,1891.0,1810.038330078125,980500
2019-01-10,1891.0,1904.0,1862.0,1889.0,1808.1241455078125,702900
2019-01-11,1903.0,1924.0,1898.0,1903.0,1821.524658203125,894500
2019-01-15,1890.0,1920.0,1890.0,1918.0,1835.88232421875,553200
2019-01-16,1930.0,1930.0,1908.0,1916.0,1833.9678955078125,606900
2019-01-17,1916.0,1929.0,1901.0,1919.0,1836.8394775390625,763200
2019-01-18,1923.0,1933.0,1911.0,1923.0,1840.6683349609375,687800
2019-01-21,1945.0,1946.0,1916.0,1922.0,1839.711181640625,583000
2019-01-22,1925.0,1928.0,1906.0,1924.0,1841.6256103515625,996400
2019-01-23,1900.0,1940.0,1897.0,1927.0,1844.4970703125,903700
2019-01-24,1927.0,1943.0,1907.0,1943.0,1859.81201171875,760100
2019-01-25,1950.0,1962.0,1940.0,1950.0,1866.5123291015625,655800
2019-01-28,1938.0,1940.0,1920.0,1930.0,1847.36865234375,603400
2019-01-29,1934.0,1973.0,1906.0,1953.0,1869.3839111328125,1743100
2019-01-30,1936.0,1944.0,1919.0,1930.0,1847.36865234375,974400
2019-01-31,1958.0,1965.0,1910.0,1920.0,1837.796875,1203700
2019-02-01,1880.0,1883.0,1835.0,1841.0,1762.1790771484375,2992100
2019-02-04,1874.0,1880.0,1839.0,1839.0,1760.2646484375,1100800
2019-02-05,1850.0,1865.0,1840.0,1847.0,1767.9222412109375,1068900
2019-02-06,1750.0,1792.0,1711.0,1789.0,1712.405517578125,3160800
2019-02-07,1787.0,1788.0,1722.0,1728.0,1654.0172119140625,2064900
2019-02-08,1719.0,1750.0,1711.0,1719.0,1645.40234375,2277200
2019-02-12,1716.0,1716.0,1673.0,1684.0,1611.90087890625,1984400
2019-02-13,1666.0,1690.0,1661.0,1663.0,1591.800048828125,1407500
2019-02-14,1679.0,1692.0,1675.0,1680.0,1608.0721435546875,1375900
2019-02-15,1674.0,1679.0,1643.0,1652.0,1581.2708740234375,1417900
2019-02-18,1661.0,1684.0,1657.0,1679.0,1607.114990234375,928000
2019-02-19,1683.0,1699.0,1669.0,1685.0,1612.8580322265625,938600
2019-02-20,1680.0,1697.0,1677.0,1686.0,1613.8153076171875,909000
2019-02-21,1699.0,1716.0,1695.0,1704.0,1631.0445556640625,1279400
2019-02-22,1697.0,1720.0,1691.0,1696.0,1623.38720703125,961400
2019-02-25,1699.0,1716.0,1698.0,1706.0,1632.958984375,801300
2019-02-26,1706.0,1728.0,1696.0,1696.0,1623.38720703125,1065100
2019-02-27,1686.0,1714.0,1686.0,1709.0,1635.8304443359375,808500
2019-02-28,1715.0,1724.0,1703.0,1715.0,1641.5736083984375,1009500
2019-03-01,1710.0,1723.0,1704.0,1720.0,1646.3594970703125,689100
2019-03-04,1734.0,1735.0,1708.0,1716.0,1642.53076171875,593500
2019-03-05,1712.0,1718.0,1705.0,1715.0,1641.5736083984375,580700
2019-03-06,1723.0,1729.0,1715.0,1720.0,1646.3594970703125,766200
2019-03-07,1714.0,1729.0,1712.0,1717.0,1643.488037109375,836000
2019-03-08,1710.0,1713.0,1683.0,1695.0,1622.429931640625,1028400
2019-03-11,1650.0,1688.0,1634.0,1683.0,1610.943603515625,864200
2019-03-12,1673.0,1708.0,1670.0,1703.0,1630.0875244140625,957700
2019-03-13,1710.0,1726.0,1694.0,1701.0,1628.173095703125,563400
2019-03-14,1713.0,1722.0,1702.0,1705.0,1632.0018310546875,462800
2019-03-15,1707.0,1719.0,1701.0,1707.0,1633.916259765625,1088200
2019-03-18,1713.0,1725.0,1708.0,1720.0,1646.3594970703125,388800
2019-03-19,1724.0,1724.0,1701.0,1719.0,1645.40234375,590000
2019-03-20,1708.0,1714.0,1690.0,1708.0,1634.8734130859375,823200
2019-03-22,1715.0,1727.0,1706.0,1721.0,1647.3167724609375,779700
2019-03-25,1701.0,1706.0,1690.0,1698.0,1625.3016357421875,546500
2019-03-26,1678.0,1712.0,1671.0,1696.0,1623.38720703125,648200
2019-03-27,1678.0,1678.0,1648.0,1654.0,1602.0777587890625,794700
2019-03-28,1669.0,1669.0,1636.0,1640.0,1588.517333984375,799400
2019-03-29,1648.0,1667.0,1642.0,1667.0,1614.669677734375,1397000
2019-04-01,1680.0,1683.0,1661.0,1664.0,1611.763916015625,518300
2019-04-02,1667.0,1673.0,1640.0,1647.0,1595.2974853515625,761800
2019-04-03,1648.0,1651.0,1618.0,1630.0,1578.831298828125,770900
2019-04-04,1619.0,1622.0,1596.0,1605.0,1554.615966796875,935100
2019-04-05,1598.0,1610.0,1592.0,1603.0,1552.6788330078125,1262100
2019-04-08,1613.0,1615.0,1601.0,1602.0,1551.710205078125,567800
2019-04-09,1613.0,1614.0,1602.0,1606.0,1555.5845947265625,547600
2019-04-10,1608.0,1646.0,1606.0,1635.0,1583.67431640625,1542600
2019-04-11,1636.0,1663.0,1635.0,1651.0,1599.1719970703125,1096800
2019-04-12,1646.0,1648.0,1629.0,1641.0,1589.48583984375,1174900
2019-04-15,1656.0,1666.0,1649.0,1656.0,1604.0150146484375,818200
2019-04-16,1657.0,1687.0,1657.0,1667.0,1614.669677734375,1140000
2019-04-17,1668.0,1705.0,1668.0,1693.0,1639.853515625,1353300
2019-04-18,1683.0,1696.0,1676.0,1677.0,1624.3558349609375,957700
2019-04-19,1702.0,1707.0,1686.0,1688.0,1635.0103759765625,1097000
2019-04-22,1690.0,1699.0,1679.0,1695.0,1641.790771484375,599200
2019-04-23,1700.0,1702.0,1691.0,1697.0,1643.72802734375,708500
2019-04-24,1700.0,1729.0,1692.0,1707.0,1653.4140625,1755400
2019-04-25,1719.0,1829.0,1715.0,1805.0,1748.337646484375,4798500
2019-04-26,1769.0,1770.0,1700.0,1735.0,1680.5350341796875,2621700
2019-05-07,1735.0,1742.0,1724.0,1725.0,1670.8489990234375,1580500
2019-05-08,1732.0,1748.0,1727.0,1736.0,1681.503662109375,1147300
2019-05-09,1726.0,1745.0,1710.0,1723.0,1668.911865234375,1292700
2019-05-10,1747.0,1769.0,1739.0,1766.0,1710.5618896484375,2066300
