Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,405.0,412.0,397.0,401.0,382.8618469238281,392700
2019-01-07,416.0,432.0,415.0,431.0,411.5048828125,249400
2019-01-08,431.0,432.0,426.0,429.0,409.5953369140625,155800
2019-01-09,434.0,445.0,433.0,434.0,414.3691711425781,205900
2019-01-10,433.0,433.0,425.0,429.0,409.5953369140625,108200
2019-01-11,432.0,434.0,427.0,427.0,407.685791015625,94400
2019-01-15,427.0,439.0,426.0,435.0,415.3239440917969,142600
2019-01-16,439.0,440.0,434.0,440.0,420.0977783203125,90800
2019-01-17,442.0,444.0,440.0,441.0,421.0525207519531,85400
2019-01-18,444.0,453.0,444.0,449.0,428.6907043457031,173100
2019-01-21,454.0,457.0,451.0,452.0,431.55499267578125,129300
2019-01-22,455.0,455.0,448.0,451.0,430.6002197265625,116700
2019-01-23,447.0,447.0,437.0,442.0,422.00732421875,157600
2019-01-24,442.0,453.0,438.0,453.0,432.509765625,128200
2019-01-25,453.0,456.0,450.0,454.0,433.4645080566406,111500
2019-01-28,457.0,459.0,450.0,450.0,429.6454772949219,74400
2019-01-29,450.0,453.0,440.0,451.0,430.6002197265625,155400
2019-01-30,451.0,453.0,440.0,440.0,420.0977783203125,118500
2019-01-31,441.0,449.0,441.0,447.0,426.7811584472656,116400
2019-02-01,447.0,447.0,440.0,441.0,421.0525207519531,96700
2019-02-04,447.0,451.0,445.0,450.0,429.6454772949219,110000
2019-02-05,450.0,458.0,450.0,454.0,433.4645080566406,112600
2019-02-06,455.0,460.0,454.0,458.0,437.2835998535156,105400
2019-02-07,459.0,460.0,446.0,451.0,430.6002197265625,127200
2019-02-08,447.0,449.0,442.0,447.0,426.7811584472656,148000
2019-02-12,427.0,433.0,405.0,408.0,389.54522705078125,493000
2019-02-13,410.0,413.0,400.0,403.0,384.7713623046875,297000
2019-02-14,403.0,409.0,402.0,406.0,387.63568115234375,132300
2019-02-15,406.0,411.0,403.0,407.0,388.5904235839844,164400
2019-02-18,451.0,454.0,429.0,429.0,409.5953369140625,638900
2019-02-19,429.0,436.0,424.0,435.0,415.3239440917969,174500
2019-02-20,435.0,443.0,435.0,438.0,418.188232421875,165100
