Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1235.0,1242.0,1198.0,1213.0,1066.723876953125,87000
2019-01-07,1243.0,1275.0,1224.0,1237.0,1087.829833984375,80500
2019-01-08,1240.0,1267.0,1228.0,1253.0,1101.900390625,70000
2019-01-09,1260.0,1261.0,1241.0,1243.0,1093.1063232421875,55800
2019-01-10,1226.0,1236.0,1210.0,1234.0,1085.191650390625,90800
2019-01-11,1249.0,1256.0,1236.0,1246.0,1095.74462890625,43600
2019-01-15,1240.0,1282.0,1238.0,1269.0,1115.970947265625,123000
2019-01-16,1262.0,1287.0,1251.0,1261.0,1108.9356689453125,112000
2019-01-17,1289.0,1307.0,1274.0,1283.0,1128.2825927734375,75700
2019-01-18,1278.0,1306.0,1275.0,1295.0,1138.83544921875,65300
2019-01-21,1325.0,1326.0,1311.0,1326.0,1166.09716796875,63200
2019-01-22,1330.0,1332.0,1291.0,1292.0,1136.1973876953125,43600
2019-01-23,1289.0,1298.0,1266.0,1294.0,1137.9560546875,80700
2019-01-24,1275.0,1284.0,1232.0,1281.0,1126.5238037109375,163500
2019-01-25,1299.0,1320.0,1285.0,1304.0,1146.750244140625,109400
2019-01-28,1307.0,1309.0,1281.0,1281.0,1126.5238037109375,60200
2019-01-29,1271.0,1284.0,1263.0,1284.0,1129.162109375,82000
2019-01-30,1291.0,1291.0,1260.0,1266.0,1113.332763671875,79200
2019-01-31,1285.0,1295.0,1275.0,1282.0,1127.4033203125,63100
2019-02-01,1279.0,1286.0,1276.0,1284.0,1129.162109375,73200
2019-02-04,1290.0,1349.0,1290.0,1345.0,1182.80615234375,123800
2019-02-05,1352.0,1355.0,1339.0,1343.0,1181.047119140625,90900
2019-02-06,1339.0,1350.0,1318.0,1334.0,1173.132568359375,43100
2019-02-07,1328.0,1330.0,1313.0,1316.0,1157.3031005859375,65500
2019-02-08,1305.0,1305.0,1261.0,1261.0,1108.9356689453125,84100
2019-02-12,1266.0,1304.0,1266.0,1292.0,1136.1973876953125,60600
2019-02-13,1308.0,1312.0,1294.0,1307.0,1149.388427734375,41300
2019-02-14,1305.0,1327.0,1299.0,1316.0,1157.3031005859375,45700
2019-02-15,1303.0,1304.0,1270.0,1280.0,1125.6444091796875,61500
2019-02-18,1310.0,1338.0,1289.0,1311.0,1152.906005859375,92800
2019-02-19,1311.0,1311.0,1291.0,1297.0,1140.594482421875,50600
2019-02-20,1297.0,1318.0,1292.0,1300.0,1143.2325439453125,75100
2019-02-21,1310.0,1317.0,1296.0,1312.0,1153.785400390625,46900
2019-02-22,1294.0,1305.0,1275.0,1305.0,1147.629638671875,91500
2019-02-25,1317.0,1354.0,1316.0,1349.0,1186.32373046875,70400
2019-02-26,1357.0,1366.0,1339.0,1347.0,1184.56494140625,59900
2019-02-27,1355.0,1358.0,1332.0,1339.0,1177.529541015625,50100
2019-02-28,1336.0,1347.0,1315.0,1319.0,1159.94140625,52300
2019-03-01,1322.0,1323.0,1290.0,1292.0,1136.1973876953125,53700
2019-03-04,1298.0,1302.0,1285.0,1297.0,1140.594482421875,58900
2019-03-05,1299.0,1301.0,1287.0,1298.0,1141.4737548828125,34500
2019-03-06,1296.0,1307.0,1287.0,1299.0,1142.3531494140625,33300
2019-03-07,1286.0,1287.0,1259.0,1269.0,1115.970947265625,72500
2019-03-08,1248.0,1248.0,1210.0,1215.0,1068.4827880859375,89900
2019-03-11,1215.0,1216.0,1196.0,1199.0,1054.4122314453125,41100
2019-03-12,1225.0,1232.0,1212.0,1224.0,1076.3974609375,49100
2019-03-13,1220.0,1220.0,1197.0,1197.0,1052.6534423828125,33500
2019-03-14,1215.0,1218.0,1194.0,1194.0,1050.01513671875,41100
2019-03-15,1191.0,1201.0,1180.0,1181.0,1038.5828857421875,74600
2019-03-18,1198.0,1221.0,1191.0,1220.0,1072.8797607421875,66300
2019-03-19,1228.0,1243.0,1223.0,1235.0,1086.0709228515625,37900
2019-03-20,1235.0,1266.0,1231.0,1266.0,1113.332763671875,70000
2019-03-22,1269.0,1288.0,1254.0,1279.0,1124.7650146484375,100400
2019-03-25,1277.0,1277.0,1221.0,1221.0,1073.7591552734375,60800
2019-03-26,1241.0,1281.0,1233.0,1269.0,1115.970947265625,133800
2019-03-27,1251.0,1267.0,1242.0,1263.0,1133.015380859375,37000
2019-03-28,1249.0,1250.0,1208.0,1216.0,1090.8525390625,40100
2019-03-29,1223.0,1223.0,1204.0,1209.0,1084.572998046875,50500
2019-04-01,1238.0,1266.0,1238.0,1252.0,1123.1475830078125,67800
2019-04-02,1279.0,1281.0,1263.0,1275.0,1143.780517578125,18400
2019-04-03,1271.0,1286.0,1246.0,1283.0,1150.95703125,52100
2019-04-04,1288.0,1311.0,1287.0,1300.0,1166.2073974609375,43500
2019-04-05,1305.0,1337.0,1305.0,1327.0,1190.4287109375,101500
2019-04-08,1337.0,1337.0,1292.0,1295.0,1161.7220458984375,85000
2019-04-09,1300.0,1314.0,1284.0,1298.0,1164.413330078125,32700
2019-04-10,1286.0,1291.0,1273.0,1279.0,1147.3687744140625,58300
2019-04-11,1272.0,1298.0,1272.0,1295.0,1161.7220458984375,21000
2019-04-12,1300.0,1300.0,1271.0,1283.0,1150.95703125,38300
2019-04-15,1313.0,1333.0,1288.0,1302.0,1168.0018310546875,151300
2019-04-16,1308.0,1309.0,1279.0,1292.0,1159.0308837890625,70300
2019-04-17,1292.0,1323.0,1292.0,1318.0,1182.35498046875,59000
2019-04-18,1324.0,1332.0,1284.0,1290.0,1157.2366943359375,34400
2019-04-19,1308.0,1317.0,1298.0,1314.0,1178.7666015625,39400
2019-04-22,1310.0,1310.0,1293.0,1301.0,1167.1044921875,43100
2019-04-23,1307.0,1309.0,1287.0,1294.0,1160.824951171875,19900
2019-04-24,1300.0,1300.0,1264.0,1266.0,1135.706787109375,38800
2019-04-25,1279.0,1288.0,1268.0,1286.0,1153.6484375,62800
2019-04-26,1277.0,1280.0,1255.0,1271.0,1140.1922607421875,60700
2019-05-07,1264.0,1268.0,1234.0,1245.0,1116.8680419921875,88500
2019-05-08,1222.0,1222.0,1193.0,1194.0,1071.11669921875,70400
2019-05-09,1190.0,1192.0,1154.0,1160.0,1040.615966796875,75100
2019-05-10,1160.0,1162.0,1129.0,1131.0,1014.6005249023438,90600
2019-05-13,1131.0,1158.0,1105.0,1135.0,1018.1889038085938,94900
2019-05-14,1105.0,1107.0,1067.0,1087.0,975.1288452148438,153300
2019-05-15,1104.0,1118.0,1076.0,1105.0,991.2764892578125,88500
2019-05-16,1106.0,1113.0,1075.0,1089.0,976.9230346679688,61200
2019-05-17,1105.0,1116.0,1077.0,1085.0,973.3347778320312,96800
2019-05-20,1086.0,1092.0,1068.0,1076.0,965.2609252929688,36200
2019-05-21,1077.0,1077.0,1047.0,1063.0,953.598876953125,64600
2019-05-22,1074.0,1080.0,1043.0,1043.0,935.6572265625,117200
2019-05-23,1043.0,1045.0,1026.0,1032.0,925.7893676757812,105500
2019-05-24,1025.0,1043.0,1015.0,1037.0,930.2747802734375,87000
2019-05-27,1043.0,1053.0,1033.0,1039.0,932.0689086914062,38600
2019-05-28,1041.0,1053.0,1038.0,1053.0,944.628173828125,52400
2019-05-29,1040.0,1046.0,1023.0,1037.0,930.2747802734375,57100
2019-05-30,1028.0,1046.0,1028.0,1031.0,924.8922119140625,68100
2019-05-31,1030.0,1030.0,1004.0,1010.0,906.0535278320312,129400
2019-06-03,1000.0,1010.0,992.0,1007.0,903.3623046875,122200
2019-06-04,1011.0,1030.0,1008.0,1024.0,918.6127319335938,92900
2019-06-05,1054.0,1063.0,1049.0,1061.0,951.8048095703125,72700
2019-06-06,1054.0,1059.0,1038.0,1040.0,932.9660034179688,85900
2019-06-07,1043.0,1046.0,1029.0,1045.0,937.4513549804688,117100
2019-06-10,1055.0,1058.0,1030.0,1043.0,935.6572265625,182200
2019-06-11,1040.0,1056.0,1027.0,1041.0,933.863037109375,173400
2019-06-12,1035.0,1039.0,1025.0,1028.0,922.2009887695312,182500
2019-06-13,1021.0,1022.0,998.0,1000.0,897.0827026367188,153900
2019-06-14,994.0,1000.0,991.0,993.0,890.8031005859375,183600
2019-06-17,999.0,1004.0,992.0,995.0,892.5972900390625,159900
2019-06-18,995.0,1002.0,964.0,964.0,864.7877197265625,244500
2019-06-19,984.0,1025.0,984.0,1009.0,905.1564331054688,238200
2019-06-20,1015.0,1024.0,996.0,1018.0,913.2301635742188,148400
2019-06-21,1021.0,1035.0,1006.0,1013.0,908.7448120117188,341600
2019-06-24,1013.0,1037.0,1004.0,1028.0,922.2009887695312,126900
2019-06-25,1050.0,1051.0,1022.0,1026.0,920.4068603515625,218700
2019-06-26,1016.0,1030.0,1010.0,1018.0,913.2301635742188,88200
2019-06-27,1017.0,1049.0,1017.0,1045.0,937.4513549804688,133200
2019-06-28,1044.0,1051.0,1032.0,1051.0,942.8339233398438,96600
2019-07-01,1073.0,1086.0,1064.0,1086.0,974.2318115234375,123800
2019-07-02,1084.0,1092.0,1080.0,1086.0,974.2318115234375,144400
2019-07-03,1081.0,1087.0,1072.0,1081.0,969.7463989257812,86800
2019-07-04,1091.0,1095.0,1085.0,1090.0,977.8201904296875,68800
2019-07-05,1095.0,1102.0,1089.0,1093.0,980.5113525390625,71700
2019-07-08,1091.0,1092.0,1062.0,1062.0,952.7018432617188,82300
2019-07-09,1073.0,1079.0,1042.0,1042.0,934.7601928710938,100400
2019-07-10,1040.0,1043.0,1029.0,1036.0,929.377685546875,113900
2019-07-11,1040.0,1051.0,1033.0,1045.0,937.4513549804688,105700
2019-07-12,1047.0,1057.0,1033.0,1050.0,941.9368896484375,103400
2019-07-16,1058.0,1066.0,1050.0,1052.0,943.73095703125,92000
2019-07-17,1051.0,1065.0,1046.0,1059.0,950.0106811523438,101500
2019-07-18,1036.0,1037.0,1005.0,1005.0,901.5681762695312,199800
2019-07-19,1010.0,1027.0,1001.0,1021.0,915.9214477539062,141200
2019-07-22,1018.0,1037.0,1010.0,1029.0,923.09814453125,147100
2019-07-23,1035.0,1073.0,1030.0,1070.0,959.8784790039062,133000
2019-07-24,1080.0,1104.0,1079.0,1098.0,984.9967651367188,140200
2019-07-25,1113.0,1129.0,1101.0,1119.0,1003.8355102539062,170400
2019-07-26,1112.0,1112.0,1084.0,1099.0,985.893798828125,114300
2019-07-29,1095.0,1098.0,1074.0,1075.0,964.3638916015625,52400
2019-07-30,1088.0,1112.0,1088.0,1103.0,989.4822387695312,134100
2019-07-31,1092.0,1105.0,1082.0,1092.0,979.6143188476562,122300
2019-08-01,1072.0,1086.0,1057.0,1085.0,973.3347778320312,99800
2019-08-02,1032.0,1045.0,996.0,1002.0,898.8768920898438,204100
2019-08-05,997.0,999.0,965.0,979.0,878.2440185546875,156900
2019-08-06,945.0,974.0,942.0,972.0,871.96435546875,153300
2019-08-07,969.0,978.0,959.0,971.0,871.0673217773438,88400
2019-08-08,969.0,974.0,960.0,960.0,861.199462890625,143000
2019-08-09,966.0,968.0,953.0,960.0,861.199462890625,55600
2019-08-13,947.0,952.0,931.0,944.0,846.8460693359375,113700
2019-08-14,959.0,969.0,948.0,969.0,869.2731323242188,65700
2019-08-15,936.0,942.0,927.0,937.0,840.5664672851562,121300
2019-08-16,935.0,944.0,931.0,941.0,844.15478515625,45300
2019-08-19,958.0,958.0,947.0,957.0,858.5082397460938,54900
2019-08-20,957.0,961.0,949.0,961.0,862.0964965820312,29900
2019-08-21,949.0,953.0,938.0,944.0,846.8460693359375,63800
2019-08-22,952.0,960.0,946.0,953.0,854.9197998046875,89600
2019-08-23,958.0,959.0,944.0,947.0,849.537353515625,146800
2019-08-26,927.0,927.0,914.0,920.0,825.3161010742188,110200
2019-08-27,930.0,948.0,927.0,946.0,848.6402587890625,126100
2019-08-28,943.0,943.0,926.0,934.0,837.875244140625,125200
2019-08-29,946.0,946.0,924.0,941.0,844.15478515625,83900
2019-08-30,950.0,981.0,946.0,978.0,877.3468017578125,187100
2019-09-02,970.0,970.0,952.0,953.0,854.9197998046875,105800
2019-09-03,952.0,963.0,948.0,958.0,859.4052734375,107200
2019-09-04,950.0,952.0,935.0,939.0,842.3606567382812,199900
2019-09-05,955.0,984.0,953.0,973.0,872.8615112304688,273000
2019-09-06,983.0,991.0,978.0,984.0,882.7293701171875,83600
2019-09-09,984.0,1005.0,984.0,996.0,893.494384765625,96600
2019-09-10,1000.0,1025.0,999.0,1025.0,919.509765625,161400
2019-09-11,1035.0,1051.0,1030.0,1051.0,942.8339233398438,105500
2019-09-12,1065.0,1075.0,1059.0,1065.0,955.3931274414062,117400
2019-09-13,1069.0,1069.0,1053.0,1059.0,950.0106811523438,114900
2019-09-17,1049.0,1049.0,1022.0,1031.0,924.8922119140625,182900
2019-09-18,1033.0,1033.0,1000.0,1000.0,897.0827026367188,204100
2019-09-19,1009.0,1031.0,1004.0,1014.0,909.6419067382812,236600
2019-09-20,1014.0,1019.0,1006.0,1016.0,911.43603515625,222600
2019-09-24,1015.0,1023.0,1005.0,1017.0,912.3331298828125,203800
2019-09-25,1027.0,1034.0,1011.0,1026.0,920.4068603515625,211300
2019-09-26,1040.0,1048.0,1025.0,1029.0,923.09814453125,172300
2019-09-27,1021.0,1021.0,991.0,1003.0,922.1787109375,196400
2019-09-30,996.0,999.0,981.0,986.0,906.5485229492188,151000
2019-10-01,1000.0,1022.0,1000.0,1011.0,929.5340576171875,134700
2019-10-02,989.0,1009.0,986.0,1001.0,920.33984375,93200
2019-10-03,980.0,983.0,965.0,969.0,890.9183959960938,139800
2019-10-04,968.0,974.0,962.0,970.0,891.8378295898438,104500
2019-10-07,970.0,976.0,958.0,966.0,888.1600952148438,120500
2019-10-08,978.0,988.0,974.0,982.0,902.8709106445312,80400
2019-10-09,970.0,979.0,969.0,976.0,897.3543701171875,114800
2019-10-10,981.0,989.0,971.0,976.0,897.3543701171875,221500
2019-10-11,991.0,1003.0,978.0,998.0,917.5816040039062,219200
2019-10-15,1019.0,1042.0,1019.0,1030.0,947.0030517578125,141800
2019-10-16,1050.0,1066.0,1038.0,1038.0,954.3583984375,159600
2019-10-17,1049.0,1052.0,1032.0,1032.0,948.8419189453125,101800
2019-10-18,1040.0,1048.0,1020.0,1026.0,943.3253784179688,122800
2019-10-21,1026.0,1034.0,1018.0,1019.0,936.889404296875,126700
2019-10-23,1022.0,1049.0,1019.0,1049.0,964.4720458984375,150600
