Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,8294.0,8553.0,8213.0,8553.0,8084.74755859375,1052000
2019-01-07,8795.0,8822.0,8541.0,8561.0,8092.31103515625,941400
2019-01-08,8608.0,8742.0,8471.0,8625.0,8152.80517578125,888900
2019-01-09,8705.0,8988.0,8680.0,8932.0,8442.998046875,869000
2019-01-10,8907.0,8973.0,8552.0,8571.0,8101.76171875,962900
2019-01-11,8558.0,8670.0,8498.0,8517.0,8050.7177734375,1183500
2019-01-15,8403.0,8594.0,8370.0,8560.0,8091.365234375,793500
2019-01-16,8617.0,8828.0,8522.0,8574.0,8104.5986328125,739400
2019-01-17,8574.0,8708.0,8549.0,8667.0,8192.5068359375,502300
2019-01-18,8664.0,8865.0,8609.0,8794.0,8312.5537109375,634400
2019-01-21,8852.0,8870.0,8724.0,8771.0,8290.8125,510800
2019-01-22,8856.0,8970.0,8721.0,8774.0,8293.6474609375,774200
2019-01-23,8620.0,8813.0,8607.0,8768.0,8287.9765625,590900
2019-01-24,8702.0,8718.0,8571.0,8658.0,8183.99951171875,571700
2019-01-25,8605.0,8695.0,8588.0,8602.0,8131.06591796875,619500
2019-01-28,8567.0,8660.0,8473.0,8630.0,8157.53369140625,606700
2019-01-29,8563.0,8722.0,8526.0,8716.0,8238.8232421875,739900
2019-01-30,8800.0,8800.0,8681.0,8717.0,8239.7705078125,772100
2019-01-31,8500.0,8549.0,8276.0,8419.0,7958.083984375,1418100
2019-02-01,8507.0,8646.0,8461.0,8612.0,8140.51806640625,881000
2019-02-04,8654.0,8922.0,8650.0,8876.0,8390.064453125,959600
2019-02-05,8989.0,9210.0,8962.0,9027.0,8532.798828125,1172600
2019-02-06,8994.0,9097.0,8805.0,8806.0,8323.8974609375,834200
2019-02-07,8796.0,8813.0,8471.0,8611.0,8139.57177734375,843200
2019-02-08,8450.0,8509.0,8319.0,8321.0,7865.44921875,1203700
2019-02-12,8391.0,8756.0,8355.0,8697.0,8220.8642578125,1185400
2019-02-13,8725.0,8823.0,8662.0,8701.0,8224.6455078125,875400
2019-02-14,8710.0,8845.0,8645.0,8653.0,8179.27294921875,725400
2019-02-15,8636.0,8650.0,8492.0,8546.0,8078.13134765625,719300
2019-02-18,8686.0,8830.0,8672.0,8760.0,8280.4150390625,727500
2019-02-19,8778.0,8813.0,8729.0,8772.0,8291.7587890625,434800
2019-02-20,8817.0,8955.0,8779.0,8909.0,8421.2587890625,712900
2019-02-21,8938.0,9072.0,8892.0,9035.0,8540.3603515625,1006200
2019-02-22,8992.0,9020.0,8887.0,8922.0,8433.5458984375,591900
2019-02-25,9006.0,9068.0,8978.0,9013.0,8519.564453125,530500
2019-02-26,9039.0,9184.0,9000.0,9174.0,8671.7509765625,752800
2019-02-27,9241.0,9400.0,9197.0,9387.0,8873.08984375,924500
2019-02-28,9363.0,9375.0,9179.0,9195.0,8691.6005859375,818500
2019-03-01,9311.0,9429.0,9286.0,9414.0,8898.611328125,647800
