Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2556.0,2655.0,2556.0,2648.0,2427.88818359375,719700
2019-01-07,2698.0,2717.0,2658.0,2707.0,2481.98388671875,486900
2019-01-08,2688.0,2710.0,2630.0,2636.0,2416.885498046875,865000
2019-01-09,2660.0,2709.0,2645.0,2685.0,2461.812744140625,382300
2019-01-10,2650.0,2701.0,2628.0,2674.0,2451.726806640625,419100
2019-01-11,2714.0,2753.0,2702.0,2740.0,2512.24072265625,503900
2019-01-15,2728.0,2750.0,2701.0,2709.0,2483.817626953125,564600
2019-01-16,2759.0,2761.0,2706.0,2720.0,2493.9033203125,368100
2019-01-17,2763.0,2763.0,2730.0,2758.0,2528.74462890625,428600
2019-01-18,2776.0,2802.0,2766.0,2766.0,2536.079345703125,426400
2019-01-21,2790.0,2805.0,2772.0,2774.0,2543.41455078125,333900
2019-01-22,2805.0,2814.0,2744.0,2754.0,2525.0771484375,294300
2019-01-23,2760.0,2782.0,2739.0,2761.0,2531.495361328125,359100
2019-01-24,2761.0,2800.0,2733.0,2796.0,2563.5859375,331200
2019-01-25,2784.0,2822.0,2774.0,2808.0,2574.58837890625,557200
2019-01-28,2793.0,2812.0,2777.0,2778.0,2547.081787109375,330700
2019-01-29,2766.0,2787.0,2753.0,2761.0,2531.495361328125,655300
2019-01-30,2747.0,2754.0,2710.0,2715.0,2489.31884765625,533400
2019-01-31,2765.0,2780.0,2713.0,2717.0,2491.15283203125,580300
2019-02-01,2745.0,2773.0,2719.0,2736.0,2508.572998046875,756200
2019-02-04,2751.0,2774.0,2741.0,2749.0,2520.49267578125,440500
2019-02-05,2786.0,2809.0,2762.0,2769.0,2538.830078125,401300
2019-02-06,2767.0,2769.0,2733.0,2764.0,2534.245849609375,364400
2019-02-07,2764.0,2774.0,2739.0,2757.0,2527.827392578125,393800
2019-02-08,2727.0,2732.0,2705.0,2717.0,2491.15283203125,319900
2019-02-12,2737.0,2770.0,2719.0,2761.0,2531.495361328125,502200
2019-02-13,2773.0,2799.0,2743.0,2755.0,2525.993896484375,555200
2019-02-14,2783.0,2847.0,2768.0,2773.0,2542.49755859375,567000
2019-02-15,2768.0,2795.0,2752.0,2787.0,2555.333984375,392300
2019-02-18,2824.0,2827.0,2791.0,2797.0,2564.502685546875,327300
2019-02-19,2812.0,2833.0,2792.0,2831.0,2595.676513671875,416100
2019-02-20,2821.0,2828.0,2788.0,2827.0,2592.0087890625,473600
2019-02-21,2825.0,2848.0,2808.0,2844.0,2607.595947265625,527500
2019-02-22,2851.0,2866.0,2806.0,2815.0,2581.006591796875,565700
2019-02-25,2814.0,2839.0,2801.0,2833.0,2597.51025390625,412100
2019-02-26,2815.0,2835.0,2805.0,2827.0,2592.0087890625,526300
2019-02-27,2820.0,2836.0,2809.0,2813.0,2579.172607421875,628600
2019-02-28,2804.0,2819.0,2772.0,2784.0,2552.583251953125,551300
2019-03-01,2779.0,2789.0,2755.0,2769.0,2538.830078125,400600
2019-03-04,2761.0,2773.0,2739.0,2749.0,2520.49267578125,365600
2019-03-05,2735.0,2748.0,2717.0,2719.0,2492.986328125,342000
2019-03-06,2722.0,2733.0,2713.0,2726.0,2499.40478515625,449500
2019-03-07,2718.0,2731.0,2701.0,2708.0,2482.900634765625,421200
2019-03-08,2705.0,2717.0,2644.0,2644.0,2424.220703125,575100
2019-03-11,2626.0,2689.0,2626.0,2688.0,2464.563232421875,325400
2019-03-12,2701.0,2734.0,2691.0,2716.0,2490.23583984375,204500
2019-03-13,2709.0,2719.0,2696.0,2705.0,2480.14990234375,206200
2019-03-14,2702.0,2721.0,2688.0,2692.0,2468.230712890625,318000
2019-03-15,2730.0,2756.0,2716.0,2720.0,2493.9033203125,705600
2019-03-18,2750.0,2752.0,2715.0,2731.0,2503.98876953125,196500
2019-03-19,2762.0,2762.0,2728.0,2754.0,2525.0771484375,331100
2019-03-20,2745.0,2759.0,2707.0,2734.0,2506.7392578125,502900
2019-03-22,2737.0,2773.0,2718.0,2772.0,2541.580810546875,614700
2019-03-25,2751.0,2753.0,2722.0,2738.0,2510.406982421875,274400
2019-03-26,2774.0,2799.0,2755.0,2787.0,2555.333984375,375900
2019-03-27,2707.0,2712.0,2617.0,2665.0,2479.05517578125,731700
2019-03-28,2666.0,2676.0,2631.0,2651.0,2466.0322265625,334100
2019-03-29,2674.0,2705.0,2669.0,2696.0,2507.892333984375,723400
2019-04-01,2721.0,2776.0,2716.0,2757.0,2564.635986328125,293400
2019-04-02,2750.0,2751.0,2711.0,2720.0,2530.2177734375,272200
2019-04-03,2720.0,2720.0,2690.0,2705.0,2516.26416015625,252600
2019-04-04,2686.0,2687.0,2662.0,2680.0,2493.00830078125,233800
2019-04-05,2681.0,2706.0,2675.0,2687.0,2499.520263671875,359700
2019-04-08,2689.0,2707.0,2680.0,2685.0,2497.659912109375,135400
2019-04-09,2670.0,2680.0,2638.0,2648.0,2463.241455078125,246500
2019-04-10,2610.0,2637.0,2597.0,2610.0,2427.892822265625,276200
2019-04-11,2620.0,2625.0,2596.0,2618.0,2435.334228515625,244400
2019-04-12,2642.0,2655.0,2601.0,2613.0,2430.68359375,441500
2019-04-15,2683.0,2696.0,2650.0,2657.0,2471.613525390625,458100
2019-04-16,2656.0,2671.0,2629.0,2636.0,2452.07861328125,409100
2019-04-17,2627.0,2635.0,2594.0,2599.0,2417.66015625,542300
2019-04-18,2591.0,2593.0,2557.0,2559.0,2380.451171875,401600
2019-04-19,2546.0,2552.0,2522.0,2541.0,2363.70703125,345400
2019-04-22,2534.0,2561.0,2516.0,2548.0,2370.21875,253800
2019-04-23,2567.0,2580.0,2550.0,2552.0,2373.939697265625,408400
2019-04-24,2548.0,2552.0,2459.0,2466.0,2293.93994140625,756000
2019-04-25,2488.0,2561.0,2488.0,2559.0,2380.451171875,936200
2019-04-26,2509.0,2583.0,2509.0,2580.0,2399.986083984375,772600
2019-05-07,2385.0,2411.0,2337.0,2396.0,2228.82421875,1269300
2019-05-08,2342.0,2365.0,2301.0,2337.0,2173.940673828125,1085300
2019-05-09,2300.0,2302.0,2200.0,2291.0,2131.150146484375,1233900
2019-05-10,2241.0,2300.0,2241.0,2290.0,2130.22021484375,839800
2019-05-13,2240.0,2303.0,2240.0,2284.0,2124.638671875,539700
2019-05-14,2281.0,2290.0,2243.0,2270.0,2111.615478515625,481300
2019-05-15,2300.0,2300.0,2266.0,2288.0,2128.359375,583200
2019-05-16,2310.0,2335.0,2288.0,2321.0,2159.057373046875,710900
2019-05-17,2350.0,2377.0,2330.0,2342.0,2178.592041015625,696900
2019-05-20,2340.0,2358.0,2312.0,2323.0,2160.917724609375,422200
2019-05-21,2326.0,2360.0,2326.0,2347.0,2183.242919921875,899500
