Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,289.0,293.0,284.0,290.0,253.80868530273438,726000
2019-01-07,303.0,307.0,295.0,297.0,259.93511962890625,676500
2019-01-08,297.0,310.0,297.0,303.0,265.1863098144531,698000
2019-01-09,303.0,304.0,293.0,296.0,259.0599060058594,933300
2019-01-10,301.0,303.0,295.0,301.0,263.4359130859375,787200
2019-01-11,302.0,303.0,299.0,301.0,263.4359130859375,334900
2019-01-15,295.0,305.0,291.0,305.0,266.93670654296875,553000
2019-01-16,308.0,309.0,297.0,297.0,259.93511962890625,559600
2019-01-17,302.0,306.0,298.0,299.0,261.6855163574219,407800
2019-01-18,300.0,304.0,300.0,301.0,263.4359130859375,516200
2019-01-21,304.0,320.0,303.0,317.0,277.43914794921875,850300
2019-01-22,320.0,323.0,305.0,306.0,267.8119201660156,718200
2019-01-23,302.0,302.0,296.0,300.0,262.56072998046875,616800
2019-01-24,299.0,305.0,298.0,304.0,266.0614929199219,263500
2019-01-25,306.0,311.0,306.0,307.0,268.6871337890625,471900
2019-01-28,305.0,309.0,300.0,300.0,262.56072998046875,333400
2019-01-29,300.0,301.0,295.0,299.0,261.6855163574219,468600
2019-01-30,300.0,302.0,293.0,293.0,256.4342956542969,511100
2019-01-31,297.0,305.0,297.0,305.0,266.93670654296875,541900
2019-02-01,301.0,305.0,301.0,302.0,264.3111267089844,291400
2019-02-04,306.0,314.0,306.0,312.0,273.0631408691406,504000
2019-02-05,315.0,315.0,307.0,308.0,269.5623474121094,297500
2019-02-06,309.0,311.0,304.0,308.0,269.5623474121094,336700
2019-02-07,309.0,309.0,298.0,301.0,263.4359130859375,505600
2019-02-08,296.0,297.0,288.0,291.0,254.68389892578125,959100
2019-02-12,259.0,268.0,255.0,265.0,231.9286346435547,1997400
2019-02-13,271.0,285.0,271.0,277.0,242.43106079101562,1350900
2019-02-14,278.0,281.0,275.0,277.0,242.43106079101562,580900
2019-02-15,273.0,278.0,270.0,271.0,237.1798553466797,681000
2019-02-18,280.0,289.0,279.0,287.0,251.18310546875,699400
2019-02-19,285.0,295.0,285.0,291.0,254.68389892578125,346000
2019-02-20,292.0,298.0,288.0,292.0,255.55911254882812,401600
2019-02-21,293.0,295.0,288.0,290.0,253.80868530273438,389700
2019-02-22,288.0,289.0,281.0,284.0,248.55747985839844,530100
2019-02-25,284.0,284.0,279.0,281.0,245.93186950683594,520500
2019-02-26,279.0,281.0,276.0,277.0,242.43106079101562,380500
2019-02-27,275.0,280.0,274.0,277.0,242.43106079101562,418500
2019-02-28,276.0,282.0,275.0,276.0,241.55584716796875,591400
2019-03-01,277.0,279.0,275.0,275.0,240.68064880371094,351300
2019-03-04,278.0,282.0,277.0,281.0,245.93186950683594,357200
2019-03-05,280.0,283.0,278.0,278.0,243.30625915527344,317100
2019-03-06,278.0,279.0,274.0,274.0,239.80545043945312,559200
2019-03-07,271.0,272.0,266.0,267.0,233.6790313720703,624000
2019-03-08,264.0,265.0,259.0,260.0,227.5526123046875,726300
2019-03-11,258.0,265.0,257.0,261.0,228.42782592773438,525000
2019-03-12,264.0,264.0,261.0,264.0,231.05343627929688,290500
2019-03-13,262.0,262.0,252.0,253.0,221.42620849609375,684600
2019-03-14,257.0,259.0,254.0,257.0,224.92701721191406,641300
2019-03-15,255.0,260.0,254.0,257.0,224.92701721191406,608400
2019-03-18,260.0,265.0,259.0,261.0,228.42782592773438,397000
2019-03-19,264.0,265.0,260.0,263.0,230.17822265625,331800
2019-03-20,264.0,268.0,264.0,265.0,231.9286346435547,302700
2019-03-22,265.0,270.0,263.0,270.0,236.30465698242188,630100
2019-03-25,264.0,264.0,258.0,259.0,226.6774139404297,569500
2019-03-26,261.0,265.0,258.0,262.0,229.3030242919922,430200
2019-03-27,258.0,259.0,255.0,259.0,235.67254638671875,444100
2019-03-28,256.0,258.0,254.0,254.0,231.12289428710938,453200
2019-03-29,254.0,256.0,252.0,252.0,229.30303955078125,536700
2019-04-01,256.0,266.0,256.0,264.0,240.22222900390625,727900
2019-04-02,266.0,267.0,262.0,265.0,241.1321563720703,322600
2019-04-03,265.0,269.0,261.0,268.0,243.86195373535156,339400
2019-04-04,267.0,271.0,265.0,267.0,242.95201110839844,370700
2019-04-05,266.0,270.0,264.0,268.0,243.86195373535156,346800
2019-04-08,272.0,275.0,268.0,268.0,243.86195373535156,405000
2019-04-09,272.0,277.0,270.0,272.0,247.50167846679688,617700
2019-04-10,267.0,268.0,263.0,267.0,242.95201110839844,505700
2019-04-11,266.0,273.0,264.0,272.0,247.50167846679688,322000
2019-04-12,271.0,271.0,265.0,267.0,242.95201110839844,493200
2019-04-15,268.0,274.0,267.0,274.0,249.32154846191406,430800
2019-04-16,274.0,274.0,265.0,266.0,242.04208374023438,585600
2019-04-17,268.0,275.0,266.0,273.0,248.41162109375,669800
2019-04-18,272.0,274.0,270.0,270.0,245.68182373046875,225000
2019-04-19,273.0,274.0,269.0,270.0,245.68182373046875,351900
2019-04-22,271.0,275.0,268.0,273.0,248.41162109375,266900
2019-04-23,276.0,286.0,272.0,275.0,250.23147583007812,1003100
2019-04-24,278.0,278.0,272.0,274.0,249.32154846191406,425600
2019-04-25,277.0,283.0,275.0,283.0,257.51092529296875,805000
2019-04-26,280.0,281.0,276.0,278.0,252.96127319335938,512900
2019-05-07,273.0,273.0,263.0,264.0,240.22222900390625,720000
2019-05-08,260.0,261.0,255.0,258.0,234.7626190185547,665500
2019-05-09,257.0,258.0,254.0,255.0,232.03282165527344,593300
2019-05-10,267.0,271.0,254.0,258.0,234.7626190185547,1395900
2019-05-13,256.0,257.0,246.0,247.0,224.75335693359375,1163500
2019-05-14,240.0,246.0,232.0,244.0,222.02357482910156,1131900
2019-05-15,245.0,253.0,242.0,252.0,229.30303955078125,691300
2019-05-16,254.0,255.0,250.0,254.0,231.12289428710938,641800
2019-05-17,259.0,268.0,259.0,266.0,242.04208374023438,719600
2019-05-20,265.0,266.0,261.0,264.0,240.22222900390625,244300
2019-05-21,262.0,269.0,259.0,266.0,242.04208374023438,646800
2019-05-22,267.0,274.0,266.0,272.0,247.50167846679688,662700
2019-05-23,269.0,269.0,259.0,264.0,240.22222900390625,688700
2019-05-24,257.0,264.0,254.0,261.0,237.492431640625,1017700
2019-05-27,264.0,269.0,260.0,262.0,238.40235900878906,563300
2019-05-28,262.0,265.0,259.0,260.0,236.58248901367188,450900
2019-05-29,260.0,266.0,258.0,265.0,241.1321563720703,428600
2019-05-30,262.0,267.0,261.0,265.0,241.1321563720703,373200
2019-05-31,261.0,263.0,255.0,260.0,236.58248901367188,639100
2019-06-03,252.0,254.0,247.0,252.0,229.30303955078125,844600
2019-06-04,251.0,260.0,251.0,259.0,235.67254638671875,591700
2019-06-05,264.0,265.0,259.0,262.0,238.40235900878906,257200
2019-06-06,259.0,260.0,256.0,256.0,232.94276428222656,391000
2019-06-07,261.0,262.0,257.0,258.0,234.7626190185547,352700
2019-06-10,263.0,269.0,263.0,268.0,243.86195373535156,406100
2019-06-11,267.0,270.0,265.0,267.0,242.95201110839844,347200
2019-06-12,265.0,269.0,264.0,269.0,244.77188110351562,249100
2019-06-13,264.0,265.0,259.0,260.0,236.58248901367188,461500
