Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1915.0,1970.0,1876.0,1891.0,1814.390380859375,82200
2019-01-07,2004.0,2016.0,1950.0,1977.0,1896.90625,78100
2019-01-08,2001.0,2073.0,1998.0,2041.0,1958.3134765625,105400
2019-01-09,2030.0,2068.0,1993.0,2017.0,1935.28564453125,65300
2019-01-10,1986.0,1995.0,1950.0,1960.0,1880.594970703125,42600
2019-01-11,1969.0,2069.0,1957.0,2050.0,1966.9488525390625,159400
2019-01-15,2000.0,2075.0,1999.0,2056.0,1972.705810546875,31100
2019-01-16,2090.0,2131.0,2069.0,2098.0,2013.0042724609375,77900
2019-01-17,2067.0,2103.0,2031.0,2054.0,1970.786865234375,35700
2019-01-18,2054.0,2099.0,2040.0,2067.0,1983.26025390625,17200
2019-01-21,2109.0,2132.0,2094.0,2104.0,2018.76123046875,25000
2019-01-22,2104.0,2130.0,2070.0,2081.0,1996.69287109375,22100
2019-01-23,2051.0,2065.0,2017.0,2052.0,1968.8675537109375,33500
2019-01-24,2042.0,2116.0,2026.0,2100.0,2014.9229736328125,51300
2019-01-25,2100.0,2163.0,2100.0,2137.0,2050.42431640625,41400
2019-01-28,2143.0,2165.0,2076.0,2089.0,2004.3687744140625,44500
2019-01-29,2116.0,2116.0,2046.0,2093.0,2008.20703125,32100
2019-01-30,2117.0,2117.0,2043.0,2045.0,1962.1514892578125,54700
2019-01-31,2095.0,2148.0,2065.0,2130.0,2043.707763671875,38000
2019-02-01,2047.0,2118.0,2037.0,2041.0,1958.3134765625,50200
2019-02-04,2078.0,2156.0,2071.0,2155.0,2067.695068359375,58300
2019-02-05,2146.0,2149.0,2082.0,2106.0,2020.6800537109375,62800
2019-02-06,2132.0,2141.0,2087.0,2121.0,2035.0723876953125,42200
2019-02-07,2102.0,2102.0,2038.0,2061.0,1977.5030517578125,40900
2019-02-08,2030.0,2081.0,2019.0,2063.0,1979.4222412109375,40600
2019-02-12,2091.0,2130.0,2076.0,2107.0,2021.6395263671875,63800
2019-02-13,2107.0,2123.0,2069.0,2115.0,2029.3155517578125,83100
2019-02-14,2114.0,2162.0,2112.0,2154.0,2066.7353515625,31300
2019-02-15,2117.0,2124.0,2088.0,2110.0,2024.51806640625,24700
2019-02-18,2130.0,2179.0,2127.0,2179.0,2090.722412109375,36300
2019-02-19,2206.0,2239.0,2199.0,2205.0,2115.6689453125,39600
2019-02-20,2194.0,2221.0,2166.0,2177.0,2088.8037109375,35100
2019-02-21,2166.0,2228.0,2158.0,2185.0,2096.479736328125,75800
2019-02-22,2185.0,2208.0,2160.0,2207.0,2117.588134765625,28400
2019-02-25,2194.0,2202.0,2175.0,2189.0,2100.3173828125,48700
2019-02-26,2168.0,2176.0,2129.0,2131.0,2044.66748046875,56500
2019-02-27,2133.0,2148.0,2105.0,2118.0,2032.19384765625,72700
2019-02-28,2118.0,2136.0,2079.0,2102.0,2016.84228515625,67900
2019-03-01,2100.0,2127.0,2095.0,2100.0,2014.9229736328125,35500
2019-03-04,2147.0,2147.0,2083.0,2107.0,2021.6395263671875,36900
2019-03-05,2081.0,2111.0,2079.0,2096.0,2011.085205078125,41100
2019-03-06,2083.0,2097.0,2068.0,2089.0,2004.3687744140625,37000
2019-03-07,2071.0,2083.0,2014.0,2027.0,1944.880615234375,50800
2019-03-08,1977.0,1984.0,1934.0,1946.0,1867.1622314453125,82000
2019-03-11,1957.0,1957.0,1914.0,1914.0,1836.45849609375,33500
2019-03-12,1909.0,1930.0,1893.0,1911.0,1833.580078125,118700
2019-03-13,1914.0,1970.0,1887.0,1915.0,1837.4180908203125,78700
2019-03-14,1918.0,1933.0,1911.0,1919.0,1841.2559814453125,42600
2019-03-15,1919.0,1964.0,1913.0,1956.0,1876.7569580078125,79100
2019-03-18,1955.0,1980.0,1945.0,1951.0,1871.9595947265625,47800
2019-03-19,1955.0,1955.0,1907.0,1909.0,1831.6611328125,65300
2019-03-20,1924.0,1936.0,1910.0,1926.0,1847.972412109375,140300
2019-03-22,1948.0,1988.0,1930.0,1988.0,1907.4605712890625,89000
2019-03-25,1935.0,1935.0,1866.0,1873.0,1797.1195068359375,98100
2019-03-26,1871.0,1901.0,1858.0,1875.0,1799.0386962890625,140700
