Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,969.0,971.0,942.0,958.0,873.638916015625,52300
2019-01-07,1003.0,1026.0,1002.0,1005.0,916.5001831054688,35200
2019-01-08,975.0,1016.0,973.0,1003.0,914.67626953125,80100
2019-01-09,1012.0,1030.0,999.0,1026.0,935.65087890625,41600
2019-01-10,1013.0,1021.0,1000.0,1011.0,921.9718017578125,36500
2019-01-11,1011.0,1040.0,1011.0,1034.0,942.9464111328125,27100
2019-01-15,1007.0,1044.0,1002.0,1034.0,942.9464111328125,50800
2019-01-16,1035.0,1042.0,1018.0,1035.0,943.8583374023438,24200
2019-01-17,1043.0,1068.0,1043.0,1052.0,959.3613891601562,26800
2019-01-18,1051.0,1069.0,1040.0,1043.0,951.1539306640625,41000
2019-01-21,1059.0,1080.0,1059.0,1068.0,973.9524536132812,24000
2019-01-22,1068.0,1080.0,1060.0,1069.0,974.8643798828125,17500
2019-01-23,1052.0,1067.0,1032.0,1034.0,942.9464111328125,26700
2019-01-24,1029.0,1062.0,1027.0,1046.0,953.8897705078125,18400
2019-01-25,1062.0,1077.0,1054.0,1055.0,962.09716796875,24300
2019-01-28,1057.0,1059.0,1043.0,1043.0,951.1539306640625,16200
2019-01-29,1031.0,1041.0,1014.0,1035.0,943.8583374023438,23900
2019-01-30,1035.0,1043.0,1009.0,1011.0,921.9718017578125,41500
2019-01-31,1019.0,1046.0,1012.0,1019.0,929.267333984375,67000
2019-02-01,1049.0,1117.0,1044.0,1103.0,1005.8703002929688,77900
2019-02-04,1109.0,1147.0,1100.0,1145.0,1044.1717529296875,54600
2019-02-05,1139.0,1149.0,1121.0,1129.0,1029.580810546875,28400
2019-02-06,1141.0,1151.0,1121.0,1130.0,1030.49267578125,29700
2019-02-07,1120.0,1128.0,1093.0,1105.0,1007.694091796875,26900
2019-02-08,1094.0,1096.0,1046.0,1046.0,953.8897705078125,35100
2019-02-12,1074.0,1115.0,1074.0,1115.0,1016.8135986328125,40500
2019-02-13,1120.0,1136.0,1101.0,1121.0,1022.2852172851562,24300
2019-02-14,1131.0,1140.0,1119.0,1129.0,1029.580810546875,25500
2019-02-15,1121.0,1121.0,1095.0,1116.0,1017.7255249023438,22700
2019-02-18,1140.0,1150.0,1130.0,1134.0,1034.140625,36400
2019-02-19,1134.0,1151.0,1126.0,1137.0,1036.876220703125,16500
2019-02-20,1137.0,1140.0,1121.0,1124.0,1025.0211181640625,19700
2019-02-21,1118.0,1132.0,1109.0,1124.0,1025.0211181640625,20800
2019-02-22,1123.0,1123.0,1100.0,1109.0,1011.3419799804688,12500
2019-02-25,1122.0,1127.0,1104.0,1113.0,1014.9896850585938,18900
2019-02-26,1118.0,1118.0,1091.0,1094.0,997.6627807617188,22000
2019-02-27,1095.0,1097.0,1067.0,1076.0,981.2479248046875,28100
2019-02-28,1066.0,1100.0,1059.0,1094.0,997.6627807617188,42500
2019-03-01,1093.0,1103.0,1079.0,1083.0,987.6315307617188,30300
2019-03-04,1099.0,1103.0,1076.0,1092.0,995.8389892578125,34700
2019-03-05,1080.0,1081.0,1061.0,1070.0,975.7763671875,30400
2019-03-06,1066.0,1077.0,1056.0,1063.0,969.3927001953125,36300
2019-03-07,1053.0,1053.0,1014.0,1017.0,927.4434814453125,54500
2019-03-08,992.0,1006.0,967.0,967.0,881.846435546875,64800
2019-03-11,970.0,970.0,938.0,950.0,866.3434448242188,62900
2019-03-12,964.0,969.0,936.0,958.0,873.638916015625,54400
2019-03-13,955.0,962.0,928.0,931.0,849.0166015625,38900
2019-03-14,933.0,943.0,913.0,920.0,838.9851684570312,33300
2019-03-15,924.0,959.0,915.0,948.0,864.5196533203125,91700
2019-03-18,941.0,941.0,912.0,928.0,846.28076171875,129200
2019-03-19,931.0,934.0,915.0,915.0,834.4254760742188,68600
2019-03-20,916.0,926.0,909.0,913.0,832.6016235351562,110900
2019-03-22,920.0,937.0,915.0,937.0,854.4882202148438,208200
2019-03-25,913.0,914.0,895.0,907.0,827.1300048828125,118500
2019-03-26,907.0,953.0,905.0,949.0,865.4314575195312,184500
2019-03-27,937.0,949.0,917.0,947.0,875.6021728515625,90400
2019-03-28,931.0,931.0,906.0,907.0,838.617919921875,52300
2019-03-29,907.0,917.0,894.0,896.0,828.4472045898438,64800
2019-04-01,916.0,937.0,916.0,932.0,861.7330932617188,77600
2019-04-02,921.0,937.0,910.0,911.0,842.3163452148438,79400
2019-04-03,916.0,931.0,907.0,931.0,860.8085327148438,37400
2019-04-04,928.0,939.0,921.0,930.0,859.8839111328125,37600
2019-04-05,922.0,948.0,922.0,947.0,875.6021728515625,44900
2019-04-08,946.0,956.0,929.0,935.0,864.5068969726562,15000
2019-04-09,931.0,949.0,920.0,949.0,877.4513549804688,24300
2019-04-10,930.0,951.0,921.0,948.0,876.52685546875,21500
2019-04-11,948.0,948.0,934.0,946.0,874.6775512695312,18000
2019-04-12,947.0,967.0,946.0,961.0,888.5466918945312,44500
2019-04-15,970.0,1001.0,970.0,998.0,922.7571411132812,52800
2019-04-16,998.0,1009.0,981.0,994.0,919.0586547851562,33600
2019-04-17,986.0,1005.0,980.0,1000.0,924.6063232421875,29800
2019-04-18,998.0,1006.0,990.0,994.0,919.0586547851562,27000
2019-04-19,993.0,999.0,980.0,982.0,907.96337890625,40700
2019-04-22,972.0,981.0,961.0,968.0,895.0189208984375,24000
2019-04-23,964.0,989.0,958.0,988.0,913.5110473632812,41200
2019-04-24,978.0,1002.0,970.0,973.0,899.6419677734375,39900
2019-04-25,974.0,985.0,969.0,978.0,904.2649536132812,40900
2019-04-26,963.0,963.0,943.0,953.0,881.1497802734375,42900
2019-05-07,954.0,954.0,906.0,910.0,841.3916625976562,50400
2019-05-08,900.0,900.0,883.0,894.0,826.5980224609375,60900
2019-05-09,887.0,889.0,848.0,852.0,787.7645263671875,58900
2019-05-10,857.0,871.0,837.0,840.0,776.6692504882812,60400
2019-05-13,800.0,805.0,693.0,706.0,652.7720336914062,234300
2019-05-14,720.0,742.0,717.0,742.0,686.0579223632812,153200
2019-05-15,745.0,750.0,715.0,749.0,692.5301513671875,74500
2019-05-16,751.0,751.0,734.0,738.0,682.3594360351562,63700
2019-05-17,742.0,753.0,727.0,742.0,686.0579223632812,55800
2019-05-20,739.0,751.0,729.0,740.0,684.2086791992188,75500
2019-05-21,735.0,747.0,720.0,740.0,684.2086791992188,48800
2019-05-22,737.0,749.0,736.0,738.0,682.3594360351562,51500
2019-05-23,735.0,745.0,727.0,745.0,688.8316650390625,45300
2019-05-24,734.0,751.0,733.0,748.0,691.6055297851562,29100
2019-05-27,744.0,753.0,742.0,745.0,688.8316650390625,21600
2019-05-28,745.0,751.0,736.0,751.0,694.37939453125,49100
2019-05-29,736.0,753.0,728.0,739.0,683.2840576171875,48800
2019-05-30,737.0,745.0,726.0,732.0,676.8118286132812,45500
2019-05-31,726.0,727.0,706.0,709.0,655.5458374023438,50800
2019-06-03,694.0,715.0,691.0,708.0,654.6212158203125,103600
2019-06-04,719.0,733.0,718.0,726.0,671.2642211914062,77400
2019-06-05,741.0,774.0,741.0,762.0,704.5499877929688,64000
2019-06-06,765.0,779.0,762.0,767.0,709.173095703125,66300
2019-06-07,762.0,780.0,758.0,770.0,711.9468383789062,41500
2019-06-10,772.0,793.0,772.0,783.0,723.9667358398438,62400
2019-06-11,782.0,810.0,774.0,800.0,739.68505859375,78100
2019-06-12,803.0,807.0,797.0,797.0,736.9111938476562,65900
2019-06-13,795.0,801.0,785.0,786.0,726.7405395507812,92100
2019-06-14,784.0,796.0,776.0,776.0,717.4945068359375,73400
2019-06-17,750.0,762.0,738.0,754.0,697.1531982421875,100700
2019-06-18,750.0,763.0,731.0,731.0,675.88720703125,42700
2019-06-19,741.0,753.0,734.0,737.0,681.4348754882812,85100
2019-06-20,743.0,743.0,719.0,724.0,669.4149780273438,83100
2019-06-21,730.0,783.0,725.0,782.0,723.0421142578125,142400
2019-06-24,771.0,790.0,764.0,770.0,711.9468383789062,131600
2019-06-25,763.0,778.0,758.0,758.0,700.8516235351562,66100
2019-06-26,745.0,757.0,740.0,741.0,685.13330078125,59200
2019-06-27,740.0,772.0,740.0,771.0,712.8714599609375,33300
2019-06-28,769.0,775.0,762.0,766.0,708.2484130859375,52100
2019-07-01,780.0,801.0,770.0,801.0,740.609619140625,94000
2019-07-02,787.0,806.0,778.0,800.0,739.68505859375,79500
2019-07-03,794.0,800.0,788.0,795.0,735.06201171875,40100
2019-07-04,793.0,803.0,792.0,794.0,734.1373901367188,86100
2019-07-05,800.0,805.0,789.0,794.0,734.1373901367188,107800
2019-07-08,795.0,808.0,792.0,793.0,733.2127685546875,43600
2019-07-09,791.0,795.0,770.0,770.0,711.9468383789062,48900
2019-07-10,764.0,765.0,753.0,756.0,699.0023803710938,68800
2019-07-11,756.0,774.0,756.0,766.0,708.2484130859375,35800
2019-07-12,766.0,766.0,749.0,753.0,696.228515625,43200
2019-07-16,753.0,761.0,743.0,745.0,688.8316650390625,42900
2019-07-17,747.0,750.0,736.0,737.0,681.4348754882812,38100
2019-07-18,735.0,735.0,708.0,711.0,657.39501953125,69200
2019-07-19,716.0,732.0,710.0,727.0,672.1887817382812,48900
2019-07-22,728.0,743.0,727.0,738.0,682.3594360351562,44000
2019-07-23,738.0,749.0,735.0,744.0,687.9071044921875,39100
2019-07-24,750.0,758.0,745.0,747.0,690.680908203125,46100
2019-07-25,748.0,749.0,736.0,747.0,690.680908203125,27200
2019-07-26,745.0,747.0,729.0,733.0,677.7364501953125,41300
2019-07-29,735.0,735.0,714.0,717.0,662.9428100585938,44700
2019-07-30,725.0,733.0,710.0,721.0,666.64111328125,97400
2019-07-31,711.0,721.0,709.0,712.0,658.3196411132812,88700
2019-08-01,708.0,730.0,702.0,712.0,658.3196411132812,54400
2019-08-02,706.0,706.0,677.0,682.0,630.5814819335938,127600
2019-08-05,675.0,675.0,646.0,647.0,598.22021484375,148800
2019-08-06,622.0,659.0,620.0,657.0,607.46630859375,88700
2019-08-07,654.0,659.0,646.0,649.0,600.0695190429688,50700
2019-08-08,649.0,658.0,644.0,646.0,597.2955932617188,52600
2019-08-09,656.0,659.0,631.0,635.0,587.125,44100
2019-08-13,631.0,631.0,613.0,613.0,566.7836303710938,76900
2019-08-14,630.0,635.0,623.0,633.0,585.2757568359375,57000
2019-08-15,614.0,628.0,612.0,622.0,575.1050415039062,35200
2019-08-16,621.0,632.0,611.0,616.0,569.5574340820312,66900
2019-08-19,620.0,623.0,608.0,610.0,564.0098266601562,119800
2019-08-20,613.0,619.0,604.0,614.0,567.708251953125,110700
2019-08-21,614.0,619.0,604.0,612.0,565.8590698242188,92400
2019-08-22,619.0,631.0,618.0,618.0,571.40673828125,81500
2019-08-23,624.0,627.0,618.0,622.0,575.1050415039062,72100
2019-08-26,605.0,607.0,599.0,601.0,555.6884155273438,98200
2019-08-27,606.0,622.0,602.0,611.0,564.9345092773438,71500
2019-08-28,611.0,614.0,602.0,604.0,558.4622192382812,49000
2019-08-29,606.0,611.0,595.0,601.0,555.6884155273438,91900
2019-08-30,611.0,622.0,611.0,621.0,574.1804809570312,109500
2019-09-02,622.0,622.0,610.0,612.0,565.8590698242188,53600
2019-09-03,613.0,620.0,610.0,615.0,568.6328735351562,39800
2019-09-04,615.0,615.0,600.0,608.0,562.16064453125,54000
2019-09-05,614.0,628.0,614.0,615.0,568.6328735351562,108300
2019-09-06,621.0,647.0,621.0,643.0,594.5218505859375,106800
2019-09-09,648.0,649.0,629.0,639.0,590.8233642578125,61300
2019-09-10,643.0,659.0,641.0,659.0,609.3155517578125,62300
2019-09-11,660.0,665.0,651.0,661.0,611.164794921875,85400
2019-09-12,665.0,671.0,660.0,662.0,612.08935546875,78300
2019-09-13,662.0,666.0,655.0,665.0,614.8631591796875,73900
2019-09-17,670.0,670.0,662.0,663.0,613.013916015625,67400
2019-09-18,667.0,667.0,642.0,655.0,605.6171264648438,82600
2019-09-19,656.0,671.0,656.0,658.0,608.3909301757812,55400
2019-09-20,660.0,673.0,650.0,670.0,619.4861450195312,103900
2019-09-24,670.0,672.0,659.0,663.0,613.013916015625,67300
2019-09-25,663.0,663.0,653.0,658.0,608.3909301757812,32300
2019-09-26,666.0,673.0,655.0,667.0,616.71240234375,62900
2019-09-27,657.0,657.0,643.0,647.0,610.1114501953125,62000
2019-09-30,645.0,645.0,630.0,634.0,597.8526611328125,79600
2019-10-01,639.0,653.0,639.0,648.0,611.0545043945312,61000
2019-10-02,640.0,645.0,636.0,641.0,604.4535522460938,52600
2019-10-03,628.0,628.0,619.0,624.0,588.4228515625,63200
2019-10-04,625.0,627.0,619.0,625.0,589.3658447265625,44900
2019-10-07,627.0,632.0,619.0,630.0,594.0807495117188,59100
2019-10-08,630.0,643.0,630.0,640.0,603.5105590820312,74300
2019-10-09,633.0,653.0,627.0,648.0,611.0545043945312,52700
2019-10-10,650.0,652.0,640.0,646.0,609.16845703125,58000
2019-10-11,654.0,655.0,643.0,645.0,608.2255249023438,46100
2019-10-15,655.0,673.0,653.0,666.0,628.0281982421875,77300
2019-10-16,677.0,681.0,670.0,675.0,636.5150756835938,42500
2019-10-17,675.0,681.0,666.0,673.0,634.6290893554688,54100
2019-10-18,677.0,688.0,669.0,670.0,631.8001098632812,29400
2019-10-21,669.0,672.0,664.0,669.0,630.857177734375,34100
2019-10-23,677.0,677.0,670.0,676.0,637.4580688476562,53700
2019-10-24,682.0,687.0,678.0,686.0,646.887939453125,43300
2019-10-25,688.0,691.0,682.0,686.0,646.887939453125,62400
2019-10-28,689.0,696.0,687.0,694.0,654.4317626953125,33800
2019-10-29,700.0,710.0,698.0,709.0,668.5765380859375,63600
2019-10-30,710.0,729.0,706.0,729.0,687.4363403320312,100000
2019-10-31,732.0,735.0,722.0,735.0,693.0941772460938,71600
2019-11-01,735.0,748.0,727.0,748.0,705.35302734375,72200
2019-11-05,763.0,766.0,751.0,760.0,716.6688232421875,109100
2019-11-06,770.0,771.0,760.0,761.0,717.6118774414062,58800
2019-11-07,764.0,766.0,749.0,756.0,712.8969116210938,66000
2019-11-08,755.0,769.0,750.0,764.0,720.4407958984375,77500
2019-11-11,764.0,764.0,743.0,747.0,704.4100341796875,49500
2019-11-12,742.0,768.0,740.0,767.0,723.269775390625,55900
2019-11-13,767.0,767.0,742.0,746.0,703.467041015625,47200
2019-11-14,745.0,746.0,732.0,738.0,695.9231567382812,56900
2019-11-15,735.0,742.0,733.0,737.0,694.980224609375,44600
2019-11-18,743.0,743.0,723.0,725.0,683.6643676757812,50800
2019-11-19,718.0,718.0,712.0,714.0,673.2914428710938,21800
2019-11-20,711.0,730.0,711.0,729.0,687.4363403320312,59900
2019-11-21,729.0,733.0,712.0,722.0,680.8353881835938,32700
2019-11-22,725.0,726.0,715.0,716.0,675.1774291992188,43800
2019-11-25,728.0,732.0,725.0,730.0,688.3793334960938,21400
2019-11-26,739.0,747.0,736.0,738.0,695.9231567382812,63900
2019-11-27,747.0,762.0,741.0,761.0,717.6118774414062,37600
2019-11-28,762.0,767.0,750.0,751.0,708.1820068359375,29200
2019-11-29,753.0,755.0,747.0,749.0,706.2960205078125,39800
2019-12-02,778.0,855.0,777.0,845.0,796.8225708007812,509900
2019-12-03,848.0,859.0,821.0,849.0,800.5945434570312,224800
2019-12-04,840.0,866.0,837.0,864.0,814.7392578125,106900
2019-12-05,863.0,863.0,838.0,838.0,790.2216796875,67800
2019-12-06,835.0,847.0,830.0,841.0,793.0505981445312,68400
