Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2524.0,2581.0,2524.0,2574.0,2447.39013671875,195400
2019-01-07,2620.0,2624.0,2547.0,2555.0,2429.324462890625,132900
2019-01-08,2594.0,2614.0,2558.0,2598.0,2470.209228515625,183500
2019-01-09,2639.0,2673.0,2623.0,2643.0,2512.995849609375,192600
2019-01-10,2637.0,2647.0,2593.0,2601.0,2473.0615234375,124100
2019-01-11,2536.0,2548.0,2487.0,2529.0,2404.603759765625,241800
2019-01-15,2500.0,2525.0,2495.0,2511.0,2387.488525390625,135500
2019-01-16,2508.0,2535.0,2481.0,2485.0,2362.767578125,116700
2019-01-17,2503.0,2542.0,2485.0,2494.0,2371.3251953125,111900
2019-01-18,2498.0,2562.0,2497.0,2542.0,2416.964111328125,92300
2019-01-21,2570.0,2598.0,2569.0,2578.0,2451.193359375,87500
2019-01-22,2589.0,2602.0,2564.0,2584.0,2456.898193359375,73300
2019-01-23,2568.0,2568.0,2530.0,2532.0,2407.4560546875,81800
2019-01-24,2539.0,2546.0,2520.0,2526.0,2401.7509765625,44800
2019-01-25,2520.0,2552.0,2515.0,2520.0,2396.0458984375,90800
2019-01-28,2500.0,2515.0,2482.0,2495.0,2372.27587890625,160600
2019-01-29,2502.0,2542.0,2499.0,2540.0,2415.06201171875,109300
2019-01-30,2539.0,2548.0,2507.0,2510.0,2386.537841796875,181300
2019-01-31,2535.0,2539.0,2514.0,2522.0,2397.94775390625,168400
2019-02-01,2544.0,2550.0,2512.0,2540.0,2415.06201171875,197600
2019-02-04,2552.0,2593.0,2550.0,2590.0,2462.60302734375,248000
2019-02-05,2612.0,2638.0,2603.0,2616.0,2487.323974609375,145100
2019-02-06,2647.0,2647.0,2593.0,2600.0,2472.111083984375,208800
2019-02-07,2582.0,2596.0,2492.0,2495.0,2372.27587890625,319100
2019-02-08,2490.0,2490.0,2428.0,2456.0,2335.194091796875,259300
2019-02-12,2461.0,2514.0,2460.0,2511.0,2387.488525390625,342600
2019-02-13,2511.0,2545.0,2496.0,2539.0,2414.111572265625,629200
2019-02-14,2539.0,2555.0,2522.0,2528.0,2403.65283203125,749200
