Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1018.0,1027.0,964.0,996.0,933.40673828125,61800
2019-01-07,1026.0,1067.0,1026.0,1052.0,985.887451171875,58900
2019-01-08,1052.0,1068.0,1047.0,1061.0,994.3218994140625,26100
2019-01-09,1059.0,1095.0,1058.0,1092.0,1023.3736572265625,80900
2019-01-10,1073.0,1105.0,1073.0,1094.0,1025.248046875,52500
2019-01-11,1095.0,1102.0,1078.0,1086.0,1017.7506713867188,72800
2019-01-15,1071.0,1096.0,1067.0,1079.0,1011.1905517578125,47900
2019-01-16,1083.0,1094.0,1061.0,1065.0,998.0704345703125,29300
2019-01-17,1074.0,1097.0,1071.0,1079.0,1011.1905517578125,48100
2019-01-18,1071.0,1081.0,1070.0,1079.0,1011.1905517578125,42800
2019-01-21,1109.0,1109.0,1061.0,1078.0,1010.2535400390625,54500
2019-01-22,1081.0,1095.0,1075.0,1085.0,1016.8136596679688,23100
2019-01-23,1065.0,1078.0,1048.0,1071.0,1003.6934204101562,48800
2019-01-24,1074.0,1079.0,1062.0,1072.0,1004.6305541992188,31700
2019-01-25,1100.0,1101.0,1088.0,1088.0,1019.6250610351562,36000
2019-01-28,1095.0,1112.0,1073.0,1073.0,1005.5677490234375,39900
2019-01-29,1061.0,1065.0,1021.0,1047.0,981.20166015625,83100
2019-01-30,1047.0,1152.0,1042.0,1144.0,1072.105712890625,193300
2019-01-31,1144.0,1161.0,1118.0,1118.0,1047.73974609375,152500
2019-02-01,1113.0,1153.0,1108.0,1127.0,1056.174072265625,99100
2019-02-04,1120.0,1168.0,1120.0,1156.0,1083.3515625,132600
2019-02-05,1157.0,1185.0,1157.0,1185.0,1110.5291748046875,55900
2019-02-06,1186.0,1200.0,1178.0,1193.0,1118.0262451171875,61600
2019-02-07,1186.0,1211.0,1176.0,1200.0,1124.58642578125,82300
2019-02-08,1184.0,1198.0,1168.0,1176.0,1102.0947265625,55900
2019-02-12,1176.0,1180.0,1157.0,1165.0,1091.785888671875,45200
2019-02-13,1181.0,1200.0,1177.0,1190.0,1115.21484375,79500
2019-02-14,1187.0,1222.0,1172.0,1177.0,1103.03173828125,64000
2019-02-15,1165.0,1176.0,1159.0,1171.0,1097.408935546875,29900
2019-02-18,1201.0,1204.0,1190.0,1196.0,1120.837890625,37800
2019-02-19,1188.0,1206.0,1185.0,1196.0,1120.837890625,59800
2019-02-20,1204.0,1212.0,1172.0,1172.0,1098.345947265625,25800
2019-02-21,1178.0,1195.0,1158.0,1170.0,1096.4716796875,41000
2019-02-22,1168.0,1168.0,1144.0,1157.0,1084.288818359375,34900
2019-02-25,1168.0,1207.0,1151.0,1204.0,1128.3349609375,106600
2019-02-26,1221.0,1221.0,1183.0,1195.0,1119.9007568359375,52900
2019-02-27,1196.0,1197.0,1175.0,1183.0,1108.65478515625,78800
2019-02-28,1175.0,1188.0,1168.0,1171.0,1097.408935546875,34800
2019-03-01,1171.0,1181.0,1164.0,1173.0,1099.2833251953125,25100
2019-03-04,1178.0,1184.0,1169.0,1175.0,1101.1575927734375,39700
2019-03-05,1179.0,1190.0,1162.0,1180.0,1105.8433837890625,45300
2019-03-06,1170.0,1174.0,1151.0,1159.0,1086.1630859375,51200
2019-03-07,1157.0,1164.0,1138.0,1153.0,1080.5401611328125,66100
2019-03-08,1129.0,1145.0,1125.0,1128.0,1057.111328125,74100
2019-03-11,1119.0,1126.0,1099.0,1109.0,1039.3052978515625,23400
2019-03-12,1125.0,1153.0,1125.0,1146.0,1073.97998046875,14500
2019-03-13,1134.0,1148.0,1132.0,1143.0,1071.1685791015625,11800
2019-03-14,1140.0,1149.0,1117.0,1117.0,1046.8026123046875,26500
2019-03-15,1103.0,1116.0,1096.0,1114.0,1043.9910888671875,60100
2019-03-18,1135.0,1162.0,1126.0,1162.0,1088.9744873046875,39100
2019-03-19,1155.0,1164.0,1133.0,1163.0,1089.91162109375,29400
2019-03-20,1165.0,1180.0,1155.0,1162.0,1088.9744873046875,37400
2019-03-22,1169.0,1169.0,1134.0,1156.0,1083.3515625,41700
2019-03-25,1134.0,1134.0,1105.0,1122.0,1051.48828125,37900
2019-03-26,1136.0,1158.0,1119.0,1158.0,1085.225830078125,52000
2019-03-27,1153.0,1169.0,1139.0,1153.0,1099.5302734375,25100
2019-03-28,1141.0,1146.0,1112.0,1142.0,1089.0404052734375,35000
2019-03-29,1150.0,1157.0,1143.0,1153.0,1099.5302734375,47100
2019-04-01,1173.0,1185.0,1169.0,1180.0,1125.2781982421875,30700
2019-04-02,1193.0,1198.0,1174.0,1181.0,1126.231689453125,15400
2019-04-03,1192.0,1198.0,1175.0,1197.0,1141.4898681640625,17400
2019-04-04,1205.0,1213.0,1195.0,1208.0,1151.979736328125,32600
2019-04-05,1213.0,1227.0,1207.0,1222.0,1165.3304443359375,51900
2019-04-08,1230.0,1230.0,1190.0,1191.0,1135.76806640625,15700
2019-04-09,1184.0,1203.0,1180.0,1200.0,1144.3507080078125,22400
2019-04-10,1196.0,1198.0,1180.0,1195.0,1139.5826416015625,20800
2019-04-11,1194.0,1194.0,1174.0,1175.0,1120.5101318359375,16800
2019-04-12,1187.0,1187.0,1161.0,1163.0,1109.0665283203125,27500
2019-04-15,1188.0,1208.0,1188.0,1198.0,1142.4434814453125,35900
2019-04-16,1197.0,1202.0,1191.0,1201.0,1145.3043212890625,22000
2019-04-17,1198.0,1198.0,1177.0,1192.0,1136.7216796875,16900
2019-04-18,1184.0,1190.0,1171.0,1175.0,1120.5101318359375,33600
2019-04-19,1175.0,1195.0,1175.0,1191.0,1135.76806640625,32600
2019-04-22,1190.0,1193.0,1171.0,1186.0,1130.9998779296875,52200
2019-04-23,1186.0,1213.0,1184.0,1208.0,1151.979736328125,60800
2019-04-24,1211.0,1219.0,1200.0,1200.0,1144.3507080078125,49000
2019-04-25,1198.0,1215.0,1188.0,1214.0,1157.701416015625,53600
2019-04-26,1200.0,1212.0,1193.0,1205.0,1149.1187744140625,34400
2019-05-07,1225.0,1234.0,1213.0,1213.0,1156.747802734375,46900
2019-05-08,1200.0,1209.0,1188.0,1196.0,1140.5362548828125,44300
2019-05-09,1170.0,1180.0,1151.0,1162.0,1108.1129150390625,53800
2019-05-10,1149.0,1180.0,1133.0,1158.0,1104.29833984375,64500
2019-05-13,1128.0,1241.0,1128.0,1228.0,1171.0521240234375,112500
2019-05-14,1198.0,1217.0,1179.0,1216.0,1159.608642578125,43400
2019-05-15,1216.0,1218.0,1205.0,1217.0,1160.5623779296875,56500
2019-05-16,1210.0,1241.0,1205.0,1241.0,1183.4493408203125,94300
2019-05-17,1242.0,1264.0,1242.0,1261.0,1202.5218505859375,50600
2019-05-20,1266.0,1271.0,1249.0,1250.0,1192.0318603515625,41300
2019-05-21,1248.0,1253.0,1239.0,1245.0,1187.2640380859375,36700
2019-05-22,1243.0,1243.0,1216.0,1216.0,1159.608642578125,28200
2019-05-23,1226.0,1240.0,1211.0,1225.0,1168.1912841796875,29900
2019-05-24,1218.0,1252.0,1215.0,1249.0,1191.078369140625,52100
2019-05-27,1255.0,1263.0,1250.0,1258.0,1199.660888671875,19800
2019-05-28,1256.0,1257.0,1234.0,1234.0,1176.7740478515625,23000
2019-05-29,1226.0,1249.0,1226.0,1246.0,1188.217529296875,32000
2019-05-30,1231.0,1236.0,1213.0,1220.0,1163.4232177734375,31300
2019-05-31,1208.0,1224.0,1204.0,1212.0,1155.7943115234375,35900
2019-06-03,1185.0,1185.0,1174.0,1180.0,1125.2781982421875,32000
