Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1920.0,1940.0,1902.0,1932.0,1776.447265625,100500
2019-01-07,1972.0,1988.0,1953.0,1970.0,1811.387939453125,137800
2019-01-08,1972.0,1976.0,1949.0,1954.0,1796.676025390625,63800
2019-01-09,1954.0,1980.0,1950.0,1972.0,1813.226806640625,75200
2019-01-10,1972.0,1986.0,1953.0,1985.0,1825.1802978515625,68100
2019-01-11,1988.0,1989.0,1963.0,1972.0,1813.226806640625,95200
2019-01-15,1962.0,1972.0,1956.0,1972.0,1813.226806640625,60300
2019-01-16,1981.0,1981.0,1960.0,1977.0,1817.8243408203125,53800
2019-01-17,1980.0,1990.0,1970.0,1980.0,1820.582763671875,57500
2019-01-18,1984.0,1992.0,1980.0,1981.0,1821.502197265625,51000
2019-01-21,1981.0,1981.0,1965.0,1970.0,1811.387939453125,62100
2019-01-22,1993.0,2024.0,1982.0,1986.0,1826.099609375,91800
2019-01-23,1973.0,1994.0,1967.0,1990.0,1829.777587890625,72700
2019-01-24,1998.0,2013.0,1991.0,2012.0,1850.00634765625,75300
2019-01-25,2012.0,2018.0,1994.0,1998.0,1837.133544921875,59700
2019-01-28,2018.0,2018.0,1988.0,1991.0,1830.6971435546875,49700
2019-01-29,1999.0,2001.0,1988.0,1999.0,1838.052978515625,65000
2019-01-30,2001.0,2001.0,1964.0,1971.0,1812.3074951171875,92400
2019-01-31,1992.0,1996.0,1968.0,1983.0,1823.3411865234375,53200
2019-02-01,1993.0,1993.0,1967.0,1970.0,1811.387939453125,41400
2019-02-04,1989.0,1995.0,1977.0,1982.0,1822.421630859375,60300
2019-02-05,2000.0,2020.0,1986.0,2015.0,1852.7646484375,127300
2019-02-06,2003.0,2005.0,1964.0,1966.0,1807.7100830078125,159100
2019-02-07,1962.0,1986.0,1945.0,1958.0,1800.35400390625,116600
2019-02-08,1950.0,1952.0,1936.0,1936.0,1780.1253662109375,101300
2019-02-12,1938.0,1958.0,1936.0,1958.0,1800.35400390625,74900
2019-02-13,1948.0,1949.0,1920.0,1926.0,1770.9305419921875,121900
2019-02-14,1921.0,1926.0,1912.0,1919.0,1764.494140625,74900
2019-02-15,1912.0,1924.0,1900.0,1919.0,1764.494140625,109300
2019-02-18,1936.0,1959.0,1925.0,1935.0,1779.2059326171875,94300
2019-02-19,1934.0,1948.0,1924.0,1945.0,1788.40087890625,85200
2019-02-20,1945.0,1954.0,1936.0,1947.0,1790.23974609375,66600
2019-02-21,1947.0,1954.0,1938.0,1953.0,1795.7567138671875,54200
2019-02-22,1949.0,1953.0,1934.0,1949.0,1792.07861328125,45900
2019-02-25,1940.0,1959.0,1940.0,1956.0,1798.5150146484375,55200
2019-02-26,1956.0,1972.0,1952.0,1962.0,1804.031982421875,53000
2019-02-27,1974.0,1975.0,1966.0,1973.0,1814.146240234375,55000
2019-02-28,1983.0,1991.0,1972.0,1983.0,1823.3411865234375,79600
2019-03-01,1983.0,1988.0,1977.0,1979.0,1819.663330078125,46200
2019-03-04,1987.0,1989.0,1966.0,1969.0,1810.468505859375,55500
2019-03-05,1965.0,1990.0,1959.0,1990.0,1829.777587890625,71600
2019-03-06,1989.0,1995.0,1978.0,1978.0,1818.743896484375,70600
2019-03-07,1968.0,1974.0,1961.0,1966.0,1807.7100830078125,79400
2019-03-08,1956.0,1969.0,1952.0,1958.0,1800.35400390625,84800
2019-03-11,1958.0,1965.0,1953.0,1957.0,1799.4344482421875,30100
2019-03-12,1970.0,1978.0,1964.0,1976.0,1816.90478515625,38000
2019-03-13,1975.0,1984.0,1969.0,1973.0,1814.146240234375,51500
2019-03-14,1974.0,1979.0,1968.0,1973.0,1814.146240234375,38900
2019-03-15,1970.0,1980.0,1968.0,1972.0,1813.226806640625,63200
2019-03-18,1980.0,1992.0,1977.0,1991.0,1830.6971435546875,46800
2019-03-19,1994.0,1999.0,1987.0,1998.0,1837.133544921875,34400
2019-03-20,1994.0,1999.0,1992.0,1999.0,1838.052978515625,51600
2019-03-22,1999.0,2004.0,1993.0,2002.0,1840.8115234375,81900
2019-03-25,1993.0,1993.0,1967.0,1972.0,1813.226806640625,110800
2019-03-26,1984.0,2004.0,1975.0,2000.0,1838.972412109375,98400
2019-03-27,1941.0,1955.0,1936.0,1948.0,1837.0863037109375,66500
2019-03-28,1961.0,1965.0,1925.0,1925.0,1815.3958740234375,66500
2019-03-29,1919.0,1923.0,1911.0,1918.0,1808.79443359375,39100
2019-04-01,1924.0,1945.0,1920.0,1937.0,1826.712646484375,63700
2019-04-02,1955.0,1961.0,1932.0,1939.0,1828.5987548828125,36200
2019-04-03,1933.0,1943.0,1921.0,1942.0,1831.427978515625,38600
2019-04-04,1945.0,1956.0,1935.0,1953.0,1841.8016357421875,30700
2019-04-05,1951.0,1957.0,1950.0,1955.0,1843.687744140625,58800
2019-04-08,1945.0,1950.0,1933.0,1937.0,1826.712646484375,36900
2019-04-09,1941.0,1942.0,1921.0,1929.0,1819.16796875,59700
2019-04-10,1919.0,1921.0,1905.0,1909.0,1800.306884765625,55900
2019-04-11,1920.0,1921.0,1904.0,1914.0,1805.0220947265625,65300
2019-04-12,1926.0,1926.0,1907.0,1910.0,1801.25,53300
2019-04-15,1925.0,1931.0,1917.0,1926.0,1816.3388671875,56800
2019-04-16,1930.0,1933.0,1919.0,1919.0,1809.7374267578125,29300
2019-04-17,1917.0,1920.0,1910.0,1918.0,1808.79443359375,44400
2019-04-18,1910.0,1911.0,1902.0,1904.0,1795.591552734375,83300
2019-04-19,1913.0,1917.0,1906.0,1913.0,1804.0791015625,25400
2019-04-22,1913.0,1925.0,1908.0,1924.0,1814.452880859375,38100
2019-04-23,1926.0,1932.0,1918.0,1923.0,1813.509765625,37800
2019-04-24,1925.0,1926.0,1909.0,1909.0,1800.306884765625,31500
2019-04-25,1910.0,1924.0,1906.0,1919.0,1809.7374267578125,39500
2019-04-26,1932.0,1932.0,1910.0,1914.0,1805.0220947265625,34700
2019-05-07,1914.0,1918.0,1906.0,1909.0,1800.306884765625,37500
2019-05-08,1903.0,1905.0,1893.0,1897.0,1788.989990234375,89600
2019-05-09,1895.0,1895.0,1874.0,1874.0,1767.2998046875,118800
2019-05-10,1874.0,1876.0,1856.0,1857.0,1751.267578125,105200
2019-05-13,1851.0,1851.0,1778.0,1829.0,1724.86181640625,202600
2019-05-14,1801.0,1837.0,1800.0,1835.0,1730.5201416015625,104300
2019-05-15,1841.0,1843.0,1808.0,1818.0,1714.4881591796875,87900
2019-05-16,1821.0,1821.0,1802.0,1810.0,1706.9434814453125,59600
2019-05-17,1822.0,1831.0,1813.0,1829.0,1724.86181640625,66300
2019-05-20,1829.0,1838.0,1824.0,1833.0,1728.634033203125,33600
2019-05-21,1827.0,1841.0,1826.0,1838.0,1733.3494873046875,62800
2019-05-22,1838.0,1846.0,1832.0,1839.0,1734.2923583984375,40800
2019-05-23,1838.0,1852.0,1836.0,1848.0,1742.780029296875,47100
2019-05-24,1840.0,1862.0,1840.0,1849.0,1743.72314453125,53700
2019-05-27,1850.0,1857.0,1833.0,1834.0,1729.5771484375,32400
2019-05-28,1840.0,1840.0,1811.0,1813.0,1709.77294921875,77000
2019-05-29,1808.0,1822.0,1800.0,1812.0,1708.829833984375,47400
2019-05-30,1802.0,1805.0,1792.0,1797.0,1694.683837890625,56600
2019-05-31,1795.0,1798.0,1784.0,1788.0,1686.1962890625,53800
2019-06-03,1781.0,1798.0,1776.0,1784.0,1682.424072265625,52500
2019-06-04,1785.0,1793.0,1777.0,1791.0,1689.0255126953125,50000
2019-06-05,1805.0,1808.0,1782.0,1794.0,1691.854736328125,56900
2019-06-06,1794.0,1798.0,1785.0,1792.0,1689.9686279296875,35400
2019-06-07,1799.0,1802.0,1778.0,1783.0,1681.48095703125,76900
2019-06-10,1791.0,1820.0,1791.0,1815.0,1711.6590576171875,47100
2019-06-11,1818.0,1829.0,1808.0,1815.0,1711.6590576171875,50500
2019-06-12,1815.0,1819.0,1808.0,1809.0,1706.00048828125,30900
2019-06-13,1807.0,1812.0,1793.0,1800.0,1697.512939453125,43900
2019-06-14,1798.0,1820.0,1791.0,1816.0,1712.6021728515625,55400
2019-06-17,1809.0,1824.0,1805.0,1816.0,1712.6021728515625,39500
2019-06-18,1814.0,1818.0,1786.0,1787.0,1685.253173828125,78700
2019-06-19,1789.0,1800.0,1785.0,1800.0,1697.512939453125,46400
2019-06-20,1795.0,1804.0,1788.0,1788.0,1686.1962890625,46100
2019-06-21,1787.0,1834.0,1781.0,1827.0,1722.9757080078125,140500
2019-06-24,1827.0,1837.0,1815.0,1824.0,1720.146484375,40100
2019-06-25,1828.0,1843.0,1826.0,1836.0,1731.4632568359375,38900
2019-06-26,1840.0,1852.0,1833.0,1840.0,1735.2354736328125,38400
2019-06-27,1833.0,1833.0,1812.0,1819.0,1715.4312744140625,38000
2019-06-28,1845.0,1845.0,1814.0,1817.0,1713.545166015625,49000
2019-07-01,1824.0,1832.0,1820.0,1831.0,1726.7479248046875,36000
2019-07-02,1838.0,1843.0,1822.0,1825.0,1721.0894775390625,57700
2019-07-03,1825.0,1841.0,1824.0,1839.0,1734.2923583984375,30800
2019-07-04,1843.0,1854.0,1837.0,1846.0,1740.893798828125,44700
2019-07-05,1843.0,1843.0,1830.0,1842.0,1737.1217041015625,47600
2019-07-08,1836.0,1838.0,1822.0,1822.0,1718.2603759765625,36300
2019-07-09,1827.0,1831.0,1814.0,1821.0,1717.3173828125,53900
2019-07-10,1817.0,1853.0,1814.0,1852.0,1746.5523681640625,71100
2019-07-11,1862.0,1891.0,1854.0,1879.0,1772.0150146484375,83400
2019-07-12,1889.0,1896.0,1881.0,1886.0,1778.6163330078125,71800
2019-07-16,1891.0,1891.0,1863.0,1872.0,1765.41357421875,60400
2019-07-17,1881.0,1892.0,1866.0,1875.0,1768.24267578125,46700
2019-07-18,1871.0,1874.0,1830.0,1832.0,1727.69091796875,63000
2019-07-19,1831.0,1861.0,1831.0,1851.0,1745.6092529296875,52600
2019-07-22,1851.0,1851.0,1820.0,1828.0,1723.918701171875,54100
2019-07-23,1825.0,1834.0,1821.0,1829.0,1724.86181640625,38300
2019-07-24,1830.0,1833.0,1822.0,1829.0,1724.86181640625,59300
2019-07-25,1829.0,1850.0,1823.0,1846.0,1740.893798828125,58900
2019-07-26,1878.0,1878.0,1830.0,1837.0,1732.4063720703125,54600
2019-07-29,1850.0,1856.0,1843.0,1855.0,1749.3814697265625,25500
2019-07-30,1861.0,1885.0,1861.0,1885.0,1777.67333984375,49100
2019-07-31,1869.0,1874.0,1857.0,1860.0,1754.096923828125,47000
2019-08-01,1851.0,1868.0,1838.0,1868.0,1761.64111328125,25800
2019-08-02,1860.0,1874.0,1851.0,1861.0,1755.039794921875,81500
2019-08-05,1875.0,1916.0,1862.0,1871.0,1764.470458984375,158300
2019-08-06,1834.0,1877.0,1830.0,1873.0,1766.356689453125,86100
2019-08-07,1856.0,1875.0,1856.0,1864.0,1757.868896484375,48200
2019-08-08,1858.0,1862.0,1850.0,1853.0,1747.4952392578125,26200
2019-08-09,1860.0,1882.0,1858.0,1869.0,1762.584228515625,42900
2019-08-13,1850.0,1851.0,1837.0,1838.0,1733.3494873046875,41900
2019-08-14,1842.0,1855.0,1828.0,1854.0,1748.4383544921875,60300
2019-08-15,1823.0,1837.0,1816.0,1834.0,1729.5771484375,48800
2019-08-16,1825.0,1835.0,1817.0,1822.0,1718.2603759765625,42400
2019-08-19,1826.0,1839.0,1821.0,1837.0,1732.4063720703125,34200
2019-08-20,1830.0,1835.0,1818.0,1827.0,1722.9757080078125,37800
2019-08-21,1820.0,1820.0,1803.0,1813.0,1709.77294921875,51900
2019-08-22,1813.0,1828.0,1806.0,1826.0,1722.0325927734375,44600
2019-08-23,1836.0,1844.0,1833.0,1837.0,1732.4063720703125,38800
2019-08-26,1809.0,1826.0,1800.0,1818.0,1714.4881591796875,57900
2019-08-27,1847.0,1862.0,1838.0,1851.0,1745.6092529296875,95200
2019-08-28,1865.0,1878.0,1854.0,1863.0,1756.926025390625,88100
2019-08-29,1865.0,1901.0,1865.0,1884.0,1776.7303466796875,118600
2019-08-30,1895.0,1904.0,1888.0,1898.0,1789.93310546875,79600
2019-09-02,1897.0,1897.0,1855.0,1857.0,1751.267578125,39300
2019-09-03,1866.0,1932.0,1857.0,1924.0,1814.452880859375,132600
2019-09-04,1918.0,1918.0,1895.0,1905.0,1796.53466796875,56100
2019-09-05,1908.0,1923.0,1902.0,1919.0,1809.7374267578125,44700
2019-09-06,1926.0,1927.0,1906.0,1908.0,1799.36376953125,36700
2019-09-09,1907.0,1912.0,1896.0,1911.0,1802.1929931640625,32400
2019-09-10,1909.0,1923.0,1896.0,1918.0,1808.79443359375,47900
2019-09-11,1914.0,1927.0,1903.0,1926.0,1816.3388671875,59000
2019-09-12,1926.0,1928.0,1907.0,1922.0,1812.566650390625,61400
2019-09-13,1916.0,1934.0,1909.0,1934.0,1823.8834228515625,110100
2019-09-17,1938.0,1952.0,1930.0,1947.0,1836.143310546875,72200
2019-09-18,1953.0,1962.0,1936.0,1952.0,1840.8585205078125,68800
2019-09-19,1952.0,1968.0,1950.0,1968.0,1855.9476318359375,74800
2019-09-20,1969.0,1975.0,1954.0,1960.0,1848.403076171875,59600
2019-09-24,1960.0,1962.0,1937.0,1945.0,1834.2572021484375,65800
2019-09-25,1939.0,1961.0,1922.0,1960.0,1848.403076171875,70400
2019-09-26,1964.0,2003.0,1959.0,1984.0,1871.03662109375,188500
2019-09-27,1994.0,1995.0,1960.0,1980.0,1876.7236328125,103800
2019-09-30,1956.0,1997.0,1949.0,1984.0,1880.5150146484375,82300
2019-10-01,1976.0,1994.0,1971.0,1982.0,1878.6192626953125,55100
2019-10-02,1977.0,1984.0,1958.0,1976.0,1872.9322509765625,86900
2019-10-03,1951.0,1961.0,1943.0,1959.0,1856.8189697265625,59800
2019-10-04,1950.0,1951.0,1927.0,1942.0,1840.705810546875,63900
2019-10-07,1942.0,1945.0,1911.0,1923.0,1822.69677734375,61500
2019-10-08,1925.0,1942.0,1914.0,1939.0,1837.8621826171875,70600
2019-10-09,1932.0,1956.0,1927.0,1956.0,1853.9754638671875,54900
2019-10-10,1960.0,1966.0,1936.0,1943.0,1841.653564453125,63700
2019-10-11,1948.0,1958.0,1932.0,1948.0,1846.392822265625,58000
2019-10-15,1944.0,1951.0,1911.0,1933.0,1832.1751708984375,154800
2019-10-16,1909.0,1957.0,1905.0,1949.0,1847.340576171875,139300
2019-10-17,1923.0,1935.0,1901.0,1908.0,1808.4791259765625,120000
2019-10-18,1900.0,1911.0,1887.0,1895.0,1796.1572265625,150600
2019-10-21,1911.0,1939.0,1908.0,1923.0,1822.69677734375,59900
2019-10-23,1932.0,1939.0,1921.0,1934.0,1833.123046875,53000
2019-10-24,1945.0,1949.0,1905.0,1917.0,1817.009765625,80700
2019-10-25,1925.0,1934.0,1915.0,1933.0,1832.1751708984375,73500
2019-10-28,1935.0,1936.0,1909.0,1918.0,1817.95751953125,90000
2019-10-29,1928.0,1933.0,1916.0,1921.0,1820.801025390625,72200
2019-10-30,1930.0,1942.0,1915.0,1942.0,1840.705810546875,137200
2019-10-31,1936.0,1949.0,1934.0,1947.0,1845.4449462890625,60100
2019-11-01,1939.0,1943.0,1927.0,1936.0,1835.0186767578125,43900
2019-11-05,1940.0,1949.0,1928.0,1928.0,1827.4359130859375,89700
2019-11-06,1919.0,1933.0,1902.0,1906.0,1806.58349609375,124700
2019-11-07,1906.0,1944.0,1906.0,1932.0,1831.227294921875,112100
2019-11-08,1949.0,1949.0,1914.0,1920.0,1819.853271484375,77600
2019-11-11,1933.0,1957.0,1927.0,1941.0,1839.7579345703125,111400
2019-11-12,1945.0,1966.0,1932.0,1939.0,1837.8621826171875,76400
2019-11-13,1939.0,1940.0,1915.0,1915.0,1815.114013671875,97500
2019-11-14,1920.0,1931.0,1908.0,1917.0,1817.009765625,84600
2019-11-15,1925.0,1939.0,1919.0,1926.0,1825.540283203125,85400
2019-11-18,1923.0,1931.0,1916.0,1923.0,1822.69677734375,46300
2019-11-19,1920.0,1936.0,1918.0,1933.0,1832.1751708984375,39500
2019-11-20,1937.0,1939.0,1924.0,1937.0,1835.966552734375,38200
2019-11-21,1944.0,1956.0,1936.0,1953.0,1851.1319580078125,99300
2019-11-22,1950.0,1958.0,1941.0,1957.0,1854.9232177734375,62500
2019-11-25,1960.0,1964.0,1953.0,1963.0,1860.6104736328125,34700
2019-11-26,1965.0,1966.0,1946.0,1964.0,1861.5582275390625,75600
2019-11-27,1962.0,1988.0,1962.0,1980.0,1876.7236328125,96800
2019-11-28,1992.0,1994.0,1976.0,1988.0,1884.306396484375,84900
2019-11-29,1990.0,1990.0,1973.0,1975.0,1871.984375,37800
2019-12-02,1989.0,2002.0,1980.0,2001.0,1896.6282958984375,157300
2019-12-03,1987.0,1995.0,1976.0,1979.0,1875.7757568359375,54600
2019-12-04,1975.0,1994.0,1971.0,1991.0,1887.1500244140625,63300
2019-12-05,1995.0,2001.0,1976.0,2001.0,1896.6282958984375,57200
2019-12-06,2004.0,2017.0,1999.0,2008.0,1903.26318359375,85000
2019-12-09,2015.0,2027.0,2008.0,2021.0,1915.585205078125,89700
2019-12-10,2024.0,2024.0,2005.0,2009.0,1904.2110595703125,59000
2019-12-11,2002.0,2016.0,1992.0,2001.0,1896.6282958984375,92000
2019-12-12,2001.0,2003.0,1982.0,1988.0,1884.306396484375,63400
2019-12-13,2011.0,2012.0,1986.0,1993.0,1889.0455322265625,103800
2019-12-16,1995.0,2007.0,1990.0,1992.0,1888.0977783203125,49800
2019-12-17,1997.0,2011.0,1982.0,2011.0,1906.106689453125,75200
2019-12-18,2010.0,2010.0,1988.0,2004.0,1899.4718017578125,66100
2019-12-19,1998.0,2002.0,1990.0,1994.0,1889.993408203125,55200
2019-12-20,2004.0,2010.0,1993.0,2000.0,1895.680419921875,86100
2019-12-23,2005.0,2009.0,1993.0,1995.0,1890.9412841796875,46900
2019-12-24,2001.0,2017.0,1992.0,2012.0,1907.0545654296875,65700
2019-12-25,2002.0,2015.0,1997.0,2002.0,1897.576171875,20900
2019-12-26,2002.0,2002.0,1987.0,1997.0,1892.8369140625,47100
2019-12-27,2000.0,2025.0,1998.0,2006.0,1901.3675537109375,57300
2019-12-30,1998.0,2004.0,1978.0,1978.0,1874.8280029296875,37300
