Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1580.0,1596.0,1526.0,1538.0,1433.471923828125,1756300
2019-01-07,1585.0,1634.0,1582.0,1621.0,1510.8309326171875,1028000
2019-01-08,1619.0,1661.0,1616.0,1627.0,1516.4232177734375,965900
2019-01-09,1656.0,1668.0,1634.0,1654.0,1541.588134765625,979200
2019-01-10,1637.0,1683.0,1635.0,1664.0,1550.9085693359375,1196500
2019-01-11,1674.0,1721.0,1663.0,1675.0,1561.1610107421875,1068800
2019-01-15,1651.0,1693.0,1640.0,1674.0,1560.2288818359375,875100
2019-01-16,1660.0,1686.0,1628.0,1667.0,1553.7047119140625,876100
2019-01-17,1692.0,1709.0,1670.0,1681.0,1566.7530517578125,856200
2019-01-18,1678.0,1726.0,1671.0,1708.0,1591.9180908203125,988000
2019-01-21,1739.0,1748.0,1720.0,1747.0,1628.267578125,836700
2019-01-22,1748.0,1762.0,1695.0,1708.0,1591.9180908203125,1041900
2019-01-23,1695.0,1713.0,1682.0,1698.0,1582.5977783203125,454700
2019-01-24,1671.0,1707.0,1663.0,1707.0,1590.986083984375,630100
2019-01-25,1707.0,1746.0,1694.0,1746.0,1627.3355712890625,980500
2019-01-28,1760.0,1778.0,1736.0,1765.0,1645.0440673828125,1334600
2019-01-29,1805.0,1846.0,1736.0,1785.0,1663.684814453125,2448900
2019-01-30,1791.0,1853.0,1791.0,1829.0,1704.694580078125,1831600
2019-01-31,1856.0,1864.0,1740.0,1756.0,1636.6558837890625,2581000
2019-02-01,1741.0,1783.0,1740.0,1767.0,1646.908203125,1076700
2019-02-04,1807.0,1820.0,1792.0,1798.0,1675.8013916015625,1095900
2019-02-05,1830.0,1837.0,1812.0,1818.0,1694.4420166015625,1118400
2019-02-06,1829.0,1848.0,1813.0,1834.0,1709.354736328125,776700
2019-02-07,1831.0,1838.0,1796.0,1807.0,1684.189697265625,968100
2019-02-08,1781.0,1790.0,1762.0,1775.0,1654.364501953125,811700
2019-02-12,1811.0,1850.0,1804.0,1821.0,1697.23828125,1083700
2019-02-13,1846.0,1886.0,1828.0,1875.0,1747.568115234375,1183400
2019-02-14,1865.0,1876.0,1844.0,1873.0,1745.7041015625,836900
2019-02-15,1865.0,1882.0,1837.0,1848.0,1722.4031982421875,989600
2019-02-18,1893.0,1909.0,1878.0,1894.0,1765.2769775390625,599200
2019-02-19,1893.0,1895.0,1868.0,1871.0,1743.8399658203125,699100
2019-02-20,1863.0,1867.0,1840.0,1840.0,1714.9468994140625,1334600
2019-02-21,1841.0,1850.0,1825.0,1838.0,1713.082763671875,859400
2019-02-22,1826.0,1869.0,1825.0,1863.0,1736.3837890625,872700
2019-02-25,1871.0,1881.0,1851.0,1859.0,1732.655517578125,836200
2019-02-26,1865.0,1875.0,1845.0,1864.0,1737.3157958984375,667900
2019-02-27,1854.0,1880.0,1849.0,1878.0,1750.3642578125,927800
2019-02-28,1877.0,1878.0,1843.0,1846.0,1720.5390625,1273200
2019-03-01,1850.0,1863.0,1821.0,1831.0,1706.55859375,1004100
2019-03-04,1850.0,1857.0,1829.0,1843.0,1717.7430419921875,779900
2019-03-05,1838.0,1841.0,1818.0,1834.0,1709.354736328125,598100
2019-03-06,1818.0,1840.0,1811.0,1832.0,1707.4906005859375,627100
2019-03-07,1781.0,1789.0,1755.0,1765.0,1645.0440673828125,1013400
2019-03-08,1746.0,1766.0,1725.0,1729.0,1611.490966796875,697100
2019-03-11,1731.0,1743.0,1717.0,1736.0,1618.0150146484375,304100
2019-03-12,1767.0,1784.0,1761.0,1766.0,1645.976318359375,360200
2019-03-13,1745.0,1767.0,1744.0,1756.0,1636.6558837890625,361100
2019-03-14,1766.0,1766.0,1736.0,1739.0,1620.811279296875,343500
2019-03-15,1745.0,1759.0,1739.0,1741.0,1622.6754150390625,1141300
2019-03-18,1763.0,1783.0,1757.0,1762.0,1642.248046875,587800
2019-03-19,1753.0,1762.0,1741.0,1759.0,1639.4520263671875,428800
2019-03-20,1758.0,1762.0,1748.0,1757.0,1637.5880126953125,554100
2019-03-22,1757.0,1770.0,1750.0,1765.0,1645.0440673828125,665100
2019-03-25,1739.0,1745.0,1707.0,1725.0,1607.7626953125,541300
2019-03-26,1744.0,1775.0,1733.0,1772.0,1651.568603515625,509400
2019-03-27,1741.0,1751.0,1722.0,1749.0,1658.205078125,414900
2019-03-28,1734.0,1741.0,1706.0,1720.0,1630.7105712890625,274100
2019-03-29,1749.0,1749.0,1706.0,1716.0,1626.918212890625,671600
2019-04-01,1739.0,1777.0,1730.0,1766.0,1674.3226318359375,531600
2019-04-02,1799.0,1810.0,1780.0,1798.0,1704.661376953125,556000
2019-04-03,1814.0,1845.0,1809.0,1840.0,1744.48095703125,710100
2019-04-04,1865.0,1888.0,1853.0,1884.0,1786.1968994140625,577800
2019-04-05,1880.0,1894.0,1869.0,1887.0,1789.0411376953125,886500
2019-04-08,1902.0,1902.0,1871.0,1875.0,1777.6640625,316600
2019-04-09,1861.0,1862.0,1831.0,1832.0,1736.8963623046875,636200
2019-04-10,1835.0,1843.0,1824.0,1841.0,1745.42919921875,437300
2019-04-11,1821.0,1825.0,1810.0,1813.0,1718.8826904296875,384500
2019-04-12,1832.0,1832.0,1808.0,1812.0,1717.9346923828125,495600
2019-04-15,1844.0,1857.0,1838.0,1845.0,1749.2215576171875,631600
2019-04-16,1852.0,1875.0,1845.0,1864.0,1767.2352294921875,885200
2019-04-17,1878.0,1914.0,1872.0,1904.0,1805.15869140625,1109600
2019-04-18,1904.0,1904.0,1862.0,1872.0,1774.8199462890625,727200
2019-04-19,1889.0,1901.0,1872.0,1874.0,1776.716064453125,807000
2019-04-22,1874.0,1876.0,1836.0,1839.0,1743.532958984375,967400
2019-04-23,1800.0,1833.0,1769.0,1801.0,1707.5057373046875,2292700
