Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,66.0,72.0,66.0,70.0,70.0,19380800
2019-01-07,73.0,75.0,72.0,72.0,72.0,13456500
2019-01-08,73.0,74.0,70.0,71.0,71.0,9767600
2019-01-09,72.0,72.0,70.0,71.0,71.0,6724500
2019-01-10,71.0,77.0,71.0,74.0,74.0,29747000
2019-01-11,74.0,75.0,73.0,74.0,74.0,7838800
2019-01-15,74.0,75.0,73.0,75.0,75.0,8287200
2019-01-16,75.0,79.0,75.0,76.0,76.0,14401600
2019-01-17,77.0,78.0,74.0,75.0,75.0,12251900
2019-01-18,76.0,80.0,75.0,80.0,80.0,19018000
2019-01-21,83.0,84.0,80.0,80.0,80.0,12011500
2019-01-22,80.0,81.0,77.0,80.0,80.0,14489500
2019-01-23,85.0,96.0,84.0,95.0,95.0,95974500
2019-01-24,93.0,96.0,88.0,90.0,90.0,67064100
2019-01-25,89.0,90.0,82.0,83.0,83.0,44510700
2019-01-28,81.0,82.0,78.0,79.0,79.0,18586300
2019-01-29,78.0,79.0,75.0,76.0,76.0,20944300
2019-01-30,77.0,78.0,72.0,72.0,72.0,19269800
2019-01-31,72.0,74.0,70.0,72.0,72.0,14371200
2019-02-01,72.0,76.0,71.0,73.0,73.0,15373200
2019-02-04,74.0,75.0,72.0,74.0,74.0,6543100
2019-02-05,75.0,77.0,74.0,75.0,75.0,8779400
2019-02-06,75.0,77.0,75.0,75.0,75.0,5240000
2019-02-07,75.0,76.0,72.0,73.0,73.0,10921400
2019-02-08,72.0,73.0,70.0,70.0,70.0,9152100
2019-02-12,70.0,73.0,70.0,73.0,73.0,6727200
2019-02-13,74.0,76.0,73.0,76.0,76.0,15918700
2019-02-14,77.0,81.0,74.0,74.0,74.0,20149300
2019-02-15,70.0,77.0,67.0,72.0,72.0,30268700
2019-02-18,73.0,75.0,72.0,73.0,73.0,9742900
2019-02-19,72.0,74.0,72.0,72.0,72.0,8646700
2019-02-20,72.0,74.0,72.0,72.0,72.0,5219700
2019-02-21,72.0,73.0,70.0,71.0,71.0,7911800
2019-02-22,71.0,72.0,70.0,71.0,71.0,5989300
2019-02-25,72.0,74.0,71.0,73.0,73.0,7284900
2019-02-26,73.0,74.0,72.0,73.0,73.0,3745000
2019-02-27,73.0,74.0,72.0,72.0,72.0,5223500
2019-02-28,73.0,73.0,71.0,71.0,71.0,4564100
2019-03-01,71.0,72.0,70.0,70.0,70.0,5928600
2019-03-04,71.0,72.0,70.0,70.0,70.0,2849600
2019-03-05,70.0,71.0,70.0,70.0,70.0,1844300
2019-03-06,71.0,72.0,70.0,72.0,72.0,4552900
2019-03-07,71.0,72.0,70.0,71.0,71.0,2881900
