Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,148300.0,148800.0,146600.0,147600.0,135185.703125,2689
2019-01-07,147800.0,150300.0,147800.0,149300.0,136742.71875,2642
2019-01-08,150200.0,151500.0,149400.0,149400.0,136834.296875,2521
2019-01-09,149100.0,151000.0,149100.0,150700.0,138024.96875,1860
2019-01-10,150700.0,152300.0,150000.0,151200.0,138482.90625,1842
2019-01-11,151700.0,152000.0,149900.0,152000.0,139215.625,3454
2019-01-15,150900.0,152200.0,150100.0,150100.0,137475.4375,3047
2019-01-16,151200.0,151700.0,150400.0,150800.0,138116.546875,2712
2019-01-17,151400.0,152200.0,150700.0,151000.0,138299.734375,2458
2019-01-18,150800.0,151800.0,150200.0,151300.0,138574.5,2576
2019-01-21,151300.0,151900.0,151100.0,151900.0,139124.015625,1345
2019-01-22,152000.0,152200.0,150900.0,151700.0,138940.84375,2014
2019-01-23,151700.0,152100.0,151100.0,151300.0,138574.5,3182
2019-01-24,151000.0,152600.0,151000.0,152000.0,139215.625,3071
2019-01-25,152200.0,153600.0,152100.0,153400.0,140497.875,4336
2019-01-28,153400.0,154400.0,153400.0,154200.0,141230.578125,3324
2019-01-29,154900.0,155600.0,154200.0,154800.0,141780.125,6306
2019-01-30,155900.0,156300.0,154700.0,155300.0,142238.0625,6336
2019-01-31,155300.0,156500.0,154700.0,155600.0,142512.828125,4472
2019-02-01,155400.0,157800.0,155300.0,156800.0,143611.90625,4809
2019-02-04,157300.0,159100.0,156900.0,158200.0,144894.15625,2887
2019-02-05,157700.0,159000.0,157700.0,158900.0,145535.265625,3270
2019-02-06,158900.0,161400.0,158900.0,160100.0,146634.34375,4116
2019-02-07,159600.0,160400.0,157700.0,158500.0,145168.921875,3719
2019-02-08,158500.0,159700.0,156400.0,158100.0,144802.5625,5229
2019-02-12,157900.0,159400.0,155900.0,159300.0,145901.640625,4500
2019-02-13,159000.0,160100.0,158100.0,159500.0,146084.796875,2746
2019-02-14,160200.0,160200.0,158000.0,158800.0,145443.6875,3159
2019-02-15,158800.0,159200.0,156600.0,158100.0,144802.5625,4058
2019-02-18,158200.0,158200.0,155100.0,156300.0,143153.953125,4836
2019-02-19,156500.0,157000.0,155900.0,156300.0,143153.953125,3483
2019-02-20,156000.0,156500.0,155500.0,155500.0,142421.25,2009
2019-02-21,155500.0,155600.0,153600.0,154600.0,141596.953125,3314
2019-02-22,155200.0,155200.0,153200.0,155100.0,142054.875,3245
2019-02-25,155400.0,155800.0,154600.0,155800.0,142696.015625,2038
2019-02-26,155700.0,155900.0,155200.0,155900.0,142787.609375,2500
2019-02-27,155900.0,156400.0,155200.0,155900.0,142787.609375,1913
2019-02-28,155600.0,155900.0,153700.0,153900.0,140955.8125,4017
2019-03-01,153600.0,154700.0,153200.0,153500.0,140589.46875,3816
2019-03-04,154300.0,154900.0,153800.0,154800.0,141780.125,946
2019-03-05,154900.0,156400.0,154800.0,156100.0,142970.765625,2484
2019-03-06,155800.0,156200.0,154900.0,155700.0,142604.421875,2040
2019-03-07,155500.0,156500.0,155000.0,155900.0,142787.609375,1987
2019-03-08,156900.0,156900.0,155000.0,155100.0,142054.875,4164
2019-03-11,155100.0,156200.0,154300.0,156200.0,143062.359375,1436
2019-03-12,156400.0,157800.0,156300.0,157700.0,144436.203125,1314
2019-03-13,157200.0,157900.0,156900.0,157700.0,144436.203125,1148
2019-03-14,158000.0,159100.0,157100.0,159000.0,145626.859375,1542
2019-03-15,159600.0,160900.0,159200.0,159500.0,146084.796875,3917
2019-03-18,160700.0,161500.0,160100.0,161300.0,147733.421875,1525
