Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,744.0,775.0,744.0,761.0,732.822021484375,70800
2019-01-07,787.0,806.0,778.0,779.0,750.155517578125,46600
2019-01-08,779.0,789.0,770.0,784.0,754.970458984375,42500
2019-01-09,782.0,782.0,760.0,764.0,735.7108764648438,28800
2019-01-10,760.0,781.0,748.0,780.0,751.1185302734375,48000
2019-01-11,784.0,795.0,777.0,787.0,757.8593139648438,36300
2019-01-15,783.0,802.0,777.0,802.0,772.3038940429688,29100
2019-01-16,802.0,807.0,778.0,781.0,752.0814208984375,35400
2019-01-17,788.0,795.0,776.0,784.0,754.970458984375,19300
2019-01-18,789.0,803.0,781.0,784.0,754.970458984375,31600
2019-01-21,791.0,795.0,782.0,785.0,755.9334106445312,39000
2019-01-22,786.0,786.0,768.0,773.0,744.377685546875,38000
2019-01-23,761.0,770.0,759.0,760.0,731.859130859375,28200
2019-01-24,760.0,764.0,755.0,758.0,729.9331665039062,16800
2019-01-25,759.0,777.0,759.0,763.0,734.7479858398438,31900
2019-01-28,763.0,764.0,751.0,756.0,728.0071411132812,45000
2019-01-29,751.0,764.0,750.0,761.0,732.822021484375,36700
2019-01-30,762.0,762.0,746.0,746.0,718.37744140625,50500
2019-01-31,760.0,762.0,738.0,740.0,712.5996704101562,55500
2019-02-01,753.0,754.0,740.0,745.0,717.4144897460938,49700
2019-02-04,750.0,762.0,741.0,762.0,733.7850341796875,49400
2019-02-05,768.0,789.0,768.0,789.0,759.7852783203125,31600
2019-02-06,790.0,795.0,775.0,778.0,749.1925659179688,21500
2019-02-07,780.0,780.0,759.0,765.0,736.6739501953125,26700
2019-02-08,753.0,763.0,745.0,747.0,719.34033203125,36200
2019-02-12,750.0,775.0,749.0,775.0,746.3037109375,39800
2019-02-13,775.0,788.0,771.0,777.0,748.2296142578125,43400
2019-02-14,779.0,796.0,777.0,784.0,754.970458984375,24700
2019-02-15,780.0,795.0,777.0,792.0,762.6741333007812,27100
2019-02-18,800.0,835.0,800.0,835.0,804.0819702148438,52000
2019-02-19,831.0,832.0,813.0,818.0,787.71142578125,32600
2019-02-20,818.0,826.0,813.0,816.0,785.7855224609375,25900
2019-02-21,817.0,820.0,810.0,814.0,783.8595581054688,16800
2019-02-22,806.0,814.0,804.0,813.0,782.8966064453125,17300
2019-02-25,813.0,838.0,813.0,838.0,806.9708862304688,45800
2019-02-26,838.0,841.0,807.0,811.0,780.9706420898438,61500
2019-02-27,811.0,812.0,802.0,807.0,777.1187133789062,33500
2019-02-28,807.0,823.0,804.0,810.0,780.0076293945312,34000
2019-03-01,806.0,808.0,798.0,803.0,773.2669067382812,34300
2019-03-04,809.0,810.0,796.0,800.0,770.3779296875,37200
2019-03-05,793.0,806.0,788.0,804.0,774.2298583984375,32100
2019-03-06,801.0,805.0,795.0,798.0,768.4519653320312,30800
2019-03-07,795.0,808.0,787.0,801.0,771.3408813476562,46400
2019-03-08,786.0,791.0,773.0,775.0,746.3037109375,62000
2019-03-11,774.0,777.0,767.0,773.0,744.377685546875,21700
2019-03-12,788.0,805.0,785.0,796.0,766.5260620117188,36800
2019-03-13,785.0,790.0,781.0,783.0,754.0073852539062,13400
2019-03-14,789.0,793.0,775.0,776.0,747.2666015625,12600
2019-03-15,776.0,800.0,775.0,799.0,769.4149780273438,46200
2019-03-18,799.0,811.0,796.0,806.0,776.15576171875,55200
2019-03-19,800.0,800.0,787.0,792.0,762.6741333007812,26100
2019-03-20,794.0,804.0,789.0,795.0,765.5631103515625,43900
2019-03-22,794.0,803.0,786.0,803.0,773.2669067382812,23700
2019-03-25,800.0,800.0,774.0,776.0,747.2666015625,32800
2019-03-26,788.0,819.0,788.0,819.0,788.6743774414062,48700
2019-03-27,824.0,826.0,812.0,826.0,797.3623657226562,20000
2019-03-28,830.0,830.0,801.0,808.0,779.9864501953125,28700
2019-03-29,810.0,813.0,805.0,808.0,779.9864501953125,19500
2019-04-01,823.0,843.0,820.0,833.0,804.1196899414062,41400
2019-04-02,843.0,843.0,817.0,826.0,797.3623657226562,23400
2019-04-03,829.0,833.0,820.0,831.0,802.1890869140625,11000
2019-04-04,839.0,864.0,834.0,864.0,834.044921875,47900
2019-04-05,882.0,887.0,860.0,877.0,846.59423828125,47900
2019-04-08,878.0,883.0,863.0,879.0,848.52490234375,31900
2019-04-09,882.0,882.0,855.0,864.0,834.044921875,16600
2019-04-10,859.0,865.0,853.0,859.0,829.2183227539062,6400
2019-04-11,869.0,872.0,857.0,862.0,832.1143188476562,4500
2019-04-12,868.0,868.0,852.0,860.0,830.18359375,16800
2019-04-15,873.0,887.0,872.0,885.0,854.3168334960938,60100
2019-04-16,880.0,883.0,869.0,876.0,845.62890625,19800
2019-04-17,866.0,881.0,863.0,878.0,847.5595092773438,22000
2019-04-18,872.0,872.0,854.0,863.0,833.07958984375,35900
2019-04-19,867.0,868.0,850.0,852.0,822.4609375,17000
2019-04-22,852.0,869.0,848.0,861.0,831.14892578125,21500
2019-04-23,855.0,868.0,854.0,868.0,837.90625,26200
2019-04-24,866.0,875.0,861.0,863.0,833.07958984375,22900
2019-04-25,863.0,875.0,856.0,874.0,843.6982421875,27700
2019-04-26,866.0,873.0,859.0,867.0,836.94091796875,22700
2019-05-07,867.0,868.0,855.0,862.0,832.1143188476562,25000
2019-05-08,857.0,859.0,845.0,852.0,822.4609375,47600
2019-05-09,845.0,846.0,800.0,819.0,790.6050415039062,84300
2019-05-10,818.0,831.0,815.0,822.0,793.5010986328125,46800
2019-05-13,818.0,826.0,810.0,815.0,786.7437744140625,31200
2019-05-14,796.0,812.0,784.0,812.0,783.8478393554688,30800
2019-05-15,812.0,831.0,810.0,831.0,802.1890869140625,23700
2019-05-16,836.0,836.0,820.0,829.0,800.2583618164062,19000
2019-05-17,835.0,846.0,830.0,844.0,814.73828125,26000
2019-05-20,845.0,846.0,833.0,838.0,808.9462890625,15900
2019-05-21,825.0,831.0,817.0,820.0,791.5703735351562,24600
2019-05-22,820.0,820.0,794.0,794.0,766.4718627929688,36300
2019-05-23,794.0,795.0,782.0,785.0,757.7838745117188,22500
2019-05-24,775.0,800.0,767.0,800.0,772.2637939453125,25800
2019-05-27,800.0,802.0,786.0,798.0,770.3331298828125,25600
2019-05-28,798.0,799.0,787.0,787.0,759.7145385742188,23500
2019-05-29,777.0,786.0,758.0,774.0,747.1652221679688,33700
2019-05-30,765.0,775.0,762.0,775.0,748.130615234375,17800
2019-05-31,770.0,771.0,758.0,763.0,736.546630859375,30900
2019-06-03,753.0,759.0,745.0,748.0,722.0667114257812,25800
2019-06-04,744.0,754.0,737.0,754.0,727.858642578125,35500
2019-06-05,761.0,787.0,761.0,787.0,759.7145385742188,28700
2019-06-06,783.0,796.0,783.0,789.0,761.6452026367188,40700
2019-06-07,794.0,794.0,775.0,790.0,762.6105346679688,18400
2019-06-10,794.0,806.0,794.0,805.0,777.0904541015625,24700
2019-06-11,804.0,804.0,793.0,802.0,774.1944580078125,24500
2019-06-12,803.0,808.0,795.0,795.0,767.4371948242188,27100
2019-06-13,786.0,790.0,770.0,779.0,751.9918823242188,54900
2019-06-14,790.0,793.0,780.0,790.0,762.6105346679688,28100
2019-06-17,788.0,794.0,785.0,788.0,760.6798706054688,18700
2019-06-18,789.0,799.0,776.0,779.0,751.9918823242188,29500
2019-06-19,809.0,824.0,805.0,823.0,794.4664306640625,79500
2019-06-20,820.0,827.0,814.0,827.0,798.3276977539062,24200
2019-06-21,827.0,827.0,804.0,804.0,776.1251220703125,51000
2019-06-24,811.0,812.0,790.0,798.0,770.3331298828125,47000
2019-06-25,799.0,817.0,792.0,797.0,769.3678588867188,31300
2019-06-26,791.0,808.0,790.0,794.0,766.4718627929688,25200
2019-06-27,794.0,810.0,792.0,810.0,781.9170532226562,20100
2019-06-28,810.0,818.0,804.0,804.0,776.1251220703125,42100
2019-07-01,820.0,827.0,813.0,827.0,798.3276977539062,32500
2019-07-02,827.0,838.0,821.0,835.0,806.05029296875,33700
2019-07-03,824.0,829.0,821.0,822.0,793.5010986328125,30600
2019-07-04,828.0,832.0,812.0,824.0,795.4317626953125,27600
2019-07-05,824.0,829.0,816.0,820.0,791.5703735351562,24200
2019-07-08,800.0,812.0,797.0,800.0,772.2637939453125,80400
2019-07-09,803.0,804.0,785.0,791.0,763.5758666992188,23700
2019-07-10,790.0,794.0,781.0,786.0,758.7492065429688,37700
2019-07-11,787.0,802.0,786.0,800.0,772.2637939453125,19800
2019-07-12,805.0,810.0,800.0,807.0,779.0211181640625,23500
2019-07-16,809.0,818.0,807.0,810.0,781.9170532226562,26500
2019-07-17,810.0,812.0,796.0,803.0,775.1598510742188,57000
2019-07-18,795.0,798.0,756.0,756.0,729.789306640625,55000
2019-07-19,763.0,792.0,760.0,786.0,758.7492065429688,32100
2019-07-22,784.0,784.0,771.0,775.0,748.130615234375,36000
2019-07-23,778.0,797.0,778.0,792.0,764.5411376953125,32100
2019-07-24,795.0,800.0,789.0,797.0,769.3678588867188,25400
2019-07-25,801.0,814.0,801.0,811.0,782.8824462890625,19800
2019-07-26,811.0,811.0,787.0,796.0,768.4025268554688,54500
2019-07-29,796.0,801.0,791.0,801.0,773.2290649414062,17900
2019-07-30,801.0,809.0,795.0,799.0,771.2984619140625,20600
2019-07-31,788.0,789.0,776.0,778.0,751.026611328125,28100
2019-08-01,773.0,781.0,767.0,781.0,753.9225463867188,14000
2019-08-02,766.0,769.0,746.0,751.0,724.962646484375,60400
2019-08-05,742.0,746.0,721.0,732.0,706.6213989257812,45100
2019-08-06,708.0,732.0,701.0,727.0,701.7947387695312,51300
2019-08-07,727.0,739.0,724.0,731.0,705.6560668945312,35400
2019-08-08,731.0,750.0,730.0,746.0,720.135986328125,23400
2019-08-09,753.0,762.0,745.0,748.0,722.0667114257812,22500
2019-08-13,740.0,740.0,722.0,733.0,707.586669921875,35800
2019-08-14,744.0,751.0,736.0,744.0,718.2053833007812,29000
2019-08-15,722.0,744.0,722.0,744.0,718.2053833007812,24300
2019-08-16,737.0,745.0,736.0,737.0,711.447998046875,10600
2019-08-19,739.0,745.0,731.0,731.0,705.6560668945312,15100
2019-08-20,731.0,747.0,731.0,747.0,721.101318359375,14800
2019-08-21,735.0,735.0,728.0,728.0,702.7600708007812,13100
2019-08-22,736.0,736.0,722.0,723.0,697.9334716796875,13200
2019-08-23,723.0,733.0,721.0,726.0,700.8294067382812,8300
2019-08-26,716.0,716.0,693.0,699.0,674.7654418945312,62100
2019-08-27,703.0,713.0,695.0,695.0,670.9042358398438,21500
2019-08-28,698.0,713.0,695.0,711.0,686.3494873046875,21300
2019-08-29,711.0,726.0,706.0,723.0,697.9334716796875,22500
2019-08-30,722.0,748.0,721.0,743.0,717.239990234375,31400
2019-09-02,743.0,743.0,730.0,733.0,707.586669921875,15200
2019-09-03,738.0,745.0,733.0,744.0,718.2053833007812,14700
2019-09-04,734.0,734.0,721.0,722.0,696.9681396484375,27900
2019-09-05,725.0,750.0,725.0,750.0,723.997314453125,33200
2019-09-06,751.0,757.0,741.0,744.0,718.2053833007812,22600
2019-09-09,746.0,746.0,737.0,746.0,720.135986328125,14900
2019-09-10,742.0,752.0,742.0,752.0,725.927978515625,28700
2019-09-11,756.0,795.0,755.0,795.0,767.4371948242188,53000
2019-09-12,795.0,798.0,778.0,785.0,757.7838745117188,50400
2019-09-13,788.0,801.0,781.0,800.0,772.2637939453125,85600
2019-09-17,805.0,817.0,800.0,816.0,787.7090454101562,62200
2019-09-18,816.0,824.0,793.0,797.0,769.3678588867188,35700
2019-09-19,809.0,819.0,805.0,819.0,790.6050415039062,49300
2019-09-20,818.0,818.0,790.0,792.0,764.5411376953125,48600
2019-09-24,798.0,809.0,791.0,800.0,772.2637939453125,29900
2019-09-25,800.0,801.0,786.0,799.0,771.2984619140625,26800
2019-09-26,810.0,816.0,805.0,811.0,782.8824462890625,51600
2019-09-27,822.0,822.0,795.0,800.0,778.9874877929688,32800
2019-09-30,800.0,800.0,776.0,779.0,758.5391235351562,36600
2019-10-01,782.0,792.0,780.0,791.0,770.2239379882812,20000
2019-10-02,780.0,808.0,780.0,800.0,778.9874877929688,40100
2019-10-03,785.0,792.0,776.0,786.0,765.355224609375,27100
2019-10-04,782.0,793.0,779.0,793.0,772.1714477539062,23000
2019-10-07,790.0,795.0,785.0,790.0,769.2501831054688,16700
2019-10-08,792.0,811.0,792.0,797.0,776.0663452148438,38900
2019-10-09,792.0,803.0,785.0,801.0,779.9612426757812,19100
2019-10-10,797.0,800.0,791.0,794.0,773.1451416015625,16400
2019-10-11,804.0,804.0,786.0,798.0,777.0400390625,25900
2019-10-15,843.0,847.0,817.0,825.0,803.3309326171875,95500
2019-10-16,840.0,851.0,829.0,840.0,817.9369506835938,69600
2019-10-17,849.0,849.0,826.0,827.0,805.2783813476562,36600
2019-10-18,832.0,843.0,822.0,825.0,803.3309326171875,28900
2019-10-21,833.0,840.0,829.0,835.0,813.0682373046875,13800
2019-10-23,835.0,837.0,827.0,837.0,815.0156860351562,20900
2019-10-24,846.0,848.0,837.0,842.0,819.8843994140625,27400
2019-10-25,843.0,850.0,836.0,850.0,827.6742553710938,33500
2019-10-28,850.0,855.0,840.0,841.0,818.9107055664062,18900
2019-10-29,860.0,864.0,842.0,848.0,825.726806640625,34900
2019-10-30,835.0,860.0,823.0,860.0,837.41162109375,84800
2019-10-31,852.0,856.0,841.0,844.0,821.8318481445312,31800
2019-11-01,840.0,841.0,827.0,834.0,812.094482421875,19400
2019-11-05,864.0,866.0,854.0,863.0,840.332763671875,74000
2019-11-06,856.0,858.0,845.0,854.0,831.5691528320312,46000
2019-11-07,854.0,856.0,843.0,855.0,832.5428466796875,18200
2019-11-08,864.0,869.0,852.0,856.0,833.5166015625,47300
2019-11-11,858.0,865.0,845.0,848.0,825.726806640625,29500
2019-11-12,848.0,849.0,840.0,847.0,824.7530517578125,20600
2019-11-13,849.0,853.0,848.0,848.0,825.726806640625,14000
2019-11-14,848.0,851.0,832.0,832.0,810.1470336914062,20800
2019-11-15,841.0,854.0,837.0,851.0,828.64794921875,22500
2019-11-18,855.0,855.0,840.0,845.0,822.8056030273438,7400
2019-11-19,841.0,849.0,841.0,844.0,821.8318481445312,7900
2019-11-20,837.0,844.0,835.0,840.0,817.9369506835938,19100
2019-11-21,844.0,850.0,830.0,846.0,823.779296875,25600
2019-11-22,851.0,855.0,829.0,830.0,808.1995849609375,25500
2019-11-25,835.0,839.0,831.0,832.0,810.1470336914062,11700
2019-11-26,835.0,843.0,832.0,832.0,810.1470336914062,17400
2019-11-27,836.0,840.0,831.0,839.0,816.9631958007812,15200
2019-11-28,839.0,840.0,830.0,834.0,812.094482421875,16600
2019-11-29,833.0,835.0,824.0,831.0,809.17333984375,14100
2019-12-02,825.0,837.0,824.0,830.0,808.1995849609375,17600
2019-12-03,816.0,823.0,809.0,814.0,792.6198120117188,21400
2019-12-04,815.0,823.0,807.0,820.0,798.462158203125,24800
2019-12-05,827.0,827.0,816.0,817.0,795.541015625,9300
2019-12-06,815.0,819.0,809.0,816.0,794.5672607421875,16100
2019-12-09,825.0,825.0,819.0,824.0,802.357177734375,10100
2019-12-10,821.0,828.0,817.0,820.0,798.462158203125,26900
2019-12-11,820.0,825.0,813.0,815.0,793.5935668945312,17600
2019-12-12,826.0,834.0,823.0,834.0,812.094482421875,30800
2019-12-13,847.0,854.0,840.0,848.0,825.726806640625,68900
2019-12-16,848.0,848.0,832.0,839.0,816.9631958007812,47600
2019-12-17,846.0,847.0,829.0,845.0,822.8056030273438,23700
2019-12-18,845.0,846.0,814.0,823.0,801.3834838867188,22600
2019-12-19,824.0,824.0,815.0,823.0,801.3834838867188,14200
2019-12-20,822.0,829.0,817.0,817.0,795.541015625,30400
2019-12-23,820.0,822.0,809.0,810.0,788.724853515625,17200
2019-12-24,807.0,814.0,807.0,810.0,788.724853515625,17700
2019-12-25,810.0,810.0,791.0,792.0,771.1976318359375,38600
2019-12-26,792.0,818.0,792.0,818.0,796.5147094726562,50200
2019-12-27,820.0,822.0,811.0,813.0,791.6461181640625,13900
2019-12-30,813.0,823.0,802.0,818.0,796.5147094726562,29800
