Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,4390.0,4485.0,4385.0,4480.0,4391.99853515625,282400
2019-01-07,4590.0,4635.0,4545.0,4565.0,4475.328125,216700
2019-01-08,4590.0,4605.0,4540.0,4555.0,4465.52587890625,214100
2019-01-09,4615.0,4675.0,4590.0,4635.0,4543.95361328125,238800
2019-01-10,4580.0,4665.0,4555.0,4665.0,4573.36474609375,212600
2019-01-11,4700.0,4700.0,4630.0,4640.0,4548.85498046875,331600
2019-01-15,4580.0,4640.0,4545.0,4560.0,4470.42724609375,199600
2019-01-16,4535.0,4690.0,4530.0,4670.0,4578.26611328125,267500
2019-01-17,4640.0,4675.0,4590.0,4605.0,4514.54248046875,229800
2019-01-18,4650.0,4680.0,4625.0,4635.0,4543.95361328125,195500
2019-01-21,4665.0,4665.0,4535.0,4540.0,4450.81982421875,211900
2019-01-22,4575.0,4600.0,4550.0,4555.0,4465.52587890625,149600
2019-01-23,4500.0,4530.0,4480.0,4480.0,4391.99853515625,166700
2019-01-24,4450.0,4460.0,4420.0,4425.0,4338.0791015625,179200
2019-01-25,4390.0,4470.0,4390.0,4425.0,4338.0791015625,191100
2019-01-28,4405.0,4420.0,4375.0,4380.0,4293.96240234375,151300
2019-01-29,4380.0,4435.0,4380.0,4430.0,4342.97998046875,171600
2019-01-30,4445.0,4460.0,4430.0,4440.0,4352.7841796875,226300
2019-01-31,4485.0,4540.0,4480.0,4485.0,4396.900390625,248200
2019-02-01,4500.0,4590.0,4500.0,4515.0,4426.31103515625,221100
2019-02-04,4535.0,4590.0,4515.0,4515.0,4426.31103515625,147900
2019-02-05,4540.0,4570.0,4520.0,4525.0,4436.11376953125,141500
2019-02-06,4525.0,4570.0,4510.0,4525.0,4436.11376953125,189200
2019-02-07,4505.0,4515.0,4470.0,4490.0,4401.80224609375,133700
2019-02-08,4420.0,4485.0,4400.0,4470.0,4382.19482421875,240200
2019-02-12,4470.0,4530.0,4460.0,4515.0,4426.31103515625,242700
2019-02-13,4550.0,4580.0,4470.0,4495.0,4406.703125,183200
2019-02-14,4475.0,4510.0,4470.0,4485.0,4396.900390625,97600
2019-02-15,4480.0,4535.0,4450.0,4530.0,4441.01611328125,155300
2019-02-18,4550.0,4580.0,4515.0,4540.0,4450.81982421875,132500
2019-02-19,4540.0,4585.0,4535.0,4570.0,4480.23046875,118000
2019-02-20,4555.0,4580.0,4530.0,4575.0,4485.1318359375,156400
2019-02-21,4595.0,4620.0,4525.0,4595.0,4504.7392578125,191000
2019-02-22,4550.0,4570.0,4520.0,4525.0,4436.11376953125,155700
2019-02-25,4530.0,4565.0,4510.0,4540.0,4450.81982421875,144900
2019-02-26,4545.0,4580.0,4530.0,4575.0,4485.1318359375,141500
2019-02-27,4560.0,4630.0,4560.0,4605.0,4514.54248046875,169400
2019-02-28,4650.0,4670.0,4610.0,4610.0,4519.44482421875,252300
2019-03-01,4600.0,4650.0,4590.0,4640.0,4548.85498046875,132000
2019-03-04,4695.0,4700.0,4605.0,4610.0,4519.44482421875,191800
2019-03-05,4590.0,4600.0,4560.0,4590.0,4499.83740234375,167100
2019-03-06,4580.0,4590.0,4550.0,4555.0,4465.52587890625,173700
2019-03-07,4455.0,4500.0,4425.0,4445.0,4357.68603515625,934300
2019-03-08,4460.0,4490.0,4425.0,4435.0,4347.88232421875,875000
2019-03-11,4430.0,4455.0,4425.0,4450.0,4362.58740234375,105800
2019-03-12,4480.0,4500.0,4470.0,4490.0,4401.80224609375,266300
2019-03-13,4470.0,4490.0,4455.0,4485.0,4396.900390625,136000
2019-03-14,4495.0,4495.0,4455.0,4470.0,4382.19482421875,100500
2019-03-15,4490.0,4530.0,4465.0,4505.0,4416.5068359375,317700
2019-03-18,4530.0,4535.0,4485.0,4485.0,4396.900390625,85800
2019-03-19,4480.0,4485.0,4430.0,4455.0,4367.4892578125,113300
2019-03-20,4450.0,4470.0,4425.0,4455.0,4367.4892578125,188200
2019-03-22,4475.0,4515.0,4465.0,4515.0,4426.31103515625,217500
2019-03-25,4485.0,4495.0,4455.0,4455.0,4367.4892578125,201000
2019-03-26,4505.0,4615.0,4495.0,4595.0,4504.7392578125,421400
2019-03-27,4575.0,4640.0,4575.0,4615.0,4541.6435546875,225100
2019-03-28,4570.0,4595.0,4535.0,4580.0,4507.19970703125,162300
2019-03-29,4600.0,4675.0,4590.0,4655.0,4581.00732421875,302900
2019-04-01,4675.0,4715.0,4655.0,4695.0,4620.3720703125,160400
2019-04-02,4705.0,4705.0,4655.0,4665.0,4590.8486328125,140800
2019-04-03,4605.0,4615.0,4525.0,4540.0,4467.8349609375,145300
2019-04-04,4540.0,4540.0,4460.0,4500.0,4428.47119140625,107000
2019-04-05,4500.0,4500.0,4460.0,4480.0,4408.7890625,226300
2019-04-08,4495.0,4525.0,4460.0,4485.0,4413.7099609375,85900
2019-04-09,4480.0,4480.0,4410.0,4430.0,4359.583984375,97600
2019-04-10,4420.0,4435.0,4385.0,4415.0,4344.822265625,102300
2019-04-11,4400.0,4430.0,4385.0,4425.0,4354.66357421875,105500
2019-04-12,4450.0,4450.0,4405.0,4425.0,4354.66357421875,116700
2019-04-15,4460.0,4495.0,4445.0,4470.0,4398.9482421875,195700
2019-04-16,4450.0,4480.0,4435.0,4450.0,4379.26611328125,130500
2019-04-17,4420.0,4450.0,4415.0,4440.0,4369.42529296875,117400
2019-04-18,4450.0,4475.0,4430.0,4435.0,4364.50439453125,146300
2019-04-19,4420.0,4455.0,4400.0,4445.0,4374.34521484375,142400
2019-04-22,4410.0,4520.0,4410.0,4520.0,4448.15380859375,142000
2019-04-23,4530.0,4615.0,4530.0,4590.0,4517.04052734375,146200
2019-04-24,4620.0,4630.0,4525.0,4560.0,4487.517578125,205600
2019-04-25,4555.0,4675.0,4555.0,4650.0,4576.08740234375,220300
2019-04-26,4680.0,4735.0,4660.0,4725.0,4649.89501953125,305200
2019-05-07,4720.0,4735.0,4690.0,4710.0,4635.1337890625,347400
2019-05-08,4695.0,4720.0,4655.0,4695.0,4620.3720703125,308600
2019-05-09,4715.0,4720.0,4650.0,4715.0,4640.0537109375,354400
2019-05-10,4665.0,4735.0,4660.0,4720.0,4644.97412109375,376700
2019-05-13,4730.0,4805.0,4720.0,4730.0,4654.8154296875,337400
2019-05-14,4700.0,4740.0,4665.0,4710.0,4635.1337890625,238000
2019-05-15,4725.0,4825.0,4700.0,4820.0,4743.384765625,303200
2019-05-16,4870.0,4925.0,4805.0,4880.0,4802.4306640625,341700
2019-05-17,4915.0,4940.0,4875.0,4905.0,4827.03369140625,324800
2019-05-20,4910.0,4950.0,4900.0,4940.0,4861.47705078125,249300
2019-05-21,4900.0,4955.0,4855.0,4865.0,4787.66943359375,237500
2019-05-22,4860.0,4865.0,4710.0,4710.0,4635.1337890625,335400
2019-05-23,4715.0,4810.0,4710.0,4795.0,4718.7822265625,221300
2019-05-24,4780.0,4850.0,4780.0,4805.0,4728.62353515625,200800
2019-05-27,4825.0,4865.0,4810.0,4850.0,4772.908203125,192600
2019-05-28,4865.0,4865.0,4735.0,4780.0,4704.0205078125,1230500
2019-05-29,4720.0,4755.0,4670.0,4700.0,4625.2919921875,263400
2019-05-30,4650.0,4660.0,4565.0,4575.0,4502.27880859375,262200
2019-05-31,4595.0,4700.0,4570.0,4685.0,4610.53076171875,402700
2019-06-03,4625.0,4740.0,4625.0,4735.0,4659.73583984375,293100
2019-06-04,4785.0,4800.0,4650.0,4715.0,4640.0537109375,275200
2019-06-05,4770.0,4815.0,4760.0,4815.0,4738.46435546875,236600
2019-06-06,4800.0,4875.0,4795.0,4865.0,4787.66943359375,164100
2019-06-07,4900.0,4900.0,4810.0,4865.0,4787.66943359375,173500
2019-06-10,4900.0,4955.0,4880.0,4930.0,4851.63623046875,224900
2019-06-11,4915.0,4915.0,4865.0,4875.0,4797.51123046875,130100
2019-06-12,4945.0,4945.0,4905.0,4905.0,4827.03369140625,180600
2019-06-13,4870.0,4890.0,4830.0,4845.0,4767.98681640625,199600
2019-06-14,4850.0,4865.0,4815.0,4860.0,4782.7490234375,171900
2019-06-17,4810.0,4845.0,4790.0,4790.0,4713.86181640625,156400
2019-06-18,4790.0,4865.0,4760.0,4795.0,4718.7822265625,290900
2019-06-19,4850.0,4865.0,4825.0,4850.0,4772.908203125,147900
2019-06-20,4865.0,4920.0,4850.0,4855.0,4777.82861328125,137000
2019-06-21,4870.0,4870.0,4780.0,4780.0,4704.0205078125,273000
2019-06-24,4790.0,4790.0,4740.0,4750.0,4674.49755859375,93000
2019-06-25,4745.0,4815.0,4715.0,4760.0,4684.3388671875,171300
2019-06-26,4700.0,4755.0,4670.0,4705.0,4630.21240234375,201600
2019-06-27,4705.0,4710.0,4670.0,4705.0,4630.21240234375,142400
2019-06-28,4685.0,4715.0,4655.0,4695.0,4620.3720703125,195100
2019-07-01,4770.0,4790.0,4675.0,4730.0,4654.8154296875,161800
2019-07-02,4715.0,4745.0,4715.0,4740.0,4664.65625,136900
2019-07-03,4750.0,4775.0,4725.0,4745.0,4669.5771484375,156800
2019-07-04,4760.0,4785.0,4745.0,4780.0,4704.0205078125,120400
2019-07-05,4800.0,4810.0,4755.0,4780.0,4704.0205078125,131100
2019-07-08,4750.0,4760.0,4700.0,4705.0,4630.21240234375,117900
2019-07-09,4730.0,4745.0,4665.0,4675.0,4600.68994140625,146000
2019-07-10,4650.0,4665.0,4595.0,4640.0,4566.24609375,199600
2019-07-11,4600.0,4645.0,4590.0,4615.0,4541.6435546875,196900
2019-07-12,4620.0,4645.0,4590.0,4645.0,4571.16650390625,146700
2019-07-16,4645.0,4660.0,4615.0,4625.0,4551.484375,115100
2019-07-17,4635.0,4675.0,4605.0,4640.0,4566.24609375,166200
2019-07-18,4620.0,4635.0,4505.0,4510.0,4438.3125,217000
2019-07-19,4580.0,4630.0,4535.0,4615.0,4541.6435546875,188000
2019-07-22,4570.0,4575.0,4515.0,4515.0,4443.232421875,143700
2019-07-23,4520.0,4565.0,4505.0,4540.0,4467.8349609375,110700
2019-07-24,4530.0,4530.0,4495.0,4510.0,4438.3125,109700
2019-07-25,4515.0,4530.0,4495.0,4505.0,4433.39208984375,81400
2019-07-26,4495.0,4505.0,4470.0,4485.0,4413.7099609375,101300
2019-07-29,4465.0,4510.0,4465.0,4510.0,4438.3125,95200
2019-07-30,4530.0,4530.0,4475.0,4505.0,4433.39208984375,122900
2019-07-31,4450.0,4460.0,4425.0,4430.0,4359.583984375,196300
2019-08-01,4405.0,4430.0,4385.0,4420.0,4349.7431640625,129700
2019-08-02,4390.0,4440.0,4365.0,4415.0,4344.822265625,225700
2019-08-05,4385.0,4410.0,4345.0,4405.0,4334.9814453125,175700
2019-08-06,4335.0,4380.0,4295.0,4365.0,4295.6171875,246200
2019-08-07,4395.0,4430.0,4320.0,4395.0,4325.140625,250900
2019-08-08,4385.0,4385.0,4345.0,4370.0,4300.53759765625,171000
2019-08-09,4395.0,4430.0,4385.0,4390.0,4320.2197265625,171100
2019-08-13,4365.0,4450.0,4365.0,4420.0,4349.7431640625,209700
2019-08-14,4430.0,4435.0,4365.0,4395.0,4325.140625,146700
2019-08-15,4330.0,4415.0,4325.0,4405.0,4334.9814453125,146100
2019-08-16,4380.0,4410.0,4370.0,4380.0,4310.37890625,149100
2019-08-19,4425.0,4430.0,4390.0,4415.0,4344.822265625,120700
2019-08-20,4410.0,4445.0,4405.0,4445.0,4374.34521484375,96900
2019-08-21,4400.0,4405.0,4360.0,4385.0,4315.29931640625,109200
2019-08-22,4395.0,4400.0,4355.0,4385.0,4315.29931640625,111400
2019-08-23,4400.0,4430.0,4385.0,4395.0,4325.140625,96300
2019-08-26,4330.0,4370.0,4310.0,4355.0,4285.7763671875,133900
2019-08-27,4395.0,4410.0,4365.0,4380.0,4310.37890625,264000
2019-08-28,4385.0,4425.0,4385.0,4410.0,4339.90185546875,137900
2019-08-29,4380.0,4435.0,4380.0,4430.0,4359.583984375,128700
2019-08-30,4465.0,4465.0,4425.0,4450.0,4379.26611328125,152100
2019-09-02,4430.0,4475.0,4405.0,4410.0,4339.90185546875,84700
2019-09-03,4425.0,4460.0,4400.0,4440.0,4369.42529296875,112500
2019-09-04,4410.0,4425.0,4385.0,4405.0,4334.9814453125,124200
2019-09-05,4440.0,4495.0,4435.0,4485.0,4413.7099609375,173300
2019-09-06,4500.0,4500.0,4450.0,4465.0,4394.02734375,88500
2019-09-09,4450.0,4520.0,4440.0,4520.0,4448.15380859375,125700
2019-09-10,4510.0,4525.0,4480.0,4495.0,4423.55078125,103600
2019-09-11,4515.0,4590.0,4495.0,4585.0,4512.12060546875,170900
2019-09-12,4600.0,4640.0,4570.0,4615.0,4541.6435546875,190100
2019-09-13,4645.0,4710.0,4600.0,4705.0,4630.21240234375,283700
2019-09-17,4710.0,4755.0,4690.0,4740.0,4664.65625,187800
2019-09-18,4760.0,4790.0,4750.0,4760.0,4684.3388671875,131700
2019-09-19,4770.0,4875.0,4770.0,4860.0,4782.7490234375,220300
2019-09-20,4895.0,4940.0,4890.0,4925.0,4846.7158203125,376700
2019-09-24,4915.0,5030.0,4905.0,5000.0,4920.52392578125,254500
2019-09-25,4990.0,5040.0,4945.0,5000.0,4920.52392578125,245900
2019-09-26,5040.0,5070.0,4915.0,4935.0,4856.556640625,517300
2019-09-27,4870.0,4930.0,4805.0,4930.0,4868.90185546875,322100
2019-09-30,4900.0,4900.0,4795.0,4805.0,4745.451171875,234600
2019-10-01,4780.0,4875.0,4780.0,4845.0,4784.95556640625,178300
2019-10-02,4810.0,4920.0,4810.0,4900.0,4839.2734375,160100
2019-10-03,4790.0,4850.0,4770.0,4825.0,4765.203125,149700
2019-10-04,4795.0,4850.0,4790.0,4850.0,4789.89404296875,113000
2019-10-07,4845.0,4875.0,4830.0,4870.0,4809.64599609375,79400
2019-10-08,4905.0,4930.0,4870.0,4910.0,4849.14990234375,162900
2019-10-09,4890.0,4975.0,4890.0,4935.0,4873.84033203125,208000
2019-10-10,4940.0,4965.0,4855.0,4880.0,4819.521484375,127700
2019-10-11,4915.0,4915.0,4840.0,4880.0,4819.521484375,109200
2019-10-15,4970.0,4990.0,4940.0,4970.0,4908.40625,174800
2019-10-16,4985.0,5030.0,4970.0,4995.0,4933.0966796875,188500
2019-10-17,4995.0,5010.0,4930.0,4930.0,4868.90185546875,134100
2019-10-18,4965.0,4980.0,4930.0,4940.0,4878.77783203125,130700
2019-10-21,4975.0,5030.0,4975.0,5010.0,4947.91064453125,101000
2019-10-23,5010.0,5150.0,4970.0,5150.0,5086.17529296875,247200
2019-10-24,5160.0,5190.0,5120.0,5130.0,5066.42333984375,184300
2019-10-25,5150.0,5200.0,5130.0,5200.0,5135.55615234375,142900
2019-10-28,5220.0,5220.0,5170.0,5190.0,5125.6796875,98300
2019-10-29,5180.0,5210.0,5090.0,5110.0,5046.67138671875,158700
2019-10-30,5100.0,5180.0,5100.0,5180.0,5115.8037109375,189800
2019-10-31,5150.0,5170.0,5100.0,5120.0,5056.5478515625,128600
2019-11-01,5080.0,5190.0,5070.0,5150.0,5086.17529296875,99500
2019-11-05,5160.0,5220.0,5110.0,5190.0,5125.6796875,207900
2019-11-06,5240.0,5390.0,5190.0,5340.0,5273.8212890625,260400
2019-11-07,5300.0,5400.0,5270.0,5350.0,5283.697265625,281500
2019-11-08,5390.0,5390.0,5320.0,5380.0,5313.32470703125,224200
2019-11-11,5370.0,5440.0,5360.0,5430.0,5362.705078125,146800
2019-11-12,5460.0,5500.0,5420.0,5480.0,5412.0859375,156300
2019-11-13,5450.0,5500.0,5450.0,5470.0,5402.2099609375,131300
2019-11-14,5450.0,5490.0,5380.0,5410.0,5342.953125,167700
2019-11-15,5410.0,5460.0,5400.0,5430.0,5362.705078125,152300
2019-11-18,5420.0,5440.0,5370.0,5420.0,5352.8291015625,119700
2019-11-19,5430.0,5440.0,5390.0,5410.0,5342.953125,120500
2019-11-20,5370.0,5380.0,5280.0,5370.0,5303.44921875,168900
2019-11-21,5350.0,5430.0,5290.0,5400.0,5333.0771484375,142900
2019-11-22,5400.0,5440.0,5400.0,5410.0,5342.953125,126200
2019-11-25,5440.0,5480.0,5430.0,5440.0,5372.5810546875,111700
2019-11-26,5470.0,5500.0,5410.0,5440.0,5372.5810546875,581600
2019-11-27,5460.0,5490.0,5440.0,5450.0,5382.4580078125,101200
2019-11-28,5450.0,5450.0,5390.0,5420.0,5352.8291015625,93300
2019-11-29,5440.0,5440.0,5340.0,5350.0,5283.697265625,130500
2019-12-02,5420.0,5470.0,5410.0,5450.0,5382.4580078125,123300
2019-12-03,5440.0,5500.0,5420.0,5460.0,5392.333984375,159900
2019-12-04,5420.0,5450.0,5400.0,5420.0,5352.8291015625,132500
2019-12-05,5420.0,5430.0,5370.0,5420.0,5352.8291015625,135800
2019-12-06,5430.0,5440.0,5390.0,5430.0,5362.705078125,102300
2019-12-09,5430.0,5430.0,5350.0,5390.0,5323.201171875,128000
2019-12-10,5350.0,5380.0,5340.0,5370.0,5303.44921875,125000
2019-12-11,5350.0,5350.0,5300.0,5310.0,5244.1923828125,123800
