Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2540.0,2659.0,2473.0,2512.0,2474.83251953125,533600
2019-01-07,2510.0,2570.0,2406.0,2412.0,2376.31201171875,426400
2019-01-08,2410.0,2427.0,2322.0,2382.0,2346.756103515625,288500
2019-01-09,2386.0,2448.0,2344.0,2383.0,2347.7412109375,200900
2019-01-10,2383.0,2444.0,2350.0,2408.0,2372.371337890625,184700
2019-01-11,2435.0,2457.0,2353.0,2392.0,2356.60791015625,157300
2019-01-15,2399.0,2430.0,2358.0,2372.0,2336.90380859375,168900
2019-01-16,2381.0,2464.0,2365.0,2435.0,2398.9716796875,151200
2019-01-17,2467.0,2499.0,2438.0,2499.0,2462.02490234375,157300
2019-01-18,2515.0,2543.0,2456.0,2491.0,2454.14306640625,169600
2019-01-21,2515.0,2528.0,2478.0,2502.0,2464.98046875,137800
2019-01-22,2495.0,2545.0,2468.0,2522.0,2484.6845703125,198400
2019-01-23,2501.0,2522.0,2469.0,2476.0,2439.364990234375,132000
2019-01-24,2451.0,2451.0,2360.0,2415.0,2379.267578125,234600
2019-01-25,2376.0,2398.0,2130.0,2188.0,2155.626220703125,1018800
2019-01-28,2161.0,2161.0,2009.0,2010.0,1980.260009765625,886800
2019-01-29,2060.0,2292.0,2021.0,2290.0,2256.1171875,1377200
2019-01-30,2293.0,2328.0,2206.0,2219.0,2186.16796875,502900
2019-01-31,2242.0,2290.0,2217.0,2221.0,2188.13818359375,258600
2019-02-01,2225.0,2262.0,2185.0,2211.0,2178.2861328125,215600
2019-02-04,2232.0,2272.0,2218.0,2248.0,2214.738525390625,193300
2019-02-05,2277.0,2372.0,2277.0,2299.0,2264.984130859375,310700
2019-02-06,2299.0,2325.0,2238.0,2286.0,2252.176513671875,127500
2019-02-07,2288.0,2305.0,2233.0,2256.0,2222.6201171875,91400
2019-02-08,2244.0,2294.0,2219.0,2239.0,2205.871826171875,112500
2019-02-12,2233.0,2265.0,2233.0,2253.0,2219.66455078125,89500
2019-02-13,2250.0,2279.0,2230.0,2258.0,2224.5908203125,90000
2019-02-14,2245.0,2294.0,2240.0,2288.0,2254.14697265625,111700
2019-02-15,2257.0,2307.0,2217.0,2288.0,2254.14697265625,183700
2019-02-18,2300.0,2320.0,2266.0,2295.0,2261.04296875,133000
2019-02-19,2290.0,2315.0,2263.0,2300.0,2265.96923828125,63100
2019-02-20,2299.0,2341.0,2296.0,2324.0,2289.6142578125,85000
2019-02-21,2323.0,2330.0,2291.0,2320.0,2285.67333984375,68200
2019-02-22,2321.0,2333.0,2304.0,2317.0,2282.717529296875,61800
2019-02-25,2329.0,2420.0,2328.0,2364.0,2329.022216796875,172300
2019-02-26,2373.0,2395.0,2345.0,2380.0,2344.78564453125,113900
2019-02-27,2400.0,2455.0,2396.0,2442.0,2405.8681640625,134700
2019-02-28,2454.0,2487.0,2444.0,2470.0,2433.453857421875,115600
2019-03-01,2471.0,2539.0,2453.0,2518.0,2480.74365234375,172800
2019-03-04,2529.0,2547.0,2494.0,2540.0,2502.418212890625,83600
2019-03-05,2550.0,2565.0,2509.0,2511.0,2473.84716796875,136800
2019-03-06,2500.0,2513.0,2467.0,2501.0,2463.995361328125,92500
2019-03-07,2512.0,2592.0,2512.0,2588.0,2549.7080078125,147000
2019-03-08,2583.0,2610.0,2550.0,2571.0,2532.95947265625,199700
2019-03-11,2559.0,2593.0,2551.0,2582.0,2543.796875,66800
2019-03-12,2600.0,2639.0,2591.0,2600.0,2561.530517578125,106100
2019-03-13,2588.0,2625.0,2561.0,2624.0,2585.17529296875,83200
2019-03-14,2637.0,2692.0,2611.0,2675.0,2635.420654296875,177400
2019-03-15,2690.0,2722.0,2662.0,2667.0,2627.5390625,221800
2019-03-18,2692.0,2699.0,2634.0,2690.0,2650.19873046875,119400
2019-03-19,2693.0,2700.0,2654.0,2691.0,2651.18408203125,98600
2019-03-20,2672.0,2691.0,2643.0,2675.0,2635.420654296875,120500
2019-03-22,2665.0,2679.0,2601.0,2611.0,2572.36767578125,195000
2019-03-25,2567.0,2595.0,2536.0,2564.0,2526.063232421875,168000
2019-03-26,2555.0,2574.0,2521.0,2540.0,2502.418212890625,236300
2019-03-27,2518.0,2543.0,2488.0,2504.0,2476.70166015625,212300
2019-03-28,2518.0,2588.0,2487.0,2569.0,2540.992919921875,137100
2019-03-29,2600.0,2651.0,2580.0,2649.0,2620.120849609375,185200
2019-04-01,2654.0,2685.0,2603.0,2674.0,2644.84814453125,146500
2019-04-02,2690.0,2712.0,2665.0,2677.0,2647.8154296875,150000
2019-04-03,2650.0,2651.0,2582.0,2591.0,2562.753173828125,131500
2019-04-04,2557.0,2624.0,2518.0,2600.0,2571.655029296875,169700
2019-04-05,2606.0,2671.0,2603.0,2671.0,2641.880859375,122100
2019-04-08,2675.0,2695.0,2666.0,2679.0,2649.793701171875,84300
2019-04-09,2704.0,2840.0,2702.0,2827.0,2796.180419921875,294500
2019-04-10,2832.0,3045.0,2832.0,2982.0,2949.490478515625,590900
2019-04-11,3005.0,3185.0,3005.0,3170.0,3135.44091796875,525900
2019-04-12,3230.0,3270.0,3110.0,3160.0,3125.5498046875,466600
2019-04-15,3170.0,3225.0,3120.0,3190.0,3155.222900390625,273000
2019-04-16,3165.0,3230.0,3140.0,3180.0,3145.33203125,154000
2019-04-17,3160.0,3215.0,3155.0,3170.0,3135.44091796875,166700
2019-04-18,3200.0,3250.0,3175.0,3245.0,3209.623291015625,225500
2019-04-19,3295.0,3335.0,3245.0,3290.0,3254.132568359375,233700
2019-04-22,3290.0,3310.0,3205.0,3240.0,3204.677734375,178200
2019-04-23,3250.0,3300.0,3240.0,3245.0,3209.623291015625,157300
2019-04-24,3215.0,3240.0,3120.0,3135.0,3100.822509765625,255200
2019-04-25,3110.0,3200.0,3105.0,3170.0,3135.44091796875,181800
2019-04-26,3215.0,3235.0,3160.0,3205.0,3170.0595703125,152800
2019-05-07,3200.0,3295.0,3170.0,3270.0,3234.350830078125,150600
2019-05-08,3220.0,3255.0,3200.0,3215.0,3179.9501953125,108700
2019-05-09,3215.0,3295.0,3190.0,3215.0,3179.9501953125,180900
2019-05-10,3190.0,3245.0,3150.0,3200.0,3165.114013671875,188700
2019-05-13,3000.0,3055.0,2860.0,2889.0,2857.50439453125,610200
2019-05-14,2860.0,3055.0,2860.0,2993.0,2960.37060546875,308900
2019-05-15,3045.0,3140.0,2986.0,3040.0,3006.858154296875,185700
2019-05-16,3050.0,3080.0,3015.0,3080.0,3046.422119140625,118800
2019-05-17,3080.0,3170.0,3080.0,3165.0,3130.495361328125,111400
2019-05-20,3180.0,3210.0,3155.0,3165.0,3130.495361328125,77100
2019-05-21,3175.0,3200.0,3090.0,3095.0,3061.258544921875,109300
2019-05-22,3105.0,3105.0,2991.0,3005.0,2972.23974609375,131200
2019-05-23,3000.0,3090.0,2999.0,3065.0,3031.585693359375,105700
2019-05-24,3055.0,3150.0,3055.0,3140.0,3105.76806640625,117900
2019-05-27,3175.0,3420.0,3150.0,3365.0,3328.315185546875,385600
2019-05-28,3400.0,3455.0,3280.0,3360.0,3323.36962890625,519500
2019-05-29,3325.0,3335.0,3100.0,3100.0,3066.2041015625,301600
2019-05-30,3100.0,3100.0,2909.0,2956.0,2923.77392578125,444800
2019-05-31,2924.0,2939.0,2850.0,2918.0,2886.188232421875,341100
2019-06-03,2918.0,2955.0,2877.0,2915.0,2883.220947265625,174800
2019-06-04,2915.0,2925.0,2857.0,2905.0,2873.329833984375,120500
2019-06-05,2935.0,2973.0,2871.0,2929.0,2897.068359375,190200
2019-06-06,2892.0,2901.0,2823.0,2838.0,2807.060546875,204400
2019-06-07,2839.0,2847.0,2715.0,2802.0,2771.452880859375,330300
