Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2236.0,2283.0,2214.0,2258.0,2206.57763671875,1450600
2019-01-07,2333.0,2351.0,2275.0,2285.0,2232.962646484375,990400
2019-01-08,2279.0,2288.0,2228.0,2237.0,2186.055908203125,894000
2019-01-09,2225.0,2246.0,2203.0,2213.0,2162.6025390625,1356600
2019-01-10,2194.0,2208.0,2161.0,2165.0,2115.695556640625,810600
2019-01-11,2171.0,2186.0,2137.0,2153.0,2103.968994140625,807700
2019-01-15,2083.0,2123.0,2075.0,2094.0,2046.3126220703125,922400
2019-01-16,2126.0,2154.0,2096.0,2146.0,2097.12841796875,887500
2019-01-17,2157.0,2176.0,2118.0,2139.0,2090.287841796875,760800
2019-01-18,2181.0,2196.0,2157.0,2163.0,2113.7412109375,574100
2019-01-21,2161.0,2167.0,2141.0,2157.0,2107.8779296875,564800
2019-01-22,2168.0,2170.0,2146.0,2162.0,2112.76416015625,376800
2019-01-23,2137.0,2142.0,2113.0,2117.0,2068.788818359375,426200
2019-01-24,2140.0,2171.0,2132.0,2169.0,2119.604736328125,612300
2019-01-25,2162.0,2203.0,2153.0,2189.0,2139.149169921875,526300
2019-01-28,2177.0,2224.0,2164.0,2205.0,2154.78466796875,497500
2019-01-29,2193.0,2246.0,2193.0,2244.0,2192.896484375,697800
2019-01-30,2231.0,2253.0,2215.0,2245.0,2193.873779296875,784900
2019-01-31,2273.0,2292.0,2247.0,2263.0,2211.463623046875,934400
2019-02-01,2250.0,2305.0,2245.0,2287.0,2234.917236328125,642200
2019-02-04,2303.0,2338.0,2299.0,2335.0,2281.823974609375,725900
2019-02-05,2350.0,2363.0,2323.0,2333.0,2279.869873046875,660600
2019-02-06,2352.0,2391.0,2347.0,2385.0,2330.685302734375,875900
2019-02-07,2375.0,2383.0,2357.0,2373.0,2318.958740234375,657300
2019-02-08,2350.0,2386.0,2329.0,2338.0,2284.755859375,687300
2019-02-12,2345.0,2385.0,2339.0,2376.0,2321.89013671875,872100
2019-02-13,2352.0,2369.0,2302.0,2333.0,2279.869873046875,1313300
2019-02-14,2220.0,2245.0,2138.0,2195.0,2145.01220703125,2356800
2019-02-15,2181.0,2227.0,2162.0,2223.0,2172.375,1069100
2019-02-18,2272.0,2276.0,2206.0,2232.0,2181.169921875,810800
2019-02-19,2209.0,2231.0,2201.0,2221.0,2170.420166015625,925000
2019-02-20,2204.0,2234.0,2190.0,2231.0,2180.192626953125,1192000
2019-02-21,2222.0,2236.0,2191.0,2230.0,2179.21533203125,1060700
2019-02-22,2236.0,2260.0,2236.0,2250.0,2198.759765625,723400
2019-02-25,2260.0,2265.0,2243.0,2252.0,2200.714111328125,859300
2019-02-26,2246.0,2258.0,2229.0,2241.0,2189.965087890625,903300
2019-02-27,2273.0,2284.0,2240.0,2241.0,2189.965087890625,929500
2019-02-28,2253.0,2294.0,2228.0,2283.0,2231.00830078125,1300500
2019-03-01,2283.0,2296.0,2264.0,2288.0,2235.89453125,708000
2019-03-04,2305.0,2310.0,2249.0,2257.0,2205.600830078125,649300
2019-03-05,2248.0,2284.0,2248.0,2280.0,2228.07666015625,1018700
2019-03-06,2279.0,2289.0,2261.0,2273.0,2221.236328125,840900
2019-03-07,2269.0,2269.0,2225.0,2232.0,2181.169921875,823700
2019-03-08,2210.0,2273.0,2209.0,2269.0,2217.326904296875,1046600
2019-03-11,2276.0,2304.0,2265.0,2277.0,2225.14501953125,443200
2019-03-12,2288.0,2319.0,2284.0,2302.0,2249.575927734375,415800
2019-03-13,2287.0,2328.0,2287.0,2302.0,2249.575927734375,286100
2019-03-14,2330.0,2332.0,2298.0,2322.0,2269.1201171875,351200
2019-03-15,2342.0,2414.0,2342.0,2394.0,2339.48046875,1490600
2019-03-18,2410.0,2429.0,2373.0,2423.0,2367.820068359375,551300
2019-03-19,2416.0,2424.0,2394.0,2415.0,2360.00244140625,262400
2019-03-20,2411.0,2420.0,2387.0,2409.0,2354.13916015625,964300
2019-03-22,2401.0,2404.0,2344.0,2357.0,2303.3232421875,1246800
2019-03-25,2338.0,2346.0,2287.0,2320.0,2267.165771484375,611000
2019-03-26,2338.0,2378.0,2338.0,2369.0,2315.0498046875,503500
2019-03-27,2370.0,2376.0,2341.0,2364.0,2310.16357421875,347600
2019-03-28,2346.0,2346.0,2304.0,2327.0,2274.006591796875,383200
2019-03-29,2334.0,2348.0,2321.0,2330.0,2276.93798828125,723100
2019-04-01,2368.0,2374.0,2328.0,2328.0,2274.983642578125,388100
2019-04-02,2365.0,2365.0,2279.0,2280.0,2228.07666015625,551100
2019-04-03,2280.0,2295.0,2263.0,2283.0,2231.00830078125,305900
2019-04-04,2280.0,2303.0,2263.0,2300.0,2247.62109375,274900
2019-04-05,2300.0,2304.0,2251.0,2259.0,2207.55517578125,726000
2019-04-08,2245.0,2278.0,2227.0,2268.0,2216.35009765625,410700
2019-04-09,2276.0,2282.0,2243.0,2263.0,2211.463623046875,389400
2019-04-10,2256.0,2279.0,2254.0,2277.0,2225.14501953125,305600
2019-04-11,2293.0,2313.0,2279.0,2292.0,2239.803466796875,396700
2019-04-12,2306.0,2309.0,2270.0,2288.0,2235.89453125,569200
2019-04-15,2326.0,2337.0,2299.0,2300.0,2247.62109375,531500
2019-04-16,2300.0,2312.0,2286.0,2293.0,2240.78076171875,462000
2019-04-17,2275.0,2281.0,2241.0,2262.0,2210.48681640625,783600
2019-04-18,2259.0,2261.0,2232.0,2256.0,2204.623046875,781000
2019-04-19,2276.0,2295.0,2253.0,2256.0,2204.623046875,305800
2019-04-22,2244.0,2279.0,2238.0,2272.0,2220.258544921875,306500
2019-04-23,2290.0,2306.0,2278.0,2301.0,2248.598388671875,659200
2019-04-24,2301.0,2316.0,2286.0,2292.0,2239.803466796875,521900
2019-04-25,2287.0,2289.0,2236.0,2261.0,2209.50927734375,1346200
2019-04-26,2263.0,2302.0,2261.0,2288.0,2235.89453125,1110900
2019-05-07,2300.0,2328.0,2273.0,2303.0,2250.552734375,765800
2019-05-08,2280.0,2292.0,2238.0,2255.0,2203.64599609375,838200
2019-05-09,2232.0,2241.0,2206.0,2219.0,2168.4658203125,1227600
2019-05-10,2187.0,2219.0,2097.0,2111.0,2062.925048828125,1613100
2019-05-13,2093.0,2099.0,2039.0,2051.0,2004.2918701171875,1142900
2019-05-14,2006.0,2032.0,1986.0,2014.0,1968.1343994140625,1174800
2019-05-15,2014.0,2054.0,2004.0,2041.0,1994.51953125,970500
2019-05-16,2038.0,2055.0,2028.0,2041.0,1994.51953125,716500
2019-05-17,2065.0,2127.0,2059.0,2123.0,2074.65234375,1125200
2019-05-20,2122.0,2148.0,2111.0,2113.0,2064.879638671875,756900
2019-05-21,2126.0,2154.0,2112.0,2127.0,2078.560791015625,920900
2019-05-22,2129.0,2159.0,2114.0,2114.0,2065.85693359375,693300
2019-05-23,2113.0,2135.0,2102.0,2119.0,2070.7431640625,674900
2019-05-24,2108.0,2140.0,2103.0,2134.0,2085.401611328125,583600
2019-05-27,2135.0,2169.0,2135.0,2161.0,2111.786376953125,512200
2019-05-28,2161.0,2203.0,2155.0,2165.0,2115.695556640625,1082100
2019-05-29,2127.0,2154.0,2118.0,2137.0,2088.33349609375,610000
2019-05-30,2111.0,2129.0,2097.0,2116.0,2067.811279296875,892800
2019-05-31,2114.0,2134.0,2097.0,2104.0,2056.0849609375,880500
2019-06-03,2057.0,2084.0,2054.0,2078.0,2030.677001953125,566700
2019-06-04,2099.0,2107.0,2069.0,2086.0,2038.49462890625,607900
2019-06-05,2111.0,2130.0,2088.0,2122.0,2073.6748046875,745000
2019-06-06,2130.0,2148.0,2122.0,2129.0,2080.515380859375,521000
2019-06-07,2131.0,2142.0,2103.0,2117.0,2068.788818359375,498500
2019-06-10,2130.0,2149.0,2117.0,2139.0,2090.287841796875,513700
2019-06-11,2144.0,2163.0,2122.0,2148.0,2099.082763671875,566900
