Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,3690.0,3690.0,3455.0,3555.0,3422.164794921875,259900
2019-01-07,3755.0,3865.0,3750.0,3845.0,3701.32861328125,214200
2019-01-08,3915.0,4045.0,3895.0,4000.0,3850.536865234375,207100
2019-01-09,4050.0,4090.0,3955.0,4025.0,3874.60302734375,200500
2019-01-10,4040.0,4050.0,3930.0,3975.0,3826.470947265625,136400
2019-01-11,4045.0,4090.0,3990.0,4010.0,3860.163330078125,86600
2019-01-15,3920.0,4155.0,3920.0,4145.0,3990.118896484375,172500
2019-01-16,4100.0,4175.0,4040.0,4120.0,3966.052734375,160200
2019-01-17,4160.0,4270.0,4135.0,4190.0,4033.4375,146400
2019-01-18,4220.0,4350.0,4180.0,4345.0,4182.64599609375,136000
2019-01-21,4410.0,4450.0,4220.0,4240.0,4081.5693359375,232700
2019-01-22,4245.0,4290.0,4150.0,4185.0,4028.62451171875,115600
2019-01-23,4115.0,4260.0,4090.0,4215.0,4057.50341796875,96300
2019-01-24,4205.0,4315.0,4190.0,4265.0,4105.63525390625,170700
2019-01-25,4335.0,4520.0,4305.0,4505.0,4336.66748046875,245000
2019-01-28,4520.0,4570.0,4430.0,4495.0,4327.041015625,125000
2019-01-29,4425.0,4435.0,4190.0,4345.0,4182.64599609375,244000
2019-01-30,4390.0,4400.0,4335.0,4345.0,4182.64599609375,126600
2019-01-31,4420.0,4460.0,4345.0,4435.0,4269.2822265625,134600
2019-02-01,4460.0,4510.0,4410.0,4475.0,4307.7880859375,182000
2019-02-04,4515.0,4540.0,4330.0,4355.0,4192.2724609375,445800
2019-02-05,4385.0,4460.0,4325.0,4350.0,4187.458984375,221400
2019-02-06,4380.0,4435.0,4335.0,4380.0,4216.337890625,114800
2019-02-07,4340.0,4340.0,4235.0,4270.0,4110.4482421875,165300
2019-02-08,4200.0,4200.0,4065.0,4100.0,3946.800537109375,204800
2019-02-12,4170.0,4310.0,4160.0,4305.0,4144.140625,194400
2019-02-13,4365.0,4470.0,4360.0,4460.0,4293.34814453125,170600
2019-02-14,4400.0,4445.0,4300.0,4315.0,4153.76708984375,207100
2019-02-15,4300.0,4485.0,4235.0,4425.0,4259.65673828125,319900
2019-02-18,4495.0,4535.0,4415.0,4470.0,4302.97509765625,152100
2019-02-19,4430.0,4570.0,4385.0,4550.0,4379.98583984375,200000
2019-02-20,4555.0,4615.0,4510.0,4575.0,4404.0517578125,146600
2019-02-21,4615.0,4710.0,4585.0,4650.0,4476.2490234375,284000
2019-02-22,4580.0,4585.0,4490.0,4575.0,4404.0517578125,115300
2019-02-25,4680.0,4705.0,4660.0,4685.0,4509.94140625,144200
2019-02-26,4720.0,4775.0,4655.0,4700.0,4524.38037109375,183600
2019-02-27,4645.0,4700.0,4575.0,4585.0,4413.677734375,206900
2019-02-28,4620.0,4625.0,4445.0,4475.0,4307.7880859375,242400
2019-03-01,4505.0,4550.0,4470.0,4495.0,4327.041015625,183900
2019-03-04,4550.0,4675.0,4550.0,4675.0,4500.314453125,150200
2019-03-05,4605.0,4660.0,4525.0,4540.0,4370.359375,136900
2019-03-06,4525.0,4525.0,4475.0,4500.0,4331.85400390625,75300
2019-03-07,4460.0,4460.0,4345.0,4395.0,4230.77734375,146700
2019-03-08,4300.0,4300.0,4170.0,4220.0,4062.316162109375,233500
2019-03-11,4200.0,4225.0,4080.0,4210.0,4052.690185546875,189100
2019-03-12,4275.0,4280.0,4170.0,4225.0,4067.1298828125,182700
2019-03-13,4230.0,4320.0,4190.0,4235.0,4076.756103515625,124000
2019-03-14,4260.0,4285.0,4120.0,4145.0,3990.118896484375,210700
2019-03-15,4165.0,4250.0,4165.0,4215.0,4057.50341796875,168700
2019-03-18,4220.0,4285.0,4220.0,4270.0,4110.4482421875,53100
2019-03-19,4275.0,4295.0,4180.0,4220.0,4062.316162109375,296500
2019-03-20,4205.0,4215.0,4155.0,4190.0,4033.4375,97200
2019-03-22,4220.0,4240.0,4160.0,4200.0,4043.06396484375,121400
2019-03-25,4095.0,4125.0,4030.0,4115.0,3961.239990234375,121700
2019-03-26,4195.0,4390.0,4115.0,4345.0,4182.64599609375,206500
2019-03-27,4360.0,4465.0,4355.0,4450.0,4343.70458984375,222600
2019-03-28,4420.0,4420.0,4310.0,4375.0,4270.49560546875,123600
2019-03-29,4455.0,4570.0,4410.0,4560.0,4451.0771484375,295200
2019-04-01,4610.0,4740.0,4610.0,4675.0,4563.330078125,175500
2019-04-02,4740.0,4760.0,4675.0,4755.0,4641.4189453125,160700
2019-04-03,4790.0,4915.0,4790.0,4905.0,4787.8359375,251800
2019-04-04,4930.0,5020.0,4880.0,4885.0,4768.31396484375,183500
2019-04-05,4870.0,4970.0,4860.0,4965.0,4846.40283203125,161500
2019-04-08,4965.0,4990.0,4820.0,4825.0,4709.7470703125,122100
2019-04-09,4780.0,4895.0,4765.0,4810.0,4695.10546875,130400
2019-04-10,4750.0,4785.0,4705.0,4760.0,4646.29931640625,113800
2019-04-11,4765.0,4840.0,4730.0,4750.0,4636.53857421875,107700
2019-04-12,4735.0,4760.0,4670.0,4740.0,4626.77734375,142100
2019-04-15,4880.0,5040.0,4880.0,4955.0,4836.6416015625,256400
2019-04-16,4890.0,4980.0,4885.0,4960.0,4841.5224609375,123400
2019-04-17,4990.0,5040.0,4950.0,4970.0,4851.283203125,182500
2019-04-18,4985.0,5010.0,4890.0,4905.0,4787.8359375,95500
2019-04-19,4955.0,5060.0,4950.0,4990.0,4870.80517578125,168100
2019-04-22,4990.0,4990.0,4900.0,4920.0,4802.47802734375,80700
2019-04-23,4920.0,4945.0,4845.0,4885.0,4768.31396484375,181300
2019-04-24,4925.0,4935.0,4800.0,4825.0,4709.7470703125,192400
2019-04-25,4800.0,4870.0,4740.0,4860.0,4743.9111328125,158500
2019-04-26,4800.0,4800.0,4345.0,4690.0,4577.97216796875,511100
2019-05-07,4600.0,4620.0,4320.0,4340.0,4236.33154296875,338500
2019-05-08,4225.0,4225.0,4120.0,4170.0,4070.392578125,310900
2019-05-09,4170.0,4195.0,4040.0,4055.0,3958.139892578125,239700
2019-05-10,4050.0,4165.0,4035.0,4135.0,4036.228759765625,302500
2019-05-13,4065.0,4065.0,3985.0,4005.0,3909.333740234375,250000
2019-05-14,3795.0,3965.0,3770.0,3935.0,3841.00634765625,320700
2019-05-15,3825.0,3960.0,3790.0,3955.0,3860.5283203125,330400
2019-05-16,3955.0,3960.0,3765.0,3850.0,3758.036376953125,306300
2019-05-17,3920.0,3930.0,3870.0,3910.0,3816.603271484375,186300
2019-05-20,3880.0,3905.0,3785.0,3810.0,3718.991943359375,301900
2019-05-21,3725.0,3850.0,3715.0,3810.0,3718.991943359375,326600
2019-05-22,3855.0,3920.0,3835.0,3880.0,3787.31982421875,246700
2019-05-23,3830.0,3830.0,3765.0,3790.0,3699.4697265625,242500
2019-05-24,3725.0,3795.0,3705.0,3730.0,3640.90283203125,257700
2019-05-27,3755.0,3765.0,3700.0,3715.0,3626.26123046875,97100
2019-05-28,3675.0,3760.0,3670.0,3750.0,3660.42529296875,262000
2019-05-29,3680.0,3765.0,3670.0,3745.0,3655.544677734375,238900
2019-05-30,3700.0,3815.0,3700.0,3815.0,3723.87255859375,135700
2019-05-31,3755.0,3815.0,3730.0,3760.0,3670.186279296875,223200
2019-06-03,3685.0,3705.0,3640.0,3665.0,3577.45556640625,182200
2019-06-04,3680.0,3790.0,3670.0,3790.0,3699.4697265625,170300
2019-06-05,3950.0,4045.0,3915.0,3935.0,3841.00634765625,274400
2019-06-06,3910.0,3935.0,3840.0,3840.0,3748.275390625,212300
2019-06-07,3970.0,4030.0,3945.0,3950.0,3855.647705078125,269700
2019-06-10,4010.0,4050.0,3990.0,4030.0,3933.73681640625,217100
2019-06-11,4005.0,4110.0,3985.0,4110.0,4011.825927734375,202900
2019-06-12,4125.0,4250.0,4115.0,4195.0,4094.79541015625,287800
2019-06-13,4125.0,4140.0,4000.0,4005.0,3909.333740234375,222400
2019-06-14,3990.0,3990.0,3935.0,3955.0,3860.5283203125,171800
2019-06-17,3945.0,4010.0,3880.0,3980.0,3884.93115234375,145700
2019-06-18,3980.0,4030.0,3930.0,3945.0,3850.76708984375,82800
2019-06-19,4085.0,4190.0,4085.0,4160.0,4060.6318359375,213900
2019-06-20,4160.0,4200.0,4105.0,4175.0,4075.273193359375,147300
2019-06-21,4195.0,4210.0,4105.0,4130.0,4031.348388671875,171500
2019-06-24,4200.0,4245.0,4135.0,4225.0,4124.0791015625,194000
2019-06-25,4280.0,4325.0,4185.0,4185.0,4085.034912109375,259000
2019-06-26,4165.0,4245.0,4140.0,4200.0,4099.67626953125,119200
2019-06-27,4255.0,4425.0,4250.0,4395.0,4290.01806640625,253700
2019-06-28,4365.0,4400.0,4335.0,4345.0,4241.212890625,204900
2019-07-01,4515.0,4645.0,4515.0,4630.0,4519.4052734375,336400
2019-07-02,4630.0,4690.0,4595.0,4675.0,4563.330078125,151600
2019-07-03,4575.0,4605.0,4485.0,4515.0,4407.15185546875,232400
2019-07-04,4655.0,4665.0,4540.0,4555.0,4446.1962890625,268000
2019-07-05,4555.0,4645.0,4530.0,4645.0,4534.04638671875,170400
2019-07-08,4625.0,4685.0,4605.0,4650.0,4538.92724609375,193600
2019-07-09,4585.0,4610.0,4465.0,4505.0,4397.390625,198500
2019-07-10,4495.0,4495.0,4420.0,4435.0,4329.0625,207600
2019-07-11,4340.0,4435.0,4305.0,4385.0,4280.2568359375,279000
2019-07-12,4340.0,4345.0,4235.0,4250.0,4148.48193359375,423100
2019-07-16,4270.0,4395.0,4250.0,4340.0,4236.33154296875,467400
2019-07-17,4270.0,4460.0,4240.0,4405.0,4299.779296875,389900
2019-07-18,4300.0,4345.0,4250.0,4265.0,4163.12353515625,211700
2019-07-19,4280.0,4400.0,4275.0,4370.0,4265.615234375,215700
2019-07-22,4375.0,4580.0,4375.0,4560.0,4451.0771484375,331900
2019-07-23,4540.0,4655.0,4535.0,4625.0,4514.52392578125,217900
2019-07-24,4655.0,4705.0,4635.0,4665.0,4553.56884765625,169700
2019-07-25,4750.0,4780.0,4670.0,4710.0,4597.494140625,163800
2019-07-26,4640.0,4655.0,4575.0,4645.0,4534.04638671875,108500
2019-07-29,4600.0,4605.0,4550.0,4565.0,4455.95703125,82300
2019-07-30,4565.0,4695.0,4565.0,4645.0,4534.04638671875,165000
2019-07-31,4595.0,4665.0,4585.0,4585.0,4475.47998046875,259400
2019-08-01,4235.0,4535.0,4125.0,4510.0,4402.271484375,723400
2019-08-02,4450.0,4450.0,4170.0,4185.0,4085.034912109375,347400
2019-08-05,4090.0,4120.0,4010.0,4075.0,3977.661865234375,263400
2019-08-06,3950.0,4165.0,3945.0,4140.0,4041.109375,332800
2019-08-07,4125.0,4215.0,4110.0,4140.0,4041.109375,270100
2019-08-08,4120.0,4150.0,4025.0,4080.0,3982.54248046875,150700
2019-08-09,4090.0,4105.0,4020.0,4060.0,3963.020263671875,120000
2019-08-13,3995.0,4080.0,3960.0,4070.0,3972.78125,211500
2019-08-14,4165.0,4190.0,4140.0,4155.0,4055.7509765625,171800
2019-08-15,4015.0,4230.0,3995.0,4190.0,4089.9150390625,353500
2019-08-16,4145.0,4285.0,4140.0,4270.0,4168.00439453125,277100
2019-08-19,4340.0,4410.0,4255.0,4260.0,4158.2431640625,229900
2019-08-20,4220.0,4265.0,4190.0,4245.0,4143.60107421875,406800
2019-08-21,4175.0,4265.0,4160.0,4205.0,4104.556640625,261900
2019-08-22,4210.0,4275.0,4195.0,4260.0,4158.2431640625,209800
2019-08-23,4295.0,4335.0,4250.0,4320.0,4216.81005859375,154000
2019-08-26,4180.0,4190.0,4125.0,4170.0,4070.392578125,249200
2019-08-27,4210.0,4300.0,4165.0,4265.0,4163.12353515625,160800
2019-08-28,4235.0,4245.0,4150.0,4150.0,4050.87060546875,145400
2019-08-29,4175.0,4200.0,4115.0,4165.0,4065.51220703125,120400
2019-08-30,4225.0,4335.0,4220.0,4305.0,4202.16796875,202100
2019-09-02,4330.0,4330.0,4260.0,4290.0,4187.52587890625,128400
2019-09-03,4295.0,4380.0,4295.0,4310.0,4207.048828125,154800
2019-09-04,4265.0,4275.0,4220.0,4255.0,4153.36181640625,137500
2019-09-05,4325.0,4520.0,4320.0,4490.0,4382.7490234375,234000
