Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1598.0,1612.0,1530.0,1590.0,1433.2393798828125,1651900
2019-01-07,1656.0,1713.0,1653.0,1677.0,1511.661865234375,1309000
2019-01-08,1680.0,1721.0,1675.0,1700.0,1532.3941650390625,958500
2019-01-09,1693.0,1696.0,1632.0,1677.0,1511.661865234375,1510300
2019-01-10,1676.0,1697.0,1655.0,1679.0,1513.4647216796875,949100
2019-01-11,1655.0,1702.0,1649.0,1692.0,1525.1829833984375,1332900
2019-01-15,1692.0,1737.0,1681.0,1718.0,1548.6195068359375,1049600
2019-01-16,1718.0,1736.0,1688.0,1713.0,1544.112548828125,772400
2019-01-17,1685.0,1696.0,1663.0,1676.0,1510.760498046875,1073000
2019-01-18,1706.0,1723.0,1693.0,1711.0,1542.309814453125,1011100
2019-01-21,1728.0,1772.0,1721.0,1764.0,1590.08447265625,1018300
2019-01-22,1769.0,1773.0,1723.0,1730.0,1559.4366455078125,649500
2019-01-23,1706.0,1722.0,1687.0,1711.0,1542.309814453125,921400
2019-01-24,1714.0,1725.0,1691.0,1715.0,1545.915283203125,846400
2019-01-25,1652.0,1716.0,1648.0,1716.0,1546.816650390625,1401900
2019-01-28,1723.0,1746.0,1704.0,1709.0,1540.5068359375,715900
2019-01-29,1702.0,1705.0,1667.0,1681.0,1515.267333984375,1010500
2019-01-30,1692.0,1700.0,1663.0,1677.0,1511.661865234375,1477100
2019-01-31,1705.0,1733.0,1698.0,1715.0,1545.915283203125,868900
2019-02-01,1700.0,1717.0,1686.0,1707.0,1538.7041015625,862700
2019-02-04,1715.0,1736.0,1715.0,1731.0,1560.337890625,660900
2019-02-05,1743.0,1753.0,1727.0,1740.0,1568.45068359375,675200
2019-02-06,1747.0,1751.0,1704.0,1710.0,1541.4083251953125,1294400
2019-02-07,1732.0,1792.0,1717.0,1759.0,1585.577392578125,1321900
2019-02-08,1727.0,1736.0,1644.0,1659.0,1495.4365234375,1603000
2019-02-12,1687.0,1767.0,1665.0,1751.0,1578.3660888671875,1298700
2019-02-13,1786.0,1789.0,1756.0,1776.0,1600.9012451171875,716500
2019-02-14,1789.0,1815.0,1774.0,1774.0,1599.0982666015625,644800
2019-02-15,1753.0,1782.0,1747.0,1752.0,1579.2674560546875,434800
2019-02-18,1800.0,1811.0,1791.0,1800.0,1622.5350341796875,589700
2019-02-19,1789.0,1804.0,1786.0,1788.0,1611.71826171875,648700
2019-02-20,1791.0,1814.0,1788.0,1792.0,1615.32373046875,876400
2019-02-21,1795.0,1795.0,1768.0,1769.0,1594.5914306640625,562100
2019-02-22,1757.0,1775.0,1749.0,1768.0,1593.6900634765625,399200
2019-02-25,1788.0,1796.0,1762.0,1765.0,1590.9857177734375,436600
2019-02-26,1735.0,1760.0,1722.0,1743.0,1571.15478515625,709500
2019-02-27,1752.0,1764.0,1736.0,1736.0,1564.8448486328125,1023900
2019-02-28,1747.0,1750.0,1701.0,1702.0,1534.197021484375,905700
2019-03-01,1705.0,1713.0,1671.0,1677.0,1511.661865234375,910200
2019-03-04,1696.0,1708.0,1684.0,1704.0,1535.9998779296875,533600
2019-03-05,1690.0,1693.0,1667.0,1672.0,1507.1549072265625,849900
2019-03-06,1671.0,1695.0,1663.0,1691.0,1524.281494140625,660800
2019-03-07,1670.0,1673.0,1652.0,1657.0,1493.6336669921875,683100
2019-03-08,1634.0,1646.0,1604.0,1604.0,1445.8590087890625,933600
2019-03-11,1624.0,1634.0,1607.0,1634.0,1472.901123046875,396800
2019-03-12,1650.0,1685.0,1645.0,1679.0,1513.4647216796875,407200
2019-03-13,1648.0,1664.0,1634.0,1641.0,1479.211181640625,454400
2019-03-14,1651.0,1664.0,1629.0,1631.0,1470.1971435546875,273400
2019-03-15,1621.0,1654.0,1614.0,1642.0,1480.1124267578125,791100
2019-03-18,1658.0,1675.0,1651.0,1669.0,1504.45068359375,317500
2019-03-19,1658.0,1684.0,1638.0,1682.0,1516.1689453125,518200
2019-03-20,1687.0,1690.0,1661.0,1669.0,1504.45068359375,482200
2019-03-22,1661.0,1666.0,1644.0,1659.0,1495.4365234375,727500
2019-03-25,1611.0,1615.0,1575.0,1598.0,1440.4505615234375,789800
2019-03-26,1625.0,1661.0,1610.0,1659.0,1495.4365234375,602600
2019-03-27,1631.0,1650.0,1615.0,1633.0,1503.7239990234375,694500
2019-03-28,1630.0,1630.0,1579.0,1589.0,1463.207275390625,431600
2019-03-29,1611.0,1613.0,1573.0,1579.0,1453.9989013671875,902700
2019-04-01,1594.0,1678.0,1594.0,1656.0,1524.9031982421875,721000
2019-04-02,1677.0,1689.0,1660.0,1673.0,1540.557373046875,412200
2019-04-03,1672.0,1697.0,1665.0,1695.0,1560.81591796875,372900
2019-04-04,1710.0,1717.0,1694.0,1698.0,1563.5782470703125,367600
2019-04-05,1686.0,1715.0,1674.0,1711.0,1575.5491943359375,630800
2019-04-08,1715.0,1715.0,1685.0,1693.0,1558.97412109375,322400
2019-04-09,1683.0,1700.0,1672.0,1691.0,1557.132568359375,310400
2019-04-10,1656.0,1660.0,1637.0,1659.0,1527.665771484375,396200
2019-04-11,1648.0,1653.0,1629.0,1651.0,1520.299072265625,215100
2019-04-12,1648.0,1650.0,1633.0,1638.0,1508.3282470703125,418000
2019-04-15,1678.0,1703.0,1664.0,1699.0,1564.4991455078125,779100
2019-04-16,1678.0,1690.0,1652.0,1652.0,1521.2198486328125,854100
2019-04-17,1644.0,1663.0,1629.0,1650.0,1519.3782958984375,912600
2019-04-18,1661.0,1672.0,1628.0,1629.0,1500.0406494140625,640800
2019-04-19,1647.0,1651.0,1628.0,1634.0,1504.6448974609375,391100
2019-04-22,1627.0,1632.0,1608.0,1623.0,1494.515625,305700
2019-04-23,1632.0,1648.0,1624.0,1632.0,1502.8031005859375,705500
2019-04-24,1645.0,1659.0,1630.0,1640.0,1510.1697998046875,1185000
2019-04-25,1646.0,1708.0,1641.0,1703.0,1568.1824951171875,1177300
