Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,4435.0,4565.0,4385.0,4565.0,4332.5576171875,102400
2019-01-07,4680.0,4715.0,4600.0,4610.0,4375.26708984375,76000
2019-01-08,4620.0,4685.0,4580.0,4665.0,4427.4658203125,69800
2019-01-09,4740.0,4885.0,4740.0,4845.0,4598.30078125,94000
2019-01-10,4845.0,4845.0,4725.0,4815.0,4569.82861328125,59000
2019-01-11,4850.0,4885.0,4795.0,4810.0,4565.08349609375,57200
2019-01-15,4800.0,4945.0,4795.0,4865.0,4617.2822265625,63600
2019-01-16,4865.0,4925.0,4850.0,4905.0,4655.24609375,53000
2019-01-17,4870.0,4925.0,4840.0,4895.0,4645.75439453125,52200
2019-01-18,4900.0,5025.0,4900.0,4945.0,4693.208984375,51400
2019-01-21,4945.0,5000.0,4895.0,4920.0,4669.48193359375,55200
2019-01-22,4920.0,4935.0,4870.0,4885.0,4636.263671875,38200
2019-01-23,4845.0,4905.0,4805.0,4835.0,4588.81005859375,83000
2019-01-24,4815.0,4890.0,4815.0,4880.0,4631.5185546875,57400
2019-01-25,4870.0,4930.0,4825.0,4850.0,4603.0458984375,47200
2019-01-28,4790.0,4790.0,4730.0,4740.0,4498.64697265625,57800
2019-01-29,4710.0,4810.0,4705.0,4805.0,4560.33740234375,56400
2019-01-30,4790.0,4820.0,4740.0,4770.0,4527.11962890625,89400
2019-01-31,4780.0,4825.0,4755.0,4815.0,4569.82861328125,55600
2019-02-01,4815.0,4890.0,4800.0,4850.0,4603.0458984375,66400
2019-02-04,4875.0,4940.0,4860.0,4900.0,4650.5,62200
2019-02-05,5015.0,5160.0,4915.0,4945.0,4693.208984375,144200
2019-02-06,4980.0,5020.0,4935.0,4985.0,4731.171875,55200
2019-02-07,5005.0,5010.0,4955.0,4990.0,4735.91748046875,45000
2019-02-08,4950.0,5250.0,4880.0,5200.0,4935.22509765625,184200
2019-02-12,5240.0,5375.0,5140.0,5300.0,5030.1328125,134600
2019-02-13,5300.0,5540.0,5300.0,5495.0,5215.2041015625,129400
2019-02-14,5465.0,5510.0,5370.0,5385.0,5110.8046875,75400
2019-02-15,5370.0,5495.0,5320.0,5490.0,5210.45849609375,61800
2019-02-18,5490.0,5610.0,5490.0,5595.0,5310.111328125,76600
2019-02-19,5600.0,5705.0,5600.0,5690.0,5400.2744140625,80000
2019-02-20,5680.0,5815.0,5680.0,5745.0,5452.47412109375,111200
2019-02-21,5725.0,5805.0,5695.0,5710.0,5419.25634765625,106200
2019-02-22,5685.0,5730.0,5660.0,5690.0,5400.2744140625,71600
2019-02-25,5685.0,5735.0,5650.0,5725.0,5433.49267578125,81600
2019-02-26,5760.0,5845.0,5760.0,5815.0,5518.91015625,91400
2019-02-27,5895.0,5985.0,5885.0,5920.0,5618.5634765625,121800
2019-02-28,5900.0,5985.0,5895.0,5935.0,5632.7998046875,111000
2019-03-01,5975.0,5985.0,5870.0,5900.0,5599.58203125,104000
2019-03-04,5980.0,5990.0,5900.0,5945.0,5642.29052734375,97200
2019-03-05,5945.0,6000.0,5895.0,5980.0,5675.5087890625,116000
2019-03-06,5975.0,6060.0,5970.0,6055.0,5746.68994140625,114400
2019-03-07,6065.0,6110.0,6050.0,6085.0,5775.162109375,107600
2019-03-08,6085.0,6110.0,5980.0,5985.0,5680.25341796875,140600
2019-03-11,6030.0,6090.0,5925.0,5960.0,5656.5263671875,74400
2019-03-12,6000.0,6055.0,5975.0,6050.0,5741.9443359375,80200
2019-03-13,6015.0,6045.0,5935.0,5950.0,5647.0361328125,69200
2019-03-14,5985.0,5985.0,5845.0,5850.0,5552.12744140625,64000
2019-03-15,5820.0,5855.0,5790.0,5810.0,5514.1650390625,192400
2019-03-18,5790.0,5810.0,5745.0,5780.0,5485.69140625,55400
2019-03-19,5730.0,5735.0,5610.0,5630.0,5343.330078125,71400
2019-03-20,5635.0,5665.0,5565.0,5640.0,5352.8203125,103000
2019-03-22,5580.0,5615.0,5525.0,5535.0,5253.1669921875,115400
2019-03-25,5475.0,5550.0,5435.0,5470.0,5191.47705078125,74800
2019-03-26,5500.0,5715.0,5495.0,5685.0,5395.529296875,66800
2019-03-27,5780.0,5800.0,5610.0,5720.0,5516.072265625,148500
2019-03-28,5560.0,5640.0,5500.0,5610.0,5409.994140625,111500
2019-03-29,5640.0,5740.0,5600.0,5680.0,5477.4990234375,92200
2019-04-01,5850.0,5900.0,5770.0,5890.0,5680.01171875,70500
2019-04-02,5940.0,6000.0,5720.0,5720.0,5516.072265625,96700
2019-04-03,5730.0,5730.0,5600.0,5700.0,5496.78564453125,41800
2019-04-04,5670.0,5670.0,5480.0,5520.0,5323.20263671875,44000
2019-04-05,5480.0,5570.0,5470.0,5510.0,5313.5595703125,49200
2019-04-08,5490.0,5560.0,5460.0,5470.0,5274.98583984375,27700
2019-04-09,5490.0,5520.0,5420.0,5440.0,5246.0556640625,40500
2019-04-10,5430.0,5460.0,5390.0,5440.0,5246.0556640625,45300
2019-04-11,5480.0,5550.0,5430.0,5530.0,5332.8466796875,26000
2019-04-12,5600.0,5600.0,5440.0,5450.0,5255.69873046875,42800
2019-04-15,5550.0,5550.0,5470.0,5530.0,5332.8466796875,38100
2019-04-16,5500.0,5530.0,5300.0,5350.0,5159.263671875,55200
2019-04-17,5300.0,5310.0,5170.0,5260.0,5072.47216796875,81300
2019-04-18,5200.0,5220.0,5050.0,5060.0,4879.6025390625,59000
2019-04-19,5160.0,5190.0,5110.0,5180.0,4995.32421875,54400
2019-04-22,5170.0,5270.0,5090.0,5250.0,5062.82861328125,32400
2019-04-23,5260.0,5290.0,5170.0,5210.0,5024.25537109375,46800
2019-04-24,5280.0,5310.0,5180.0,5190.0,5004.9677734375,35100
2019-04-25,5140.0,5210.0,5140.0,5180.0,4995.32421875,28900
2019-04-26,5190.0,5230.0,5130.0,5160.0,4976.03759765625,37900
2019-05-07,5220.0,5250.0,5150.0,5160.0,4976.03759765625,109400
2019-05-08,5100.0,5220.0,5050.0,5200.0,5014.61181640625,73200
2019-05-09,5130.0,5200.0,5080.0,5110.0,4927.8203125,81000
2019-05-10,5110.0,5220.0,5040.0,5080.0,4898.8896484375,94200
2019-05-13,5000.0,5010.0,4765.0,4790.0,4619.228515625,186500
2019-05-14,4755.0,5020.0,4620.0,4935.0,4759.0595703125,178900
2019-05-15,4865.0,4935.0,4800.0,4925.0,4749.416015625,84400
2019-05-16,4955.0,5170.0,4950.0,5150.0,4966.3935546875,73500
2019-05-17,5150.0,5290.0,5130.0,5270.0,5082.1162109375,53800
2019-05-20,5280.0,5310.0,5220.0,5230.0,5043.5419921875,34500
2019-05-21,5240.0,5290.0,5210.0,5230.0,5043.5419921875,30200
