Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,465.0,474.0,457.0,470.0,429.4884338378906,41200
2019-01-07,478.0,490.0,475.0,483.0,441.367919921875,69900
2019-01-08,484.0,487.0,475.0,482.0,440.4541015625,46400
2019-01-09,485.0,488.0,477.0,477.0,435.8851013183594,37000
2019-01-10,474.0,475.0,467.0,472.0,431.3160705566406,40900
2019-01-11,467.0,471.0,464.0,468.0,427.6608581542969,56000
2019-01-15,462.0,466.0,456.0,457.0,417.6090087890625,76100
2019-01-16,457.0,473.0,456.0,461.0,421.26422119140625,62100
2019-01-17,465.0,469.0,458.0,462.0,422.1780090332031,60700
2019-01-18,464.0,471.0,458.0,465.0,424.91943359375,71600
2019-01-21,469.0,480.0,468.0,478.0,436.79888916015625,58300
2019-01-22,481.0,509.0,481.0,502.0,458.7301940917969,122100
2019-01-23,500.0,504.0,494.0,502.0,458.7301940917969,68500
2019-01-24,498.0,506.0,491.0,506.0,462.38543701171875,52500
2019-01-25,505.0,511.0,504.0,506.0,462.38543701171875,50900
2019-01-28,506.0,509.0,504.0,508.0,464.2130432128906,32700
2019-01-29,509.0,520.0,506.0,517.0,472.4372863769531,70100
2019-01-30,517.0,517.0,501.0,501.0,457.81640625,130200
2019-01-31,508.0,508.0,501.0,503.0,459.6440124511719,49400
2019-02-01,502.0,502.0,496.0,496.0,453.2474060058594,39300
2019-02-04,496.0,506.0,496.0,502.0,458.7301940917969,73300
2019-02-05,501.0,503.0,497.0,502.0,458.7301940917969,52600
2019-02-06,502.0,505.0,498.0,505.0,461.47161865234375,43100
2019-02-07,503.0,504.0,497.0,501.0,457.81640625,36500
2019-02-08,496.0,499.0,493.0,494.0,451.4197692871094,39700
2019-02-12,499.0,504.0,497.0,504.0,460.5578308105469,53800
2019-02-13,505.0,507.0,502.0,506.0,462.38543701171875,35300
2019-02-14,506.0,513.0,504.0,509.0,465.1268310546875,90700
2019-02-15,508.0,511.0,504.0,506.0,462.38543701171875,66400
2019-02-18,510.0,515.0,506.0,509.0,465.1268310546875,77700
2019-02-19,509.0,514.0,505.0,510.0,466.0406494140625,44300
2019-02-20,510.0,512.0,506.0,508.0,464.2130432128906,86000
2019-02-21,508.0,511.0,506.0,511.0,466.9544677734375,65300
2019-02-22,512.0,514.0,509.0,511.0,466.9544677734375,98300
2019-02-25,518.0,518.0,511.0,513.0,468.78204345703125,309000
2019-02-26,494.0,497.0,482.0,482.0,457.3946533203125,409500
2019-02-27,481.0,481.0,466.0,471.0,446.9561767578125,163400
2019-02-28,471.0,489.0,467.0,480.0,455.4967346191406,120200
2019-03-01,480.0,483.0,475.0,475.0,450.7519836425781,69200
2019-03-04,480.0,480.0,474.0,478.0,453.5988464355469,38300
2019-03-05,478.0,483.0,473.0,476.0,451.700927734375,44600
2019-03-06,476.0,477.0,470.0,471.0,446.9561767578125,42100
2019-03-07,470.0,470.0,458.0,462.0,438.4156188964844,69500
2019-03-08,455.0,456.0,438.0,444.0,421.33447265625,113600
2019-03-11,456.0,456.0,442.0,443.0,420.385498046875,47400
2019-03-12,452.0,457.0,450.0,456.0,432.7218933105469,55500
2019-03-13,457.0,459.0,449.0,449.0,426.0792541503906,22700
2019-03-14,451.0,454.0,446.0,448.0,425.13031005859375,30800
2019-03-15,451.0,454.0,445.0,446.0,423.23236083984375,53300
2019-03-18,449.0,454.0,442.0,452.0,428.9261169433594,51300
2019-03-19,454.0,454.0,438.0,443.0,420.385498046875,90100
2019-03-20,443.0,448.0,443.0,445.0,422.2834167480469,33600
2019-03-22,444.0,448.0,440.0,448.0,425.13031005859375,44500
2019-03-25,440.0,441.0,428.0,431.0,408.99810791015625,51600
2019-03-26,432.0,451.0,432.0,449.0,426.0792541503906,55400
2019-03-27,454.0,458.0,445.0,449.0,426.0792541503906,39800
2019-03-28,447.0,449.0,436.0,448.0,425.13031005859375,41300
2019-03-29,450.0,450.0,439.0,442.0,419.4365539550781,43600
2019-04-01,449.0,458.0,449.0,454.0,430.8240051269531,39600
2019-04-02,456.0,456.0,442.0,443.0,420.385498046875,44800
2019-04-03,443.0,448.0,443.0,446.0,423.23236083984375,17900
2019-04-04,448.0,450.0,444.0,444.0,421.33447265625,19600
2019-04-05,448.0,451.0,447.0,451.0,427.9771423339844,22700
2019-04-08,453.0,457.0,448.0,449.0,426.0792541503906,16500
2019-04-09,454.0,454.0,445.0,447.0,424.1813049316406,23600
2019-04-10,445.0,447.0,442.0,447.0,424.1813049316406,19400
2019-04-11,444.0,454.0,444.0,454.0,430.8240051269531,42900
2019-04-12,454.0,468.0,453.0,456.0,432.7218933105469,96500
2019-04-15,463.0,469.0,459.0,465.0,441.2624816894531,89700
2019-04-16,462.0,472.0,452.0,462.0,438.4156188964844,85600
2019-04-17,472.0,513.0,471.0,479.0,454.54779052734375,287400
2019-04-18,485.0,490.0,477.0,480.0,455.4967346191406,129600
2019-04-19,485.0,489.0,467.0,471.0,446.9561767578125,65900
2019-04-22,472.0,476.0,468.0,469.0,445.05828857421875,27200
2019-04-23,468.0,468.0,459.0,462.0,438.4156188964844,43700
2019-04-24,463.0,469.0,458.0,458.0,434.61981201171875,45300
2019-04-25,458.0,461.0,453.0,459.0,435.5687561035156,36500
2019-04-26,459.0,461.0,454.0,460.0,436.5177001953125,59600
2019-05-07,461.0,468.0,461.0,465.0,441.2624816894531,54900
2019-05-08,465.0,477.0,462.0,477.0,452.6498718261719,86500
2019-05-09,471.0,474.0,458.0,460.0,436.5177001953125,57900
2019-05-10,460.0,469.0,458.0,458.0,434.61981201171875,49800
2019-05-13,460.0,461.0,451.0,451.0,427.9771423339844,29400
2019-05-14,443.0,449.0,440.0,447.0,424.1813049316406,36800
2019-05-15,450.0,454.0,443.0,454.0,430.8240051269531,27300
2019-05-16,453.0,453.0,445.0,448.0,425.13031005859375,38300
2019-05-17,453.0,460.0,448.0,457.0,433.6708679199219,38100
2019-05-20,461.0,465.0,458.0,460.0,436.5177001953125,39800
2019-05-21,460.0,468.0,460.0,464.0,440.3135070800781,57600
2019-05-22,464.0,470.0,463.0,467.0,443.1603698730469,48200
2019-05-23,470.0,474.0,461.0,471.0,446.9561767578125,70000
2019-05-24,467.0,473.0,465.0,466.0,442.21142578125,24100
2019-05-27,467.0,468.0,464.0,468.0,444.10931396484375,14900
2019-05-28,468.0,468.0,455.0,458.0,434.61981201171875,37500
2019-05-29,457.0,458.0,452.0,455.0,431.77294921875,37700
2019-05-30,453.0,454.0,447.0,453.0,429.87506103515625,36200
2019-05-31,451.0,451.0,447.0,448.0,425.13031005859375,23000
2019-06-03,445.0,445.0,433.0,435.0,412.7939147949219,49600
2019-06-04,437.0,437.0,428.0,433.0,410.89599609375,42700
2019-06-05,438.0,440.0,435.0,440.0,417.5386657714844,32300
2019-06-06,440.0,445.0,438.0,438.0,415.6407470703125,25000
2019-06-07,442.0,442.0,433.0,436.0,413.74285888671875,23900
2019-06-10,442.0,446.0,439.0,445.0,422.2834167480469,52600
2019-06-11,445.0,450.0,442.0,450.0,427.0281982421875,26300
2019-06-12,449.0,456.0,447.0,451.0,427.9771423339844,37500
2019-06-13,452.0,453.0,443.0,448.0,425.13031005859375,27800
2019-06-14,451.0,451.0,446.0,451.0,427.9771423339844,36100
2019-06-17,451.0,451.0,447.0,447.0,424.1813049316406,26500
2019-06-18,452.0,456.0,438.0,445.0,422.2834167480469,132200
2019-06-19,449.0,456.0,446.0,456.0,432.7218933105469,61300
2019-06-20,456.0,460.0,454.0,455.0,431.77294921875,72800
2019-06-21,462.0,468.0,433.0,444.0,421.33447265625,243900
2019-06-24,445.0,447.0,442.0,446.0,423.23236083984375,44200
2019-06-25,446.0,450.0,442.0,448.0,425.13031005859375,63500
2019-06-26,448.0,450.0,440.0,440.0,417.5386657714844,48900
2019-06-27,441.0,444.0,440.0,444.0,421.33447265625,42800
2019-06-28,450.0,450.0,440.0,444.0,421.33447265625,55800
2019-07-01,449.0,449.0,442.0,448.0,425.13031005859375,56100
2019-07-02,448.0,452.0,445.0,451.0,427.9771423339844,74700
2019-07-03,452.0,462.0,452.0,462.0,438.4156188964844,56900
2019-07-04,462.0,477.0,462.0,469.0,445.05828857421875,89200
2019-07-05,470.0,478.0,464.0,475.0,450.7519836425781,62500
2019-07-08,476.0,480.0,473.0,478.0,453.5988464355469,56700
2019-07-09,480.0,487.0,476.0,479.0,454.54779052734375,66800
2019-07-10,479.0,485.0,471.0,479.0,454.54779052734375,53800
2019-07-11,480.0,490.0,480.0,489.0,464.03729248046875,55200
2019-07-12,489.0,490.0,476.0,483.0,458.3435974121094,69500
2019-07-16,467.0,469.0,450.0,450.0,427.0281982421875,109700
2019-07-17,450.0,465.0,449.0,457.0,433.6708679199219,63200
2019-07-18,457.0,457.0,446.0,449.0,426.0792541503906,93100
2019-07-19,450.0,459.0,449.0,457.0,433.6708679199219,49700
2019-07-22,455.0,464.0,455.0,457.0,433.6708679199219,59600
2019-07-23,457.0,464.0,457.0,461.0,437.4666748046875,28200
2019-07-24,461.0,462.0,458.0,462.0,438.4156188964844,17400
2019-07-25,462.0,462.0,454.0,457.0,433.6708679199219,33000
2019-07-26,456.0,456.0,450.0,450.0,427.0281982421875,35200
