Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1510.0,1524.0,1451.0,1490.0,1405.095703125,659000
2019-01-07,1535.0,1571.0,1530.0,1559.0,1470.163818359375,476000
2019-01-08,1565.0,1585.0,1556.0,1563.0,1473.935791015625,400200
2019-01-09,1580.0,1582.0,1562.0,1570.0,1480.537109375,365000
2019-01-10,1569.0,1578.0,1541.0,1553.0,1464.5057373046875,436800
2019-01-11,1561.0,1582.0,1554.0,1574.0,1484.30908203125,501600
2019-01-15,1558.0,1604.0,1552.0,1601.0,1509.7705078125,412300
2019-01-16,1589.0,1603.0,1571.0,1585.0,1494.6822509765625,356200
2019-01-17,1604.0,1614.0,1578.0,1591.0,1500.3404541015625,496000
2019-01-18,1613.0,1619.0,1585.0,1610.0,1518.2576904296875,439900
2019-01-21,1637.0,1654.0,1630.0,1654.0,1559.75048828125,379500
2019-01-22,1669.0,1678.0,1624.0,1633.0,1539.9471435546875,361500
2019-01-23,1598.0,1638.0,1587.0,1634.0,1540.89013671875,435400
2019-01-24,1633.0,1682.0,1624.0,1679.0,1583.325927734375,1289900
2019-01-25,1685.0,1729.0,1682.0,1717.0,1619.16064453125,879300
2019-01-28,1724.0,1739.0,1696.0,1710.0,1612.5594482421875,606800
2019-01-29,1710.0,1719.0,1688.0,1710.0,1612.5594482421875,580200
2019-01-30,1728.0,1736.0,1714.0,1715.0,1617.274658203125,695300
2019-01-31,1753.0,1765.0,1735.0,1753.0,1653.1092529296875,491300
2019-02-01,1755.0,1762.0,1722.0,1744.0,1644.6220703125,541000
2019-02-04,1768.0,1811.0,1756.0,1806.0,1703.089111328125,679100
2019-02-05,1794.0,1818.0,1792.0,1812.0,1708.747314453125,462000
2019-02-06,1805.0,1823.0,1794.0,1811.0,1707.80419921875,437900
2019-02-07,1800.0,1808.0,1786.0,1806.0,1703.089111328125,347900
2019-02-08,1750.0,1753.0,1720.0,1725.0,1626.70458984375,509700
2019-02-12,1765.0,1791.0,1745.0,1771.0,1670.08349609375,550700
2019-02-13,1777.0,1805.0,1767.0,1802.0,1699.3170166015625,440200
2019-02-14,1798.0,1819.0,1792.0,1806.0,1703.089111328125,522300
