Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2838.0,2904.0,2810.0,2877.0,2564.630126953125,54600
2019-01-07,2927.0,3120.0,2927.0,3055.0,2723.303955078125,84700
2019-01-08,3115.0,3115.0,3035.0,3075.0,2741.13232421875,51200
2019-01-09,3150.0,3150.0,3020.0,3030.0,2701.01806640625,35600
2019-01-10,3015.0,3040.0,2976.0,3030.0,2701.01806640625,27700
2019-01-11,3025.0,3035.0,2977.0,2989.0,2664.4697265625,43100
2019-01-15,2925.0,3000.0,2925.0,2947.0,2627.02978515625,33700
2019-01-16,2950.0,2968.0,2880.0,2898.0,2583.349609375,46900
2019-01-17,2899.0,2951.0,2862.0,2889.0,2575.326904296875,32200
2019-01-18,2926.0,3000.0,2924.0,2937.0,2618.115478515625,50800
2019-01-21,3005.0,3040.0,2968.0,2980.0,2656.4462890625,40300
2019-01-22,2980.0,3010.0,2963.0,2970.0,2647.532470703125,20500
2019-01-23,2950.0,3035.0,2940.0,2998.0,2672.492431640625,44500
2019-01-24,2983.0,3035.0,2980.0,3010.0,2683.189208984375,32300
2019-01-25,3000.0,3010.0,2914.0,2921.0,2603.852294921875,44600
2019-01-28,2896.0,2945.0,2880.0,2900.0,2585.132568359375,23900
2019-01-29,2875.0,2922.0,2865.0,2917.0,2600.287109375,21500
2019-01-30,2916.0,2931.0,2847.0,2847.0,2537.886962890625,32300
2019-01-31,2897.0,2920.0,2770.0,2770.0,2469.247314453125,79200
2019-02-01,2720.0,2732.0,2582.0,2584.0,2303.442626953125,139900
2019-02-04,2634.0,2694.0,2622.0,2687.0,2395.25927734375,55700
2019-02-05,2685.0,2685.0,2640.0,2644.0,2356.927978515625,31900
2019-02-06,2652.0,2672.0,2619.0,2644.0,2356.927978515625,37100
2019-02-07,2605.0,2659.0,2599.0,2630.0,2344.44775390625,49000
2019-02-08,2599.0,2628.0,2546.0,2567.0,2288.2880859375,55800
2019-02-12,2553.0,2640.0,2553.0,2615.0,2331.076416015625,43300
2019-02-13,2622.0,2665.0,2616.0,2630.0,2344.44775390625,45700
2019-02-14,2639.0,2639.0,2590.0,2619.0,2334.64208984375,34500
2019-02-15,2582.0,2606.0,2560.0,2587.0,2306.11669921875,59500
2019-02-18,2617.0,2659.0,2616.0,2644.0,2356.927978515625,28500
2019-02-19,2649.0,2669.0,2614.0,2631.0,2345.339599609375,41100
2019-02-20,2631.0,2656.0,2611.0,2637.0,2350.68798828125,20900
2019-02-21,2637.0,2650.0,2625.0,2634.0,2348.013671875,27300
2019-02-22,2634.0,2634.0,2557.0,2561.0,2282.939453125,51600
2019-02-25,2577.0,2599.0,2558.0,2566.0,2287.396484375,33400
2019-02-26,2572.0,2588.0,2558.0,2567.0,2288.2880859375,24500
2019-02-27,2568.0,2592.0,2560.0,2583.0,2302.55078125,27600
2019-02-28,2568.0,2613.0,2561.0,2567.0,2288.2880859375,39300
2019-03-01,2561.0,2574.0,2510.0,2523.0,2249.0654296875,56000
2019-03-04,2519.0,2538.0,2511.0,2534.0,2258.870849609375,26400
2019-03-05,2537.0,2545.0,2519.0,2539.0,2263.328369140625,20400
2019-03-06,2525.0,2543.0,2513.0,2531.0,2256.19677734375,26900
2019-03-07,2506.0,2529.0,2425.0,2441.0,2175.968505859375,73600
2019-03-08,2436.0,2460.0,2395.0,2448.0,2182.20849609375,70200
2019-03-11,2448.0,2449.0,2376.0,2378.0,2119.808837890625,43200
2019-03-12,2399.0,2497.0,2396.0,2466.0,2198.25439453125,31600
2019-03-13,2441.0,2450.0,2387.0,2413.0,2151.008544921875,14500
2019-03-14,2500.0,2517.0,2459.0,2515.0,2241.93408203125,43400
2019-03-15,2524.0,2617.0,2524.0,2602.0,2319.488037109375,93700
2019-03-18,2604.0,2647.0,2566.0,2579.0,2298.985107421875,33200
2019-03-19,2578.0,2578.0,2502.0,2511.0,2238.3681640625,37200
2019-03-20,2520.0,2520.0,2464.0,2492.0,2221.431396484375,49100
2019-03-22,2492.0,2528.0,2470.0,2525.0,2250.848388671875,29700
2019-03-25,2488.0,2489.0,2454.0,2476.0,2207.168701171875,41000
2019-03-26,2500.0,2529.0,2493.0,2511.0,2238.3681640625,34200
2019-03-27,2455.0,2458.0,2425.0,2448.0,2240.198486328125,27800
2019-03-28,2430.0,2430.0,2376.0,2380.0,2177.970947265625,39800
2019-03-29,2372.0,2401.0,2363.0,2369.0,2167.904541015625,30500
2019-04-01,2399.0,2457.0,2397.0,2436.0,2229.21728515625,26700
2019-04-02,2464.0,2484.0,2429.0,2436.0,2229.21728515625,24200
