Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1845.0,1845.0,1757.0,1778.0,1721.2445068359375,207600
2019-01-07,1833.0,1855.0,1826.0,1853.0,1793.8505859375,106600
2019-01-08,1852.0,1885.0,1808.0,1825.0,1766.7442626953125,309300
2019-01-09,1834.0,1844.0,1785.0,1800.0,1742.5423583984375,221100
2019-01-10,1800.0,1819.0,1781.0,1802.0,1744.478515625,145100
2019-01-11,1784.0,1814.0,1782.0,1787.0,1729.957275390625,164600
2019-01-15,1780.0,1820.0,1751.0,1815.0,1757.0634765625,260300
2019-01-16,1816.0,1842.0,1803.0,1810.0,1752.22314453125,135800
2019-01-17,1820.0,1849.0,1819.0,1837.0,1778.361328125,136500
2019-01-18,1851.0,1872.0,1844.0,1848.0,1789.0101318359375,291600
2019-01-21,1908.0,1924.0,1880.0,1899.0,1838.382080078125,181800
2019-01-22,1904.0,1918.0,1850.0,1860.0,1800.6270751953125,266700
2019-01-23,1855.0,1872.0,1837.0,1856.0,1796.7548828125,69000
2019-01-24,1857.0,1876.0,1846.0,1876.0,1816.1163330078125,52600
2019-01-25,1897.0,1905.0,1869.0,1882.0,1821.9249267578125,68400
2019-01-28,1885.0,1893.0,1846.0,1861.0,1801.5950927734375,79900
2019-01-29,1860.0,1860.0,1824.0,1843.0,1784.1697998046875,62700
2019-01-30,1843.0,1843.0,1813.0,1827.0,1768.6805419921875,82100
2019-01-31,1854.0,1872.0,1830.0,1872.0,1812.244140625,89100
2019-02-01,1909.0,1909.0,1851.0,1864.0,1804.4993896484375,60300
2019-02-04,1910.0,1951.0,1908.0,1917.0,1855.8076171875,145200
2019-02-05,1935.0,1947.0,1889.0,1906.0,1845.1588134765625,112600
2019-02-06,1929.0,1930.0,1893.0,1902.0,1841.2862548828125,78600
2019-02-07,1924.0,1924.0,1853.0,1899.0,1838.382080078125,136400
2019-02-08,1710.0,1732.0,1661.0,1693.0,1638.9578857421875,432400
2019-02-12,1701.0,1784.0,1701.0,1767.0,1710.5958251953125,208400
2019-02-13,1796.0,1843.0,1779.0,1829.0,1770.6165771484375,135700
2019-02-14,1829.0,1850.0,1822.0,1833.0,1774.489013671875,87600
2019-02-15,1833.0,1841.0,1811.0,1832.0,1773.5208740234375,64200
2019-02-18,1857.0,1865.0,1832.0,1842.0,1783.20166015625,72600
2019-02-19,1845.0,1872.0,1823.0,1833.0,1774.489013671875,99100
2019-02-20,1872.0,1936.0,1871.0,1931.0,1869.360595703125,271200
2019-02-21,1930.0,1977.0,1930.0,1961.0,1898.4031982421875,151000
2019-02-22,1930.0,1955.0,1900.0,1912.0,1850.9671630859375,80700
2019-02-25,1913.0,1963.0,1908.0,1924.0,1862.584228515625,55200
2019-02-26,1938.0,1938.0,1891.0,1909.0,1848.0631103515625,67800
2019-02-27,1910.0,1930.0,1902.0,1918.0,1856.775634765625,48100
2019-02-28,1943.0,2016.0,1918.0,1992.0,1928.413330078125,230400
2019-03-01,1951.0,1984.0,1906.0,1932.0,1870.328857421875,175100
2019-03-04,1927.0,1944.0,1900.0,1940.0,1878.073486328125,97700
2019-03-05,1954.0,1954.0,1907.0,1923.0,1861.6160888671875,61700
2019-03-06,1918.0,1930.0,1907.0,1928.0,1866.4564208984375,49400
2019-03-07,1927.0,1929.0,1903.0,1920.0,1858.7117919921875,92900
2019-03-08,1908.0,1929.0,1887.0,1906.0,1845.1588134765625,111300
2019-03-11,1905.0,1930.0,1890.0,1914.0,1852.9033203125,95000
2019-03-12,1940.0,1987.0,1940.0,1969.0,1906.147705078125,88400
2019-03-13,1978.0,2024.0,1964.0,2014.0,1949.71142578125,122500
2019-03-14,2044.0,2051.0,2002.0,2010.0,1945.8389892578125,77800
2019-03-15,2010.0,2012.0,1982.0,2000.0,1936.1580810546875,115300
2019-03-18,2050.0,2069.0,2033.0,2068.0,2001.9874267578125,93500
2019-03-19,2080.0,2105.0,2060.0,2103.0,2035.8702392578125,108200
2019-03-20,2130.0,2143.0,2093.0,2132.0,2063.94482421875,147200
2019-03-22,2153.0,2175.0,2143.0,2159.0,2090.08251953125,201700
2019-03-25,2150.0,2159.0,2117.0,2136.0,2067.817138671875,170900
2019-03-26,2140.0,2161.0,2076.0,2148.0,2079.433837890625,176800
2019-03-27,2142.0,2147.0,2097.0,2145.0,2076.52978515625,127300
2019-03-28,2113.0,2165.0,2104.0,2147.0,2078.4658203125,193700
2019-03-29,2118.0,2176.0,2107.0,2163.0,2093.955078125,453700
2019-04-01,2170.0,2171.0,2113.0,2125.0,2057.16796875,147300
2019-04-02,2100.0,2185.0,2088.0,2138.0,2069.753173828125,187400
2019-04-03,2130.0,2162.0,2118.0,2159.0,2090.08251953125,125200
2019-04-04,2175.0,2182.0,2152.0,2162.0,2092.987060546875,71700
