Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2896.0,2942.0,2889.0,2942.0,2865.519775390625,273400
2019-01-07,2992.0,3050.0,2961.0,2979.0,2901.557861328125,261600
2019-01-08,2971.0,2982.0,2932.0,2944.0,2867.467529296875,187400
2019-01-09,2970.0,2993.0,2953.0,2956.0,2879.15576171875,230100
2019-01-10,2940.0,2992.0,2921.0,2983.0,2905.453857421875,174900
2019-01-11,2998.0,3000.0,2969.0,2987.0,2909.349609375,202200
2019-01-15,2947.0,2997.0,2937.0,2961.0,2884.02587890625,228600
2019-01-16,2978.0,3010.0,2961.0,2999.0,2921.037841796875,265400
2019-01-17,3010.0,3040.0,2991.0,3020.0,2941.491943359375,277700
2019-01-18,3005.0,3045.0,2992.0,3035.0,2956.101806640625,221400
2019-01-21,3020.0,3020.0,2973.0,2979.0,2901.557861328125,199500
2019-01-22,2981.0,3015.0,2981.0,3000.0,2922.01171875,108900
2019-01-23,2988.0,3000.0,2951.0,2967.0,2889.86962890625,211800
2019-01-24,2956.0,2958.0,2926.0,2940.0,2863.571533203125,175400
2019-01-25,2944.0,2949.0,2911.0,2911.0,2835.325439453125,185400
2019-01-28,2897.0,2897.0,2859.0,2879.0,2804.1572265625,193300
2019-01-29,2865.0,2926.0,2865.0,2926.0,2849.935546875,175600
2019-01-30,2927.0,2936.0,2902.0,2917.0,2841.16943359375,208600
2019-01-31,2919.0,2948.0,2899.0,2912.0,2836.299560546875,200600
2019-02-01,2914.0,2950.0,2902.0,2930.0,2853.83154296875,173700
2019-02-04,2953.0,2991.0,2953.0,2981.0,2903.505859375,183100
2019-02-05,2981.0,2998.0,2957.0,2968.0,2890.84375,159000
2019-02-06,2972.0,2972.0,2930.0,2942.0,2865.519775390625,119800
2019-02-07,2922.0,2927.0,2901.0,2915.0,2839.221435546875,145100
2019-02-08,2897.0,2907.0,2873.0,2885.0,2810.001220703125,167800
2019-02-12,2900.0,2926.0,2893.0,2915.0,2839.221435546875,213200
2019-02-13,2945.0,2955.0,2915.0,2918.0,2842.143310546875,144400
2019-02-14,2921.0,2921.0,2893.0,2921.0,2845.065185546875,171200
2019-02-15,2900.0,2920.0,2872.0,2918.0,2842.143310546875,170000
