Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2174.0,2179.0,2126.0,2166.0,2157.421875,28900
2019-01-07,2202.0,2249.0,2192.0,2198.0,2189.295166015625,20200
2019-01-08,2191.0,2244.0,2183.0,2226.0,2217.184326171875,18500
2019-01-09,2240.0,2270.0,2208.0,2211.0,2202.24365234375,9300
2019-01-10,2220.0,2236.0,2195.0,2224.0,2215.192138671875,12700
2019-01-11,2239.0,2241.0,2209.0,2220.0,2211.2080078125,12400
2019-01-15,2220.0,2286.0,2206.0,2270.0,2261.010009765625,16100
2019-01-16,2270.0,2393.0,2218.0,2316.0,2306.827880859375,22000
2019-01-17,2329.0,2403.0,2256.0,2372.0,2362.60595703125,26900
2019-01-18,2395.0,2408.0,2332.0,2343.0,2333.720947265625,20900
2019-01-21,2370.0,2378.0,2318.0,2318.0,2308.81982421875,14100
2019-01-22,2336.0,2349.0,2310.0,2337.0,2327.74462890625,14500
2019-01-23,2314.0,2360.0,2313.0,2323.0,2313.800048828125,15100
2019-01-24,2330.0,2344.0,2320.0,2325.0,2315.792236328125,12700
2019-01-25,2320.0,2380.0,2308.0,2335.0,2325.75244140625,18400
2019-01-28,2337.0,2352.0,2309.0,2309.0,2299.85546875,11200
2019-01-29,2308.0,2316.0,2257.0,2294.0,2284.914794921875,23100
2019-01-30,2411.0,2435.0,2354.0,2370.0,2360.614013671875,118800
2019-01-31,2370.0,2450.0,2356.0,2442.0,2432.328857421875,46100
2019-02-01,2401.0,2517.0,2389.0,2510.0,2500.0595703125,47800
2019-02-04,2520.0,2566.0,2501.0,2508.0,2498.0673828125,27900
2019-02-05,2510.0,2597.0,2510.0,2595.0,2584.722900390625,40300
2019-02-06,2595.0,2601.0,2527.0,2532.0,2521.972412109375,20600
2019-02-07,2535.0,2535.0,2480.0,2491.0,2481.134765625,14000
2019-02-08,2441.0,2464.0,2424.0,2429.0,2419.38037109375,13000
2019-02-12,2432.0,2499.0,2432.0,2481.0,2471.17431640625,10600
2019-02-13,2528.0,2537.0,2485.0,2529.0,2518.984130859375,16900
2019-02-14,2558.0,2596.0,2532.0,2589.0,2578.74658203125,35800
2019-02-15,2589.0,2603.0,2557.0,2582.0,2571.7744140625,30100
2019-02-18,2602.0,2640.0,2588.0,2600.0,2589.703125,24900
2019-02-19,2602.0,2633.0,2592.0,2605.0,2594.683349609375,26500
2019-02-20,2597.0,2643.0,2596.0,2634.0,2623.568359375,24100
2019-02-21,2639.0,2693.0,2614.0,2666.0,2655.441650390625,41500
2019-02-22,2671.0,2718.0,2650.0,2711.0,2700.263427734375,41500
2019-02-25,2715.0,2768.0,2697.0,2756.0,2745.085205078125,30400
2019-02-26,2736.0,2756.0,2708.0,2751.0,2740.10498046875,23100
2019-02-27,2758.0,2794.0,2750.0,2775.0,2764.010009765625,34900
2019-02-28,2775.0,2795.0,2750.0,2788.0,2776.95849609375,29200
2019-03-01,2760.0,2782.0,2755.0,2774.0,2763.013916015625,14600
2019-03-04,2774.0,2793.0,2756.0,2784.0,2772.974365234375,16800
2019-03-05,2761.0,2776.0,2711.0,2717.0,2706.23974609375,25900
2019-03-06,2703.0,2782.0,2679.0,2772.0,2761.02197265625,34100
2019-03-07,2742.0,2742.0,2694.0,2716.0,2705.24365234375,20900
2019-03-08,2671.0,2680.0,2601.0,2617.0,2606.6357421875,39600
2019-03-11,2615.0,2640.0,2599.0,2620.0,2609.623779296875,12500
2019-03-12,2629.0,2712.0,2629.0,2703.0,2692.295166015625,22800
2019-03-13,2674.0,2700.0,2650.0,2664.0,2653.449462890625,13200
2019-03-14,2675.0,2693.0,2613.0,2620.0,2609.623779296875,13200
2019-03-15,2602.0,2651.0,2594.0,2594.0,2583.726806640625,31100
2019-03-18,2618.0,2621.0,2599.0,2602.0,2591.695068359375,11200
2019-03-19,2645.0,2651.0,2609.0,2647.0,2636.516845703125,8900
2019-03-20,2642.0,2720.0,2642.0,2712.0,2701.259521484375,29300
2019-03-22,2713.0,2786.0,2713.0,2775.0,2764.010009765625,38300
2019-03-25,2741.0,2742.0,2650.0,2673.0,2662.413818359375,26700
2019-03-26,2700.0,2730.0,2676.0,2693.0,2682.334716796875,23700
2019-03-27,2710.0,2711.0,2621.0,2666.0,2655.441650390625,46900
2019-03-28,2644.0,2644.0,2539.0,2544.0,2533.9248046875,32300
2019-03-29,2565.0,2565.0,2501.0,2562.0,2551.853515625,31900
2019-04-01,2562.0,2595.0,2530.0,2537.0,2526.95263671875,30500
2019-04-02,2565.0,2568.0,2525.0,2567.0,2556.833740234375,12400
2019-04-03,2561.0,2614.0,2547.0,2614.0,2603.647705078125,11900
2019-04-04,2639.0,2692.0,2625.0,2671.0,2660.421875,13000
2019-04-05,2688.0,2709.0,2673.0,2684.0,2673.370361328125,16700
2019-04-08,2584.0,2609.0,2527.0,2558.0,2547.869384765625,75600
2019-04-09,2553.0,2578.0,2476.0,2476.0,2466.194091796875,30900
2019-04-10,2485.0,2541.0,2482.0,2499.0,2489.10302734375,15000
2019-04-11,2472.0,2496.0,2450.0,2490.0,2480.138671875,14600
2019-04-12,2490.0,2511.0,2457.0,2459.0,2449.261474609375,12800
2019-04-15,2488.0,2531.0,2488.0,2520.0,2510.019775390625,18500
2019-04-16,2520.0,2534.0,2490.0,2492.0,2482.130859375,12400
2019-04-17,2501.0,2516.0,2481.0,2508.0,2498.0673828125,14900
2019-04-18,2544.0,2544.0,2441.0,2457.0,2447.269287109375,19900
2019-04-19,2460.0,2468.0,2435.0,2444.0,2434.32080078125,13500
2019-04-22,2439.0,2456.0,2420.0,2454.0,2444.28125,13200
2019-04-23,2437.0,2501.0,2437.0,2495.0,2485.118896484375,20100
2019-04-24,2501.0,2515.0,2462.0,2465.0,2455.23779296875,21600
2019-04-25,2415.0,2442.0,2401.0,2419.0,2409.419921875,60000
2019-04-26,2427.0,2459.0,2385.0,2440.0,2430.336669921875,30000
2019-05-07,2424.0,2446.0,2385.0,2391.0,2381.53076171875,22400
2019-05-08,2385.0,2385.0,2304.0,2307.0,2297.863525390625,36000
2019-05-09,2297.0,2344.0,2250.0,2331.0,2321.768310546875,28700
2019-05-10,2329.0,2365.0,2287.0,2307.0,2297.863525390625,16300
2019-05-13,2323.0,2337.0,2276.0,2276.0,2266.986083984375,18300
2019-05-14,2240.0,2271.0,2202.0,2264.0,2255.03369140625,21700
2019-05-15,2273.0,2295.0,2245.0,2293.0,2283.9189453125,18500
2019-05-16,2294.0,2320.0,2259.0,2292.0,2282.9228515625,19200
2019-05-17,2322.0,2365.0,2322.0,2329.0,2319.7763671875,21400
2019-05-20,2351.0,2351.0,2326.0,2335.0,2325.75244140625,8500
2019-05-21,2339.0,2372.0,2320.0,2357.0,2347.66552734375,26300
2019-05-22,2365.0,2394.0,2357.0,2370.0,2360.614013671875,10700
2019-05-23,2370.0,2433.0,2370.0,2411.0,2401.45166015625,18400
2019-05-24,2420.0,2479.0,2420.0,2478.0,2468.186279296875,17700
2019-05-27,2484.0,2561.0,2479.0,2543.0,2532.9287109375,27100
2019-05-28,2543.0,2543.0,2479.0,2522.0,2512.011962890625,22600
2019-05-29,2484.0,2503.0,2462.0,2498.0,2488.10693359375,9400
2019-05-30,2495.0,2529.0,2490.0,2529.0,2518.984130859375,9000
2019-05-31,2538.0,2538.0,2496.0,2512.0,2502.051513671875,13100
2019-06-03,2479.0,2481.0,2440.0,2441.0,2431.332763671875,10200
2019-06-04,2440.0,2525.0,2440.0,2517.0,2507.03173828125,16700
2019-06-05,2538.0,2558.0,2517.0,2549.0,2538.905029296875,18600
2019-06-06,2521.0,2538.0,2499.0,2512.0,2502.051513671875,7000
2019-06-07,2536.0,2536.0,2479.0,2520.0,2510.019775390625,10200
2019-06-10,2529.0,2560.0,2514.0,2560.0,2549.861328125,11400
2019-06-11,2551.0,2581.0,2511.0,2526.0,2515.99609375,17400
2019-06-12,2526.0,2539.0,2510.0,2539.0,2528.944580078125,11300
2019-06-13,2522.0,2525.0,2462.0,2475.0,2465.197998046875,14200
2019-06-14,2479.0,2503.0,2479.0,2498.0,2488.10693359375,7000
2019-06-17,2496.0,2513.0,2449.0,2487.0,2477.150634765625,9400
2019-06-18,2461.0,2473.0,2418.0,2418.0,2408.423828125,16000
2019-06-19,2427.0,2508.0,2427.0,2484.0,2474.162353515625,15200
2019-06-20,2471.0,2496.0,2466.0,2495.0,2485.118896484375,4000
2019-06-21,2493.0,2570.0,2464.0,2565.0,2554.841552734375,25900
2019-06-24,2565.0,2566.0,2535.0,2549.0,2538.905029296875,9800
2019-06-25,2548.0,2560.0,2515.0,2528.0,2517.98828125,6200
2019-06-26,2518.0,2581.0,2518.0,2564.0,2553.845703125,11900
2019-06-27,2549.0,2660.0,2549.0,2647.0,2636.516845703125,33900
2019-06-28,2647.0,2663.0,2631.0,2653.0,2642.4931640625,22000
2019-07-01,2665.0,2688.0,2636.0,2654.0,2643.4892578125,10100
2019-07-02,2640.0,2669.0,2640.0,2642.0,2631.53662109375,10200
2019-07-03,2625.0,2663.0,2608.0,2660.0,2649.46533203125,12600
2019-07-04,2651.0,2688.0,2651.0,2658.0,2647.473388671875,8100
2019-07-05,2659.0,2683.0,2645.0,2661.0,2650.46142578125,18300
2019-07-08,2641.0,2668.0,2631.0,2636.0,2625.560546875,7400
