Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,615.0,621.0,603.0,615.0,545.5466918945312,200600
2019-01-07,637.0,650.0,633.0,650.0,576.5940551757812,168900
2019-01-08,654.0,654.0,634.0,641.0,568.610595703125,98500
2019-01-09,642.0,642.0,632.0,638.0,565.9493408203125,69100
2019-01-10,637.0,637.0,623.0,630.0,558.852783203125,63200
2019-01-11,625.0,635.0,623.0,626.0,555.304443359375,56400
2019-01-15,623.0,633.0,622.0,629.0,557.9657592773438,58800
2019-01-16,630.0,630.0,622.0,625.0,554.4174194335938,53900
2019-01-17,624.0,625.0,611.0,620.0,549.9821166992188,100100
2019-01-18,620.0,633.0,619.0,633.0,561.5139770507812,120900
2019-01-21,639.0,660.0,637.0,653.0,579.2553100585938,141800
2019-01-22,653.0,658.0,645.0,655.0,581.0294799804688,90300
2019-01-23,645.0,648.0,636.0,639.0,566.8363037109375,86500
2019-01-24,637.0,644.0,635.0,643.0,570.3846435546875,51100
2019-01-25,640.0,648.0,637.0,642.0,569.49755859375,71000
2019-01-28,645.0,649.0,639.0,643.0,570.3846435546875,94900
2019-01-29,640.0,640.0,625.0,636.0,564.1751098632812,129500
2019-01-30,638.0,638.0,624.0,624.0,553.5303955078125,97800
2019-01-31,625.0,630.0,622.0,628.0,557.07861328125,140600
2019-02-01,623.0,629.0,620.0,621.0,550.869140625,94400
2019-02-04,629.0,638.0,629.0,637.0,565.062255859375,106500
2019-02-05,639.0,640.0,626.0,632.0,560.626953125,120500
2019-02-06,632.0,634.0,627.0,633.0,561.5139770507812,92600
2019-02-07,627.0,628.0,618.0,624.0,553.5303955078125,138500
2019-02-08,615.0,626.0,606.0,626.0,555.304443359375,145600
2019-02-12,626.0,627.0,619.0,624.0,553.5303955078125,113500
2019-02-13,622.0,623.0,614.0,616.0,546.4337768554688,182200
2019-02-14,610.0,613.0,607.0,611.0,541.9984130859375,190700
2019-02-15,607.0,607.0,598.0,604.0,535.7890014648438,192200
2019-02-18,610.0,617.0,608.0,616.0,546.4337768554688,138900
2019-02-19,612.0,613.0,606.0,610.0,541.1114501953125,357800
2019-02-20,608.0,613.0,603.0,611.0,541.9984130859375,242400
2019-02-21,610.0,614.0,605.0,613.0,543.7726440429688,245700
2019-02-22,610.0,611.0,603.0,608.0,539.3372802734375,216100
2019-02-25,610.0,618.0,609.0,615.0,545.5466918945312,219800
2019-02-26,619.0,623.0,617.0,621.0,550.869140625,179500
2019-02-27,624.0,638.0,623.0,636.0,564.1751098632812,156700
2019-02-28,629.0,636.0,629.0,632.0,560.626953125,79500
2019-03-01,629.0,632.0,624.0,625.0,554.4174194335938,89400
2019-03-04,627.0,627.0,621.0,621.0,550.869140625,98700
2019-03-05,620.0,620.0,613.0,619.0,549.0950927734375,124700
2019-03-06,619.0,621.0,618.0,619.0,549.0950927734375,79300
2019-03-07,618.0,618.0,615.0,616.0,546.4337768554688,58500
2019-03-08,610.0,611.0,607.0,610.0,541.1114501953125,114800
2019-03-11,606.0,610.0,602.0,604.0,535.7890014648438,146100
2019-03-12,609.0,619.0,609.0,619.0,549.0950927734375,50200
2019-03-13,614.0,617.0,609.0,612.0,542.885498046875,92200
2019-03-14,611.0,612.0,608.0,611.0,541.9984130859375,82200
2019-03-15,611.0,613.0,608.0,610.0,541.1114501953125,184900
2019-03-18,612.0,614.0,609.0,611.0,541.9984130859375,87900
2019-03-19,614.0,615.0,609.0,611.0,541.9984130859375,79200
2019-03-20,611.0,611.0,607.0,608.0,539.3372802734375,107900
2019-03-22,609.0,610.0,605.0,610.0,541.1114501953125,111000
2019-03-25,610.0,610.0,602.0,606.0,537.5631713867188,100600
2019-03-26,611.0,614.0,610.0,613.0,543.7726440429688,151700
2019-03-27,606.0,608.0,603.0,607.0,558.4940185546875,100600
2019-03-28,603.0,603.0,596.0,597.0,549.2931518554688,143200
2019-03-29,597.0,599.0,592.0,596.0,548.3731079101562,242100
2019-04-01,596.0,608.0,595.0,604.0,555.73388671875,189500
2019-04-02,607.0,607.0,599.0,600.0,552.053466796875,83700
2019-04-03,597.0,598.0,595.0,595.0,547.4530029296875,117500
2019-04-04,595.0,604.0,595.0,602.0,553.8935546875,81300
2019-04-05,605.0,607.0,601.0,604.0,555.73388671875,82500
2019-04-08,604.0,605.0,599.0,599.0,551.13330078125,36800
2019-04-09,598.0,598.0,589.0,590.0,542.8525390625,81400
2019-04-10,587.0,587.0,582.0,585.0,538.2521362304688,88900
2019-04-11,585.0,586.0,580.0,584.0,537.3319702148438,74300
2019-04-12,585.0,586.0,582.0,584.0,537.3319702148438,79000
2019-04-15,585.0,589.0,585.0,588.0,541.0123901367188,74000
2019-04-16,587.0,591.0,583.0,585.0,538.2521362304688,85200
2019-04-17,592.0,592.0,587.0,588.0,541.0123901367188,95300
2019-04-18,588.0,588.0,576.0,578.0,531.8114624023438,127600
2019-04-19,579.0,579.0,571.0,573.0,527.2109985351562,126500
2019-04-22,571.0,578.0,571.0,576.0,529.9713134765625,56800
