Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,141400.0,144700.0,141400.0,144000.0,136763.5625,15480
2019-01-07,145200.0,147100.0,145200.0,145500.0,138188.15625,9275
2019-01-08,146400.0,148800.0,145700.0,147400.0,139992.703125,10153
2019-01-09,149000.0,149500.0,148200.0,149400.0,141892.171875,8449
2019-01-10,148700.0,149700.0,148400.0,149200.0,141702.21875,6628
2019-01-11,149800.0,152500.0,149600.0,152500.0,144836.40625,11416
2019-01-15,152700.0,152700.0,148000.0,148400.0,140942.4375,12065
2019-01-16,148800.0,150800.0,148800.0,149600.0,142082.109375,10607
2019-01-17,149600.0,151600.0,149500.0,150600.0,143031.875,9587
2019-01-18,149300.0,151300.0,149300.0,150800.0,143221.8125,8969
2019-01-21,150700.0,151700.0,150300.0,150900.0,143316.78125,6993
2019-01-22,151200.0,151600.0,150500.0,151300.0,143696.671875,7955
2019-01-23,150700.0,151200.0,148800.0,149000.0,141512.28125,8099
2019-01-24,148600.0,151500.0,148600.0,150900.0,143316.78125,8939
2019-01-25,151700.0,153200.0,150800.0,152800.0,145121.296875,10369
2019-01-28,153100.0,153500.0,152300.0,153000.0,145311.265625,6693
2019-01-29,154400.0,156400.0,153700.0,155600.0,147780.609375,15211
2019-01-30,157200.0,157200.0,154800.0,154800.0,147020.8125,12629
2019-01-31,156400.0,156500.0,155700.0,155900.0,148065.53125,13596
2019-02-01,155900.0,157500.0,155600.0,156300.0,148445.453125,16215
2019-02-04,157700.0,158000.0,156100.0,156300.0,148445.453125,10599
2019-02-05,156300.0,158400.0,156100.0,157100.0,149205.21875,9965
2019-02-06,157900.0,158300.0,155300.0,155700.0,147875.578125,10394
2019-02-07,155700.0,156200.0,153600.0,155000.0,147210.765625,11645
2019-02-08,153500.0,154800.0,152600.0,154000.0,146261.03125,20636
2019-02-12,152500.0,154400.0,152500.0,153600.0,145881.109375,13734
2019-02-13,154600.0,156500.0,154200.0,155900.0,148065.53125,14327
2019-02-14,156700.0,156700.0,155000.0,155400.0,147590.640625,14098
2019-02-15,154000.0,155900.0,153400.0,154700.0,146925.84375,18553
2019-02-18,155000.0,158000.0,154600.0,156400.0,148540.390625,23675
2019-02-19,156200.0,157800.0,155300.0,157700.0,149775.078125,35065
2019-02-20,157300.0,158100.0,156900.0,156900.0,149015.265625,12364
2019-02-21,156800.0,158600.0,156100.0,158600.0,150629.84375,18709
2019-02-22,157900.0,158800.0,157700.0,158700.0,150724.796875,11280
2019-02-25,157800.0,158800.0,157800.0,158500.0,150534.84375,14370
2019-02-26,154700.0,155200.0,153700.0,154300.0,147014.34375,22851
2019-02-27,153500.0,154600.0,153300.0,153700.0,146923.53125,17566
2019-02-28,153200.0,154100.0,152600.0,152600.0,145872.03125,20083
2019-03-01,152500.0,153100.0,151800.0,152200.0,145489.671875,52561
2019-03-04,150800.0,151800.0,150600.0,151200.0,144533.765625,73899
2019-03-05,151000.0,151600.0,151000.0,151100.0,144438.15625,16361
2019-03-06,151300.0,152800.0,151200.0,152300.0,145585.25,17329
2019-03-07,152100.0,153200.0,151700.0,152200.0,145489.671875,8880
2019-03-08,151300.0,152400.0,150400.0,150700.0,144055.78125,16350
