Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1660.0,1727.0,1630.0,1715.0,1661.87646484375,297000
2019-01-07,1784.0,1844.0,1774.0,1818.0,1761.6861572265625,206000
2019-01-08,1847.0,1896.0,1832.0,1864.0,1806.2611083984375,191500
2019-01-09,1861.0,1881.0,1836.0,1842.0,1784.942626953125,98500
2019-01-10,1837.0,1859.0,1807.0,1825.0,1768.46923828125,123700
2019-01-11,1838.0,1889.0,1838.0,1858.0,1800.447021484375,113300
2019-01-15,1839.0,1919.0,1833.0,1905.0,1845.9910888671875,89000
2019-01-16,1919.0,1972.0,1919.0,1960.0,1899.2874755859375,144500
2019-01-17,1960.0,1972.0,1905.0,1916.0,1856.650390625,110900
2019-01-18,1915.0,1929.0,1882.0,1899.0,1840.1768798828125,105700
2019-01-21,1939.0,1953.0,1883.0,1893.0,1834.3629150390625,123100
2019-01-22,1897.0,1918.0,1851.0,1870.0,1812.0753173828125,122000
2019-01-23,1837.0,1864.0,1792.0,1827.0,1770.4072265625,142600
2019-01-24,1830.0,1866.0,1815.0,1850.0,1792.69482421875,73000
2019-01-25,1829.0,1906.0,1802.0,1892.0,1833.3936767578125,213800
2019-01-28,1911.0,1947.0,1894.0,1908.0,1848.8983154296875,139900
2019-01-29,1873.0,1891.0,1826.0,1873.0,1814.982421875,160200
2019-01-30,1892.0,1954.0,1879.0,1910.0,1850.836181640625,199300
2019-01-31,1944.0,1962.0,1905.0,1908.0,1848.8983154296875,154000
2019-02-01,1902.0,1915.0,1871.0,1877.0,1818.8585205078125,145300
2019-02-04,1886.0,1984.0,1886.0,1975.0,1913.82275390625,212400
2019-02-05,1987.0,2019.0,1975.0,2000.0,1938.0484619140625,150700
2019-02-06,1998.0,2019.0,1982.0,1993.0,1931.2652587890625,110600
2019-02-07,1970.0,2017.0,1959.0,2006.0,1943.8626708984375,158100
2019-02-08,1972.0,2003.0,1923.0,1930.0,1870.216796875,153200
2019-02-12,1949.0,2005.0,1949.0,1995.0,1933.203369140625,128200
2019-02-13,1999.0,2013.0,1909.0,1919.0,1859.5574951171875,360200
2019-02-14,1938.0,2020.0,1938.0,2020.0,1957.428955078125,250700
2019-02-15,2030.0,2239.0,2030.0,2208.0,2139.60546875,478200
2019-02-18,2214.0,2274.0,2208.0,2240.0,2170.614013671875,238800
2019-02-19,2207.0,2218.0,2182.0,2202.0,2133.791259765625,163500
2019-02-20,2178.0,2189.0,2114.0,2137.0,2070.8046875,293100
2019-02-21,2100.0,2108.0,2047.0,2078.0,2013.63232421875,298400
2019-02-22,2046.0,2068.0,2031.0,2042.0,1978.7474365234375,232800
2019-02-25,2051.0,2064.0,2027.0,2047.0,1983.592529296875,171400
2019-02-26,2047.0,2056.0,1993.0,2000.0,1938.0484619140625,197000
2019-02-27,1992.0,2005.0,1974.0,1988.0,1926.420166015625,163400
2019-02-28,2000.0,2007.0,1910.0,1928.0,1868.2786865234375,282800
2019-03-01,1956.0,1996.0,1944.0,1951.0,1890.566162109375,259600
2019-03-04,1991.0,2028.0,1991.0,2004.0,1941.9244384765625,242600
2019-03-05,1993.0,2005.0,1941.0,1949.0,1888.6282958984375,254200
2019-03-06,1924.0,1968.0,1919.0,1961.0,1900.256591796875,259400
2019-03-07,1981.0,1990.0,1908.0,1920.0,1860.526611328125,135900
2019-03-08,1897.0,1901.0,1847.0,1857.0,1799.47802734375,182800
2019-03-11,1851.0,1862.0,1826.0,1848.0,1790.7568359375,81500
2019-03-12,1853.0,1898.0,1852.0,1871.0,1813.04443359375,113200
2019-03-13,1839.0,1857.0,1819.0,1821.0,1764.593017578125,59700
2019-03-14,1859.0,1873.0,1832.0,1870.0,1812.0753173828125,116700
2019-03-15,1831.0,1861.0,1823.0,1827.0,1770.4072265625,468700
2019-03-18,1850.0,1851.0,1827.0,1835.0,1778.159423828125,129200
2019-03-19,1844.0,1844.0,1815.0,1818.0,1761.6861572265625,110900
2019-03-20,1805.0,1822.0,1790.0,1800.0,1744.2435302734375,199800
2019-03-22,1793.0,1852.0,1791.0,1843.0,1785.9117431640625,260000
2019-03-25,1800.0,1800.0,1738.0,1748.0,1693.8543701171875,162400
2019-03-26,1783.0,1832.0,1765.0,1820.0,1763.6241455078125,105600
2019-03-27,1804.0,1840.0,1787.0,1806.0,1750.0577392578125,126100
2019-03-28,1804.0,1804.0,1768.0,1771.0,1716.1419677734375,109400
2019-03-29,1750.0,1787.0,1743.0,1765.0,1710.3277587890625,178000
2019-04-01,1805.0,1846.0,1788.0,1832.0,1775.2523193359375,109700
2019-04-02,1851.0,1866.0,1813.0,1827.0,1770.4072265625,174100
2019-04-03,1810.0,1859.0,1809.0,1858.0,1800.447021484375,186800
2019-04-04,1830.0,1899.0,1830.0,1868.0,1810.13720703125,324900
2019-04-05,1868.0,1892.0,1859.0,1869.0,1811.106201171875,223400
2019-04-08,1879.0,1895.0,1817.0,1818.0,1761.6861572265625,115200
2019-04-09,1837.0,1878.0,1827.0,1868.0,1810.13720703125,133200
2019-04-10,1857.0,1879.0,1845.0,1873.0,1814.982421875,67600
