Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1790.0,1790.0,1735.0,1771.0,1673.8253173828125,13500
2019-01-07,1811.0,1860.0,1810.0,1835.0,1734.3135986328125,10200
2019-01-08,1832.0,1852.0,1809.0,1835.0,1734.3135986328125,11700
2019-01-09,1835.0,1841.0,1811.0,1811.0,1711.6304931640625,10400
2019-01-10,1808.0,1808.0,1743.0,1784.0,1686.112060546875,11100
2019-01-11,1775.0,1782.0,1750.0,1770.0,1672.880126953125,11000
2019-01-15,1750.0,1803.0,1750.0,1790.0,1691.78271484375,10100
2019-01-16,1781.0,1790.0,1727.0,1737.0,1641.69091796875,8400
2019-01-17,1754.0,1775.0,1713.0,1736.0,1640.7457275390625,8100
2019-01-18,1747.0,1778.0,1723.0,1723.0,1628.458984375,14500
2019-01-21,1746.0,1770.0,1736.0,1765.0,1668.1544189453125,10500
2019-01-22,1786.0,1786.0,1752.0,1771.0,1673.8253173828125,10800
2019-01-23,1749.0,1776.0,1729.0,1729.0,1634.1298828125,5300
2019-01-24,1730.0,1730.0,1695.0,1710.0,1616.17236328125,9600
2019-01-25,1710.0,1764.0,1710.0,1726.0,1631.29443359375,11200
2019-01-28,1799.0,1869.0,1799.0,1819.0,1719.1915283203125,29100
2019-01-29,1820.0,1822.0,1763.0,1772.0,1674.7703857421875,15400
2019-01-30,1793.0,1802.0,1732.0,1751.0,1654.9227294921875,18100
2019-01-31,1773.0,1811.0,1762.0,1767.0,1670.0447998046875,12500
2019-02-01,1775.0,1775.0,1735.0,1741.0,1645.4713134765625,15300
2019-02-04,1777.0,1814.0,1773.0,1804.0,1705.0145263671875,12200
2019-02-05,1804.0,1843.0,1804.0,1843.0,1741.8746337890625,5000
2019-02-06,1842.0,1858.0,1825.0,1838.0,1737.14892578125,6800
2019-02-07,1837.0,1853.0,1807.0,1853.0,1751.325927734375,7900
2019-02-08,1831.0,1831.0,1773.0,1783.0,1685.1668701171875,9500
2019-02-12,1783.0,1874.0,1771.0,1864.0,1761.7222900390625,14100
2019-02-13,1814.0,1815.0,1731.0,1736.0,1640.7457275390625,30200
2019-02-14,1744.0,1758.0,1725.0,1740.0,1644.5262451171875,11700
2019-02-15,1739.0,1764.0,1724.0,1740.0,1644.5262451171875,6800
2019-02-18,1762.0,1804.0,1755.0,1800.0,1701.234130859375,11700
2019-02-19,1791.0,1811.0,1778.0,1779.0,1681.3863525390625,9600
2019-02-20,1783.0,1791.0,1759.0,1769.0,1671.93505859375,11300
2019-02-21,1772.0,1806.0,1772.0,1784.0,1686.112060546875,6100
2019-02-22,1812.0,1857.0,1780.0,1846.0,1744.7099609375,16800
2019-02-25,1846.0,1853.0,1841.0,1852.0,1750.380859375,4800
2019-02-26,1850.0,1850.0,1841.0,1845.0,1743.764892578125,3400
2019-02-27,1858.0,1884.0,1850.0,1878.0,1774.9542236328125,8000
2019-02-28,1881.0,1881.0,1853.0,1857.0,1755.1065673828125,5100
2019-03-01,1856.0,1856.0,1793.0,1813.0,1713.520751953125,12900
2019-03-04,1829.0,1849.0,1805.0,1829.0,1728.642822265625,7900
2019-03-05,1829.0,1829.0,1804.0,1824.0,1723.917236328125,6400
2019-03-06,1830.0,1842.0,1817.0,1827.0,1726.7525634765625,10100
2019-03-07,1811.0,1811.0,1765.0,1785.0,1687.05712890625,8700
2019-03-08,1752.0,1752.0,1707.0,1723.0,1628.458984375,17400
2019-03-11,1723.0,1732.0,1714.0,1720.0,1625.6236572265625,5000
2019-03-12,1753.0,1809.0,1753.0,1797.0,1698.398681640625,5900
2019-03-13,1769.0,1776.0,1749.0,1752.0,1655.8677978515625,2100
2019-03-14,1747.0,1761.0,1722.0,1737.0,1641.69091796875,4700
2019-03-15,1751.0,1788.0,1733.0,1746.0,1650.197021484375,14600
2019-03-18,1748.0,1756.0,1717.0,1735.0,1639.8006591796875,9300
2019-03-19,1750.0,1750.0,1703.0,1707.0,1613.3369140625,12100
2019-03-20,1705.0,1730.0,1698.0,1721.0,1626.56884765625,10700
2019-03-22,1733.0,1747.0,1712.0,1747.0,1651.14208984375,9300
2019-03-25,1725.0,1725.0,1674.0,1677.0,1584.983154296875,12500
2019-03-26,1705.0,1831.0,1705.0,1803.0,1704.0694580078125,23400
2019-03-27,1820.0,1843.0,1802.0,1837.0,1736.203857421875,9700
2019-03-28,1803.0,1803.0,1754.0,1765.0,1668.1544189453125,9000
2019-03-29,1773.0,1813.0,1750.0,1782.0,1684.2216796875,7800
2019-04-01,1902.0,1924.0,1867.0,1898.0,1793.8568115234375,32700
2019-04-02,1903.0,1903.0,1867.0,1889.0,1785.3507080078125,7600
2019-04-03,1883.0,1911.0,1883.0,1903.0,1798.5823974609375,6300
2019-04-04,1905.0,1950.0,1905.0,1945.0,1838.27783203125,6300
2019-04-05,1979.0,1985.0,1953.0,1981.0,1872.3026123046875,13300
