Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2480.0,2480.0,2358.0,2397.0,2397.0,98500
2019-01-07,2497.0,2610.0,2437.0,2607.0,2607.0,84200
2019-01-08,2657.0,2662.0,2581.0,2644.0,2644.0,46700
2019-01-09,2736.0,2755.0,2605.0,2625.0,2625.0,129000
2019-01-10,2675.0,2748.0,2670.0,2736.0,2736.0,91200
2019-01-11,2728.0,2804.0,2697.0,2753.0,2753.0,86200
2019-01-15,2797.0,2797.0,2650.0,2681.0,2681.0,64600
2019-01-16,2706.0,2706.0,2577.0,2645.0,2645.0,71800
2019-01-17,2695.0,2769.0,2624.0,2730.0,2730.0,83400
2019-01-18,2730.0,2928.0,2691.0,2916.0,2916.0,106800
2019-01-21,3000.0,3170.0,3000.0,3015.0,3015.0,123400
2019-01-22,2993.0,3000.0,2892.0,2931.0,2931.0,101700
2019-01-23,2929.0,2930.0,2816.0,2852.0,2852.0,59800
2019-01-24,2846.0,2870.0,2783.0,2812.0,2812.0,39700
2019-01-25,2792.0,2917.0,2778.0,2871.0,2871.0,39700
2019-01-28,2880.0,2911.0,2794.0,2801.0,2801.0,26400
2019-01-29,2788.0,2860.0,2755.0,2851.0,2851.0,27000
2019-01-30,2850.0,2850.0,2730.0,2743.0,2743.0,42300
2019-01-31,2796.0,2846.0,2740.0,2817.0,2817.0,35500
2019-02-01,2829.0,2926.0,2816.0,2848.0,2848.0,53700
2019-02-04,2884.0,2955.0,2884.0,2923.0,2923.0,43900
2019-02-05,2969.0,2998.0,2884.0,2963.0,2963.0,47600
2019-02-06,3010.0,3040.0,2930.0,2967.0,2967.0,42100
2019-02-07,2951.0,2951.0,2800.0,2831.0,2831.0,59100
2019-02-08,2830.0,2974.0,2740.0,2920.0,2920.0,98100
2019-02-12,3080.0,3285.0,3050.0,3085.0,3085.0,214700
2019-02-13,3155.0,3235.0,3125.0,3135.0,3135.0,82800
2019-02-14,3170.0,3190.0,3020.0,3170.0,3170.0,116800
2019-02-15,3110.0,3175.0,3025.0,3045.0,3045.0,56500
2019-02-18,3145.0,3165.0,3085.0,3125.0,3125.0,55600
2019-02-19,3170.0,3220.0,3135.0,3155.0,3155.0,84500
2019-02-20,3190.0,3255.0,3130.0,3150.0,3150.0,76300
2019-02-21,3130.0,3185.0,3050.0,3155.0,3155.0,59800
2019-02-22,3135.0,3220.0,3090.0,3180.0,3180.0,43400
2019-02-25,3215.0,3295.0,3205.0,3285.0,3285.0,45900
2019-02-26,3300.0,3300.0,3185.0,3205.0,3205.0,29800
2019-02-27,3205.0,3205.0,3050.0,3070.0,3070.0,118400
2019-02-28,3080.0,3080.0,3015.0,3025.0,3025.0,55300
2019-03-01,3015.0,3080.0,2971.0,3000.0,3000.0,118600
2019-03-04,3015.0,3110.0,2964.0,3070.0,3070.0,118000
2019-03-05,3050.0,3065.0,2988.0,2999.0,2999.0,43800
2019-03-06,2960.0,2960.0,2825.0,2914.0,2914.0,217000
2019-03-07,2953.0,3110.0,2901.0,3080.0,3080.0,265600
2019-03-08,3035.0,3050.0,2965.0,3035.0,3035.0,151400
2019-03-11,3050.0,3120.0,2983.0,3030.0,3030.0,64400
2019-03-12,3130.0,3200.0,3030.0,3030.0,3030.0,72300
2019-03-13,3080.0,3150.0,3045.0,3085.0,3085.0,48100
2019-03-14,3150.0,3185.0,3120.0,3170.0,3170.0,49800
2019-03-15,3200.0,3330.0,3165.0,3280.0,3280.0,146000
2019-03-18,3320.0,3380.0,3305.0,3340.0,3340.0,75400
2019-03-19,3360.0,3365.0,3250.0,3350.0,3350.0,62400
2019-03-20,3320.0,3385.0,3285.0,3335.0,3335.0,64000
2019-03-22,3355.0,3425.0,3325.0,3400.0,3400.0,62700
2019-03-25,3270.0,3300.0,3215.0,3260.0,3260.0,63300
2019-03-26,3340.0,3375.0,3280.0,3280.0,3280.0,54000
2019-03-27,3305.0,3555.0,3285.0,3545.0,3545.0,113300
2019-03-28,3385.0,3515.0,3355.0,3410.0,3410.0,99200
2019-03-29,3470.0,3470.0,3230.0,3360.0,3360.0,107100
2019-04-01,3400.0,3400.0,3275.0,3275.0,3275.0,48500
2019-04-02,3250.0,3250.0,3060.0,3095.0,3095.0,130000
2019-04-03,3090.0,3100.0,2862.0,3035.0,3035.0,168200
2019-04-04,3075.0,3090.0,2973.0,3025.0,3025.0,83800
