Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1960.0,2017.5,1890.0,1932.5,1923.8551025390625,124200
2019-01-07,2025.0,2082.5,2017.5,2050.0,2040.8294677734375,105200
2019-01-08,2085.0,2177.5,2082.5,2115.0,2105.538818359375,158800
2019-01-09,2150.0,2190.0,2132.5,2147.5,2137.893310546875,66800
2019-01-10,2140.0,2182.5,2072.5,2157.5,2147.848388671875,98600
2019-01-11,2180.0,2267.5,2180.0,2237.5,2227.49072265625,165200
2019-01-15,2222.5,2295.0,2215.0,2275.0,2264.822998046875,84000
2019-01-16,2280.0,2320.0,2220.0,2222.5,2212.557861328125,91000
2019-01-17,2257.5,2257.5,2155.0,2190.0,2180.203125,96800
2019-01-18,2210.0,2247.5,2170.0,2242.5,2232.46826171875,64400
2019-01-21,2252.5,2270.0,2160.0,2165.0,2155.31494140625,75200
2019-01-22,2160.0,2170.0,2077.5,2150.0,2140.382080078125,94600
2019-01-23,2115.0,2147.5,2075.0,2112.5,2103.050048828125,49200
2019-01-24,2082.5,2092.5,2010.0,2075.0,2065.717529296875,143000
2019-01-25,2082.5,2155.0,2077.5,2097.5,2088.116943359375,71200
2019-01-28,2132.5,2195.0,2090.0,2170.0,2160.29248046875,85800
2019-01-29,2205.0,2205.0,2115.0,2160.0,2150.33740234375,75600
2019-01-30,2162.5,2177.5,2100.0,2100.0,2090.605712890625,46000
2019-01-31,2125.0,2235.0,2125.0,2217.5,2207.580078125,133800
2019-02-01,2250.0,2382.5,2242.5,2357.5,2346.953857421875,207400
2019-02-04,2395.0,2455.0,2365.0,2422.5,2411.6630859375,131800
2019-02-05,2437.5,2445.0,2337.5,2357.5,2346.953857421875,168200
2019-02-06,2385.0,2400.0,2367.5,2385.0,2374.330810546875,39800
2019-02-07,2397.5,2397.5,2337.5,2365.0,2354.42041015625,85400
2019-02-08,2295.0,2385.0,2290.0,2310.0,2299.666259765625,86400
2019-02-12,2342.5,2390.0,2310.0,2367.5,2356.9091796875,132000
2019-02-13,2400.0,2472.5,2382.5,2440.0,2429.0849609375,146400
2019-02-14,2290.0,2422.5,2275.0,2365.0,2354.42041015625,197600
2019-02-15,2350.0,2355.0,2275.0,2350.0,2339.487548828125,91200
2019-02-18,2352.5,2377.5,2282.5,2297.5,2287.22216796875,94600
2019-02-19,2302.5,2382.5,2292.5,2345.0,2334.509765625,91600
2019-02-20,2372.5,2445.0,2340.0,2405.0,2394.2412109375,95400
2019-02-21,2450.0,2620.0,2437.5,2575.0,2563.480712890625,404000
2019-02-22,2565.0,2670.0,2555.0,2605.0,2593.3466796875,177200
2019-02-25,2595.0,2660.0,2590.0,2605.0,2593.3466796875,68600
2019-02-26,2605.0,2635.0,2497.5,2515.0,2503.749267578125,150600
2019-02-27,2500.0,2530.0,2440.0,2482.5,2471.39453125,93800
2019-02-28,2497.5,2505.0,2445.0,2457.5,2446.506591796875,46400
2019-03-01,2452.5,2480.0,2407.5,2410.0,2399.218994140625,100600
2019-03-04,2445.0,2450.0,2332.5,2340.0,2329.531982421875,145000
2019-03-05,2305.0,2357.5,2270.0,2345.0,2334.509765625,126400
2019-03-06,2355.0,2445.0,2350.0,2440.0,2429.0849609375,185800
