Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2931.0,3045.0,2908.0,3040.0,2904.260498046875,647300
2019-01-07,3100.0,3105.0,3025.0,3090.0,2952.028076171875,788000
2019-01-08,3150.0,3215.0,3115.0,3155.0,3014.125732421875,760400
2019-01-09,3165.0,3215.0,3150.0,3180.0,3038.009521484375,627600
2019-01-10,3190.0,3210.0,3135.0,3170.0,3028.4560546875,561100
2019-01-11,3210.0,3220.0,3160.0,3190.0,3047.56298828125,471300
2019-01-15,3210.0,3265.0,3205.0,3245.0,3100.107177734375,519100
2019-01-16,3275.0,3320.0,3235.0,3290.0,3143.09765625,694700
2019-01-17,3375.0,3415.0,3325.0,3375.0,3224.302490234375,734300
2019-01-18,3385.0,3435.0,3350.0,3425.0,3272.070068359375,497400
2019-01-21,3485.0,3490.0,3365.0,3375.0,3224.302490234375,329700
2019-01-22,3390.0,3390.0,3330.0,3370.0,3219.52587890625,355300
2019-01-23,3395.0,3400.0,3350.0,3355.0,3205.195556640625,378800
2019-01-24,3305.0,3415.0,3290.0,3415.0,3262.5166015625,479000
2019-01-25,3415.0,3440.0,3385.0,3405.0,3252.962890625,331000
2019-01-28,3375.0,3400.0,3350.0,3380.0,3229.079345703125,356500
2019-01-29,3415.0,3415.0,3345.0,3390.0,3238.6328125,388900
2019-01-30,3350.0,3415.0,3315.0,3410.0,3257.73974609375,545000
2019-01-31,3465.0,3520.0,3455.0,3510.0,3353.274658203125,591900
2019-02-01,3455.0,3560.0,3455.0,3540.0,3381.935302734375,577900
2019-02-04,4235.0,4240.0,4190.0,4240.0,4050.67919921875,1391900
2019-02-05,4175.0,4290.0,4145.0,4190.0,4002.911865234375,1492200
2019-02-06,4165.0,4185.0,4025.0,4065.0,3883.4931640625,918200
2019-02-07,4025.0,4080.0,3925.0,4025.0,3845.279296875,819200
2019-02-08,3990.0,4000.0,3860.0,3930.0,3754.521240234375,681200
2019-02-12,3940.0,4030.0,3925.0,3980.0,3802.28857421875,660200
2019-02-13,4070.0,4120.0,4010.0,4060.0,3878.716552734375,702000
2019-02-14,4055.0,4100.0,4035.0,4070.0,3888.27001953125,443700
