Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1097.0,1153.0,1085.0,1149.0,1108.6099853515625,313300
2019-01-07,1203.0,1212.0,1162.0,1196.0,1153.9578857421875,213900
2019-01-08,1201.0,1230.0,1191.0,1205.0,1162.6414794921875,185400
2019-01-09,1223.0,1253.0,1220.0,1220.0,1177.1141357421875,187400
2019-01-10,1206.0,1238.0,1202.0,1224.0,1180.9736328125,191900
2019-01-11,1271.0,1293.0,1217.0,1230.0,1186.7626953125,389700
2019-01-15,1156.0,1285.0,1152.0,1282.0,1236.9346923828125,552400
2019-01-16,1260.0,1296.0,1260.0,1275.0,1230.1807861328125,243300
2019-01-17,1263.0,1295.0,1263.0,1285.0,1239.8292236328125,182100
2019-01-18,1271.0,1313.0,1265.0,1302.0,1256.2318115234375,152500
2019-01-21,1336.0,1359.0,1296.0,1300.0,1254.302001953125,303700
2019-01-22,1313.0,1328.0,1298.0,1319.0,1272.6341552734375,158800
2019-01-23,1313.0,1349.0,1302.0,1329.0,1282.282470703125,214800
2019-01-24,1319.0,1360.0,1319.0,1355.0,1307.36865234375,143000
2019-01-25,1344.0,1363.0,1310.0,1324.0,1277.4583740234375,237400
2019-01-28,1350.0,1356.0,1309.0,1313.0,1266.844970703125,141400
2019-01-29,1313.0,1358.0,1301.0,1354.0,1306.40380859375,178900
2019-01-30,1354.0,1354.0,1330.0,1337.0,1290.0013427734375,442400
2019-01-31,1359.0,1375.0,1346.0,1375.0,1326.66552734375,228500
2019-02-01,1374.0,1378.0,1342.0,1347.0,1299.64990234375,111900
2019-02-04,1357.0,1403.0,1353.0,1388.0,1339.2086181640625,182200
2019-02-05,1378.0,1400.0,1368.0,1380.0,1331.48974609375,164300
2019-02-06,1404.0,1443.0,1400.0,1407.0,1357.5406494140625,258200
2019-02-07,1412.0,1417.0,1378.0,1393.0,1344.0328369140625,156600
2019-02-08,1379.0,1382.0,1347.0,1372.0,1323.77099609375,141900
2019-02-12,1395.0,1445.0,1380.0,1441.0,1390.3455810546875,189300
2019-02-13,1440.0,1451.0,1422.0,1433.0,1382.6268310546875,123000
2019-02-14,1444.0,1470.0,1441.0,1466.0,1414.4666748046875,122300
2019-02-15,1452.0,1452.0,1417.0,1428.0,1377.802490234375,137500
2019-02-18,1463.0,1463.0,1442.0,1454.0,1402.8885498046875,89100
2019-02-19,1450.0,1466.0,1437.0,1461.0,1409.642578125,97700
2019-02-20,1466.0,1481.0,1449.0,1463.0,1411.5721435546875,100900
