Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1822.5,1912.5,1772.5,1912.5,1912.5,119200
2019-01-07,1987.5,1992.5,1917.5,1917.5,1917.5,102800
2019-01-08,1920.0,1985.0,1890.0,1902.5,1902.5,111600
2019-01-09,1950.0,1997.5,1917.5,1917.5,1917.5,126800
2019-01-10,1900.0,1900.0,1805.0,1817.5,1817.5,117200
2019-01-11,1822.5,1912.5,1820.0,1895.0,1895.0,122800
2019-01-15,1870.0,1985.0,1870.0,1965.0,1965.0,81600
2019-01-16,1987.5,1990.0,1880.0,1900.0,1900.0,92000
2019-01-17,1912.5,1935.0,1867.5,1915.0,1915.0,72400
2019-01-18,1935.0,2062.5,1925.0,2005.0,2005.0,185200
2019-01-21,2080.0,2107.5,1990.0,2002.5,2002.5,142000
2019-01-22,2012.5,2040.0,1947.5,2010.0,2010.0,83600
2019-01-23,1980.0,2067.5,1975.0,2012.5,2012.5,74000
2019-01-24,2050.0,2060.0,2002.5,2035.0,2035.0,79600
2019-01-25,2025.0,2187.5,2022.5,2110.0,2110.0,258400
2019-01-28,2112.5,2122.5,1975.0,1995.0,1995.0,154800
2019-01-29,1957.5,2072.5,1927.5,2042.5,2042.5,150000
2019-01-30,2027.5,2035.0,1955.0,1965.0,1965.0,124800
2019-01-31,2002.5,2125.0,1977.5,2040.0,2040.0,242000
2019-02-01,2065.0,2065.0,1995.0,2040.0,2040.0,117600
2019-02-04,2050.0,2087.5,2005.0,2010.0,2010.0,135600
2019-02-05,2035.0,2087.5,1995.0,2067.5,2067.5,132400
2019-02-06,2075.0,2107.5,2015.0,2040.0,2040.0,128000
2019-02-07,2050.0,2112.5,2030.0,2042.5,2042.5,159600
2019-02-08,2012.5,2017.5,1907.5,1927.5,1927.5,127200
2019-02-12,1945.0,1967.5,1837.5,1865.0,1865.0,128800
2019-02-13,1902.5,1902.5,1812.5,1820.0,1820.0,98800
2019-02-14,1825.0,1870.0,1765.0,1780.0,1780.0,107200
2019-02-15,1752.5,1770.0,1727.5,1765.0,1765.0,90400
2019-02-18,1802.5,1877.5,1777.5,1837.5,1837.5,116800
2019-02-19,1875.0,1897.5,1847.5,1890.0,1890.0,95200
2019-02-20,1907.5,1930.0,1882.5,1895.0,1895.0,74000
2019-02-21,1910.0,1915.0,1875.0,1900.0,1900.0,52400
2019-02-22,1895.0,1895.0,1827.5,1872.5,1872.5,70400
2019-02-25,1895.0,2042.5,1885.0,1965.0,1965.0,134800
2019-02-26,1955.0,2060.0,1955.0,2027.5,2027.5,125200
2019-02-27,2027.5,2100.0,2010.0,2047.5,2047.5,168400
2019-02-28,2025.0,2095.0,2012.5,2035.0,2035.0,103600
2019-03-01,2057.5,2137.5,2057.5,2105.0,2105.0,141600
2019-03-04,2125.0,2210.0,2125.0,2145.0,2145.0,167600
2019-03-05,2107.5,2165.0,2072.5,2085.0,2085.0,75200
2019-03-06,2085.0,2172.5,2055.0,2162.5,2162.5,77200
2019-03-07,2150.0,2232.5,2147.5,2187.5,2187.5,135600
2019-03-08,2167.5,2300.0,2130.0,2275.0,2275.0,163600
2019-03-11,2272.5,2342.5,2220.0,2292.5,2292.5,155600
2019-03-12,2322.5,2350.0,2255.0,2270.0,2270.0,88400
2019-03-13,2252.5,2252.5,2157.5,2200.0,2200.0,62800
2019-03-14,2212.5,2242.5,2112.5,2135.0,2135.0,64000
2019-03-15,2122.5,2165.0,2015.0,2067.5,2067.5,183600
2019-03-18,2250.0,2442.5,2247.5,2442.5,2442.5,411200
2019-03-19,2447.5,2727.5,2372.5,2500.0,2500.0,409600
2019-03-20,2497.5,2575.0,2342.5,2372.5,2372.5,200400
2019-03-22,2470.0,2662.5,2440.0,2540.0,2540.0,356000
2019-03-25,2465.0,2500.0,2355.0,2472.5,2472.5,196800
2019-03-26,2475.0,2500.0,2315.0,2335.0,2335.0,196400
2019-03-27,2377.5,2542.5,2370.0,2422.5,2422.5,256400
2019-03-28,2427.5,2427.5,2315.0,2360.0,2360.0,202000
2019-03-29,2370.0,2382.5,2257.5,2272.5,2272.5,198800
2019-04-01,2297.5,2397.5,2287.5,2315.0,2315.0,115600
2019-04-02,2310.0,2335.0,2235.0,2295.0,2295.0,91600
2019-04-03,2257.5,2290.0,2225.0,2290.0,2290.0,52000
2019-04-04,2265.0,2265.0,2170.0,2197.5,2197.5,65200
2019-04-05,2177.5,2282.5,2177.5,2262.5,2262.5,142000
2019-04-08,2262.5,2445.0,2262.5,2422.5,2422.5,205600
2019-04-09,2395.0,2400.0,2310.0,2357.5,2357.5,92800
2019-04-10,2370.0,2745.0,2352.5,2700.0,2700.0,766800
2019-04-11,2705.0,2847.5,2672.5,2815.0,2815.0,353600
2019-04-12,2792.5,2847.5,2690.0,2752.5,2752.5,292800
2019-04-15,2732.5,2960.0,2687.5,2797.5,2797.5,241600
2019-04-16,2777.5,2885.0,2750.0,2835.0,2835.0,115200
2019-04-17,2922.5,3157.5,2875.0,3080.0,3080.0,245600
2019-04-18,3037.5,3082.5,2957.5,2987.5,2987.5,165200
2019-04-19,2975.0,3042.5,2822.5,2987.5,2987.5,187200
2019-04-22,2962.5,2980.0,2857.5,2927.5,2927.5,111600
2019-04-23,2960.0,2960.0,2777.5,2800.0,2800.0,106000
2019-04-24,2790.0,2860.0,2755.0,2785.0,2785.0,61200
2019-04-25,2830.0,2830.0,2702.5,2802.5,2802.5,80800
2019-04-26,2755.0,2877.5,2725.0,2857.5,2857.5,36800
2019-05-07,2805.0,2810.0,2710.0,2752.5,2752.5,64800
2019-05-08,2752.5,2952.5,2700.0,2882.5,2882.5,135200
2019-05-09,2875.0,2900.0,2712.5,2750.0,2750.0,102000
2019-05-10,2777.5,2895.0,2707.5,2712.5,2712.5,90000
2019-05-13,2762.5,2787.5,2697.5,2727.5,2727.5,78000
2019-05-14,2625.0,2775.0,2550.0,2747.5,2747.5,101200
2019-05-15,2732.5,2732.5,2637.5,2667.5,2667.5,42800
2019-05-16,2667.5,2707.5,2640.0,2670.0,2670.0,37200
2019-05-17,2697.5,2697.5,2627.5,2642.5,2642.5,36800
2019-05-20,2780.0,3060.0,2775.0,2867.5,2867.5,373200
2019-05-21,2867.5,2895.0,2730.0,2767.5,2767.5,91600
2019-05-22,2780.0,2812.5,2657.5,2657.5,2657.5,92000
2019-05-23,2657.5,2692.5,2600.0,2667.5,2667.5,37600
2019-05-24,2617.5,2670.0,2590.0,2667.5,2667.5,31200
2019-05-27,2672.5,2707.5,2632.5,2680.0,2680.0,23200
2019-05-28,2702.5,2907.5,2702.5,2860.0,2860.0,113200
2019-05-29,2822.5,2840.0,2762.5,2782.5,2782.5,67600
2019-05-30,2780.0,2875.0,2777.5,2800.0,2800.0,54000
2019-05-31,2802.5,2842.5,2727.5,2810.0,2810.0,72000
2019-06-03,2782.5,2787.5,2607.5,2667.5,2667.5,92400
2019-06-04,2707.5,2707.5,2510.0,2637.5,2637.5,41200
2019-06-05,2675.0,2702.5,2585.0,2632.5,2632.5,32800
2019-06-06,2660.0,2720.0,2592.5,2652.5,2652.5,65600
2019-06-07,2675.0,2675.0,2510.0,2520.0,2520.0,57800
2019-06-10,2545.0,2770.0,2510.0,2680.0,2680.0,68800
2019-06-11,2655.0,2825.0,2655.0,2740.0,2740.0,48600
2019-06-12,2700.0,2800.0,2670.0,2755.0,2755.0,38800
2019-06-13,2740.0,2835.0,2715.0,2785.0,2785.0,55200
2019-06-14,2735.0,2900.0,2720.0,2900.0,2900.0,109400
2019-06-17,3200.0,3335.0,3080.0,3300.0,3300.0,380200
2019-06-18,3380.0,3525.0,3260.0,3475.0,3475.0,325200
2019-06-19,3470.0,3515.0,3365.0,3410.0,3410.0,197800
2019-06-20,3410.0,3550.0,3330.0,3425.0,3425.0,138400
2019-06-21,3475.0,3730.0,3425.0,3540.0,3540.0,228400
2019-06-24,3425.0,3635.0,3295.0,3600.0,3600.0,199800
2019-06-25,3560.0,3615.0,3440.0,3530.0,3530.0,91400
2019-06-26,3510.0,3600.0,3480.0,3540.0,3540.0,86200
2019-06-27,3500.0,3870.0,3475.0,3790.0,3790.0,209000
2019-06-28,3775.0,3775.0,3585.0,3635.0,3635.0,138800
2019-07-01,3675.0,3830.0,3630.0,3765.0,3765.0,87400
2019-07-02,3700.0,3840.0,3650.0,3720.0,3720.0,100400
2019-07-03,3710.0,3760.0,3620.0,3760.0,3760.0,78600
2019-07-04,3805.0,4020.0,3780.0,3975.0,3975.0,208800
2019-07-05,3925.0,4025.0,3825.0,4000.0,4000.0,114600
2019-07-08,4050.0,4050.0,3710.0,3760.0,3760.0,166200
2019-07-09,3815.0,3855.0,3645.0,3685.0,3685.0,95400
2019-07-10,3640.0,3755.0,3630.0,3695.0,3695.0,57200
2019-07-11,3745.0,3745.0,3520.0,3560.0,3560.0,78400
2019-07-12,3590.0,3715.0,3505.0,3635.0,3635.0,75600
2019-07-16,3565.0,3660.0,3530.0,3660.0,3660.0,38600
2019-07-17,3560.0,3600.0,3370.0,3375.0,3375.0,97800
2019-07-18,3280.0,3390.0,3200.0,3290.0,3290.0,106600
2019-07-19,3315.0,3370.0,3290.0,3345.0,3345.0,56800
2019-07-22,3385.0,3420.0,3310.0,3360.0,3360.0,36200
2019-07-23,3360.0,3380.0,3305.0,3355.0,3355.0,27800
2019-07-24,3310.0,3350.0,3235.0,3280.0,3280.0,46000
2019-07-25,3245.0,3290.0,3220.0,3250.0,3250.0,32400
2019-07-26,3250.0,3390.0,3250.0,3330.0,3330.0,42600
2019-07-29,3345.0,3405.0,3320.0,3335.0,3335.0,20400
2019-07-30,3335.0,3380.0,3165.0,3210.0,3210.0,73000
2019-07-31,3180.0,3325.0,3155.0,3295.0,3295.0,40000
2019-08-01,3290.0,3325.0,3200.0,3225.0,3225.0,26800
2019-08-02,3170.0,3250.0,3170.0,3245.0,3245.0,18000
2019-08-05,3250.0,3405.0,3150.0,3340.0,3340.0,86200
2019-08-06,3245.0,3300.0,3150.0,3210.0,3210.0,65000
2019-08-07,3255.0,3275.0,3130.0,3165.0,3165.0,26200
2019-08-08,3125.0,3160.0,3105.0,3140.0,3140.0,22800
2019-08-09,3140.0,3215.0,3125.0,3135.0,3135.0,16600
2019-08-13,3235.0,3365.0,3185.0,3365.0,3365.0,49400
2019-08-14,3315.0,3395.0,3265.0,3320.0,3320.0,50200
2019-08-15,3220.0,3275.0,3135.0,3190.0,3190.0,40200
2019-08-16,3190.0,3210.0,3145.0,3175.0,3175.0,18600
2019-08-19,3225.0,3350.0,3215.0,3250.0,3250.0,40600
2019-08-20,3260.0,3330.0,3240.0,3275.0,3275.0,27200
2019-08-21,3305.0,3415.0,3275.0,3390.0,3390.0,37000
2019-08-22,3400.0,3405.0,3275.0,3295.0,3295.0,25400
2019-08-23,3305.0,3320.0,3225.0,3275.0,3275.0,31600
2019-08-26,3225.0,3260.0,3170.0,3190.0,3190.0,31000
2019-08-27,3220.0,3225.0,3170.0,3175.0,3175.0,14400
2019-08-28,3180.0,3225.0,3130.0,3180.0,3180.0,33400
2019-08-29,3225.0,3345.0,3145.0,3290.0,3290.0,43000
2019-08-30,3290.0,3420.0,3290.0,3415.0,3415.0,30600
2019-09-02,3430.0,3505.0,3370.0,3390.0,3390.0,33200
2019-09-03,3360.0,3375.0,3315.0,3365.0,3365.0,10200
2019-09-04,3415.0,3575.0,3395.0,3550.0,3550.0,112800
2019-09-05,3605.0,3685.0,3540.0,3545.0,3545.0,71800
2019-09-06,3620.0,3670.0,3550.0,3580.0,3580.0,34400
2019-09-09,3600.0,3695.0,3575.0,3620.0,3620.0,31000
2019-09-10,3645.0,3670.0,3560.0,3560.0,3560.0,69200
2019-09-11,3575.0,3575.0,3355.0,3390.0,3390.0,64400
2019-09-12,3420.0,3425.0,3250.0,3295.0,3295.0,63000
2019-09-13,3580.0,3625.0,3360.0,3530.0,3530.0,185800
2019-09-17,3575.0,3880.0,3550.0,3715.0,3715.0,141400
2019-09-18,3750.0,4050.0,3605.0,3805.0,3805.0,285000
2019-09-19,4000.0,4245.0,3980.0,4205.0,4205.0,188400
2019-09-20,4405.0,4720.0,4405.0,4575.0,4575.0,283200
2019-09-24,4550.0,4915.0,4390.0,4395.0,4395.0,337000
2019-09-25,4275.0,4350.0,4180.0,4340.0,4340.0,213400
2019-09-26,4350.0,4565.0,4315.0,4470.0,4470.0,195400
2019-09-27,4410.0,4430.0,4185.0,4275.0,4275.0,141200
2019-09-30,4335.0,4465.0,4300.0,4460.0,4460.0,116200
2019-10-01,4505.0,4540.0,4315.0,4455.0,4455.0,104200
2019-10-02,4440.0,4590.0,4365.0,4550.0,4550.0,92200
2019-10-03,4455.0,4460.0,4350.0,4425.0,4425.0,91600
2019-10-04,4495.0,4535.0,4415.0,4495.0,4495.0,103000
2019-10-07,4515.0,4525.0,4400.0,4480.0,4480.0,56600
2019-10-08,4465.0,4700.0,4385.0,4660.0,4660.0,141800
2019-10-09,4625.0,4710.0,4370.0,4385.0,4385.0,108600
2019-10-10,4400.0,4400.0,4250.0,4300.0,4300.0,73600
2019-10-11,4230.0,4230.0,4115.0,4135.0,4135.0,59000
2019-10-15,4135.0,4225.0,4090.0,4160.0,4160.0,31800
2019-10-16,4300.0,4300.0,4120.0,4175.0,4175.0,41400
2019-10-17,4240.0,4275.0,4165.0,4195.0,4195.0,29800
2019-10-18,4175.0,4195.0,4125.0,4155.0,4155.0,26400
2019-10-21,4155.0,4175.0,4105.0,4175.0,4175.0,16000
2019-10-23,4250.0,4380.0,4225.0,4325.0,4325.0,68400
2019-10-24,4325.0,4365.0,4235.0,4240.0,4240.0,38000
2019-10-25,4240.0,4335.0,4180.0,4315.0,4315.0,32200
2019-10-28,4300.0,4400.0,4265.0,4340.0,4340.0,35200
2019-10-29,4380.0,4385.0,4215.0,4215.0,4215.0,45800
2019-10-30,4210.0,4285.0,4165.0,4215.0,4215.0,46600
2019-10-31,4255.0,4350.0,4205.0,4335.0,4335.0,59400
2019-11-01,4295.0,4315.0,4230.0,4255.0,4255.0,13200
2019-11-05,4280.0,4280.0,4175.0,4205.0,4205.0,35200
2019-11-06,4170.0,4240.0,4125.0,4140.0,4140.0,35400
2019-11-07,4140.0,4185.0,4070.0,4105.0,4105.0,42600
2019-11-08,4170.0,4170.0,3980.0,4000.0,4000.0,55600
2019-11-11,4010.0,4100.0,3960.0,4085.0,4085.0,56800
2019-11-12,4085.0,4120.0,4020.0,4115.0,4115.0,42400
2019-11-13,4115.0,4205.0,4055.0,4165.0,4165.0,55200
2019-11-14,4195.0,4230.0,4115.0,4145.0,4145.0,49400
2019-11-15,4200.0,4375.0,4155.0,4355.0,4355.0,86600
2019-11-18,4420.0,4640.0,4405.0,4555.0,4555.0,110600
2019-11-19,4525.0,4680.0,4480.0,4650.0,4650.0,80200
2019-11-20,4605.0,4640.0,4500.0,4540.0,4540.0,46400
2019-11-21,4515.0,4770.0,4515.0,4750.0,4750.0,81600
2019-11-22,4775.0,4840.0,4710.0,4725.0,4725.0,57400
2019-11-25,4725.0,4755.0,4650.0,4680.0,4680.0,27600
2019-11-26,4725.0,4725.0,4580.0,4700.0,4700.0,31200
2019-11-27,4650.0,4750.0,4650.0,4675.0,4675.0,27600
2019-11-28,4675.0,4710.0,4610.0,4655.0,4655.0,17600
2019-11-29,4655.0,4700.0,4560.0,4560.0,4560.0,37200
2019-12-02,4635.0,4645.0,4525.0,4535.0,4535.0,27600
2019-12-03,4475.0,4495.0,4370.0,4405.0,4405.0,82600
2019-12-04,4390.0,4390.0,4255.0,4310.0,4310.0,45800
2019-12-05,4355.0,4355.0,4185.0,4195.0,4195.0,61200
2019-12-06,4195.0,4250.0,4135.0,4215.0,4215.0,42400
2019-12-09,4285.0,4285.0,4130.0,4155.0,4155.0,52400
2019-12-10,4155.0,4195.0,4080.0,4100.0,4100.0,48600
2019-12-11,4105.0,4135.0,4015.0,4040.0,4040.0,66400
2019-12-12,4090.0,4095.0,3985.0,4015.0,4015.0,70400
2019-12-13,4090.0,4090.0,3990.0,4010.0,4010.0,59800
2019-12-16,4000.0,4085.0,3930.0,4000.0,4000.0,147200
2019-12-17,4225.0,4715.0,4195.0,4515.0,4515.0,747600
2019-12-18,4525.0,4640.0,4260.0,4270.0,4270.0,243600
2019-12-19,4295.0,4410.0,4250.0,4355.0,4355.0,115400
2019-12-20,4340.0,4380.0,4185.0,4200.0,4200.0,108800
2019-12-23,4195.0,4200.0,4045.0,4100.0,4100.0,71600
2019-12-24,4120.0,4140.0,4015.0,4070.0,4070.0,60800
2019-12-25,4100.0,4305.0,4075.0,4255.0,4255.0,88600
2019-12-26,4260.0,4275.0,4185.0,4255.0,4255.0,54200
2019-12-27,4225.0,4275.0,4185.0,4260.0,4260.0,39400
2019-12-30,4270.0,4275.0,4200.0,4215.0,4215.0,30400
