Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1150.0,1263.0,1066.0,1203.0,1203.0,3823100
2019-01-07,1245.0,1263.0,1196.0,1215.0,1215.0,1202100
2019-01-08,1220.0,1284.0,1215.0,1276.0,1276.0,1233400
2019-01-09,1271.0,1306.0,1231.0,1286.0,1286.0,1060200
2019-01-10,1261.0,1277.0,1195.0,1199.0,1199.0,841800
2019-01-11,1218.0,1274.0,1213.0,1235.0,1235.0,716700
2019-01-15,1205.0,1250.0,1198.0,1227.0,1227.0,435800
2019-01-16,1240.0,1252.0,1221.0,1226.0,1226.0,356700
2019-01-17,1235.0,1264.0,1222.0,1259.0,1259.0,532700
2019-01-18,1256.0,1339.0,1253.0,1334.0,1334.0,1060500
2019-01-21,1342.0,1348.0,1198.0,1200.0,1200.0,1385500
2019-01-22,1220.0,1335.0,1142.0,1202.0,1202.0,2036900
2019-01-23,1199.0,1207.0,1155.0,1160.0,1160.0,836300
2019-01-24,1250.0,1460.0,1221.0,1460.0,1460.0,5965300
2019-01-25,1430.0,1444.0,1368.0,1377.0,1377.0,2892100
2019-01-28,1357.0,1368.0,1275.0,1287.0,1287.0,1392500
2019-01-29,1288.0,1297.0,1213.0,1235.0,1235.0,1337100
2019-01-30,1149.0,1164.0,1069.0,1074.0,1074.0,2296800
2019-01-31,1100.0,1142.0,1074.0,1112.0,1112.0,1326900
2019-02-01,1112.0,1125.0,1081.0,1087.0,1087.0,671000
2019-02-04,1237.0,1335.0,1198.0,1273.0,1273.0,4871000
2019-02-05,1251.0,1284.0,1221.0,1271.0,1271.0,1312100
2019-02-06,1251.0,1275.0,1228.0,1250.0,1250.0,713300
2019-02-07,1273.0,1305.0,1224.0,1228.0,1228.0,1465700
2019-02-08,1209.0,1290.0,1204.0,1278.0,1278.0,1363700
2019-02-12,1450.0,1577.0,1388.0,1406.0,1406.0,7027900
2019-02-13,1400.0,1706.0,1387.0,1706.0,1706.0,5009600
2019-02-14,1711.0,1924.0,1603.0,1719.0,1719.0,12850100
2019-02-15,1685.0,1811.0,1685.0,1761.0,1761.0,4492600
2019-02-18,1750.0,1772.0,1658.0,1683.0,1683.0,2327500
2019-02-19,1660.0,1717.0,1620.0,1646.0,1646.0,1802700
2019-02-20,1665.0,1710.0,1613.0,1668.0,1668.0,1662900
2019-02-21,1720.0,1724.0,1640.0,1649.0,1649.0,1335800
2019-02-22,1631.0,1685.0,1626.0,1685.0,1685.0,1238700
2019-02-25,1703.0,1770.0,1671.0,1742.0,1742.0,2399100
2019-02-26,1745.0,1934.0,1665.0,1689.0,1689.0,7084700
2019-02-27,1950.0,2089.0,1935.0,2089.0,2089.0,3791100
2019-02-28,2170.0,2210.0,1870.0,1941.0,1941.0,7815600
2019-03-01,2041.0,2113.0,1932.0,1954.0,1954.0,5392600
2019-03-04,1970.0,2004.0,1909.0,1964.0,1964.0,2153900
2019-03-05,1945.0,1985.0,1886.0,1978.0,1978.0,1697700
2019-03-06,1991.0,2018.0,1912.0,1930.0,1930.0,1345900
2019-03-07,1897.0,2051.0,1887.0,1995.0,1995.0,3482700
2019-03-08,1955.0,1995.0,1904.0,1922.0,1922.0,2359300
2019-03-11,1886.0,1912.0,1800.0,1879.0,1879.0,2123500
2019-03-12,1948.0,2176.0,1945.0,1978.0,1978.0,7021100
2019-03-13,1987.0,2069.0,1969.0,2025.0,2025.0,2416800
2019-03-14,2050.0,2064.0,2000.0,2010.0,2010.0,946600
2019-03-15,2001.0,2032.0,1934.0,1942.0,1942.0,1496600
2019-03-18,1982.0,2042.0,1960.0,2004.0,2004.0,1766000
2019-03-19,1992.0,2017.0,1902.0,1925.0,1925.0,1302800
2019-03-20,1911.0,1932.0,1837.0,1838.0,1838.0,1408200
2019-03-22,1801.0,1843.0,1720.0,1742.0,1742.0,1690400
2019-03-25,1672.0,1789.0,1662.0,1763.0,1763.0,1178600
2019-03-26,1780.0,1781.0,1695.0,1712.0,1712.0,762200
2019-03-27,1697.0,1741.0,1675.0,1717.0,1717.0,707900
2019-03-28,1771.0,1825.0,1706.0,1717.0,1717.0,1169000
2019-03-29,1750.0,1757.0,1700.0,1721.0,1721.0,525800
2019-04-01,1729.0,1736.0,1689.0,1691.0,1691.0,469900
2019-04-02,1678.0,1681.0,1525.0,1576.0,1576.0,1334000
2019-04-03,1598.0,1640.0,1565.0,1572.0,1572.0,777900
2019-04-04,1587.0,1630.0,1547.0,1609.0,1609.0,694200
2019-04-05,1595.0,1671.0,1595.0,1643.0,1643.0,1210800
2019-04-08,1612.0,1687.0,1590.0,1603.0,1603.0,820800
2019-04-09,1645.0,1659.0,1572.0,1589.0,1589.0,719000
2019-04-10,1619.0,1653.0,1603.0,1612.0,1612.0,715900
2019-04-11,1634.0,1644.0,1565.0,1606.0,1606.0,640600
2019-04-12,1593.0,1742.0,1548.0,1593.0,1593.0,2824800
2019-04-15,1577.0,1601.0,1533.0,1601.0,1601.0,753000
2019-04-16,1600.0,1623.0,1576.0,1583.0,1583.0,544000
2019-04-17,1578.0,1619.0,1558.0,1604.0,1604.0,698200
2019-04-18,1680.0,1717.0,1545.0,1550.0,1550.0,2411900
2019-04-19,1535.0,1588.0,1517.0,1584.0,1584.0,830100
2019-04-22,1584.0,1592.0,1533.0,1533.0,1533.0,629100
2019-04-23,1515.0,1568.0,1492.0,1545.0,1545.0,608600
2019-04-24,1585.0,1633.0,1513.0,1515.0,1515.0,1727000
2019-04-25,1525.0,1586.0,1519.0,1569.0,1569.0,627300
2019-04-26,1549.0,1604.0,1535.0,1594.0,1594.0,631600
