Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,9014.0,9355.0,9002.0,9333.0,8926.3662109375,1208400
2019-01-07,9448.0,9450.0,9339.0,9390.0,8980.8837890625,886400
2019-01-08,9530.0,9533.0,9431.0,9446.0,9034.4423828125,929200
2019-01-09,9364.0,9491.0,9333.0,9342.0,8934.9736328125,805800
2019-01-10,9312.0,9397.0,9277.0,9346.0,8938.7998046875,721800
2019-01-11,9252.0,9297.0,9163.0,9232.0,8829.7666015625,1284500
2019-01-15,8782.0,9155.0,8781.0,9117.0,8719.77734375,917900
2019-01-16,9020.0,9177.0,9020.0,9099.0,8702.5615234375,634300
2019-01-17,9194.0,9269.0,9141.0,9216.0,8814.4638671875,462100
2019-01-18,9262.0,9330.0,9232.0,9276.0,8871.8505859375,433800
2019-01-21,9323.0,9346.0,9200.0,9228.0,8825.94140625,395300
2019-01-22,9236.0,9271.0,9195.0,9235.0,8832.6357421875,470700
2019-01-23,9223.0,9256.0,9181.0,9216.0,8814.4638671875,448400
2019-01-24,9249.0,9290.0,9165.0,9255.0,8851.765625,497800
2019-01-25,9237.0,9296.0,9160.0,9167.0,8767.5986328125,476300
2019-01-28,9133.0,9157.0,9032.0,9054.0,8659.5224609375,554500
2019-01-29,9068.0,9171.0,9039.0,9150.0,8751.33984375,478300
2019-01-30,9135.0,9135.0,9026.0,9034.0,8640.39453125,572700
2019-01-31,9167.0,9199.0,9065.0,9101.0,8704.474609375,555900
2019-02-01,9106.0,9144.0,9038.0,9055.0,8660.478515625,377400
2019-02-04,9135.0,9166.0,9080.0,9098.0,8701.6044921875,421500
2019-02-05,9170.0,9247.0,9154.0,9174.0,8774.2939453125,380500
2019-02-06,9203.0,9260.0,9144.0,9157.0,8758.0361328125,430600
2019-02-07,9123.0,9164.0,9014.0,9042.0,8648.044921875,421500
2019-02-08,8910.0,9020.0,8872.0,8880.0,8493.103515625,778700
2019-02-12,9030.0,9262.0,8948.0,9248.0,8845.0693359375,941100
2019-02-13,9377.0,9390.0,9257.0,9298.0,8892.890625,788600
2019-02-14,9213.0,9287.0,9150.0,9157.0,8758.0361328125,492600
2019-02-15,9113.0,9147.0,9027.0,9131.0,8733.16796875,593800
2019-02-18,9203.0,9318.0,9184.0,9298.0,8892.890625,473600
2019-02-19,9322.0,9436.0,9292.0,9419.0,9008.619140625,376300
2019-02-20,9450.0,9527.0,9434.0,9519.0,9104.263671875,420800
2019-02-21,9530.0,9615.0,9511.0,9587.0,9169.2998046875,535700
2019-02-22,9610.0,9620.0,9536.0,9573.0,9155.91015625,318900
2019-02-25,9631.0,9645.0,9556.0,9594.0,9175.9951171875,333600
2019-02-26,9588.0,9610.0,9510.0,9558.0,9141.5625,420400
2019-02-27,9620.0,9653.0,9590.0,9592.0,9174.08203125,703100
2019-02-28,9613.0,9672.0,9600.0,9620.0,9200.861328125,701600
2019-03-01,9656.0,9684.0,9590.0,9607.0,9188.4296875,677500
2019-03-04,9630.0,9640.0,9550.0,9587.0,9169.2998046875,479700
2019-03-05,9562.0,9611.0,9552.0,9594.0,9175.9951171875,449600
2019-03-06,9600.0,9618.0,9525.0,9582.0,9164.517578125,579400
2019-03-07,9579.0,9628.0,9561.0,9600.0,9181.7333984375,730900
2019-03-08,9594.0,9597.0,9453.0,9479.0,9066.005859375,1163200
2019-03-11,9514.0,9514.0,9405.0,9445.0,9033.4873046875,317100
2019-03-12,9580.0,9654.0,9555.0,9595.0,9176.951171875,363600
2019-03-13,9525.0,9564.0,9447.0,9492.0,9078.4384765625,273200
2019-03-14,9600.0,9616.0,9559.0,9607.0,9188.4296875,321400
2019-03-15,9631.0,9671.0,9598.0,9610.0,9191.2978515625,1154800
2019-03-18,9610.0,9636.0,9570.0,9620.0,9200.861328125,338200
2019-03-19,9600.0,9620.0,9540.0,9589.0,9171.212890625,266500
2019-03-20,9593.0,9630.0,9519.0,9600.0,9181.7333984375,549700
2019-03-22,9600.0,9602.0,9484.0,9521.0,9106.17578125,651900
2019-03-25,9424.0,9452.0,9313.0,9316.0,8910.1064453125,300400
2019-03-26,9471.0,9622.0,9471.0,9622.0,9202.7744140625,528000
2019-03-27,9618.0,9620.0,9560.0,9574.0,9238.4775390625,306500
2019-03-28,9584.0,9593.0,9440.0,9445.0,9114.0,351800
2019-03-29,9482.0,9527.0,9436.0,9482.0,9149.703125,650300
2019-04-01,9600.0,9635.0,9559.0,9568.0,9232.6884765625,383400
2019-04-02,9670.0,9670.0,9478.0,9481.0,9148.7373046875,400700
2019-04-03,9460.0,9483.0,9329.0,9338.0,9010.7490234375,449900
2019-04-04,9343.0,9345.0,9261.0,9325.0,8998.2041015625,305400
2019-04-05,9399.0,9400.0,9291.0,9305.0,8978.90625,400400
2019-04-08,9320.0,9325.0,9273.0,9318.0,8991.4501953125,218200
2019-04-09,9367.0,9433.0,9306.0,9413.0,9083.119140625,331500
2019-04-10,9381.0,9402.0,9325.0,9337.0,9009.7841796875,199400
2019-04-11,9367.0,9400.0,9338.0,9372.0,9043.5576171875,202800
2019-04-12,9455.0,9456.0,9321.0,9420.0,9089.8759765625,740400
2019-04-15,9560.0,9574.0,9386.0,9393.0,9063.822265625,625000
2019-04-16,9396.0,9434.0,9219.0,9236.0,8912.32421875,999100
2019-04-17,9303.0,9307.0,9219.0,9235.0,8911.357421875,516900
2019-04-18,9225.0,9225.0,9134.0,9156.0,8835.126953125,453000
2019-04-19,9284.0,9284.0,9127.0,9146.0,8825.4775390625,336600
2019-04-22,9078.0,9183.0,9058.0,9173.0,8851.5322265625,195100
2019-04-23,9221.0,9283.0,9194.0,9263.0,8938.376953125,300400
2019-04-24,9272.0,9318.0,9249.0,9282.0,8956.7119140625,498900
2019-04-25,9236.0,9346.0,9235.0,9326.0,8999.169921875,313600
2019-04-26,9262.0,9354.0,9249.0,9338.0,9010.7490234375,434200
2019-05-07,9206.0,9339.0,9204.0,9339.0,9011.712890625,590300
2019-05-08,9290.0,9324.0,9185.0,9225.0,8901.708984375,568300
2019-05-09,9217.0,9258.0,9143.0,9188.0,8866.0048828125,569900
2019-05-10,9282.0,9353.0,9246.0,9316.0,8989.51953125,692100
2019-05-13,9317.0,9420.0,9317.0,9358.0,9030.0478515625,410100
2019-05-14,9381.0,9381.0,9211.0,9280.0,8954.78125,511100
2019-05-15,9291.0,9350.0,8906.0,8960.0,8645.99609375,854000
2019-05-16,8917.0,8998.0,8830.0,8998.0,8682.6640625,576100
2019-05-17,9087.0,9141.0,9048.0,9108.0,8788.80859375,469000
2019-05-20,9147.0,9291.0,9147.0,9262.0,8937.412109375,425300
2019-05-21,9241.0,9426.0,9231.0,9338.0,9010.7490234375,559800
2019-05-22,9325.0,9355.0,9275.0,9337.0,9009.7841796875,383600
2019-05-23,9328.0,9416.0,9328.0,9401.0,9071.541015625,333800
2019-05-24,9447.0,9450.0,9285.0,9433.0,9102.419921875,421300
2019-05-27,9416.0,9482.0,9389.0,9478.0,9145.8427734375,284500
2019-05-28,9490.0,9580.0,9463.0,9576.0,9240.4091796875,1034600
2019-05-29,9575.0,9633.0,9504.0,9633.0,9295.41015625,761700
2019-05-30,9578.0,9582.0,9449.0,9497.0,9164.17578125,480100
2019-05-31,9419.0,9432.0,9276.0,9289.0,8963.466796875,837100
2019-06-03,9261.0,9261.0,9119.0,9196.0,8873.724609375,557000
2019-06-04,9145.0,9167.0,8975.0,8994.0,8678.8046875,522100
2019-06-05,9031.0,9140.0,9006.0,9138.0,8817.7587890625,448100
2019-06-06,9112.0,9212.0,9112.0,9149.0,8828.373046875,359800
2019-06-07,9167.0,9177.0,9106.0,9141.0,8820.65234375,309500
2019-06-10,9252.0,9252.0,9162.0,9235.0,8911.357421875,573600
2019-06-11,9183.0,9219.0,9174.0,9185.0,8863.1103515625,355700
2019-06-12,9165.0,9220.0,9150.0,9186.0,8864.076171875,449600
2019-06-13,9163.0,9288.0,9150.0,9275.0,8949.9560546875,435100
2019-06-14,9297.0,9338.0,9242.0,9338.0,9010.7490234375,858600
2019-06-17,9341.0,9438.0,9302.0,9413.0,9083.119140625,522900
2019-06-18,9380.0,9436.0,9364.0,9397.0,9067.6806640625,605200
2019-06-19,9378.0,9438.0,9344.0,9425.0,9094.69921875,519500
2019-06-20,9436.0,9555.0,9425.0,9516.0,9182.5107421875,419500
2019-06-21,9571.0,9571.0,9432.0,9485.0,9152.59765625,559400
2019-06-24,9422.0,9442.0,9371.0,9420.0,9089.8759765625,230200
2019-06-25,9387.0,9489.0,9360.0,9434.0,9103.3837890625,378400
2019-06-26,9343.0,9448.0,9277.0,9358.0,9030.0478515625,405200
2019-06-27,9287.0,9319.0,9243.0,9294.0,8968.291015625,496700
2019-06-28,9250.0,9295.0,9213.0,9274.0,8948.9912109375,853600
2019-07-01,9335.0,9371.0,9236.0,9337.0,9009.7841796875,567900
2019-07-02,9289.0,9370.0,9289.0,9329.0,9002.064453125,552700
2019-07-03,9249.0,9294.0,9239.0,9278.0,8952.8515625,455300
2019-07-04,9328.0,9379.0,9260.0,9272.0,8947.0615234375,285400
2019-07-05,9254.0,9254.0,9162.0,9186.0,8864.076171875,569000
