Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2437.0,2469.0,2386.0,2459.0,2299.6611328125,74700
2019-01-07,2529.0,2540.0,2490.0,2538.0,2373.542236328125,40200
2019-01-08,2547.0,2572.0,2543.0,2543.0,2378.21826171875,48000
2019-01-09,2580.0,2586.0,2548.0,2551.0,2385.69970703125,48900
2019-01-10,2545.0,2545.0,2512.0,2525.0,2361.384521484375,34600
2019-01-11,2530.0,2532.0,2515.0,2530.0,2366.060546875,54500
2019-01-15,2530.0,2545.0,2519.0,2525.0,2361.384521484375,50800
2019-01-16,2525.0,2532.0,2496.0,2504.0,2341.74560546875,44500
2019-01-17,2504.0,2517.0,2484.0,2497.0,2335.198974609375,45000
2019-01-18,2514.0,2521.0,2495.0,2512.0,2349.22705078125,54900
2019-01-21,2535.0,2552.0,2527.0,2529.0,2365.12548828125,35600
2019-01-22,2529.0,2536.0,2501.0,2504.0,2341.74560546875,29400
2019-01-23,2504.0,2504.0,2472.0,2476.0,2315.56005859375,41200
2019-01-24,2476.0,2506.0,2454.0,2505.0,2342.680419921875,31400
2019-01-25,2510.0,2523.0,2497.0,2497.0,2335.198974609375,20400
2019-01-28,2488.0,2512.0,2474.0,2486.0,2324.911865234375,43300
2019-01-29,2500.0,2531.0,2491.0,2529.0,2365.12548828125,42800
2019-01-30,2528.0,2528.0,2475.0,2475.0,2314.62451171875,63400
2019-01-31,2487.0,2488.0,2461.0,2475.0,2314.62451171875,58800
2019-02-01,2485.0,2491.0,2473.0,2478.0,2317.43017578125,28400
2019-02-04,2511.0,2515.0,2495.0,2514.0,2351.09765625,32300
2019-02-05,2514.0,2553.0,2514.0,2552.0,2386.635009765625,54800
2019-02-06,2580.0,2582.0,2488.0,2495.0,2333.32861328125,76400
2019-02-07,2498.0,2532.0,2450.0,2492.0,2330.52294921875,111400
2019-02-08,2478.0,2493.0,2465.0,2485.0,2323.976318359375,30100
2019-02-12,2503.0,2546.0,2497.0,2546.0,2381.023681640625,36700
2019-02-13,2555.0,2555.0,2524.0,2547.0,2381.958984375,27000
2019-02-14,2547.0,2574.0,2537.0,2573.0,2406.2744140625,37800
2019-02-15,2560.0,2560.0,2530.0,2539.0,2374.477294921875,20400
2019-02-18,2577.0,2588.0,2558.0,2570.0,2403.46875,28200
2019-02-19,2561.0,2590.0,2560.0,2578.0,2410.9501953125,41700
2019-02-20,2582.0,2585.0,2550.0,2569.0,2402.53369140625,30400
2019-02-21,2587.0,2623.0,2587.0,2604.0,2435.265625,56800
2019-02-22,2605.0,2605.0,2573.0,2573.0,2406.2744140625,35200
2019-02-25,2583.0,2593.0,2572.0,2588.0,2420.302490234375,27600
2019-02-26,2590.0,2596.0,2562.0,2562.0,2395.987060546875,31800
2019-02-27,2579.0,2606.0,2566.0,2600.0,2431.524658203125,48200
2019-02-28,2617.0,2620.0,2585.0,2607.0,2438.0712890625,55500
