Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,542.0,550.0,532.0,546.0,512.3493041992188,82600
2019-01-07,565.0,575.0,559.0,559.0,524.5481567382812,82300
2019-01-08,568.0,575.0,561.0,569.0,533.9317626953125,72200
2019-01-09,576.0,583.0,570.0,580.0,544.2539672851562,64600
2019-01-10,577.0,627.0,574.0,620.0,581.7886352539062,444500
2019-01-11,625.0,638.0,612.0,617.0,578.9735107421875,298900
2019-01-15,617.0,666.0,613.0,658.0,617.4466552734375,478800
2019-01-16,652.0,653.0,612.0,615.0,577.0968017578125,404800
2019-01-17,623.0,626.0,608.0,616.0,578.03515625,239300
2019-01-18,610.0,629.0,610.0,615.0,577.0968017578125,140100
2019-01-21,625.0,628.0,616.0,621.0,582.72705078125,118200
2019-01-22,620.0,622.0,601.0,605.0,567.713134765625,136900
2019-01-23,595.0,606.0,592.0,595.0,558.3294067382812,87600
2019-01-24,592.0,605.0,587.0,602.0,564.89794921875,88000
2019-01-25,605.0,620.0,604.0,610.0,572.4049682617188,94700
2019-01-28,614.0,618.0,602.0,602.0,564.89794921875,56200
2019-01-29,602.0,604.0,592.0,603.0,565.83642578125,61700
2019-01-30,600.0,604.0,590.0,590.0,553.6376342773438,96500
2019-01-31,597.0,600.0,591.0,593.0,556.4526977539062,33600
2019-02-01,590.0,592.0,582.0,585.0,548.9456787109375,59300
2019-02-04,591.0,597.0,586.0,597.0,560.2061157226562,72700
2019-02-05,603.0,603.0,595.0,597.0,560.2061157226562,46400
2019-02-06,600.0,602.0,588.0,589.0,552.69921875,70600
2019-02-07,591.0,591.0,575.0,580.0,544.2539672851562,66300
2019-02-08,570.0,572.0,556.0,561.0,526.4248657226562,66500
2019-02-12,562.0,581.0,562.0,574.0,538.6236572265625,60800
2019-02-13,578.0,587.0,573.0,582.0,546.1306762695312,68800
2019-02-14,552.0,554.0,537.0,548.0,514.22607421875,202100
2019-02-15,550.0,554.0,540.0,552.0,517.9795532226562,99800
2019-02-18,559.0,573.0,559.0,572.0,536.7470092773438,81400
2019-02-19,571.0,572.0,560.0,562.0,527.3632202148438,64800
2019-02-20,568.0,568.0,555.0,557.0,522.6714477539062,80900
2019-02-21,558.0,559.0,553.0,557.0,522.6714477539062,77800
2019-02-22,557.0,561.0,553.0,559.0,524.5481567382812,41500
2019-02-25,559.0,560.0,555.0,558.0,523.6097412109375,48500
2019-02-26,560.0,562.0,554.0,558.0,523.6097412109375,45900
2019-02-27,556.0,560.0,554.0,556.0,521.7330932617188,52000
2019-02-28,557.0,559.0,550.0,555.0,520.794677734375,73700
2019-03-01,555.0,558.0,551.0,556.0,521.7330932617188,49500
2019-03-04,558.0,561.0,554.0,557.0,522.6714477539062,48800
2019-03-05,555.0,555.0,544.0,546.0,512.3493041992188,92400
