Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1508.0,1524.0,1480.0,1511.0,1361.072509765625,2069200
2019-01-07,1551.0,1584.0,1534.0,1563.0,1407.912841796875,2024500
2019-01-08,1603.0,1608.0,1574.0,1588.0,1430.4322509765625,1729700
2019-01-09,1599.0,1610.0,1589.0,1604.0,1444.844482421875,1238400
2019-01-10,1608.0,1614.0,1583.0,1606.0,1446.6461181640625,1399100
2019-01-11,1607.0,1634.0,1607.0,1620.0,1459.257080078125,2160800
2019-01-15,1614.0,1642.0,1605.0,1636.0,1473.66943359375,1224700
2019-01-16,1656.0,1662.0,1609.0,1613.0,1452.9515380859375,1421500
2019-01-17,1642.0,1648.0,1615.0,1622.0,1461.05859375,981700
2019-01-18,1632.0,1638.0,1624.0,1630.0,1468.264892578125,1234400
2019-01-21,1640.0,1667.0,1640.0,1649.0,1485.3795166015625,1006800
2019-01-22,1656.0,1661.0,1632.0,1644.0,1480.8756103515625,943200
2019-01-23,1634.0,1660.0,1630.0,1649.0,1485.3795166015625,1152600
2019-01-24,1644.0,1656.0,1636.0,1655.0,1490.7841796875,842200
2019-01-25,1663.0,1686.0,1663.0,1679.0,1512.40283203125,995300
2019-01-28,1687.0,1704.0,1684.0,1688.0,1520.5098876953125,1237000
2019-01-29,1682.0,1713.0,1678.0,1703.0,1534.0213623046875,1973800
2019-01-30,1701.0,1711.0,1692.0,1706.0,1536.7237548828125,1283200
2019-01-31,1736.0,1763.0,1725.0,1728.0,1556.540771484375,2218200
2019-02-01,1635.0,1644.0,1580.0,1625.0,1463.760986328125,5153100
2019-02-04,1614.0,1657.0,1606.0,1648.0,1484.478759765625,1789400
2019-02-05,1655.0,1678.0,1651.0,1661.0,1496.1888427734375,1359300
2019-02-06,1663.0,1675.0,1654.0,1657.0,1492.5858154296875,1098000
2019-02-07,1648.0,1668.0,1638.0,1650.0,1486.2803955078125,1224800
2019-02-08,1626.0,1650.0,1585.0,1598.0,1439.43994140625,2392600
2019-02-12,1606.0,1641.0,1606.0,1617.0,1456.5546875,1604900
2019-02-13,1642.0,1672.0,1636.0,1654.0,1489.883544921875,2135700
2019-02-14,1679.0,1700.0,1669.0,1671.0,1505.1966552734375,1650500
2019-02-15,1675.0,1682.0,1660.0,1671.0,1505.1966552734375,1858500
2019-02-18,1692.0,1699.0,1672.0,1675.0,1508.7998046875,1078200
2019-02-19,1671.0,1679.0,1652.0,1673.0,1506.998291015625,1080600
2019-02-20,1688.0,1700.0,1679.0,1680.0,1513.3035888671875,1094400
2019-02-21,1680.0,1683.0,1663.0,1674.0,1507.8990478515625,1170900
2019-02-22,1657.0,1662.0,1648.0,1657.0,1492.5858154296875,1327500
2019-02-25,1675.0,1680.0,1661.0,1675.0,1508.7998046875,1077700
2019-02-26,1662.0,1676.0,1662.0,1670.0,1504.2958984375,1491500
2019-02-27,1680.0,1684.0,1655.0,1662.0,1497.0897216796875,1331000
2019-02-28,1657.0,1657.0,1639.0,1646.0,1482.67724609375,1308700
2019-03-01,1644.0,1646.0,1634.0,1637.0,1474.5701904296875,1228700
2019-03-04,1638.0,1657.0,1635.0,1653.0,1488.9827880859375,1192900
2019-03-05,1633.0,1643.0,1628.0,1641.0,1478.1734619140625,1027100
2019-03-06,1635.0,1648.0,1634.0,1638.0,1475.470947265625,879600
2019-03-07,1658.0,1660.0,1633.0,1639.0,1476.371826171875,1391900
2019-03-08,1624.0,1632.0,1585.0,1605.0,1445.745361328125,3106200
2019-03-11,1619.0,1631.0,1606.0,1626.0,1464.6617431640625,694800
2019-03-12,1636.0,1673.0,1634.0,1661.0,1496.1888427734375,871900
2019-03-13,1664.0,1676.0,1654.0,1655.0,1490.7841796875,985000
2019-03-14,1681.0,1691.0,1653.0,1659.0,1494.38720703125,1151700
2019-03-15,1659.0,1666.0,1638.0,1649.0,1485.3795166015625,2075000
2019-03-18,1665.0,1689.0,1662.0,1677.0,1510.6014404296875,755800
2019-03-19,1683.0,1692.0,1674.0,1680.0,1513.3035888671875,550200
2019-03-20,1688.0,1693.0,1675.0,1682.0,1515.1051025390625,960200
2019-03-22,1701.0,1707.0,1683.0,1693.0,1525.0135498046875,1218800
2019-03-25,1667.0,1673.0,1649.0,1662.0,1497.0897216796875,754100
2019-03-26,1685.0,1700.0,1683.0,1699.0,1530.4183349609375,755300
2019-03-27,1691.0,1695.0,1665.0,1681.0,1542.3463134765625,686700
2019-03-28,1682.0,1691.0,1660.0,1681.0,1542.3463134765625,965400
2019-03-29,1699.0,1713.0,1690.0,1695.0,1555.1912841796875,1406800
2019-04-01,1713.0,1736.0,1712.0,1719.0,1577.2117919921875,999900
2019-04-02,1747.0,1758.0,1743.0,1750.0,1605.65478515625,818500
2019-04-03,1753.0,1759.0,1742.0,1752.0,1607.48974609375,915300
2019-04-04,1750.0,1759.0,1742.0,1756.0,1611.1597900390625,486000
2019-04-05,1762.0,1783.0,1759.0,1779.0,1632.2628173828125,1332100
2019-04-08,1793.0,1794.0,1762.0,1770.0,1624.0052490234375,539300
2019-04-09,1779.0,1783.0,1768.0,1775.0,1628.5927734375,465800
2019-04-10,1749.0,1755.0,1725.0,1755.0,1610.242431640625,1052300
2019-04-11,1759.0,1764.0,1740.0,1754.0,1609.3248291015625,452000
2019-04-12,1752.0,1756.0,1737.0,1745.0,1601.0672607421875,1528700
2019-04-15,1775.0,1782.0,1764.0,1767.0,1621.2525634765625,1185100
2019-04-16,1776.0,1792.0,1771.0,1783.0,1635.932861328125,1382300
2019-04-17,1767.0,1791.0,1765.0,1788.0,1640.5205078125,1297200
2019-04-18,1790.0,1794.0,1768.0,1775.0,1628.5927734375,1075200
2019-04-19,1794.0,1797.0,1775.0,1791.0,1643.2730712890625,953400
2019-04-22,1794.0,1802.0,1775.0,1789.0,1641.43798828125,1156200
2019-04-23,1799.0,1805.0,1785.0,1789.0,1641.43798828125,680200
2019-04-24,1801.0,1803.0,1778.0,1793.0,1645.1080322265625,1119600
2019-04-25,1793.0,1807.0,1784.0,1801.0,1652.4481201171875,1167800
2019-04-26,1804.0,1805.0,1737.0,1779.0,1632.2628173828125,2993400
2019-05-07,1739.0,1739.0,1695.0,1710.0,1568.9541015625,3280700
2019-05-08,1691.0,1696.0,1678.0,1686.0,1546.93359375,2255400
2019-05-09,1658.0,1676.0,1651.0,1673.0,1535.0059814453125,1812700
2019-05-10,1660.0,1674.0,1642.0,1664.0,1526.748291015625,2421100
