Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,857.5,875.0,852.0,869.5,804.8624267578125,148200
2019-01-07,879.0,904.0,879.0,892.0,825.689697265625,137000
2019-01-08,876.5,881.5,863.0,865.0,800.6968994140625,351000
2019-01-09,866.0,869.5,851.0,855.0,791.4403076171875,201800
2019-01-10,851.0,867.0,846.0,864.5,800.2340087890625,166600
2019-01-11,862.0,862.0,849.5,856.5,792.8287353515625,86800
2019-01-15,843.0,852.0,840.5,851.5,788.200439453125,135000
2019-01-16,846.0,854.0,845.0,848.5,785.4234008789062,64400
2019-01-17,848.5,855.0,845.5,850.0,786.81201171875,73400
2019-01-18,857.5,864.0,850.0,851.0,787.7377319335938,114200
2019-01-21,851.5,872.0,851.5,870.0,805.3251953125,114600
2019-01-22,870.0,876.0,865.0,866.5,802.0853881835938,53800
2019-01-23,853.5,863.5,850.0,853.0,789.5889892578125,75800
2019-01-24,852.0,856.5,848.0,849.5,786.34912109375,82600
2019-01-25,858.0,863.0,853.0,853.0,789.5889892578125,95200
2019-01-28,862.0,863.0,846.5,849.0,785.8863525390625,76400
2019-01-29,849.0,860.5,842.5,859.5,795.6057739257812,125600
2019-01-30,865.0,865.0,846.5,848.0,784.960693359375,142800
2019-01-31,848.0,857.0,840.0,841.0,778.4810180664062,104800
2019-02-01,852.5,890.0,850.0,884.5,818.7472534179688,162400
2019-02-04,884.5,909.5,880.0,909.5,841.8888549804688,135000
2019-02-05,912.5,925.0,906.5,923.0,854.3851928710938,72200
2019-02-06,925.0,932.5,913.0,918.5,850.2197265625,82000
2019-02-07,913.5,929.5,910.0,929.0,859.939208984375,87600
2019-02-08,918.5,929.5,916.5,925.5,856.6994018554688,65600
2019-02-12,921.0,930.5,917.0,927.0,858.087890625,77600
2019-02-13,931.0,947.0,923.0,944.0,873.8241577148438,101400
2019-02-14,943.5,963.0,943.5,950.0,879.3780517578125,126000
2019-02-15,939.0,952.0,931.0,949.0,878.452392578125,76800
2019-02-18,962.0,973.5,959.5,962.0,890.4859619140625,72200
2019-02-19,957.5,958.5,948.0,951.0,880.3037719726562,62600
2019-02-20,945.5,953.0,942.5,950.0,879.3780517578125,69200
2019-02-21,951.0,955.0,946.5,950.5,879.8409423828125,65400
2019-02-22,950.5,952.0,939.5,949.0,878.452392578125,31000
2019-02-25,958.0,958.0,942.0,947.5,877.06396484375,30800
2019-02-26,941.0,947.0,933.5,937.0,867.344482421875,46000
2019-02-27,937.0,954.5,935.5,950.5,879.8409423828125,66800
2019-02-28,949.5,949.5,939.0,939.0,869.19580078125,40600
2019-03-01,942.5,952.0,942.0,948.0,877.5267944335938,55000
2019-03-04,948.0,954.0,940.5,946.0,875.6754150390625,40000
2019-03-05,944.0,950.0,933.5,939.0,869.19580078125,31200
2019-03-06,940.5,945.0,929.5,936.5,866.8817749023438,94600
2019-03-07,922.5,931.5,920.0,927.0,858.087890625,66200
2019-03-08,924.5,926.5,914.5,917.0,848.8313598632812,72800
2019-03-11,921.5,925.0,912.0,913.5,845.5914306640625,44600
2019-03-12,925.0,938.0,923.5,931.0,861.79052734375,69800
2019-03-13,930.5,934.0,917.5,922.0,853.4595336914062,33200
2019-03-14,930.0,930.0,901.0,908.5,840.9631958007812,57200
2019-03-15,909.5,932.5,906.0,932.0,862.7161865234375,134600
2019-03-18,934.5,935.0,920.5,932.5,863.1790771484375,39200
2019-03-19,938.0,942.5,928.5,940.0,870.1215209960938,68800
2019-03-20,941.0,945.0,930.5,933.5,864.1046752929688,83200
2019-03-22,939.0,952.0,926.0,951.5,880.7666015625,146200
2019-03-25,940.5,940.5,918.5,923.0,854.3851928710938,39200
2019-03-26,925.5,963.5,925.5,963.0,891.4116821289062,46000
2019-03-27,955.0,955.0,943.5,948.5,891.8818359375,36800
2019-03-28,938.5,938.5,923.0,927.0,871.6652221679688,36000
2019-03-29,932.5,942.5,930.5,939.5,883.4190673828125,43600
2019-04-01,946.0,963.5,945.5,953.0,896.1131591796875,96800
2019-04-02,960.0,966.0,954.5,958.5,901.2848510742188,74200
2019-04-03,952.5,968.5,948.0,966.5,908.807373046875,61800
2019-04-04,966.5,972.5,960.0,965.5,907.8670654296875,46000
2019-04-05,964.0,973.0,962.5,973.0,914.9193115234375,74000
2019-04-08,973.0,976.5,960.5,960.5,903.1654663085938,24400
2019-04-09,955.0,959.5,944.5,954.0,897.0535278320312,56000
2019-04-10,949.5,951.5,941.5,950.5,893.762451171875,25800
2019-04-11,950.0,950.0,943.5,948.0,891.4116821289062,35800
2019-04-12,950.0,951.0,941.5,944.0,887.6505126953125,45400
2019-04-15,950.0,974.0,950.0,962.0,904.575927734375,189600
2019-04-16,956.5,968.0,954.5,958.5,901.2848510742188,88200
2019-04-17,959.5,965.5,945.0,954.0,897.0535278320312,128800
2019-04-18,955.0,955.0,938.5,940.5,884.359375,67400
2019-04-19,940.5,944.0,936.5,936.5,880.5982055664062,18800
2019-04-22,937.0,937.5,929.0,936.5,880.5982055664062,22800
2019-04-23,940.5,944.0,936.0,942.5,886.2399291992188,53400
2019-04-24,942.5,951.5,942.5,943.0,886.7101440429688,56400
2019-04-25,948.0,948.5,940.0,945.0,888.5907592773438,41800
2019-04-26,939.0,939.0,929.5,935.5,879.6578369140625,38200
2019-05-07,934.5,953.5,926.5,935.5,879.6578369140625,121600
2019-05-08,930.5,930.5,920.5,924.5,869.314453125,84400
2019-05-09,915.5,920.5,906.0,906.5,852.3887939453125,94000
2019-05-10,906.5,923.5,903.0,909.0,854.7396850585938,89600
2019-05-13,909.0,915.0,900.0,900.0,846.27685546875,45800
2019-05-14,886.5,900.0,866.0,892.0,838.7544555664062,169200
2019-05-15,904.0,904.0,888.0,897.5,843.9261474609375,59400
2019-05-16,880.5,903.5,880.5,903.5,849.5679321289062,99000
2019-05-17,919.5,928.0,915.0,924.0,868.8442993164062,73600
2019-05-20,927.5,950.5,927.5,944.5,888.1205444335938,68800
2019-05-21,940.0,945.5,935.5,940.5,884.359375,63600
2019-05-22,942.5,942.5,923.5,926.0,870.724853515625,53800
2019-05-23,924.5,928.0,916.0,918.5,863.6725463867188,94200
2019-05-24,916.5,921.5,901.5,919.0,864.1427001953125,45800
2019-05-27,924.5,933.5,922.0,933.5,877.7771606445312,45200
2019-05-28,933.5,937.5,931.0,931.5,875.8965454101562,27800
2019-05-29,925.0,934.0,917.5,929.0,873.5458374023438,77200
2019-05-30,920.0,931.0,917.0,928.5,873.07568359375,34800
2019-05-31,926.5,926.5,918.0,919.0,864.1427001953125,30600
2019-06-03,902.5,920.0,896.5,915.0,860.3815307617188,114400
2019-06-04,921.5,929.0,910.5,922.0,866.963623046875,45600
2019-06-05,938.5,942.5,935.0,940.0,883.8892822265625,66200
2019-06-06,941.5,941.5,928.5,931.0,875.4264526367188,43400
2019-06-07,935.5,940.5,931.5,938.5,882.478759765625,53000
2019-06-10,943.0,946.5,937.5,940.0,883.8892822265625,52600
2019-06-11,940.0,944.0,932.5,944.0,887.6505126953125,75000
2019-06-12,939.5,949.5,935.5,943.5,887.1802978515625,107000
2019-06-13,938.5,938.5,928.0,935.0,879.1876831054688,49600
2019-06-14,935.0,937.5,931.5,932.0,876.3667602539062,49000
2019-06-17,937.0,943.5,929.0,935.5,879.6578369140625,49600
2019-06-18,938.0,938.0,922.0,927.0,871.6652221679688,44000
2019-06-19,939.5,949.5,939.5,946.5,890.001220703125,85800
2019-06-20,946.5,952.0,942.5,947.5,890.9415893554688,59000
2019-06-21,947.5,954.0,943.0,948.5,891.8818359375,145200
2019-06-24,950.0,951.0,944.0,948.0,891.4116821289062,35600
2019-06-25,949.0,953.0,929.0,932.0,876.3667602539062,47000
2019-06-26,932.0,939.0,923.5,927.5,872.1353759765625,33000
2019-06-27,931.0,939.0,930.5,939.0,882.9488525390625,25200
2019-06-28,937.5,952.5,936.5,951.0,894.2326049804688,53200
2019-07-01,955.0,976.5,955.0,975.5,917.2702026367188,114200
2019-07-02,972.0,983.5,963.5,983.5,924.7925415039062,98600
2019-07-03,983.5,983.5,974.5,978.0,919.6209106445312,51000
2019-07-04,982.5,990.5,982.5,986.5,927.6135864257812,47600
2019-07-05,986.5,986.5,971.5,974.5,916.329833984375,34000
2019-07-08,961.5,970.0,954.5,956.5,899.404296875,31600
2019-07-09,959.0,962.5,942.5,945.5,889.0608520507812,38200
2019-07-10,942.0,950.5,931.5,944.5,888.1205444335938,51000
