Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,876.0,891.0,864.0,873.0,844.7545166015625,122000
2019-01-07,915.0,927.0,903.0,917.0,887.3309936523438,93000
2019-01-08,932.0,955.0,921.0,924.0,894.1044921875,190900
2019-01-09,935.0,985.0,933.0,970.0,938.6162109375,207400
2019-01-10,955.0,980.0,951.0,980.0,948.2926635742188,77600
2019-01-11,981.0,991.0,974.0,980.0,948.2926635742188,91400
2019-01-15,959.0,1000.0,958.0,999.0,966.677978515625,99700
2019-01-16,990.0,996.0,973.0,985.0,953.1309204101562,63700
2019-01-17,990.0,1008.0,990.0,1005.0,972.4838256835938,111500
2019-01-18,1017.0,1025.0,1011.0,1015.0,982.1602783203125,104100
2019-01-21,1025.0,1040.0,1019.0,1039.0,1005.3837280273438,71500
2019-01-22,1046.0,1063.0,1038.0,1042.0,1008.2866821289062,102400
2019-01-23,1017.0,1039.0,1003.0,1032.0,998.6102294921875,74500
2019-01-24,1032.0,1057.0,1023.0,1056.0,1021.833740234375,75900
2019-01-25,1058.0,1092.0,1050.0,1073.0,1038.28369140625,113500
2019-01-28,1068.0,1077.0,1050.0,1057.0,1022.8014526367188,79800
2019-01-29,1036.0,1062.0,944.0,979.0,947.3250122070312,332900
2019-01-30,985.0,1000.0,971.0,986.0,954.0985107421875,216900
2019-01-31,986.0,999.0,971.0,976.0,944.4220581054688,205400
2019-02-01,967.0,982.0,956.0,962.0,930.8750610351562,153100
2019-02-04,972.0,1006.0,966.0,1004.0,971.51611328125,116000
2019-02-05,1017.0,1039.0,1012.0,1027.0,993.7720336914062,97600
2019-02-06,1040.0,1040.0,1005.0,1008.0,975.38671875,80400
2019-02-07,1006.0,1018.0,995.0,1017.0,984.0955200195312,59800
2019-02-08,1000.0,1010.0,977.0,978.0,946.3573608398438,97200
2019-02-12,977.0,1009.0,977.0,993.0,960.8720703125,101600
2019-02-13,1005.0,1014.0,998.0,1011.0,978.2896728515625,62500
2019-02-14,1014.0,1026.0,999.0,1002.0,969.5808715820312,61600
2019-02-15,993.0,1022.0,983.0,1014.0,981.192626953125,68000
2019-02-18,1044.0,1076.0,1040.0,1070.0,1035.3807373046875,113600
2019-02-19,1054.0,1057.0,1025.0,1028.0,994.7396850585938,83900
2019-02-20,1031.0,1031.0,1015.0,1021.0,987.9661254882812,59000
2019-02-21,1023.0,1041.0,1015.0,1039.0,1005.3837280273438,41900
2019-02-22,1033.0,1034.0,1022.0,1025.0,991.8367309570312,40300
2019-02-25,1035.0,1050.0,1029.0,1044.0,1010.2219848632812,46200
2019-02-26,1038.0,1052.0,1032.0,1036.0,1002.4808959960938,32300
2019-02-27,1034.0,1040.0,1021.0,1021.0,987.9661254882812,62300
2019-02-28,1017.0,1025.0,1000.0,1017.0,984.0955200195312,89700
2019-03-01,1018.0,1029.0,1013.0,1013.0,980.2249755859375,78300
2019-03-04,1017.0,1023.0,1007.0,1009.0,976.3543701171875,53500
2019-03-05,1003.0,1003.0,989.0,998.0,965.7103271484375,67500
2019-03-06,987.0,990.0,975.0,977.0,945.3897094726562,73800
2019-03-07,978.0,982.0,968.0,980.0,948.2926635742188,95300
2019-03-08,968.0,982.0,967.0,977.0,945.3897094726562,132000
2019-03-11,970.0,977.0,954.0,958.0,927.0045166015625,46000
2019-03-12,967.0,998.0,965.0,994.0,961.8397216796875,50000
2019-03-13,988.0,994.0,968.0,970.0,938.6162109375,52800
2019-03-14,980.0,982.0,960.0,963.0,931.8427124023438,25900
2019-03-15,965.0,976.0,963.0,965.0,933.7780151367188,130300
2019-03-18,936.0,954.0,934.0,952.0,921.1985473632812,100800
2019-03-19,955.0,955.0,930.0,932.0,901.845703125,49700
2019-03-20,927.0,946.0,924.0,943.0,912.4898071289062,113000
2019-03-22,938.0,944.0,931.0,941.0,910.5545043945312,77700
2019-03-25,930.0,930.0,899.0,900.0,870.8810424804688,66300
2019-03-26,909.0,950.0,907.0,949.0,918.295654296875,70300
2019-03-27,955.0,957.0,940.0,957.0,929.95654296875,34800
2019-03-28,941.0,942.0,928.0,930.0,903.7195434570312,55300
2019-03-29,935.0,936.0,923.0,928.0,901.7760620117188,70000
2019-04-01,950.0,974.0,950.0,970.0,942.5891723632812,55200
2019-04-02,992.0,997.0,981.0,997.0,968.8262329101562,47000
2019-04-03,998.0,1031.0,998.0,1030.0,1000.8936767578125,67500
2019-04-04,1029.0,1055.0,1015.0,1050.0,1020.3284301757812,90500
2019-04-05,1040.0,1058.0,1033.0,1041.0,1011.5828857421875,63300
2019-04-08,1036.0,1037.0,1016.0,1018.0,989.2327880859375,22500
2019-04-09,1011.0,1021.0,1004.0,1017.0,988.260986328125,73500
2019-04-10,1009.0,1016.0,1004.0,1014.0,985.3458251953125,48800
2019-04-11,1004.0,1016.0,1004.0,1012.0,983.40234375,23700
2019-04-12,1015.0,1039.0,1012.0,1031.0,1001.8654174804688,102100
2019-04-15,1049.0,1061.0,1043.0,1048.0,1018.385009765625,73400
2019-04-16,1047.0,1047.0,1030.0,1034.0,1004.7805786132812,38300
2019-04-17,1034.0,1046.0,1030.0,1044.0,1014.498046875,66000
2019-04-18,1041.0,1046.0,1026.0,1032.0,1002.837158203125,48500
2019-04-19,1045.0,1049.0,1039.0,1049.0,1019.3567504882812,60700
2019-04-22,1046.0,1051.0,1043.0,1050.0,1020.3284301757812,23500
2019-04-23,1060.0,1077.0,1060.0,1064.0,1033.932861328125,76700
2019-04-24,1064.0,1064.0,1027.0,1030.0,1000.8936767578125,52000
2019-04-25,1025.0,1026.0,1006.0,1016.0,987.289306640625,65600
2019-04-26,999.0,999.0,948.0,975.0,947.4478759765625,120700
2019-05-07,967.0,972.0,947.0,948.0,921.2108764648438,138700
2019-05-08,935.0,938.0,913.0,918.0,892.05859375,141700
2019-05-09,913.0,920.0,884.0,886.0,860.962890625,197700
2019-05-10,896.0,932.0,875.0,890.0,864.849853515625,193300
2019-05-13,875.0,875.0,815.0,827.0,803.630126953125,239100
2019-05-14,820.0,825.0,804.0,825.0,801.6866455078125,105200
2019-05-15,827.0,834.0,816.0,827.0,803.630126953125,76900
2019-05-16,833.0,840.0,820.0,828.0,804.6018676757812,71000
2019-05-17,852.0,855.0,842.0,847.0,823.0650024414062,92400
2019-05-20,866.0,866.0,835.0,845.0,821.1214599609375,83000
2019-05-21,838.0,839.0,824.0,829.0,805.5736083984375,76200
2019-05-22,835.0,835.0,808.0,808.0,785.1670532226562,99900
2019-05-23,807.0,816.0,799.0,804.0,781.2800903320312,73500
2019-05-24,800.0,821.0,798.0,816.0,792.9409790039062,88500
2019-05-27,817.0,829.0,809.0,818.0,794.884521484375,51100
2019-05-28,817.0,828.0,813.0,823.0,799.7431640625,58300
2019-05-29,817.0,822.0,807.0,815.0,791.9692993164062,61400
2019-05-30,804.0,813.0,801.0,804.0,781.2800903320312,58800
2019-05-31,800.0,801.0,775.0,777.0,755.0430908203125,148200
2019-06-03,773.0,780.0,759.0,761.0,739.4951782226562,118600
2019-06-04,770.0,797.0,767.0,796.0,773.5062255859375,90100
2019-06-05,809.0,828.0,806.0,828.0,804.6018676757812,73300
2019-06-06,824.0,846.0,818.0,826.0,802.6583862304688,100000
2019-06-07,827.0,842.0,810.0,840.0,816.2627563476562,72900
2019-06-10,847.0,853.0,837.0,840.0,816.2627563476562,67200
2019-06-11,838.0,850.0,834.0,848.0,824.0367431640625,76600
2019-06-12,846.0,852.0,841.0,846.0,822.0933227539062,57600
2019-06-13,839.0,843.0,820.0,823.0,799.7431640625,57700
2019-06-14,808.0,819.0,802.0,802.0,779.3366088867188,93600
2019-06-17,797.0,813.0,794.0,800.0,777.3931274414062,106000
2019-06-18,800.0,821.0,796.0,797.0,774.4779052734375,77400
2019-06-19,808.0,831.0,807.0,827.0,803.630126953125,77700
2019-06-20,842.0,847.0,811.0,815.0,791.9692993164062,107400
2019-06-21,840.0,847.0,826.0,828.0,804.6018676757812,279100
2019-06-24,828.0,844.0,824.0,838.0,814.3193359375,67100
2019-06-25,838.0,842.0,817.0,818.0,794.884521484375,76400
2019-06-26,818.0,839.0,815.0,829.0,805.5736083984375,83800
2019-06-27,834.0,849.0,834.0,846.0,822.0933227539062,43200
2019-06-28,840.0,847.0,830.0,841.0,817.2345581054688,91100
2019-07-01,853.0,854.0,836.0,850.0,825.980224609375,85100
2019-07-02,847.0,859.0,839.0,856.0,831.8106689453125,74600
2019-07-03,847.0,852.0,832.0,840.0,816.2627563476562,52600
2019-07-04,850.0,870.0,849.0,868.0,843.4714965820312,115900
2019-07-05,870.0,888.0,870.0,878.0,853.18896484375,131300
2019-07-08,870.0,876.0,852.0,854.0,829.8671264648438,54900
2019-07-09,861.0,864.0,837.0,838.0,814.3193359375,71500
2019-07-10,833.0,839.0,822.0,834.0,810.4323120117188,92100
2019-07-11,837.0,846.0,834.0,836.0,812.3757934570312,51600
2019-07-12,839.0,839.0,818.0,818.0,794.884521484375,69100
2019-07-16,821.0,834.0,820.0,829.0,805.5736083984375,60500
2019-07-17,823.0,837.0,820.0,830.0,806.54541015625,60600
2019-07-18,826.0,835.0,801.0,802.0,779.3366088867188,199600
2019-07-19,800.0,830.0,786.0,827.0,803.630126953125,182900
2019-07-22,820.0,831.0,820.0,825.0,801.6866455078125,84400
2019-07-23,831.0,855.0,826.0,847.0,823.0650024414062,128400
2019-07-24,853.0,859.0,849.0,857.0,832.7823486328125,93900
2019-07-25,860.0,867.0,851.0,861.0,836.6693725585938,69300
2019-07-26,851.0,851.0,833.0,838.0,814.3193359375,39000
2019-07-29,833.0,843.0,824.0,830.0,806.54541015625,82300
2019-07-30,834.0,865.0,834.0,858.0,833.754150390625,144500
2019-07-31,863.0,874.0,843.0,850.0,825.980224609375,165000
2019-08-01,838.0,858.0,836.0,845.0,821.1214599609375,48300
2019-08-02,830.0,835.0,807.0,814.0,790.9974975585938,122000
2019-08-05,802.0,814.0,785.0,797.0,774.4779052734375,116800
2019-08-06,770.0,793.0,767.0,791.0,768.6474609375,74100
2019-08-07,779.0,784.0,773.0,777.0,755.0430908203125,60000
2019-08-08,777.0,783.0,772.0,776.0,754.0713500976562,40100
2019-08-09,785.0,790.0,776.0,780.0,757.9583129882812,42800
2019-08-13,766.0,766.0,751.0,756.0,734.6365356445312,86000
2019-08-14,759.0,771.0,753.0,763.0,741.438720703125,128400
2019-08-15,750.0,752.0,740.0,749.0,727.8343505859375,50700
2019-08-16,749.0,750.0,739.0,748.0,726.8626098632812,62800
2019-08-19,759.0,762.0,753.0,754.0,732.6929931640625,26400
2019-08-20,756.0,772.0,747.0,772.0,750.1843872070312,71100
2019-08-21,754.0,760.0,748.0,756.0,734.6365356445312,78700
2019-08-22,765.0,773.0,763.0,765.0,743.3822021484375,88400
2019-08-23,767.0,767.0,754.0,757.0,735.6082763671875,51400
2019-08-26,734.0,738.0,725.0,730.0,709.3712158203125,97200
2019-08-27,736.0,748.0,736.0,741.0,720.0603637695312,84700
2019-08-28,740.0,740.0,730.0,738.0,717.1452026367188,81500
2019-08-29,747.0,749.0,732.0,740.0,719.0886840820312,50300
2019-08-30,752.0,762.0,744.0,761.0,739.4951782226562,92300
2019-09-02,755.0,759.0,734.0,744.0,722.9755859375,143200
2019-09-03,744.0,766.0,744.0,762.0,740.4669799804688,106500
2019-09-04,755.0,757.0,743.0,747.0,725.8908081054688,48700
2019-09-05,757.0,777.0,755.0,769.0,747.2691040039062,79500
2019-09-06,777.0,790.0,777.0,785.0,762.8170166015625,82800
2019-09-09,793.0,806.0,786.0,803.0,780.308349609375,75200
2019-09-10,804.0,835.0,804.0,835.0,811.4041137695312,74200
2019-09-11,842.0,859.0,833.0,857.0,832.7823486328125,164700
2019-09-12,859.0,881.0,851.0,876.0,851.2454833984375,134400
2019-09-13,877.0,895.0,868.0,895.0,869.7085571289062,156200
2019-09-17,890.0,890.0,874.0,888.0,862.9063720703125,121300
2019-09-18,890.0,890.0,880.0,888.0,862.9063720703125,76200
2019-09-19,885.0,899.0,880.0,890.0,864.849853515625,186800
2019-09-20,902.0,906.0,889.0,905.0,879.426025390625,106600
2019-09-24,910.0,919.0,890.0,893.0,867.7650756835938,105800
2019-09-25,883.0,883.0,868.0,880.0,855.1325073242188,95600
2019-09-26,903.0,911.0,885.0,894.0,868.73681640625,145200
2019-09-27,878.0,884.0,859.0,872.0,854.0457153320312,87100
2019-09-30,865.0,869.0,858.0,863.0,845.2310180664062,67200
2019-10-01,864.0,877.0,864.0,875.0,856.98388671875,52200
2019-10-02,862.0,871.0,861.0,864.0,846.2103881835938,61800
2019-10-03,844.0,849.0,835.0,845.0,827.6015625,68600
2019-10-04,838.0,849.0,837.0,849.0,831.5192260742188,46600
2019-10-07,853.0,857.0,840.0,849.0,831.5192260742188,44300
2019-10-08,858.0,872.0,847.0,860.0,842.292724609375,67400
2019-10-09,860.0,879.0,853.0,871.0,853.0662841796875,144800
2019-10-10,878.0,879.0,863.0,868.0,850.1279907226562,60000
2019-10-11,874.0,876.0,856.0,876.0,857.9633178710938,55900
2019-10-15,891.0,919.0,889.0,915.0,896.1603393554688,88000
2019-10-16,920.0,939.0,917.0,923.0,903.99560546875,70700
2019-10-17,918.0,919.0,912.0,913.0,894.2014770507812,51100
2019-10-18,928.0,934.0,912.0,917.0,898.119140625,71600
2019-10-21,920.0,924.0,913.0,918.0,899.0985107421875,45500
2019-10-23,925.0,925.0,909.0,923.0,903.99560546875,38900
2019-10-24,928.0,930.0,918.0,921.0,902.0368041992188,42000
2019-10-25,924.0,934.0,915.0,934.0,914.7691040039062,41900
2019-10-28,935.0,949.0,934.0,944.0,924.5631713867188,46900
2019-10-29,950.0,967.0,950.0,961.0,941.213134765625,85800
2019-10-30,956.0,965.0,926.0,946.0,926.5220336914062,172400
2019-10-31,953.0,953.0,912.0,948.0,928.4808349609375,122600
2019-11-01,933.0,937.0,914.0,925.0,905.9544067382812,76400
2019-11-05,920.0,952.0,920.0,947.0,927.50146484375,122400
2019-11-06,956.0,979.0,952.0,978.0,957.8630981445312,126300
2019-11-07,980.0,996.0,964.0,994.0,973.53369140625,121400
2019-11-08,1009.0,1026.0,998.0,1009.0,988.224853515625,124300
2019-11-11,1014.0,1020.0,1002.0,1007.0,986.2660522460938,65200
2019-11-12,1008.0,1011.0,991.0,1010.0,989.2042236328125,65100
2019-11-13,1015.0,1022.0,995.0,997.0,976.4719848632812,39100
2019-11-14,997.0,997.0,957.0,959.0,939.2543334960938,103500
2019-11-15,959.0,991.0,958.0,989.0,968.6366577148438,56200
2019-11-18,999.0,999.0,977.0,982.0,961.78076171875,32200
2019-11-19,976.0,992.0,960.0,989.0,968.6366577148438,73200
2019-11-20,978.0,1005.0,978.0,997.0,976.4719848632812,102300
2019-11-21,996.0,996.0,951.0,962.0,942.1925659179688,86300
2019-11-22,953.0,968.0,943.0,957.0,937.2955322265625,82000
2019-11-25,966.0,972.0,961.0,963.0,943.1719970703125,40000
2019-11-26,973.0,992.0,971.0,979.0,958.842529296875,74300
2019-11-27,992.0,998.0,986.0,997.0,976.4719848632812,50400
2019-11-28,997.0,997.0,987.0,989.0,968.6366577148438,54700
2019-11-29,995.0,1001.0,991.0,997.0,976.4719848632812,79400
