Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,391.0,406.0,386.0,406.0,388.2026672363281,9805800
2019-01-07,416.0,427.0,413.0,417.0,398.7204895019531,7424600
2019-01-08,420.0,435.0,420.0,429.0,410.1944274902344,8584300
2019-01-09,435.0,443.0,423.0,429.0,410.1944274902344,6749700
2019-01-10,426.0,428.0,413.0,420.0,401.5889892578125,5707500
2019-01-11,422.0,433.0,420.0,433.0,414.01910400390625,5386900
2019-01-15,435.0,446.0,426.0,444.0,424.5368957519531,7165500
2019-01-16,444.0,447.0,428.0,434.0,414.97528076171875,6003100
2019-01-17,439.0,445.0,430.0,431.0,412.10675048828125,5993600
2019-01-18,435.0,453.0,434.0,449.0,429.3177490234375,7085900
2019-01-21,457.0,474.0,453.0,464.0,443.6601867675781,9000900
2019-01-22,467.0,467.0,443.0,445.0,425.49310302734375,7317700
2019-01-23,437.0,458.0,436.0,454.0,434.0985412597656,6859600
2019-01-24,457.0,466.0,445.0,466.0,445.572509765625,6806500
2019-01-25,467.0,476.0,462.0,469.0,448.4410095214844,6013500
2019-01-28,468.0,474.0,459.0,459.0,438.87939453125,6351600
2019-01-29,456.0,464.0,448.0,462.0,441.74786376953125,5858100
2019-01-30,460.0,461.0,453.0,454.0,434.0985412597656,3884800
2019-01-31,459.0,471.0,458.0,466.0,445.572509765625,5692600
2019-02-01,463.0,469.0,453.0,454.0,434.0985412597656,4995400
2019-02-04,460.0,477.0,460.0,476.0,455.1341552734375,8095500
2019-02-05,475.0,481.0,468.0,468.0,447.48486328125,5724000
2019-02-06,472.0,472.0,457.0,460.0,439.83551025390625,6036400
2019-02-07,457.0,466.0,455.0,456.0,436.0108642578125,5464500
2019-02-08,448.0,448.0,432.0,435.0,415.9314270019531,9845700
2019-02-12,438.0,458.0,433.0,457.0,436.967041015625,6860300
2019-02-13,464.0,472.0,458.0,459.0,438.87939453125,5284400
2019-02-14,451.0,459.0,447.0,450.0,430.2738952636719,7291300
2019-02-15,468.0,530.0,461.0,522.0,499.1177673339844,46591100
2019-02-18,529.0,564.0,519.0,532.0,508.6793212890625,38399200
2019-02-19,532.0,537.0,517.0,535.0,511.5478210449219,9539900
2019-02-20,545.0,562.0,534.0,540.0,516.32861328125,14168900
2019-02-21,550.0,550.0,535.0,545.0,521.1094970703125,5512300
2019-02-22,542.0,549.0,540.0,549.0,524.9341430664062,5561400
2019-02-25,550.0,555.0,541.0,546.0,522.0656127929688,4106200
2019-02-26,545.0,546.0,535.0,545.0,521.1094970703125,5360800
2019-02-27,547.0,550.0,542.0,547.0,523.0217895507812,4337500
2019-02-28,545.0,549.0,537.0,537.0,513.460205078125,8193400
2019-03-01,546.0,558.0,542.0,556.0,531.6273193359375,16559300
2019-03-04,562.0,571.0,526.0,535.0,511.5478210449219,17374300
2019-03-05,534.0,540.0,524.0,538.0,514.4163208007812,7321600
2019-03-06,535.0,544.0,527.0,543.0,519.1971435546875,4699000
2019-03-07,537.0,538.0,527.0,529.0,505.8108825683594,5567300
