Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,774.0,785.0,761.0,780.0,720.1470336914062,51900
2019-01-07,801.0,819.0,796.0,813.0,750.6148681640625,35700
2019-01-08,812.0,825.0,803.0,803.0,741.3821411132812,29400
2019-01-09,816.0,817.0,788.0,791.0,730.302978515625,36300
2019-01-10,793.0,793.0,764.0,775.0,715.53076171875,25900
2019-01-11,775.0,801.0,774.0,792.0,731.2262573242188,23900
2019-01-15,767.0,793.0,767.0,778.0,718.300537109375,36800
2019-01-16,784.0,810.0,784.0,792.0,731.2262573242188,24800
2019-01-17,794.0,841.0,784.0,829.0,765.3870849609375,68700
2019-01-18,825.0,829.0,804.0,811.0,748.768310546875,54300
2019-01-21,825.0,829.0,801.0,806.0,744.1519775390625,29300
2019-01-22,805.0,808.0,788.0,794.0,733.0728149414062,19300
2019-01-23,786.0,807.0,777.0,789.0,728.4564819335938,36100
2019-01-24,787.0,808.0,779.0,807.0,745.0752563476562,22100
2019-01-25,813.0,814.0,786.0,800.0,738.6123657226562,46300
2019-01-28,802.0,803.0,786.0,790.0,729.3797607421875,32600
2019-01-29,792.0,799.0,772.0,796.0,734.9193725585938,27700
2019-01-30,803.0,814.0,780.0,781.0,721.0703125,49400
2019-01-31,781.0,802.0,781.0,796.0,734.9193725585938,33200
2019-02-01,800.0,821.0,800.0,812.0,749.6915893554688,43200
2019-02-04,842.0,891.0,840.0,891.0,822.6295166015625,102500
2019-02-05,911.0,924.0,866.0,914.0,843.8646240234375,132300
2019-02-06,890.0,912.0,860.0,903.0,833.708740234375,118900
2019-02-07,897.0,900.0,867.0,873.0,806.0107421875,56600
2019-02-08,860.0,900.0,856.0,876.0,808.7805786132812,58000
2019-02-12,884.0,885.0,857.0,865.0,798.6246337890625,53300
2019-02-13,868.0,870.0,847.0,862.0,795.8548583984375,44400
2019-02-14,864.0,882.0,859.0,878.0,810.6270751953125,32600
2019-02-15,884.0,899.0,873.0,881.0,813.3969116210938,50900
2019-02-18,900.0,901.0,874.0,884.0,816.1666870117188,36600
2019-02-19,879.0,896.0,872.0,883.0,815.2434692382812,48100
2019-02-20,888.0,952.0,885.0,947.0,874.3323974609375,171600
2019-02-21,945.0,958.0,928.0,951.0,878.0254516601562,69100
2019-02-22,945.0,945.0,923.0,930.0,858.6368408203125,41000
2019-02-25,945.0,945.0,931.0,937.0,865.0997314453125,39900
2019-02-26,933.0,962.0,933.0,956.0,882.6417846679688,58100
2019-02-27,980.0,999.0,940.0,955.0,881.718505859375,314900
2019-02-28,953.0,960.0,928.0,930.0,858.6368408203125,90400
2019-03-01,928.0,928.0,907.0,915.0,844.7879028320312,68300
2019-03-04,916.0,945.0,916.0,928.0,856.7904052734375,53200
2019-03-05,928.0,938.0,909.0,924.0,853.0972900390625,37700
2019-03-06,922.0,928.0,909.0,913.0,842.9413452148438,28500
2019-03-07,902.0,902.0,876.0,889.0,820.7830200195312,67100
2019-03-08,874.0,879.0,850.0,850.0,784.775634765625,50300
2019-03-11,853.0,858.0,850.0,854.0,788.46875,17500
2019-03-12,879.0,896.0,875.0,891.0,822.6295166015625,21800
2019-03-13,895.0,895.0,866.0,879.0,811.5503540039062,15900
2019-03-14,881.0,881.0,862.0,867.0,800.4711303710938,16400
2019-03-15,860.0,876.0,852.0,855.0,789.3919677734375,44100
2019-03-18,850.0,872.0,832.0,864.0,797.7013549804688,51800
2019-03-19,866.0,866.0,847.0,852.0,786.6221923828125,33800
2019-03-20,850.0,877.0,848.0,877.0,809.703857421875,35000
2019-03-22,874.0,884.0,865.0,879.0,811.5503540039062,35300
2019-03-25,853.0,861.0,845.0,851.0,785.6989135742188,30700
2019-03-26,859.0,897.0,859.0,886.0,818.01318359375,33300
2019-03-27,882.0,883.0,865.0,877.0,830.3212890625,27800
2019-03-28,869.0,869.0,853.0,860.0,814.2261352539062,16100
2019-03-29,865.0,879.0,861.0,876.0,829.37451171875,25300
2019-04-01,911.0,913.0,890.0,901.0,853.0438842773438,108200
2019-04-02,909.0,914.0,895.0,897.0,849.2567749023438,36700
2019-04-03,890.0,910.0,885.0,903.0,854.9374389648438,30900
2019-04-04,905.0,905.0,886.0,889.0,841.6825561523438,28000
2019-04-05,883.0,889.0,874.0,885.0,837.8954467773438,31500
2019-04-08,910.0,911.0,891.0,892.0,844.5228881835938,36700
2019-04-09,897.0,921.0,889.0,909.0,860.6180419921875,37300
2019-04-10,901.0,905.0,892.0,904.0,855.8842163085938,16500
2019-04-11,899.0,905.0,884.0,890.0,842.6293334960938,23500
2019-04-12,887.0,887.0,868.0,872.0,825.58740234375,34000
2019-04-15,873.0,899.0,873.0,896.0,848.3099975585938,48000
2019-04-16,890.0,900.0,881.0,887.0,839.7890014648438,24100
2019-04-17,887.0,890.0,871.0,877.0,830.3212890625,33000
2019-04-18,875.0,875.0,847.0,850.0,804.7583618164062,40300
2019-04-19,853.0,877.0,853.0,868.0,821.80029296875,35500
2019-04-22,866.0,867.0,847.0,852.0,806.6519165039062,29100
2019-04-23,856.0,856.0,838.0,850.0,804.7583618164062,20100
2019-04-24,855.0,862.0,843.0,845.0,800.0244750976562,31200
2019-04-25,848.0,854.0,838.0,852.0,806.6519165039062,24400
2019-04-26,852.0,859.0,840.0,857.0,811.3858032226562,24300
2019-05-07,863.0,863.0,843.0,844.0,799.0776977539062,38000
2019-05-08,820.0,837.0,815.0,823.0,779.1954345703125,48400
2019-05-09,815.0,822.0,802.0,816.0,772.5680541992188,44500
2019-05-10,816.0,848.0,816.0,824.0,780.1422119140625,42500
2019-05-13,827.0,845.0,815.0,823.0,779.1954345703125,31700
2019-05-14,796.0,849.0,790.0,849.0,803.8115844726562,49900
2019-05-15,795.0,809.0,783.0,794.0,751.739013671875,97900
2019-05-16,794.0,794.0,776.0,784.0,742.271240234375,38100
2019-05-17,794.0,806.0,789.0,801.0,758.3663940429688,29200
2019-05-20,800.0,802.0,787.0,794.0,751.739013671875,25100
2019-05-21,789.0,789.0,777.0,787.0,745.111572265625,16600
2019-05-22,788.0,799.0,787.0,789.0,747.005126953125,25900
2019-05-23,788.0,792.0,784.0,790.0,747.951904296875,24000
2019-05-24,779.0,787.0,774.0,787.0,745.111572265625,33400
2019-05-27,793.0,803.0,791.0,803.0,760.2599487304688,31200
2019-05-28,806.0,829.0,803.0,826.0,782.0357666015625,44800
2019-05-29,814.0,822.0,804.0,817.0,773.5148315429688,23000
2019-05-30,815.0,819.0,799.0,808.0,764.9938354492188,33400
2019-05-31,800.0,805.0,788.0,791.0,748.898681640625,37200
2019-06-03,779.0,782.0,756.0,760.0,719.5486450195312,37400
2019-06-04,757.0,772.0,747.0,771.0,729.9631958007812,36500
2019-06-05,780.0,794.0,780.0,792.0,749.845458984375,30500
2019-06-06,792.0,795.0,777.0,777.0,735.643798828125,21400
2019-06-07,785.0,789.0,776.0,789.0,747.005126953125,14400
2019-06-10,801.0,808.0,797.0,800.0,757.4196166992188,47700
2019-06-11,799.0,817.0,795.0,817.0,773.5148315429688,28500
2019-06-12,818.0,833.0,811.0,811.0,767.8341674804688,38300
2019-06-13,804.0,813.0,790.0,798.0,755.5260620117188,36600
2019-06-14,799.0,810.0,793.0,806.0,763.1002807617188,29000
2019-06-17,809.0,825.0,809.0,823.0,779.1954345703125,29900
2019-06-18,828.0,828.0,802.0,802.0,759.3131713867188,37700
2019-06-19,817.0,830.0,812.0,824.0,780.1422119140625,39600
2019-06-20,826.0,843.0,821.0,843.0,798.1309204101562,32100
2019-06-21,840.0,906.0,832.0,889.0,841.6825561523438,158600
2019-06-24,881.0,888.0,867.0,870.0,823.69384765625,41400
2019-06-25,865.0,888.0,862.0,866.0,819.90673828125,27400
2019-06-26,868.0,868.0,848.0,857.0,811.3858032226562,28100
