Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,7420.0,7480.0,7080.0,7380.0,7068.82958984375,1913500
2019-01-07,7590.0,7730.0,7480.0,7510.0,7193.34765625,1924900
2019-01-08,7720.0,7720.0,7510.0,7600.0,7279.55322265625,1721800
2019-01-09,7530.0,7590.0,7330.0,7550.0,7231.66162109375,1554900
2019-01-10,7400.0,7500.0,7270.0,7360.0,7049.67236328125,1866400
2019-01-11,7410.0,7550.0,7400.0,7500.0,7183.77001953125,1540400
2019-01-15,7350.0,7840.0,7350.0,7800.0,7471.1201171875,1708800
2019-01-16,7770.0,7780.0,7450.0,7520.0,7202.9267578125,1328700
2019-01-17,7570.0,7640.0,7530.0,7550.0,7231.66162109375,882800
2019-01-18,7480.0,7620.0,7400.0,7550.0,7231.66162109375,1505800
2019-01-21,7660.0,7900.0,7650.0,7800.0,7471.1201171875,1444000
2019-01-22,7760.0,7810.0,7620.0,7660.0,7337.0234375,1057300
2019-01-23,7480.0,7690.0,7470.0,7610.0,7289.13134765625,989900
2019-01-24,7600.0,7820.0,7590.0,7810.0,7480.6982421875,1037100
2019-01-25,7880.0,8150.0,7870.0,8120.0,7777.6279296875,1742000
2019-01-28,8090.0,8180.0,7890.0,8000.0,7662.6875,1335800
2019-01-29,7850.0,7910.0,7670.0,7880.0,7547.74755859375,1402200
2019-01-30,8050.0,8050.0,7830.0,7930.0,7595.6396484375,1211100
2019-01-31,8400.0,8670.0,8340.0,8570.0,8208.654296875,2638600
2019-02-01,8540.0,8770.0,8520.0,8560.0,8199.076171875,1436800
2019-02-04,8520.0,8650.0,8500.0,8570.0,8208.654296875,754300
2019-02-05,8630.0,8650.0,8510.0,8530.0,8170.34033203125,767500
2019-02-06,8570.0,8620.0,8500.0,8570.0,8208.654296875,786900
2019-02-07,8600.0,8760.0,8520.0,8590.0,8227.810546875,935300
2019-02-08,8390.0,8440.0,8190.0,8260.0,7911.72509765625,1329800
2019-02-12,8350.0,8800.0,8320.0,8770.0,8400.2216796875,1440100
2019-02-13,8820.0,8920.0,8770.0,8890.0,8515.162109375,1324000
2019-02-14,8900.0,8970.0,8710.0,8770.0,8400.2216796875,825200
2019-02-15,8740.0,8760.0,8570.0,8630.0,8266.1240234375,969700
2019-02-18,8860.0,8900.0,8790.0,8830.0,8457.69140625,719200
2019-02-19,8860.0,8940.0,8800.0,8830.0,8457.69140625,776800
2019-02-20,8860.0,8880.0,8680.0,8780.0,8409.798828125,718900
2019-02-21,8830.0,8960.0,8750.0,8890.0,8515.162109375,1081900
2019-02-22,8790.0,8880.0,8700.0,8850.0,8476.84765625,757700
2019-02-25,8950.0,9100.0,8920.0,9030.0,8649.2578125,1020300
2019-02-26,8940.0,9050.0,8830.0,8840.0,8467.26953125,1048600
2019-02-27,8840.0,8860.0,8670.0,8720.0,8352.330078125,1104100
2019-02-28,8740.0,8740.0,8590.0,8700.0,8333.171875,870200
2019-03-01,8810.0,9150.0,8800.0,9070.0,8687.572265625,1422400
2019-03-04,9180.0,9430.0,9140.0,9420.0,9022.8154296875,1192600
2019-03-05,9280.0,9330.0,9140.0,9240.0,8850.4033203125,886100
2019-03-06,9150.0,9200.0,9080.0,9170.0,8783.3544921875,738300
2019-03-07,9080.0,9100.0,8960.0,9060.0,8677.9931640625,941700
2019-03-08,9000.0,9020.0,8730.0,8810.0,8438.533203125,1565200
2019-03-11,8870.0,8890.0,8630.0,8750.0,8381.064453125,634400
2019-03-12,9010.0,9220.0,8990.0,9170.0,8783.3544921875,987400
2019-03-13,9110.0,9120.0,8760.0,8830.0,8457.69140625,1018900
2019-03-14,8830.0,8850.0,8660.0,8700.0,8333.171875,760500
2019-03-15,8640.0,8760.0,8600.0,8660.0,8294.859375,1268600
2019-03-18,8800.0,8800.0,8660.0,8700.0,8333.171875,436100
2019-03-19,8680.0,8780.0,8620.0,8740.0,8371.486328125,385900
2019-03-20,8660.0,8760.0,8640.0,8760.0,8390.642578125,840300
2019-03-22,8870.0,8940.0,8800.0,8840.0,8467.26953125,1047100
2019-03-25,8540.0,8540.0,8420.0,8520.0,8160.76171875,700400
2019-03-26,8610.0,8790.0,8590.0,8720.0,8352.330078125,645900
2019-03-27,8690.0,8780.0,8690.0,8720.0,8429.666015625,491100
2019-03-28,8650.0,8720.0,8570.0,8660.0,8371.6630859375,633100
2019-03-29,8650.0,8740.0,8590.0,8670.0,8381.330078125,912200
2019-04-01,8850.0,9080.0,8830.0,8890.0,8594.005859375,960900
2019-04-02,9060.0,9060.0,8970.0,9030.0,8729.34375,653800
2019-04-03,9060.0,9350.0,9050.0,9340.0,9029.021484375,906400
2019-04-04,9430.0,9680.0,9370.0,9500.0,9183.6943359375,1302600
2019-04-05,9400.0,9620.0,9390.0,9600.0,9280.365234375,1216100
2019-04-08,9660.0,9760.0,9510.0,9560.0,9241.697265625,733100
2019-04-09,9580.0,9750.0,9560.0,9720.0,9396.3701171875,715200
2019-04-10,9520.0,9600.0,9370.0,9570.0,9251.36328125,831200
2019-04-11,9310.0,9410.0,9250.0,9360.0,9048.3564453125,1171800
2019-04-12,9330.0,9420.0,9250.0,9260.0,8951.6865234375,1506000
2019-04-15,9480.0,9580.0,9450.0,9450.0,9135.3603515625,1116500
2019-04-16,9430.0,9580.0,9380.0,9470.0,9154.693359375,969700
2019-04-17,9600.0,9810.0,9580.0,9760.0,9435.0390625,1722000
2019-04-18,9860.0,10000.0,9790.0,9810.0,9483.373046875,1560400
2019-04-19,9960.0,9980.0,9840.0,9860.0,9531.7080078125,963200
2019-04-22,9800.0,9800.0,9660.0,9720.0,9396.3701171875,908400
2019-04-23,9870.0,9870.0,9640.0,9750.0,9425.37109375,932900
2019-04-24,9790.0,9830.0,9650.0,9700.0,9377.03515625,1062000
2019-04-25,9700.0,9810.0,9660.0,9740.0,9415.703125,783800
2019-04-26,9540.0,9730.0,9470.0,9690.0,9367.369140625,1136800
2019-05-07,9800.0,9800.0,9430.0,9500.0,9183.6943359375,1441200
2019-05-08,9200.0,9310.0,9130.0,9250.0,8942.01953125,1169800
2019-05-09,9160.0,9320.0,9160.0,9200.0,8893.68359375,907700
2019-05-10,9140.0,9430.0,9120.0,9260.0,8951.6865234375,1094300
2019-05-13,9180.0,9250.0,9110.0,9200.0,8893.68359375,770000
2019-05-14,8880.0,9070.0,8810.0,9040.0,8739.009765625,1140800
2019-05-15,9140.0,9140.0,8940.0,9080.0,8777.6787109375,909800
2019-05-16,9010.0,9020.0,8510.0,8520.0,8236.32421875,1975900
2019-05-17,8540.0,8540.0,8030.0,8120.0,7849.642578125,2977400
2019-05-20,8190.0,8240.0,8020.0,8020.0,7752.97216796875,1294300
2019-05-21,7920.0,8040.0,7740.0,7950.0,7685.302734375,1960000
2019-05-22,8100.0,8150.0,7890.0,7970.0,7704.63671875,1210100
2019-05-23,7780.0,7790.0,7390.0,7450.0,7201.95068359375,2581400
2019-05-24,7250.0,7540.0,7210.0,7430.0,7182.61669921875,2424200
2019-05-27,7390.0,7480.0,7300.0,7440.0,7192.283203125,899900
2019-05-28,7440.0,7590.0,7440.0,7500.0,7250.2861328125,1123800
2019-05-29,7390.0,7430.0,7250.0,7430.0,7182.61669921875,1270800
2019-05-30,7360.0,7530.0,7330.0,7500.0,7250.2861328125,1601900
2019-05-31,7390.0,7500.0,7370.0,7400.0,7153.61572265625,1250700
2019-06-03,7310.0,7450.0,7300.0,7370.0,7124.6142578125,1161900
2019-06-04,7310.0,7430.0,7300.0,7410.0,7163.2822265625,1024100
2019-06-05,7740.0,7770.0,7630.0,7650.0,7395.2919921875,1153900
2019-06-06,7590.0,7640.0,7340.0,7390.0,7143.9482421875,1490200
2019-06-07,7450.0,7590.0,7440.0,7560.0,7308.2880859375,784900
2019-06-10,7700.0,7760.0,7650.0,7680.0,7424.29296875,1276000
2019-06-11,7700.0,7870.0,7640.0,7820.0,7559.63134765625,771700
2019-06-12,7780.0,7870.0,7680.0,7700.0,7443.626953125,912000
2019-06-13,7620.0,7680.0,7530.0,7670.0,7414.62548828125,954500
2019-06-14,7530.0,7690.0,7500.0,7670.0,7414.62548828125,1302600
2019-06-17,7550.0,7610.0,7390.0,7570.0,7317.95556640625,1125500
2019-06-18,7590.0,7670.0,7550.0,7580.0,7327.62255859375,632600
2019-06-19,7880.0,7980.0,7820.0,7930.0,7665.96923828125,1282400
2019-06-20,7910.0,7940.0,7680.0,7880.0,7617.6337890625,1190200
2019-06-21,7970.0,8010.0,7800.0,7840.0,7578.96533203125,1252900
2019-06-24,7820.0,7830.0,7750.0,7780.0,7520.96337890625,547500
2019-06-25,7790.0,7880.0,7740.0,7800.0,7540.296875,609500
2019-06-26,7840.0,8100.0,7810.0,7990.0,7723.97119140625,1323100
2019-06-27,8200.0,8380.0,8170.0,8320.0,8042.98291015625,1436000
2019-06-28,8450.0,8450.0,8170.0,8340.0,8062.3173828125,1412300
2019-07-01,8940.0,9000.0,8740.0,8920.0,8623.0068359375,2462900
2019-07-02,8800.0,8880.0,8720.0,8800.0,8507.001953125,1256000
2019-07-03,8620.0,8660.0,8500.0,8550.0,8265.326171875,1418500
2019-07-04,8560.0,8630.0,8500.0,8560.0,8274.9931640625,668700
2019-07-05,8580.0,8640.0,8520.0,8630.0,8342.662109375,592700
2019-07-08,8630.0,8690.0,8600.0,8630.0,8342.662109375,841600
2019-07-09,8590.0,8640.0,8420.0,8500.0,8216.990234375,970600
2019-07-10,8530.0,8610.0,8460.0,8460.0,8178.322265625,803200
2019-07-11,8410.0,8530.0,8330.0,8490.0,8207.3232421875,750600
2019-07-12,8530.0,8540.0,8390.0,8430.0,8149.3212890625,774900
2019-07-16,8390.0,8480.0,8370.0,8450.0,8168.6552734375,581500
2019-07-17,8350.0,8370.0,8220.0,8230.0,7955.97998046875,778300
2019-07-18,8130.0,8150.0,7890.0,7940.0,7675.6357421875,1208500
2019-07-19,7950.0,8190.0,7950.0,8110.0,7839.97607421875,975300
2019-07-22,8110.0,8330.0,8080.0,8260.0,7984.9814453125,1054600
2019-07-23,8300.0,8510.0,8290.0,8440.0,8158.98828125,829500
2019-07-24,8500.0,8600.0,8470.0,8530.0,8245.9912109375,1357800
2019-07-25,8630.0,8630.0,8430.0,8520.0,8236.32421875,1140100
2019-07-26,8390.0,8420.0,8280.0,8300.0,8023.6494140625,979500
2019-07-29,8250.0,8260.0,8090.0,8160.0,7888.3115234375,1010900
2019-07-30,8210.0,8380.0,8200.0,8300.0,8023.6494140625,697600
2019-07-31,8310.0,8500.0,8260.0,8470.0,8187.9892578125,1395200
2019-08-01,9010.0,9270.0,8910.0,9130.0,8826.0146484375,3119100
2019-08-02,8730.0,8900.0,8650.0,8780.0,8487.6669921875,1903200
2019-08-05,8660.0,8720.0,8440.0,8550.0,8265.326171875,1280800
2019-08-06,8200.0,8580.0,8130.0,8530.0,8245.9912109375,1245400
2019-08-07,8400.0,8440.0,8250.0,8340.0,8062.3173828125,1189200
2019-08-08,8390.0,8550.0,8330.0,8440.0,8158.98828125,831600
2019-08-09,8480.0,8480.0,8260.0,8380.0,8100.98681640625,1050700
2019-08-13,8170.0,8180.0,8020.0,8120.0,7849.642578125,1170500
2019-08-14,8420.0,8540.0,8360.0,8470.0,8187.9892578125,1394900
2019-08-15,8260.0,8330.0,8190.0,8260.0,7984.9814453125,1229900
2019-08-16,8170.0,8360.0,8150.0,8260.0,7984.9814453125,936200
2019-08-19,8460.0,8600.0,8390.0,8400.0,8120.3203125,842900
2019-08-20,8480.0,8520.0,8430.0,8460.0,8178.322265625,641600
2019-08-21,8380.0,8430.0,8360.0,8390.0,8110.65283203125,490600
2019-08-22,8510.0,8520.0,8360.0,8360.0,8081.6513671875,500800
2019-08-23,8280.0,8370.0,8270.0,8370.0,8091.318359375,572300
2019-08-26,8070.0,8140.0,8030.0,8110.0,7839.97607421875,1132800
2019-08-27,8260.0,8280.0,8150.0,8150.0,7878.6435546875,675700
2019-08-28,8150.0,8210.0,8090.0,8130.0,7859.3095703125,714300
2019-08-29,8150.0,8200.0,8060.0,8130.0,7859.3095703125,487100
2019-08-30,8280.0,8500.0,8280.0,8460.0,8178.322265625,1370400
2019-09-02,8410.0,8490.0,8360.0,8470.0,8187.9892578125,687500
2019-09-03,8480.0,8590.0,8480.0,8520.0,8236.32421875,568300
2019-09-04,8480.0,8570.0,8390.0,8570.0,8284.66015625,620800
2019-09-05,8690.0,9040.0,8690.0,8990.0,8690.67578125,1597000
2019-09-06,9200.0,9330.0,9150.0,9240.0,8932.3515625,1722700
2019-09-09,9210.0,9310.0,9180.0,9290.0,8980.6875,839900
2019-09-10,9410.0,9450.0,9250.0,9280.0,8971.0205078125,809500
2019-09-11,9380.0,9540.0,9270.0,9410.0,9096.69140625,1271000
2019-09-12,9700.0,9710.0,9510.0,9570.0,9251.36328125,1491600
2019-09-13,9550.0,9550.0,9390.0,9490.0,9174.0283203125,2084400
2019-09-17,9500.0,9630.0,9470.0,9540.0,9222.3623046875,961800
2019-09-18,9560.0,9560.0,9380.0,9460.0,9145.02734375,786600
2019-09-19,9540.0,9750.0,9530.0,9550.0,9232.0302734375,1083600
