Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,623.6669921875,639.3330078125,621.3330078125,625.3330078125,613.2890625,60300
2019-01-07,635.0,645.3330078125,619.0,620.3330078125,608.3853149414062,48300
2019-01-08,619.6669921875,624.6669921875,615.6669921875,619.6669921875,607.7321166992188,39000
2019-01-09,625.3330078125,625.3330078125,617.3330078125,619.0,607.0779418945312,30000
2019-01-10,607.6669921875,621.0,607.6669921875,616.0,604.1358032226562,26700
2019-01-11,610.0,619.3330078125,610.0,613.3330078125,601.5201416015625,33600
2019-01-15,610.0,620.0,610.0,619.0,607.0779418945312,19800
2019-01-16,618.0,623.6669921875,612.6669921875,614.3330078125,602.5008544921875,35400
2019-01-17,613.3330078125,616.3330078125,605.6669921875,613.0,601.193603515625,52500
2019-01-18,616.0,618.6669921875,606.6669921875,608.3330078125,596.616455078125,72600
2019-01-21,607.3330078125,611.3330078125,600.6669921875,605.0,593.3475952148438,92100
2019-01-22,608.3330078125,608.3330078125,600.3330078125,604.0,592.3668823242188,74700
2019-01-23,604.0,610.6669921875,596.0,601.3330078125,589.7512817382812,73200
2019-01-24,601.3330078125,606.0,594.3330078125,600.0,588.4439697265625,95100
2019-01-25,600.6669921875,603.3330078125,591.3330078125,594.3330078125,582.8860473632812,56700
2019-01-28,596.6669921875,596.6669921875,577.3330078125,579.3330078125,568.1749877929688,84300
2019-01-29,578.6669921875,578.6669921875,566.6669921875,577.6669921875,566.5410766601562,47100
2019-01-30,579.3330078125,584.3330078125,572.0,572.6669921875,561.6373901367188,86700
2019-01-31,572.6669921875,579.6669921875,570.6669921875,572.6669921875,561.6373901367188,73800
2019-02-01,569.3330078125,574.0,569.3330078125,573.0,561.9639892578125,48300
2019-02-04,582.0,590.0,581.0,585.6669921875,574.386962890625,52800
2019-02-05,585.6669921875,601.6669921875,583.6669921875,600.3330078125,588.7705078125,71400
2019-02-06,603.0,609.0,600.6669921875,600.6669921875,589.0980224609375,38100
2019-02-07,600.3330078125,600.6669921875,581.3330078125,581.3330078125,570.136474609375,54600
2019-02-08,576.3330078125,591.3330078125,570.0,586.6669921875,575.36767578125,59700
2019-02-12,560.0,595.0,557.3330078125,590.3330078125,578.963134765625,128400
2019-02-13,588.0,598.3330078125,586.0,595.6669921875,584.1943969726562,56700
2019-02-14,591.6669921875,607.3330078125,591.6669921875,600.6669921875,589.0980224609375,40500
2019-02-15,600.6669921875,600.6669921875,588.3330078125,594.6669921875,583.2136840820312,21300
2019-02-18,601.6669921875,609.6669921875,599.3330078125,606.0,594.328369140625,52500
2019-02-19,605.6669921875,622.0,605.6669921875,615.0,603.1549682617188,57600
2019-02-20,610.6669921875,622.3330078125,610.6669921875,611.6669921875,599.88623046875,33000
2019-02-21,612.3330078125,612.6669921875,606.3330078125,609.6669921875,597.9247436523438,28800
2019-02-22,605.3330078125,610.6669921875,595.0,607.6669921875,595.9632568359375,40200
2019-02-25,607.3330078125,614.6669921875,601.3330078125,603.3330078125,591.7128295898438,36300
2019-02-26,599.3330078125,605.6669921875,596.6669921875,599.3330078125,587.789794921875,39900
2019-02-27,600.0,605.6669921875,595.0,604.3330078125,592.6934814453125,54600
2019-02-28,606.0,607.6669921875,597.0,605.6669921875,594.0017700195312,42000
2019-03-01,603.6669921875,611.6669921875,603.3330078125,604.3330078125,592.6934814453125,21300
2019-03-04,604.3330078125,609.6669921875,598.6669921875,604.6669921875,593.0210571289062,31500
2019-03-05,600.0,605.6669921875,596.0,605.3330078125,593.6742553710938,24600
2019-03-06,601.6669921875,608.6669921875,597.0,604.3330078125,592.6934814453125,30900
2019-03-07,600.3330078125,606.3330078125,586.6669921875,596.3330078125,584.8475341796875,108000
2019-03-08,589.3330078125,597.6669921875,588.6669921875,593.6669921875,582.2328491210938,45300
2019-03-11,590.3330078125,600.3330078125,590.3330078125,596.6669921875,585.1751098632812,13800
2019-03-12,599.6669921875,618.3330078125,598.0,607.0,595.30908203125,38100
2019-03-13,607.3330078125,614.0,600.0,604.0,592.3668823242188,33000
2019-03-14,606.3330078125,609.6669921875,600.0,604.6669921875,593.0210571289062,23100
2019-03-15,602.6669921875,639.0,600.0,628.6669921875,616.558837890625,228600
2019-03-18,630.6669921875,641.0,625.0,627.6669921875,615.5780639648438,145500
2019-03-19,628.3330078125,630.0,614.0,630.0,617.8661499023438,64500
2019-03-20,634.6669921875,643.0,631.6669921875,635.3330078125,623.0964965820312,69900
2019-03-22,635.3330078125,636.3330078125,631.6669921875,636.0,623.7506103515625,39900
2019-03-25,632.6669921875,632.6669921875,616.6669921875,621.3330078125,609.3661499023438,53100
2019-03-26,623.3330078125,636.6669921875,623.3330078125,631.3330078125,619.1735229492188,53400
2019-03-27,633.3330078125,637.3330078125,628.3330078125,633.3330078125,624.431884765625,33300
2019-03-28,634.0,634.0,625.0,630.3330078125,621.4739990234375,21600
2019-03-29,628.0,633.0,624.0,626.3330078125,617.5302124023438,38400
2019-04-01,631.0,633.0,624.6669921875,624.6669921875,615.8875732421875,43500
