Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,298.0,303.0,294.0,302.0,268.7851257324219,517500
2019-01-07,309.0,316.0,308.0,311.0,276.79522705078125,497000
2019-01-08,311.0,317.0,311.0,314.0,279.46527099609375,437500
2019-01-09,317.0,319.0,313.0,314.0,279.46527099609375,451700
2019-01-10,312.0,314.0,310.0,311.0,276.79522705078125,539000
2019-01-11,313.0,320.0,312.0,317.0,282.13531494140625,497500
2019-01-15,313.0,321.0,312.0,318.0,283.0253601074219,472700
2019-01-16,317.0,322.0,315.0,320.0,284.805419921875,437200
2019-01-17,322.0,324.0,320.0,323.0,287.4754333496094,470500
2019-01-18,325.0,329.0,324.0,328.0,291.9255065917969,437200
2019-01-21,331.0,333.0,328.0,331.0,294.5955505371094,480700
2019-01-22,333.0,335.0,330.0,333.0,296.3756103515625,506500
2019-01-23,331.0,340.0,330.0,340.0,302.6057434082031,693300
2019-01-24,340.0,348.0,337.0,348.0,309.725830078125,659000
2019-01-25,348.0,355.0,343.0,350.0,311.5058898925781,724400
2019-01-28,353.0,353.0,344.0,346.0,307.9458312988281,748700
2019-01-29,346.0,353.0,344.0,348.0,309.725830078125,768000
2019-01-30,348.0,348.0,340.0,342.0,304.38580322265625,684900
2019-01-31,342.0,344.0,338.0,341.0,303.4957580566406,522600
2019-02-01,338.0,340.0,331.0,337.0,299.9356689453125,636400
2019-02-04,342.0,349.0,342.0,349.0,310.6158752441406,542600
2019-02-05,351.0,356.0,345.0,348.0,309.725830078125,590400
2019-02-06,349.0,350.0,346.0,348.0,309.725830078125,390700
2019-02-07,345.0,350.0,345.0,349.0,310.6158752441406,430800
2019-02-08,343.0,344.0,340.0,343.0,305.2757568359375,424700
2019-02-12,344.0,346.0,341.0,345.0,307.0557861328125,412000
2019-02-13,349.0,352.0,347.0,348.0,309.725830078125,581600
2019-02-14,349.0,355.0,347.0,355.0,315.95599365234375,517100
2019-02-15,352.0,358.0,348.0,357.0,317.7359924316406,612800
2019-02-18,362.0,363.0,355.0,355.0,315.95599365234375,479300
2019-02-19,357.0,360.0,356.0,359.0,319.51605224609375,429900
2019-02-20,359.0,360.0,357.0,357.0,317.7359924316406,273000
2019-02-21,358.0,358.0,351.0,352.0,313.2859191894531,471000
2019-02-22,350.0,354.0,346.0,354.0,315.06597900390625,452100
2019-02-25,355.0,356.0,351.0,351.0,312.39593505859375,277200
2019-02-26,352.0,355.0,350.0,353.0,314.1759338378906,312200
2019-02-27,355.0,362.0,355.0,361.0,321.29608154296875,671400
2019-02-28,362.0,362.0,358.0,361.0,321.29608154296875,509200
2019-03-01,358.0,359.0,356.0,358.0,318.62603759765625,354300
2019-03-04,361.0,361.0,358.0,360.0,320.40606689453125,230800
2019-03-05,356.0,359.0,354.0,359.0,319.51605224609375,496100
2019-03-06,357.0,358.0,351.0,355.0,315.95599365234375,505100
2019-03-07,351.0,355.0,348.0,353.0,314.1759338378906,778900
2019-03-08,349.0,350.0,340.0,340.0,302.6057434082031,688300
2019-03-11,344.0,348.0,343.0,344.0,306.16583251953125,223000
2019-03-12,347.0,349.0,345.0,346.0,307.9458312988281,265300
2019-03-13,346.0,347.0,344.0,347.0,308.8358154296875,223200
2019-03-14,347.0,348.0,344.0,347.0,308.8358154296875,256200
2019-03-15,347.0,353.0,347.0,349.0,310.6158752441406,456100
2019-03-18,355.0,360.0,353.0,358.0,318.62603759765625,329100
2019-03-19,360.0,364.0,358.0,362.0,322.18609619140625,317100
2019-03-20,365.0,370.0,365.0,369.0,328.41619873046875,775900
2019-03-22,371.0,371.0,364.0,369.0,328.41619873046875,540200
2019-03-25,366.0,368.0,362.0,367.0,326.63616943359375,499900
2019-03-26,372.0,372.0,367.0,369.0,328.41619873046875,657800
2019-03-27,354.0,362.0,353.0,361.0,331.1683349609375,531000
2019-03-28,359.0,361.0,351.0,352.0,322.9120178222656,362300
2019-03-29,352.0,355.0,342.0,344.0,315.5731506347656,362800
2019-04-01,347.0,354.0,346.0,351.0,321.9946594238281,295500
2019-04-02,352.0,352.0,344.0,345.0,316.490478515625,291700
2019-04-03,346.0,347.0,343.0,345.0,316.490478515625,230500
2019-04-04,346.0,349.0,344.0,344.0,315.5731506347656,195100
2019-04-05,347.0,351.0,346.0,347.0,318.3251953125,269100
2019-04-08,348.0,351.0,346.0,349.0,320.1599426269531,265100
2019-04-09,351.0,352.0,345.0,349.0,320.1599426269531,236300
2019-04-10,346.0,347.0,344.0,346.0,317.4078674316406,127400
2019-04-11,342.0,342.0,335.0,339.0,310.9862976074219,360600
2019-04-12,337.0,341.0,336.0,339.0,310.9862976074219,322900
2019-04-15,341.0,346.0,341.0,345.0,316.490478515625,271200
2019-04-16,346.0,346.0,343.0,344.0,315.5731506347656,122800
2019-04-17,343.0,345.0,340.0,344.0,315.5731506347656,196600
2019-04-18,344.0,344.0,338.0,339.0,310.9862976074219,254500
2019-04-19,342.0,343.0,341.0,343.0,314.65576171875,166100
2019-04-22,341.0,344.0,340.0,343.0,314.65576171875,194500
2019-04-23,345.0,345.0,342.0,343.0,314.65576171875,148500
2019-04-24,345.0,345.0,340.0,341.0,312.821044921875,186200
