Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,792.0,831.0,785.0,822.0,822.0,109500
2019-01-07,831.0,873.0,831.0,860.0,860.0,103300
2019-01-08,875.0,925.0,875.0,896.0,896.0,180100
2019-01-09,912.0,930.0,886.0,889.0,889.0,117200
2019-01-10,868.0,885.0,850.0,864.0,864.0,134000
2019-01-11,900.0,908.0,879.0,899.0,899.0,95700
2019-01-15,910.0,942.0,904.0,929.0,929.0,111600
2019-01-16,928.0,931.0,899.0,922.0,922.0,85600
2019-01-17,908.0,936.0,904.0,915.0,915.0,111600
2019-01-18,911.0,950.0,911.0,933.0,933.0,98000
2019-01-21,975.0,977.0,923.0,923.0,923.0,192800
2019-01-22,916.0,935.0,882.0,886.0,886.0,126700
2019-01-23,871.0,913.0,871.0,903.0,903.0,73400
2019-01-24,895.0,906.0,888.0,891.0,891.0,48800
2019-01-25,882.0,925.0,882.0,914.0,914.0,84300
2019-01-28,924.0,943.0,912.0,920.0,920.0,83500
2019-01-29,913.0,919.0,886.0,895.0,895.0,116800
2019-01-30,893.0,920.0,886.0,887.0,887.0,93600
2019-01-31,881.0,899.0,872.0,875.0,875.0,108900
2019-02-01,875.0,887.0,873.0,880.0,880.0,54000
2019-02-04,877.0,909.0,874.0,905.0,905.0,99700
2019-02-05,905.0,917.0,891.0,893.0,893.0,53600
2019-02-06,888.0,893.0,882.0,882.0,882.0,63300
2019-02-07,880.0,888.0,874.0,875.0,875.0,68900
2019-02-08,865.0,876.0,864.0,870.0,870.0,91300
2019-02-12,840.0,909.0,840.0,899.0,899.0,178800
2019-02-13,909.0,973.0,900.0,971.0,971.0,278500
2019-02-14,960.0,974.0,947.0,960.0,960.0,163800
2019-02-15,935.0,945.0,916.0,918.0,918.0,78200
2019-02-18,938.0,953.0,924.0,948.0,948.0,45700
2019-02-19,933.0,949.0,925.0,926.0,926.0,58400
2019-02-20,940.0,945.0,929.0,932.0,932.0,34900
2019-02-21,932.0,968.0,925.0,968.0,968.0,91900
2019-02-22,959.0,979.0,945.0,957.0,957.0,112600
2019-02-25,959.0,961.0,907.0,927.0,927.0,130400
2019-02-26,923.0,944.0,921.0,924.0,924.0,44600
2019-02-27,918.0,926.0,912.0,918.0,918.0,48900
2019-02-28,906.0,913.0,895.0,910.0,910.0,85700
2019-03-01,905.0,917.0,896.0,906.0,906.0,50600
2019-03-04,909.0,925.0,908.0,911.0,911.0,39100
2019-03-05,911.0,916.0,903.0,907.0,907.0,31600
2019-03-06,905.0,919.0,904.0,909.0,909.0,34900
2019-03-07,903.0,907.0,890.0,896.0,896.0,65800
2019-03-08,875.0,893.0,863.0,870.0,870.0,78800
2019-03-11,862.0,872.0,850.0,865.0,865.0,57100
2019-03-12,873.0,890.0,872.0,874.0,874.0,46500
2019-03-13,869.0,875.0,854.0,857.0,857.0,29300
2019-03-14,876.0,905.0,872.0,904.0,904.0,70200
2019-03-15,926.0,945.0,919.0,941.0,941.0,117500
2019-03-18,951.0,966.0,935.0,951.0,951.0,71500
2019-03-19,943.0,961.0,941.0,955.0,955.0,48800
2019-03-20,950.0,957.0,936.0,937.0,937.0,38000
2019-03-22,936.0,937.0,913.0,915.0,915.0,37900
2019-03-25,893.0,902.0,885.0,898.0,898.0,36900
2019-03-26,898.0,906.0,888.0,890.0,890.0,56500
2019-03-27,897.0,912.0,890.0,894.0,894.0,27800
2019-03-28,911.0,911.0,880.0,883.0,883.0,62800
2019-03-29,890.0,900.0,880.0,896.0,896.0,48300
2019-04-01,894.0,911.0,881.0,883.0,883.0,66100
2019-04-02,897.0,904.0,884.0,891.0,891.0,35800
2019-04-03,895.0,915.0,894.0,911.0,911.0,97300
2019-04-04,907.0,977.0,905.0,951.0,951.0,217000
2019-04-05,970.0,975.0,941.0,956.0,956.0,159000
2019-04-08,962.0,963.0,940.0,940.0,940.0,54900
2019-04-09,933.0,935.0,914.0,922.0,922.0,32100
2019-04-10,901.0,912.0,894.0,909.0,909.0,89500
2019-04-11,894.0,905.0,883.0,889.0,889.0,78300
2019-04-12,885.0,895.0,881.0,883.0,883.0,54800
2019-04-15,886.0,893.0,883.0,886.0,886.0,42000
2019-04-16,888.0,897.0,885.0,886.0,886.0,42400
2019-04-17,886.0,901.0,886.0,901.0,901.0,51800
2019-04-18,916.0,916.0,889.0,891.0,891.0,51800
2019-04-19,891.0,897.0,881.0,881.0,881.0,41700
2019-04-22,892.0,896.0,877.0,878.0,878.0,68800
2019-04-23,872.0,873.0,865.0,865.0,865.0,49900
2019-04-24,868.0,870.0,860.0,860.0,860.0,41600
2019-04-25,866.0,890.0,852.0,860.0,860.0,92300
2019-04-26,857.0,871.0,851.0,871.0,871.0,32900
2019-05-07,847.0,864.0,843.0,849.0,849.0,71900
2019-05-08,840.0,840.0,804.0,809.0,809.0,97600
2019-05-09,801.0,803.0,777.0,787.0,787.0,111200
2019-05-10,787.0,827.0,784.0,806.0,806.0,70600
2019-05-13,806.0,806.0,737.0,752.0,752.0,134500
2019-05-14,717.0,750.0,707.0,744.0,744.0,125800
2019-05-15,750.0,758.0,742.0,758.0,758.0,25300
2019-05-16,765.0,768.0,728.0,731.0,731.0,63100
2019-05-17,733.0,755.0,733.0,744.0,744.0,30900
